segment	start	end	size	events	unique_start_ips	unique_sources	conflict_offsets	conflict_events	sha256	top_sources	top_targets	top_deltas	hex_prefix	hex_suffix
10	0xd5055	0xd521e	0x1c9	121	121	43	0	0	e35c436f814625d4890dfe965dee7d48b87186ba96db835ec0dd7f1a3503a467	189:11,28:7,114:6,215:6,315:5,185:5,66:4,258:4	189:11,28:7,114:6,215:6,315:5,185:5,66:4,258:4	+0x4:82,+0x3:33,+0x6:3,+0x5:2,+0x2:1	a8009900ded07a4c2a7eb419f8639de801d3f4ab00d0bc2cab080148e80176334ba9db0f48e430e2f808ecb096e80187902b79179ac4d6e5683a56c7e8019f91	72c00805c461d0e8011a63c81367289c5280e801d0857f44c00566aa87e801c77bd92e57b5da3238e80199152ca1637c3a8275e801a00a689e469900e801a7dd
11	0xd522f	0xd5641	0x412	273	273	64	0	0	d13b88c5cb01761b7257dee4aa03e4823a7b78099db9eabb638028da75e27f43	18:18,64:15,337:15,114:14,123:12,307:11,28:10,66:10	18:18,64:15,337:15,114:14,123:12,307:11,28:10,66:10	+0x4:171,+0x3:74,+0x5:10,+0x2:9,+0x6:7,+0xd:2	cb00979b35767b8504bcf8084c50ade801c06e17bc2832c447e5acfe4f20e801a04cc62c8e8900c82c366d569ee8010da2bf0a89be123bdb28007ea7e801d009	4b01ea8f75f21ce80140dd2301f20ec4e80198db7a9bced8af11fb0250e8010853684faa27e3e801b6abc38967f48061eee801a57f382b1614f771ea540ee801
12	0xd564f	0xd5b17	0x4c8	174	174	62	0	0	b27d78849f94ca0ea3aa5e7210e40c5c17320a0284eab1998d4ddd5c3c31a5b9	297:10,347:9,189:8,185:7,64:7,28:6,66:6,215:6	297:10,347:9,189:8,185:7,64:7,28:6,66:6,215:6	+0x4:105,+0x3:42,+0x5:12,+0x2:10,+0x6:4,+0x23e:1	5101d89099005a0dabfd5599282fdde8011ba33afb8cef13265e44d84805e801a3a93a1bca956a3eb81b5c4d5ee801d8a5befb4b923aa768eed68598e8016005	40dd0805885ecee801120954e0ff136ce801f64cd80a5c4a8d6c01d143e801e805c1ca7144a6e8017227b8f4ab0004ebc7e801b47534199900a0023ae8011cdd
13	0xd5b25	0xd5cfb	0x1d6	126	126	44	0	0	f4f5e7ac239a28e336a825dbfa5140bb988f3d28f29becf2676b368dcd9b6c29	347:12,28:8,18:6,215:5,258:5,189:5,185:5,337:5	347:12,28:8,18:6,215:5,258:5,189:5,185:5,337:5	+0x4:85,+0x3:34,+0x2:3,+0x6:2,+0x5:2	c4004f6e5cf4d321a680009a81e80139f90d1667df9298debe80f00206a2e80162080e7cd00b2a8b72242226d1e8011008241a9ff80acfbecb02769de801f81d	3a405f9ac98b56e801838db412082402ffc3e801000756dd229f98e8012db3340c10817005a6607ee801b853167cf103c2e801ba75e38e36f41a7d40acf3e801
14	0xd5d09	0xd5ebc	0x1b3	116	116	36	0	0	9c703d1fbace357000967632474b80320bc22dd56037dcc10f0d06a469b79a02	64:8,185:8,347:8,66:7,189:6,28:5,176:5,305:4	64:8,185:8,347:8,66:7,189:6,28:5,176:5,305:4	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	4000bda79900179a253b9d552a0e3ee801c77ce301f4bff498fbab00e80131f5d18de6d0a28c3a950550e91296e801b66910e35c06baff90d4d5e6a8e8016e5a	3a291adbdbe80132c0a1caeadb0df40b20cce801439b3a228e1bdbe801eb5a13013a78665ce7aa79e801e60832015d574870fbe80158833a1477c174b492e801
15	0xd718e	0xd73ae	0x220	145	145	53	0	0	30a11b4eab27d36b738d6f69853202af25d61370cfbbabc00d71687b93801559	64:9,114:8,43:7,199:6,347:6,18:6,174:6,185:5	64:9,114:8,43:7,199:6,347:6,18:6,174:6,185:5	+0x4:95,+0x3:37,+0x2:5,+0x5:5,+0x6:3	e801a500bd009900bcefdff2ba93c89900e801c0efd80a5b5f8b73018f91679780f8e8018d8d09f85801e8a28a0efeb615e801baa255c109f180a01f0c6b4a0e	525c5447016d59e801c862c7af0c057286d4e80157ce029c9128001f10e801ff96aeaead0b6809a2e8010002fc042dcf93e80133b7e3528415cf0f3ad5c3e801
16	0xd73bc	0xd75f1	0x235	150	150	55	0	0	ab9d674a40ec87d4ba72d368e11deecee2f039ed3e4510e4f7a4682ea8733b30	347:9,185:8,158:7,66:6,189:6,18:6,340:6,28:6	347:9,185:8,158:7,66:6,189:6,18:6,340:6,28:6	+0x4:95,+0x3:38,+0x5:7,+0x2:6,+0x6:4	5b0108386209075fae31a99ddd1c0ce801ef9dae479fab0033836f0308bee8015474fb0f32a53a5967ece89d9ee801ff4a3ad39528fc43322800e801e1f03253	e82153fd3ae801c5033cef3920a7cfefe80101e33a95fbdac0043a5029e80147f02285804ce04632e801580b3a73b9ff097403e8019a6f55ab144af2e801e820
17	0xd75ff	0xd77c8	0x1c9	121	121	42	0	0	a67c9335f7bb968c4fe7b6e0f7f779a9a62636ba4378d42e59cd75dd4c174f44	337:9,66:7,199:5,64:5,340:5,114:5,28:5,18:5	337:9,66:7,199:5,64:5,340:5,114:5,28:5,18:5	+0x4:82,+0x3:33,+0x6:3,+0x5:2,+0x2:1	c700c7453a4d759100009489f8e801f9faf46bdda12006a8ddde3ddf823ae801e3a98900198149fdf7ac4a4028e801c93609f758d6d904152800451be8017962	05d2a00005e8018b5d4c0b2301c0053ce435e801b63ff702368d62383ee801a40ba082f0139ae80101772e2e3feb59c32ade57e80103e5a380f004e7e801b150
18	0xd77d9	0xd790a	0x131	73	73	32	0	0	57172627b0adda6bc978d9bb6c6681c995197cda42d240bdda29fad7240c8b7a	64:6,43:5,18:4,258:3,243:3,196:3,66:3,347:3	64:6,43:5,18:4,258:3,243:3,196:3,66:3,347:3	+0x4:51,+0x3:17,+0x5:2,+0x2:1,+0x6:1,+0x2aa5:1	020196bf077680292e65ba59699d9ee80177423affd997c69f9f677ba59ce801e59b89fe40608a4456aed95a5ce801cd2b55f8c1ab3a5d003fa0fa97e801245b	c8e8013d01cd2de801e03e10f85fb2433a95305ebafa753f76fb017353a13d01ab000000a52a00003d01223ae7bda6db049b10e8010b126800d80dabd4fa6880
19	0xda38f	0xda4b0	0x121	78	78	37	0	0	cb3f5cd1f17407fe9fd985693159316f0ea3527d7ea9d08e919b20ea65553836	258:6,199:5,189:4,123:4,114:3,185:3,307:3,28:3	258:6,199:5,189:4,123:4,114:3,185:3,307:3,28:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:2	7200a2635bacc8e12308a51c2ac0e45399881de801a8a03d0100c7b783cb5debc47f600148047001f8f6e3a23a4ac2003d011f9b7f881cdf3ea5aab0b7680033	bedb9128e1c237e801f74bba87df0fc7e2d2e8012ff01ce5137d3ae801d17f0002fdd2cd688be80185a7041fab0001bdae3275e8017aecd56f2217dbba68e801
