observation	delta	shape	constant_bytes	ip_reads	frame_writes	table_reads	calls	rets	events	entries	top_entries	target_entropy	top_targets	top_sites	top_deltas
exact	+0x5	CCCCC	b0=0xce,b1=0x13,b2=0x3d,b3=0x01,b4=0x87	+0x2/2,+0x4/1,+0x0/2	0x71,0x170,0x60,0x0,0xa	dyn/8	0	0	6	1	225@0xa6af9:6	0.000	144@0x95887:6	tail@0xa6e53:6	+0x5:6
exact	+0x5	CCEEC	b0=0x3d,b1=0x01,b4=0x00	+0x4/1,+0x0/2,+0x2/2	0x170,0x71,0x23,0x0,0xa	dyn/8	0	0	6	1	359@0xc3406:6	0.918	108@0x8f24b:4,160@0x994cf:2	tail@0xc3716:6	+0x5:6
exact	+0x5	EEECC	b3=0x3d,b4=0x01	+0x3/2,+0x2/1,+0x0/2	0x71,0x60,0x170,0x0,0xa	dyn/8	0	0	6	1	357@0xc29cf:6	1.000	352@0xc1ec4:3,144@0x95887:3	tail@0xc2d35:6	+0x5:6
exact	+0x4	EECC	b2=0x00,b3=0x00	+0x0/2	0xa	dyn/8	0	0	5	1	86@0x8a37f:5	0.722	310@0xb8556:4,169@0x9af18:1	tail@0x8a49b:5	+0x4:5
exact	+0x5	CCCCC	b0=0x3d,b1=0x3d,b2=0x01,b3=0x89,b4=0x76	+0x1/2,+0x0/1,+0x3/2	0x71,0x0,0x170,0xa	dyn/8	0	0	5	1	187@0x9e07d:5	0.000	173@0x9ba74:5	tail@0x9e333:5	+0x5:5
exact	+0x5	EECCE	b2=0x3d,b3=0x01	+0x4/1,+0x2/2,+0x0/2	0x23,0x170,0x71,0x60,0x0,0xa	dyn/8	0	0	5	1	130@0x931d3:5	0.722	144@0x95887:4,198@0xa037e:1	tail@0x937cd:5	+0x5:5
exact	+0x5	EECCE	b2=0x3d,b3=0x01	+0x4/1,+0x2/2,+0x0/2	0x23,0x71,0x170,0x60,0x0,0xa	dyn/8	0	0	5	1	13@0x7aee8:5	0.722	256@0xad849:4,257@0xadbfd:1	tail@0x7b3bb:5	+0x5:5
exact	+0x5	CCCCC	b0=0x3d,b1=0x01,b2=0x03,b3=0x6c,b4=0xa7	+0x2/1,+0x0/2,+0x3/2	0x170,0x23,0x71,0x0,0x60,0xa	dyn/8	0	0	4	1	231@0xa799b:4	0.000	198@0xa037e:4	tail@0xa7ef6:4	+0x5:4
exact	+0x5	CCCCC	b0=0x3d,b1=0x01,b2=0x7e,b3=0x59,b4=0xff	+0x4/1,+0x0/2,+0x2/2	0x170,0x23,0x71,0x60,0x0,0xa	dyn/8	0	0	4	1	313@0xb8b42:4	0.000	352@0xc1ec4:4	tail@0xb8fcc:4	+0x5:4
exact	+0x5	CCCCC	b0=0x53,b1=0x00,b2=0x08,b3=0x3d,b4=0x01	+0x0/1,+0x3/2,+0x1/2	0x23,0x71,0x60,0x0,0x170,0xa	dyn/8	0	0	4	1	221@0xa5889:4	0.000	256@0xad849:4	tail@0xa5f3a:4	+0x5:4
exact	+0x5	CCCCC	b0=0x5c,b1=0xc2,b2=0xa3,b3=0x3d,b4=0x01	+0x2/1,+0x3/2,+0x0/2	0x170,0x23,0x71,0x0,0x60,0xa	dyn/8	0	0	4	1	36@0x800a1:4	0.000	108@0x8f24b:4	tail@0x80682:4	+0x5:4
exact	+0x5	CCCCC	b0=0xb7,b1=0xce,b2=0xc9,b3=0x3d,b4=0x01	+0x2/1,+0x3/2,+0x0/2	0x23,0x170,0x71,0x0,0x60,0xa	dyn/8	0	0	4	1	267@0xafa1f:4	0.000	144@0x95887:4	tail@0xb0005:4	+0x5:4
exact	+0x5	CCCCC	b0=0xd2,b1=0xbd,b2=0xb3,b3=0x3d,b4=0x01	+0x2/1,+0x3/2,+0x0/2	0x170,0x23,0x71,0x0,0x60,0xa	dyn/8	0	0	4	1	214@0xa3fe9:4	0.000	257@0xadbfd:4	tail@0xa4606:4	+0x5:4
exact	+0x4	CCEE	b0=0x00,b1=0x00	+0x2/2	0x23,0x170,0xa	dyn/8	0	0	3	1	42@0x815ea:3	0.918	169@0x9af18:2,310@0xb8556:1	tail@0x8173b:3	+0x4:3
exact	+0x5	CCCCC	b0=0x69,b1=0x3d,b2=0x01,b3=0xb4,b4=0x4a	+0x0/1,+0x1/2,+0x3/2	0x71,0x0,0x170,0xa	dyn/8	0	0	3	1	9@0x79da3:3	0.000	256@0xad849:3	tail@0x7a04c:3	+0x5:3
