observation	delta	shape	constant_bytes	ip_reads	frame_writes	table_reads	calls	rets	events	entries	top_entries	target_entropy	top_targets	top_sites	top_deltas
exact	+0x4	VVVV	-	+0x0/2,+0x2/2	0x23,0x170,0x0,0x16f,0xa	dyn/8	0	0	25112	1	189@0x9e7af:25114	2.562	18@0x7be9b:1894,297@0xb64d7:1503,215@0xa4609:1354,174@0x9bd8f:1273,307@0xb8064:1197,43@0x8173d:1121	tail@0x9eac9:25112	+0x4:25112
exact	+0x4	VVCC	b2=0xe8,b3=0x01	+0x2/2,+0x0/2	0x170,0x23,0xa	dyn/8	0	0	21817	2	184@0x9d694:12094,287@0xb45d2:9723	3.347	28@0x7e390:1935,340@0xbf435:1208,337@0xbec0e:993,66@0x855ff:931,18@0x7be9b:885,114@0x90319:813	tail@0x9d961:12094,tail@0xb497e:9723	+0x4:21817
exact	+0x3	VVE	-	+0x2/1,+0x0/2	0x23,0x170,0x194,0xa	dyn/8	0	0	21620	1	185@0x9d964:21620	2.576	337@0xbec0e:1336,64@0x85059:1324,347@0xc088d:1270,174@0x9bd8f:1182,258@0xadf2c:1100,168@0x9aa83:964	tail@0x9dcab:21620	+0x3:21620
exact	+0x4	VVVV	-	+0x2/2,+0x0/2	0x23,0x170,0x81,0xa	dyn/8	0	0	16136	1	43@0x8173d:16138	2.573	347@0xc088d:1058,287@0xb45d2:806,337@0xbec0e:770,26@0x7dbbb:765,189@0x9e7af:762,297@0xb64d7:745	tail@0x81b7c:16136	+0x4:16136
exact	+0x4	VVVE	-	+0x2/2,+0x0/2	0x23,0x170,0x81,0xa	dyn/8	0	0	14693	1	157@0x98a9a:14693	2.581	18@0x7be9b:993,199@0xa0631:922,66@0x855ff:885,340@0xbf435:831,64@0x85059:828,185@0x9d964:813	tail@0x99026:14693	+0x4:14693
exact	+0x4	VVVV	-	+0x0/2,+0x2/2	0x23,0x170,0x81,0xa	dyn/8	0	0	14368	1	168@0x9aa83:14368	2.580	340@0xbf435:964,258@0xadf2c:861,337@0xbec0e:839,305@0xb78b0:795,189@0x9e7af:776,26@0x7dbbb:749	tail@0x9af16:14368	+0x4:14368
exact	+0x4	VVVE	-	+0x2/2,+0x0/2	0x170,0x23,0x81,0xa	dyn/8	0	0	12194	1	333@0xbd8af:12194	2.580	305@0xb78b0:766,114@0x90319:750,199@0xa0631:703,243@0xaab6a:667,64@0x85059:626,18@0x7be9b:613	tail@0xbdd16:12194	+0x4:12194
exact	+0x4	VVVV	-	+0x2/2,+0x0/2	0x170,0x23,0x81,0xa	dyn/8	0	0	11906	6	203@0xa1484:9820,90@0x8b334:567,281@0xb2db6:555,317@0xba1e2:537,92@0x8b8cb:307,62@0x84aa3:120	3.883	258@0xadf2c:699,297@0xb64d7:584,64@0x85059:479,315@0xb9451:473,189@0x9e7af:461,66@0x855ff:445	tail@0xa1936:9820,tail@0x8b6db:567,tail@0xb3125:555,tail@0xba680:537,tail@0x8bcec:307,tail@0x84e1b:120	+0x4:11906
exact	+0x4	VVCC	b2=0xe8,b3=0x01	+0x2/2,+0x0/2	0x170,0xa	dyn/8	0	0	11742	1	174@0x9bd8f:11742	2.568	28@0x7e390:1083,258@0xadf2c:1081,114@0x90319:941,347@0xc088d:812,337@0xbec0e:757,185@0x9d964:748	tail@0x9c08c:11742	+0x4:11742
exact	+0x4	VVVV	-	+0x0/2,+0x2/2	0x170,0x23,0x60,0xa	dyn/8	0	0	11637	5	300@0xb6c36:3190,350@0xc1926:2414,121@0x91379:2198,254@0xad32c:1988,322@0xbb3c9:1847	3.905	183@0x9d495:965,91@0x8b6de:838,258@0xadf2c:774,180@0x9cf32:673,337@0xbec0e:396,66@0x855ff:387	tail@0xb708a:3190,tail@0xc1d46:2414,tail@0x9170b:2198,tail@0xad766:1988,tail@0xbb6e3:1847	+0x4:11637
exact	+0x4	CCVV	b0=0xe8,b1=0x01	+0x0/2,+0x2/2	0x23,0x170,0xa	dyn/8	0	0	9247	1	33@0x7f7c4:9248	2.541	258@0xadf2c:873,307@0xb8064:735,157@0x98a9a:700,114@0x90319:514,167@0x9a8d2:489,64@0x85059:438	tail@0x7fba1:9247	+0x4:9247
exact	+0x2	VE	-	+0x0/2	0x170,0x23,0xf3,0xa	dyn/8	0	0	6230	3	171@0x9b4b3:2533,354@0xc2241:1872,165@0x9a24c:1826	3.820	268@0xb0007:413,333@0xbd8af:406,340@0xbf435:393,114@0x90319:356,196@0x9fbcd:352,337@0xbec0e:328	tail@0x9b687:2533,tail@0xc240d:1872,tail@0x9a46b:1825	+0x2:6230
exact	+0x6	VVVVVV	-	+0x0/4,+0x4/2	0x170,0x23,0x60,0xa	dyn/8	0	0	5826	3	239@0xa991e:2519,124@0x91e81:1796,200@0xa0a9e:1511	3.519	297@0xb64d7:483,320@0xbada5:443,37@0x80685:324,43@0x8173d:294,333@0xbd8af:243,28@0x7e390:228	tail@0xa9cf4:2519,tail@0x922c1:1796,tail@0xa0dc7:1511	+0x6:5826
exact	+0x4	VVVV	-	+0x2/2,+0x0/2	0x23,0x170,0x60,0xa	dyn/8	0	0	4799	2	30@0x7e849:2590,154@0x97ce6:2209	3.126	91@0x8b6de:655,183@0x9d495:397,203@0xa1484:350,185@0x9d964:341,180@0x9cf32:275,192@0x9f00a:256	tail@0x7ecd0:2590,tail@0x980a9:2209	+0x4:4799
exact	+0x4	VVVV	-	+0x2/2,+0x0/2	0x170,0x23,0x60,0xa	dyn/8	0	0	4760	2	260@0xae90b:2645,273@0xb11ca:2115	3.152	180@0x9cf32:527,183@0x9d495:516,189@0x9e7af:271,199@0xa0631:258,340@0xbf435:257,91@0x8b6de:204	tail@0xaeda0:2645,tail@0xb1545:2115	+0x4:4760
exact	+0x2	VV	-	+0x0/2	0x23,0x170,0xa	dyn/8	0	0	4424	1	352@0xc1ec4:4424	2.564	258@0xadf2c:408,307@0xb8064:319,196@0x9fbcd:305,340@0xbf435:288,292@0xb540f:263,172@0x9b68a:240	tail@0xc21c0:4424	+0x2:4424
exact	+0x5	CCCVV	b0=0x00,b1=0x3d,b2=0x01	+0x0/1,+0x1/2,+0x3/2	0x23,0x170,0x71,0x60,0x0,0xa	dyn/8	0	0	4380	1	301@0xb708d:4380	2.516	160@0x994cf:954,198@0xa037e:729,173@0x9ba74:669,352@0xc1ec4:627,256@0xad849:458,144@0x95887:350	tail@0xb7583:4380	+0x5:4380
exact	+0x5	CVVCC	b0=0x00,b3=0x3d,b4=0x01	+0x0/1,+0x3/2,+0x1/2	0x170,0x23,0x71,0x0,0x60,0xa	dyn/8	0	0	4132	1	49@0x82820:4132	2.520	144@0x95887:1018,352@0xc1ec4:600,257@0xadbfd:590,198@0xa037e:521,160@0x994cf:514,173@0x9ba74:413	tail@0x82e73:4132	+0x5:4132
exact	+0x6	VVVVVV	-	+0x2/4,+0x0/2	0x23,0x170,0x60,0xa	dyn/8	0	0	4073	2	140@0x94e5a:2190,345@0xc02e4:1883	3.194	52@0x833c7:345,196@0x9fbcd:333,189@0x9e7af:328,64@0x85059:260,37@0x80685:230,185@0x9d964:208	tail@0x951c0:2190,tail@0xc0532:1883	+0x6:4073
exact	+0x5	VVVCC	b3=0x3d,b4=0x01	+0x2/1,+0x3/2,+0x0/2	0x23,0x170,0x71,0x60,0x0,0xa	dyn/8	0	0	3664	2	37@0x80685:2035,70@0x8610e:1629	2.723	108@0x8f24b:736,160@0x994cf:602,256@0xad849:554,144@0x95887:491,257@0xadbfd:427,352@0xc1ec4:301	tail@0x80d77:2035,tail@0x86763:1629	+0x5:3664
exact	+0x5	VVCCC	b2=0x3d,b3=0x01,b4=0x00	+0x4/1,+0x2/2,+0x0/2	0x170,0x71,0x60,0x23,0x0,0xa	dyn/8	0	0	3633	1	79@0x885b0:3633	2.489	257@0xadbfd:865,198@0xa037e:745,160@0x994cf:451,108@0x8f24b:397,144@0x95887:373,256@0xad849:350	tail@0x88a55:3633	+0x5:3633
exact	+0x5	CCCVV	b0=0x00,b1=0x3d,b2=0x01	+0x0/1,+0x1/2,+0x3/2	0x170,0x23,0x71,0x0,0x60,0xa	dyn/8	0	0	3576	1	220@0xa522e:3576	2.531	144@0x95887:813,108@0x8f24b:555,173@0x9ba74:520,198@0xa037e:485,352@0xc1ec4:405,256@0xad849:351	tail@0xa5886:3576	+0x5:3576
exact	+0x5	VVCCC	b2=0x00,b3=0x3d,b4=0x01	+0x2/1,+0x3/2,+0x0/2	0x170,0x71,0x0,0x60,0x23,0xa	dyn/8	0	0	3434	1	3@0x78c77:3434	2.565	160@0x994cf:635,256@0xad849:510,257@0xadbfd:503,144@0x95887:485,352@0xc1ec4:418,173@0x9ba74:377	tail@0x792f5:3434	+0x5:3434
exact	+0x6	CCCCVV	b0=0xe8,b1=0x01,b2=0x3d,b3=0x01	+0x2/2,+0x0/2,+0x4/2	0x23,0x170,0xa	dyn/8	0	0	3431	2	167@0x9a8d2:2509,119@0x90ebc:922	2.505	351@0xc1d48:1262,283@0xb3612:790,295@0xb60e0:457,28@0x7e390:190,64@0x85059:187,340@0xbf435:107	tail@0x9aa81:2509,tail@0x91067:922	+0x6:3431
exact	+0x4	VVVV	-	+0x0/2,+0x2/2	0x23,0x170,0x60,0xa	dyn/8	0	0	3292	1	332@0xbd36d:3292	2.585	347@0xc088d:268,114@0x90319:257,90@0x8b334:256,99@0x8c99a:256,319@0xba72f:256,258@0xadf2c:249	tail@0xbd8ad:3292	+0x4:3292
exact	+0x5	CCCVV	b0=0x00,b1=0x3d,b2=0x01	+0x0/1,+0x1/2,+0x3/2	0x170,0x23,0x71,0x60,0x0,0xa	dyn/8	0	0	2612	1	269@0xb045b:2612	2.549	108@0x8f24b:571,352@0xc1ec4:384,256@0xad849:368,160@0x994cf:364,173@0x9ba74:364,257@0xadbfd:274	tail@0xb092e:2612	+0x5:2612
exact	+0x5	VVCCC	b2=0x00,b3=0x3d,b4=0x01	+0x2/1,+0x3/2,+0x0/2	0x170,0x71,0x23,0x0,0x60,0xa	dyn/8	0	0	2508	1	83@0x8947b:2508	2.531	173@0x9ba74:548,108@0x8f24b:441,160@0x994cf:336,257@0xadbfd:286,352@0xc1ec4:284,144@0x95887:271	tail@0x89839:2508	+0x5:2508
exact	+0x5	VVCCV	b2=0x3d,b3=0x01	+0x4/1,+0x2/2,+0x0/2	0x23,0x170,0x71,0x60,0x0,0xa	dyn/8	0	0	2372	2	192@0x9f00a:2339,74@0x86d43:33	2.570	198@0xa037e:513,257@0xadbfd:419,108@0x8f24b:392,256@0xad849:324,144@0x95887:321,173@0x9ba74:185	tail@0x9f779:2339,tail@0x873fa:33	+0x5:2372
exact	+0x5	VCCVV	b1=0x3d,b2=0x01	+0x0/1,+0x1/2,+0x3/2	0x170,0x71,0x0,0x60,0xa	dyn/8	0	0	2080	1	320@0xbada5:2080	2.551	173@0x9ba74:379,198@0xa037e:371,256@0xad849:314,160@0x994cf:243,257@0xadbfd:234,352@0xc1ec4:226	tail@0xbb1db:2080	+0x5:2080
exact	+0x6	VVVVVV	-	+0x2/4,+0x0/2	0x170,0x23,0x60,0xa	dyn/8	0	0	1984	1	253@0xacfb1:1984	2.542	297@0xb64d7:269,199@0xa0631:208,337@0xbec0e:194,28@0x7e390:173,17@0x7bae9:151,340@0xbf435:125	tail@0xad329:1984	+0x6:1984
exact	+0x5	CCVVV	b0=0x3d,b1=0x01	+0x4/1,+0x0/2,+0x2/2	0x23,0x170,0x71,0x0,0x60,0xa	dyn/8	0	0	1850	1	319@0xba72f:1850	2.439	173@0x9ba74:559,257@0xadbfd:324,144@0x95887:250,108@0x8f24b:207,198@0xa037e:186,160@0x994cf:161	tail@0xbada2:1850	+0x5:1850
exact	+0x5	CCVVC	b0=0xe8,b1=0x01,b4=0x10	+0x0/2,+0x4/1,+0x2/2	0x170,0xa	dyn/8	0	0	1844	1	351@0xc1d48:1844	2.507	297@0xb64d7:256,258@0xadf2c:188,189@0x9e7af:185,172@0x9b68a:182,28@0x7e390:102,254@0xad32c:98	tail@0xc1ec2:1844	+0x5:1844
exact	+0x4	EECC	b2=0xe8,b3=0x01	+0x2/2,+0x0/2	0x170,0x23,0xa	dyn/8	0	0	1796	1	169@0x9af18:1796	1.531	171@0x9b4b3:756,354@0xc2241:658,165@0x9a24c:382	tail@0x9b0c5:1796	+0x4:1796
exact	+0x6	VVCCCC	b2=0x3d,b3=0x01,b4=0xe8,b5=0x01	+0x4/2,+0x2/2,+0x0/2	0x170,0xa	dyn/8	0	0	1753	1	338@0xbf128:1753	1.579	283@0xb3612:648,351@0xc1d48:582,295@0xb60e0:523	tail@0xbf2d3:1753	+0x6:1753
exact	+0x4	CCEE	b0=0xe8,b1=0x01	+0x0/2,+0x2/2	0x23,0xa	dyn/8	0	0	1614	1	310@0xb8556:1614	1.549	165@0x9a24c:666,354@0xc2241:566,171@0x9b4b3:382	tail@0xb86f5:1614	+0x4:1614
exact	+0x5	VVVCC	b3=0x3d,b4=0x01	+0x0/1,+0x3/2,+0x1/2	0x170,0x23,0x71,0x60,0x0,0xa	dyn/8	0	0	1537	1	237@0xa8e1f:1537	2.369	352@0xc1ec4:472,108@0x8f24b:350,144@0x95887:218,160@0x994cf:173,256@0xad849:150,257@0xadbfd:77	tail@0xa94a3:1537	+0x5:1537
exact	+0x5	CCCVV	b0=0x10,b1=0xe8,b2=0x01	+0x0/1,+0x1/2,+0x3/2	0xa	dyn/8	0	0	1438	1	283@0xb3612:1438	2.533	333@0xbd8af:186,215@0xa4609:185,168@0x9aa83:184,258@0xadf2c:168,185@0x9d964:98,307@0xb8064:97	tail@0xb3799:1438	+0x5:1438
exact	+0x6	CCCCVV	b0=0x3d,b1=0x01,b2=0xe8,b3=0x01	+0x0/2,+0x2/2,+0x4/2	0x170,0xa	dyn/8	0	0	1407	1	181@0x9d13f:1407	2.478	215@0xa4609:256,189@0x9e7af:189,297@0xb64d7:120,337@0xbec0e:108,347@0xc088d:100,340@0xbf435:98	tail@0x9d24a:1407	+0x6:1407
exact	+0x5	EVVVV	-	+0x3/2,+0x0/1,+0x1/2	0x170,0x23,0x60,0xa	dyn/8	0	0	1315	2	179@0x9ca8d:737,146@0x96407:578	3.308	258@0xadf2c:186,99@0x8c99a:131,337@0xbec0e:117,268@0xb0007:106,43@0x8173d:103,172@0x9b68a:98	tail@0x9cf2f:737,tail@0x96915:578	+0x5:1315
exact	+0x5	EVVVV	-	+0x1/2,+0x0/1,+0x3/2	0x170,0x23,0x60,0xa	dyn/8	0	0	1158	1	128@0x9299b:1158	2.193	268@0xb0007:282,215@0xa4609:268,64@0x85059:262,3@0x78c77:71,196@0x9fbcd:45,347@0xc088d:32	tail@0x92f1f:1158	+0x5:1158
exact	+0x5	VVVCC	b3=0x3d,b4=0x01	+0x2/1,+0x3/2,+0x0/2	0x71,0x0,0x60,0x170,0xa	dyn/8	0	0	1103	1	52@0x833c7:1103	2.287	316@0xb987b:335,75@0x873fc:297,145@0x95b5c:156,196@0x9fbcd:91,64@0x85059:67,334@0xbdd18:63	tail@0x8371b:1103	+0x5:1103
exact	+0x6	CCVECC	b0=0xe8,b1=0x01,b4=0x3d,b5=0x01	+0x4/2,+0x0/2,+0x2/2	0x170,0xa	dyn/8	0	0	1074	1	261@0xaeda2:1074	2.509	114@0x90319:215,297@0xb64d7:189,347@0xc088d:184,18@0x7be9b:110,337@0xbec0e:101,215@0xa4609:95	tail@0xaeeff:1074	+0x6:1074
exact	+0x5	CCVVC	b0=0xe8,b1=0x01,b4=0x10	+0x4/1,+0x0/2,+0x2/2	0x170,0xa	dyn/8	0	0	980	1	295@0xb60e0:980	2.497	258@0xadf2c:218,28@0x7e390:184,66@0x855ff:183,64@0x85059:100,43@0x8173d:97,157@0x98a9a:92	tail@0xb625a:980	+0x5:980
exact	+0x5	VVVVE	-	+0x0/2,+0x4/1,+0x2/2	0x23,0x170,0x16f,0x0,0xa	dyn/8	0	0	940	2	105@0x8e6b4:671,282@0xb3128:269	2.769	350@0xc1926:256,28@0x7e390:129,291@0xb4edd:72,280@0xb2661:64,140@0x94e5a:45,92@0x8b8cb:32	tail@0x8eb77:671,tail@0xb360f:269	+0x5:940
exact	+0x6	CCCCVV	b0=0xe8,b1=0x01,b2=0x3d,b3=0x01	+0x0/2,+0x2/2,+0x4/2	0x23,0x170,0xa	dyn/8	0	0	928	1	40@0x8115d:928	2.585	66@0x855ff:102,64@0x85059:102,340@0xbf435:100,215@0xa4609:99,297@0xb64d7:97,199@0xa0631:97	tail@0x8129b:928	+0x6:928
exact	+0x5	EVVVV	-	+0x1/2,+0x0/1,+0x3/2	0x23,0x170,0x60,0xa	dyn/8	0	0	802	1	208@0xa2361:802	2.396	307@0xb8064:225,114@0x90319:91,79@0x885b0:75,49@0x82820:74,340@0xbf435:66,297@0xb64d7:66	tail@0xa2933:802	+0x5:802
exact	+0x5	VVEVV	-	+0x0/2,+0x2/1,+0x3/2	0x23,0x170,0x16f,0x0,0xa	dyn/8	0	0	758	1	17@0x7bae9:758	2.130	300@0xb6c36:256,122@0x9170d:150,28@0x7e390:132,18@0x7be9b:31,92@0x8b8cb:31,200@0xa0a9e:30	tail@0x7be98:758	+0x5:758
exact	+0xa	VVECCCVVEC	b3=0x00,b4=0x80,b5=0x00,b9=0x00	+0x6/4,+0x4/2,+0x0/4,+0x0/1,+0x3/2,+0x1/2	0x71,0x1dc,0x170,0x60,0x0,0xa	dyn/8	0	1	742	1	216@0xa4a61:779	0.821	310@0xb8556:552,169@0x9af18:190	dispatch@0xcdac7:735,dispatch@0xc80b9:7	+0xa:742
exact	+0xa	VVECCCVVEC	b3=0x00,b4=0x80,b5=0x00,b9=0x00	+0x3/2,+0x6/4,+0x4/2,+0x0/4,+0x2/1,+0x0/2	0x71,0x1dc,0x60,0x170,0x0,0xa	dyn/8	0	1	741	1	356@0xc291a:801	1.000	310@0xb8556:373,169@0x9af18:368	dispatch@0xcdac7:733,dispatch@0xc80b9:8	+0xa:741
exact	+0x5	CVVCC	b0=0x00,b3=0x3d,b4=0x01	+0x0/1,+0x3/2,+0x1/2	0x71,0x0,0x60,0x170,0xa	dyn/8	0	0	695	1	99@0x8c99a:695	1.599	198@0xa037e:387,108@0x8f24b:153,173@0x9ba74:132,160@0x994cf:8,256@0xad849:7,144@0x95887:5	tail@0x8cc7f:695	+0x5:695
exact	+0x5	EVVVV	-	+0x1/2,+0x0/1,+0x3/2	0x170,0x23,0x16f,0x0,0xa	dyn/8	0	0	651	1	292@0xb540f:651	2.032	185@0x9d964:259,350@0xc1926:64,307@0xb8064:64,317@0xba1e2:34,90@0x8b334:34,199@0xa0631:28	tail@0xb593d:651	+0x5:651
exact	+0xa	VVECCCVVEC	b3=0x00,b4=0x80,b5=0x00,b9=0x00	+0x4/2,+0x6/4,+0x0/4,+0x6/2,+0x2/2,+0x0/2	0x1dc,0x170,0xa	dyn/8	0	1	562	1	95@0x8c41c:630	0.919	169@0x9af18:374,310@0xb8556:188	dispatch@0xcdac7:548,dispatch@0xc80b9:14	+0xa:562
exact	+0xa	VVECCCVVEC	b3=0x00,b4=0x80,b5=0x00,b9=0x00	+0x6/4,+0x4/2,+0x0/4,+0x4/1,+0x0/2,+0x2/2	0x71,0x170,0x1dc,0x0,0xa	dyn/8	0	1	553	1	278@0xb2342:596	0.919	169@0x9af18:368,310@0xb8556:185	dispatch@0xcdac7:548,dispatch@0xc80b9:5	+0xa:553
exact	+0x5	VVCCV	b2=0x3d,b3=0x01	+0x4/1,+0x2/2,+0x0/2	0x170,0x71,0x60,0x0,0xa	dyn/8	0	0	498	1	122@0x9170d:498	2.307	334@0xbdd18:155,316@0xb987b:112,258@0xadf2c:92,210@0xa2da3:59,145@0x95b5c:40,246@0xab427:14	tail@0x91a57:498	+0x5:498
sampled_backedge	-0x3c4	sampled	-	+0x8/2,+0xa/1,+0x0/2,+0x4/4	0x12,0xa	dyn/8	0	0	447	1	316@0xb987b:573	1.406	165@0x9a24c:258,354@0xc2241:95,171@0x9b4b3:94	tail@0xba0cc:447	-0x3c4:255,+0x2d:182,+0x30:3,+0x288:2,+0x211:2
exact	+0x3	CVV	b0=0x62	+0x0/1,+0x1/2	0x23,0xe1,0x170,0xa	dyn/8	0	0	398	1	118@0x90c23:398	1.420	332@0xbd36d:256,217@0xa4b11:65,322@0xbb3c9:64,172@0x9b68a:3,114@0x90319:3,208@0xa2361:3	tail@0x90eb9:398	+0x3:398
exact	+0x5	EEECC	b3=0x3d,b4=0x01	+0x3/2,+0x2/1,+0x0/2	0x71,0x0,0x170,0xa	dyn/8	0	0	384	1	127@0x926c3:384	1.252	108@0x8f24b:256,144@0x95887:64,257@0xadbfd:64	tail@0x92998:384	+0x5:384
exact	+0xa	VVECCCVVEC	b3=0x00,b4=0x80,b5=0x00,b9=0x00	+0x6/4,+0x4/2,+0x0/4,+0x0/1,+0x1/2,+0x3/2	0x170,0x71,0x23,0x1dc,0x0,0x60,0xa	dyn/8	0	1	382	1	311@0xb86f8:466	1.000	169@0x9af18:192,310@0xb8556:190	dispatch@0xcdac7:367,dispatch@0xc80b9:15	+0xa:382
exact	+0x5	CCEEV	b0=0x3d,b1=0x01	+0x4/1,+0x0/2,+0x2/2	0x170,0x23,0x71,0x0,0x60,0xa	dyn/8	0	0	341	1	201@0xa0dca:341	1.019	173@0x9ba74:257,256@0xad849:72,144@0x95887:4,160@0x994cf:4,198@0xa037e:2,257@0xadbfd:2	tail@0xa13d3:341	+0x5:341
exact	+0x5	VVEVV	-	+0x3/2,+0x2/1,+0x0/2	0x23,0x170,0x16f,0x0,0xa	dyn/8	0	0	316	1	330@0xbc9b8:316	2.083	260@0xae90b:91,18@0x7be9b:68,140@0x94e5a:25,66@0x855ff:13,122@0x9170d:12,291@0xb4edd:10	tail@0xbcfc5:316	+0x5:316
exact	+0xa	VVECCCVVEC	b3=0x00,b4=0x80,b5=0x00,b9=0x00	+0x4/2,+0x6/4,+0x0/4,+0x18/2,+0x1a/2,+0x12/2,+0xa/2,+0x16/2,+0xe/2,+0x14/2,+0xc/2,+0x6/2,+0x0/2,+0x2/2,+0x1e/2,+0x20/2,+0x1c/2,+0x10/2,+0x8/2	0x1dc,0x170,0xa	dyn/8	2	1	291	1	264@0xaf4cf:402	0.928	169@0x9af18:191,310@0xb8556:100	dispatch@0xcdac7:280,dispatch@0xc80b9:11	+0xa:291
exact	+0x5	VVEVV	-	+0x3/2,+0x2/1,+0x0/2	0x170,0x23,0x16f,0x0,0xa	dyn/8	0	0	283	1	48@0x82477:283	2.514	239@0xa991e:31,317@0xba1e2:30,269@0xb045b:26,66@0x855ff:25,281@0xb2db6:18,297@0xb64d7:11	tail@0x8281e:283	+0x5:283
sampled_backedge	-0x6d	sampled	-	+0x8/2,+0xa/1,+0x0/2,+0x4/4	0x12,0xa	dyn/8	0	0	276	1	75@0x873fc:411	0.427	171@0x9b4b3:256,165@0x9a24c:16,354@0xc2241:4	tail@0x87c25:276	-0x6d:255,+0x60:9,+0x30:2,+0x288:2,+0x28b:2
exact	+0x5	CCCCC	b0=0x9e,b1=0xd4,b2=0xa9,b3=0x3d,b4=0x01	+0x3/2,+0x2/1,+0x0/2	0x71,0x0,0x23,0x170,0xa	dyn/8	0	0	256	1	107@0x8eef4:256	0.000	160@0x994cf:256	tail@0x8f248:256	+0x5:256
exact	+0x5	VVVVE	-	+0x0/2,+0x4/1,+0x2/2	0x170,0x23,0x60,0xa	dyn/8	0	0	254	1	222@0xa5f3c:254	2.168	220@0xa522e:67,301@0xb708d:20,268@0xb0007:14,49@0x82820:13,28@0x7e390:12,43@0x8173d:11	tail@0xa646d:254	+0x5:254
sampled_backedge	-0x40	sampled	-	+0x0/2,+0x4/4	0xa	dyn/8	0	0	231	2	117@0x90acd:122,302@0xb7586:109	1.583	165@0x9a24c:83,354@0xc2241:75,171@0x9b4b3:73	tail@0x90c21:122,tail@0xb7699:109	-0x40:144,+0x22:25,-0x2ce:13,-0xbc1:9,-0x55d:9,-0x584:6
exact	+0x5	CCVVV	b0=0x3d,b1=0x01	+0x0/2,+0x2/1,+0x3/2	0x71,0x0,0x60,0x170,0xa	dyn/8	0	0	224	1	190@0x9eacb:224	1.077	352@0xc1ec4:134,257@0xadbfd:86,144@0x95887:4	tail@0x9ede7:224	+0x5:224
exact	+0x5	CVVCC	b0=0x00,b3=0x3d,b4=0x01	+0x0/1,+0x3/2,+0x1/2	0x71,0x170,0x60,0x0,0xa	dyn/8	0	0	215	1	217@0xa4b11:215	1.860	198@0xa037e:70,352@0xc1ec4:66,144@0x95887:66,108@0x8f24b:7,173@0x9ba74:3,160@0x994cf:1	tail@0xa4df4:215	+0x5:215
sampled_backedge	-0x2e8	sampled	-	+0x0/2,+0x4/4	0xa	dyn/8	0	0	200	1	266@0xaf8af:200	1.085	354@0xc2241:135,171@0x9b4b3:57,165@0x9a24c:8	tail@0xafa1d:200	-0x2e8:125,-0x40:52,-0x55d:7,-0x78e:4,-0x2ce:4
exact	+0x5	CCVVV	b0=0x3d,b1=0x01	+0x2/1,+0x0/2,+0x3/2	0x71,0x60,0x0,0x170,0xa	dyn/8	0	0	181	1	242@0xaa87d:181	1.832	75@0x873fc:92,246@0xab427:38,145@0x95b5c:33,199@0xa0631:9,334@0xbdd18:4,210@0xa2da3:2	tail@0xaab67:181	+0x5:181
exact	+0x3	EEE	-	+0x2/1,+0x0/2	0x170,0xe1,0x23,0xa	dyn/8	0	0	157	1	331@0xbcfc8:157	0.929	340@0xbf435:125,196@0x9fbcd:25,99@0x8c99a:3,222@0xa5f3c:1,168@0x9aa83:1,333@0xbd8af:1	tail@0xbd36a:157	+0x3:157
exact	+0x5	VVVCC	b3=0x3d,b4=0x01	+0x0/1,+0x3/2,+0x1/2	0x170,0x71,0x60,0x0,0xa	dyn/8	0	0	149	1	88@0x8aa14:149	1.623	352@0xc1ec4:65,257@0xadbfd:64,173@0x9ba74:11,256@0xad849:6,108@0x8f24b:3	tail@0x8b026:149	+0x5:149
exact	+0x5	CCVVV	b0=0x3d,b1=0x01	+0x0/2,+0x2/1,+0x3/2	0x71,0x0,0x170,0x60,0xa	dyn/8	0	0	144	1	148@0x96b6e:144	1.988	160@0x994cf:74,144@0x95887:25,352@0xc1ec4:23,173@0x9ba74:12,257@0xadbfd:6,108@0x8f24b:4	tail@0x96eb1:144	+0x5:144
exact	+0x3	VVC	b2=0x62	+0x2/1,+0x0/2	0x23,0x170,0xe1,0xa	dyn/8	0	0	142	1	82@0x8920e:142	1.396	99@0x8c99a:67,333@0xbd8af:65,217@0xa4b11:4,307@0xb8064:2,168@0x9aa83:2,157@0x98a9a:1	tail@0x89478:142	+0x3:142
sampled_long_or_sparse	+0x139	sampled	-	+0x8/2,+0xa/1,+0x0/2,+0x4/4	0x12,0xa	dyn/8	0	0	142	1	145@0x95b5c:259	0.436	354@0xc2241:132,165@0x9a24c:6,171@0x9b4b3:4	tail@0x9634f:142	+0x139:125,+0xbec:4,+0x30:3,+0x60:3,+0x28b:2
exact	+0x3	VVE	-	+0x2/1,+0x0/2	0x170,0x23,0xe1,0xa	dyn/8	0	0	139	1	129@0x92f21:139	1.376	215@0xa4609:64,99@0x8c99a:64,66@0x855ff:3,199@0xa0631:2,217@0xa4b11:2,172@0x9b68a:1	tail@0x931d0:139	+0x3:139
exact	+0x5	VVVCC	b3=0x3d,b4=0x01	+0x2/1,+0x3/2,+0x0/2	0x71,0x60,0x0,0x170,0xa	dyn/8	0	0	129	1	125@0x922c4:129	1.186	316@0xb987b:96,334@0xbdd18:9,246@0xab427:6,18@0x7be9b:4,114@0x90319:3,210@0xa2da3:3	tail@0x92612:129	+0x5:129
