program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
022	0x176883	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	145	
022	0x176ab3	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	125	
022	0x176c95	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	137	
022	0x176ea5	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	155	
022	0x1770f7	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	136	
