program	path	rows	state_reduced_rows	dispatch_reduced_rows	string_ref_rows	unresolved_rows	family_mix
027	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_027.vmpseudo	70	62	59	0	0	obfuscated_table_dispatch:59,operand_table_dispatch:10,fixed_or_affine_dispatch:1
028	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_028.vmpseudo	1317	1226	1191	0	0	obfuscated_table_dispatch:1191,operand_table_dispatch:115,fixed_or_affine_dispatch:11
029	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_029.vmpseudo	436	407	394	0	2	obfuscated_table_dispatch:394,operand_table_dispatch:35,fixed_or_affine_dispatch:5,long_or_backedge_control:2
030	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_030.vmpseudo	740	687	667	0	1	obfuscated_table_dispatch:667,operand_table_dispatch:67,fixed_or_affine_dispatch:5,unresolved_dispatch:1
031	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_031.vmpseudo	315	292	281	1	0	obfuscated_table_dispatch:281,operand_table_dispatch:31,fixed_or_affine_dispatch:3
032	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_032.vmpseudo	2708	2493	2432	0	0	obfuscated_table_dispatch:2432,operand_table_dispatch:245,fixed_or_affine_dispatch:31
033	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_033.vmpseudo	113	103	101	0	1	obfuscated_table_dispatch:101,operand_table_dispatch:7,fixed_or_affine_dispatch:4,long_or_backedge_control:1
034	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_034.vmpseudo	1437	1320	1280	1	1	obfuscated_table_dispatch:1280,operand_table_dispatch:135,fixed_or_affine_dispatch:21,long_or_backedge_control:1
035	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_035.vmpseudo	834	758	740	0	0	obfuscated_table_dispatch:740,operand_table_dispatch:86,fixed_or_affine_dispatch:8
036	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_036.vmpseudo	272	254	249	0	1	obfuscated_table_dispatch:249,operand_table_dispatch:18,fixed_or_affine_dispatch:4,long_or_backedge_control:1
037	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_037.vmpseudo	157	147	144	0	1	obfuscated_table_dispatch:144,operand_table_dispatch:9,fixed_or_affine_dispatch:3,long_or_backedge_control:1
038	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_038.vmpseudo	14	12	11	0	1	obfuscated_table_dispatch:11,fixed_or_affine_dispatch:2,long_or_backedge_control:1
039	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_039.vmpseudo	476	445	433	1	1	obfuscated_table_dispatch:433,operand_table_dispatch:38,fixed_or_affine_dispatch:4,long_or_backedge_control:1
040	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_040.vmpseudo	165	151	144	1	1	obfuscated_table_dispatch:144,operand_table_dispatch:18,fixed_or_affine_dispatch:2,long_or_backedge_control:1
041	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_041.vmpseudo	8444	7743	7517	4	9	obfuscated_table_dispatch:7517,operand_table_dispatch:788,fixed_or_affine_dispatch:130,long_or_backedge_control:8,unresolved_dispatch:1
042	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_042.vmpseudo	3387	3148	3056	2	13	obfuscated_table_dispatch:3056,operand_table_dispatch:280,fixed_or_affine_dispatch:38,long_or_backedge_control:11,unresolved_dispatch:2
043	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_043.vmpseudo	554	510	497	0	2	obfuscated_table_dispatch:497,operand_table_dispatch:49,fixed_or_affine_dispatch:6,long_or_backedge_control:2
044	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_044.vmpseudo	14	11	10	0	1	obfuscated_table_dispatch:10,fixed_or_affine_dispatch:2,operand_table_dispatch:1,long_or_backedge_control:1
045	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_045.vmpseudo	520	476	459	1	0	obfuscated_table_dispatch:459,operand_table_dispatch:55,fixed_or_affine_dispatch:6
046	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_046.vmpseudo	2184	2034	1969	1	5	obfuscated_table_dispatch:1969,operand_table_dispatch:186,fixed_or_affine_dispatch:24,long_or_backedge_control:4,unresolved_dispatch:1
047	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_047.vmpseudo	220	208	197	0	0	obfuscated_table_dispatch:197,operand_table_dispatch:21,fixed_or_affine_dispatch:2
048	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_048.vmpseudo	2333	2144	2077	2	7	obfuscated_table_dispatch:2077,operand_table_dispatch:201,fixed_or_affine_dispatch:48,long_or_backedge_control:6,unresolved_dispatch:1
049	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_049.vmpseudo	222	205	203	0	0	obfuscated_table_dispatch:203,operand_table_dispatch:15,fixed_or_affine_dispatch:4
050	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_050.vmpseudo	2416	2216	2165	0	3	obfuscated_table_dispatch:2165,operand_table_dispatch:223,fixed_or_affine_dispatch:25,long_or_backedge_control:2,unresolved_dispatch:1
051	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_051.vmpseudo	220	203	197	0	0	obfuscated_table_dispatch:197,operand_table_dispatch:21,fixed_or_affine_dispatch:2
052	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_052.vmpseudo	1891	1733	1690	2	2	obfuscated_table_dispatch:1690,operand_table_dispatch:162,fixed_or_affine_dispatch:37,long_or_backedge_control:2
053	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_053.vmpseudo	853	783	756	0	2	obfuscated_table_dispatch:756,operand_table_dispatch:85,fixed_or_affine_dispatch:10,long_or_backedge_control:2
054	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_054.vmpseudo	92	84	78	0	2	obfuscated_table_dispatch:78,operand_table_dispatch:9,fixed_or_affine_dispatch:3,long_or_backedge_control:2
055	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_055.vmpseudo	6540	6035	5886	11	29	obfuscated_table_dispatch:5886,operand_table_dispatch:513,fixed_or_affine_dispatch:112,long_or_backedge_control:24,unresolved_dispatch:5
056	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_056.vmpseudo	5215	4814	4689	0	14	obfuscated_table_dispatch:4689,operand_table_dispatch:423,fixed_or_affine_dispatch:89,long_or_backedge_control:10,unresolved_dispatch:4
057	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_057.vmpseudo	14	10	9	0	1	obfuscated_table_dispatch:9,fixed_or_affine_dispatch:2,operand_table_dispatch:2,long_or_backedge_control:1
058	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_058.vmpseudo	70	65	64	0	0	obfuscated_table_dispatch:64,operand_table_dispatch:5,fixed_or_affine_dispatch:1
059	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_059.vmpseudo	2468	2286	2219	3	9	obfuscated_table_dispatch:2219,operand_table_dispatch:205,fixed_or_affine_dispatch:35,long_or_backedge_control:7,unresolved_dispatch:2
060	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_060.vmpseudo	387	360	350	0	2	obfuscated_table_dispatch:350,operand_table_dispatch:30,fixed_or_affine_dispatch:5,long_or_backedge_control:2
061	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_061.vmpseudo	2335	2174	2095	1	7	obfuscated_table_dispatch:2095,operand_table_dispatch:210,fixed_or_affine_dispatch:23,long_or_backedge_control:5,unresolved_dispatch:2
062	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_062.vmpseudo	387	349	339	1	2	obfuscated_table_dispatch:339,operand_table_dispatch:38,fixed_or_affine_dispatch:8,long_or_backedge_control:2
063	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_063.vmpseudo	2661	2453	2387	3	12	obfuscated_table_dispatch:2387,operand_table_dispatch:225,fixed_or_affine_dispatch:37,long_or_backedge_control:11,unresolved_dispatch:1
064	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_064.vmpseudo	35	30	28	0	2	obfuscated_table_dispatch:28,fixed_or_affine_dispatch:3,operand_table_dispatch:2,long_or_backedge_control:2
065	dumps/vmtail-wide-1m-w16/vm_programs_state_reduced_readable_ops/vm_program_atlas_065.vmpseudo	529	476	461	0	2	obfuscated_table_dispatch:461,operand_table_dispatch:58,fixed_or_affine_dispatch:8,unresolved_dispatch:1,long_or_backedge_control:1
