program	case_state	capture_status	case_start_site	case_start_source_entry	case_start_target_entry	case_start_bytes	predecessor_start_vm_ip	predecessor_end_vm_ip	predecessor_site	predecessor_source_entry	focus_ips	focus_sites	stop_after_matches	focus_env	capture_goal
013	0x11ef65	needs_stateful_capture	0x9b687	171	258	0201	0x11eeee	0x11ef65	0xa35dd	210	0x11eeee,0x11ef65	0xa35dd,0x9b687	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x11eeee,0x11ef65 EAC_VMTAIL_FOCUS_SITES=0xa35dd,0x9b687 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x11ef65 with vm_state/vm_flags/vm_byte populated
013	0x11f1c5	needs_stateful_capture	0xc240d	354	215	d700	0x11f1b9	0x11f1c5	adjacent_unhooked_span	5	0x11f1b9,0x11f1c5	0xc240d	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x11f1b9,0x11f1c5 EAC_VMTAIL_FOCUS_SITES=0xc240d EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x11f1c5 with vm_state/vm_flags/vm_byte populated
013	0x11f3a9	needs_stateful_capture	0xc240d	354	196	c400	0x11f39b	0x11f3a9	adjacent_unhooked_span	356	0x11f39b,0x11f3a9	0xc240d	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x11f39b,0x11f3a9 EAC_VMTAIL_FOCUS_SITES=0xc240d EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x11f3a9 with vm_state/vm_flags/vm_byte populated
