rank	kind	key	priority	events	unique_start_ips	unique_end_ips	sources	targets	deltas	statuses	sites	nearest_recovered	sample_starts	sample_ends	detail
19	decoded_long_branch_source	266	3000	200	0	0	266:200	354@0xc2241:135,171@0x9b4b3:57,165@0x9a24c:8	-0x2e8:125,-0x40:52,-0x55d:7,-0x78e:4,-0x2ce:4	decoded_long_branch:200	tail@0xafa1d:200				source_target=0xaf8af;unique_vm_ips=16;top_targets=354@0xc2241:135,171@0x9b4b3:57,165@0x9a24c:8;top_deltas=-0x2e8:125,-0x40:52,-0x55d:7,-0x78e:4,-0x2ce:4;long_branch_events=200;long_branch_variants=13;long_branch_operand_lens=0x8:200;long_branch_operand_shapes=200=target_u32@+0,delta_u32@+4;long_branch_top_ir=125=next = table[354], ip -= 0x2e8,52=next = table[171], ip -= 0x40,4=next = table[165], ip -= 0x55d,4=next = table[354], ip -= 0x78e,3=next = table[171], ip -= 0x55d
20	uncovered_source_start	0x31297d	2730	91	1	1	316:91	354:91	+0x2d:91	prefix_32_of_45:91	tail@0xba0cc:91	prev=218@0x310dca-0x31297d+0x0;next=219@0x3129aa-0x3157e1-0x2d	0x31297d	0x3129aa	instruction source VM IP is not in an exact recovered segment
21	uncovered_source_start	0x3157e1	2730	91	1	1	316:91	171:91	+0x2d:91	prefix_32_of_45:91	tail@0xba0cc:91	prev=219@0x3129aa-0x3157e1+0x0;next=220@0x31580e-0x315cc0-0x2d	0x3157e1	0x31580e	instruction source VM IP is not in an exact recovered segment
22	uncovered_source_start	0x315cc0	2730	91	1	1	308:91	171:91	-0x51a4:91	backedge_sample:91	tail@0xb84a4:91	prev=220@0x31580e-0x315cc0+0x0;next=221@0x315cc8-0x316672-0x8	0x315cc0	0x310b1c	instruction source VM IP is not in an exact recovered segment
23	uncovered_exact_destination	0x370768	2500	25	1	1	198:25	302:25	+0x2:25	exact:25	tail@0xa062e:25	prev=429@0x370756-0x370768+0x0;next=430@0x370770-0x3707a0-0x8	0x370766	0x370768	exact positive instruction exits recovered bytecode coverage
24	uncovered_exact_destination	0x37174c	2500	25	1	1	242:25	246:25	+0x5:25	exact:25	tail@0xaab67:25	prev=438@0x37171c-0x37174c+0x0;next=439@0x3717c4-0x3718ff-0x78	0x371747	0x37174c	exact positive instruction exits recovered bytecode coverage
25	uncovered_exact_destination	0x371a43	2500	25	1	1	144:25	308:25	+0x2:25	exact:25	tail@0x95b59:25	prev=441@0x371a30-0x371a43+0x0;next=442@0x371a63-0x371b85-0x20	0x371a41	0x371a43	exact positive instruction exits recovered bytecode coverage
26	hidden_transition_destination	0x310dba	2300	92	1	1	242:92	75:92	+0x5:92	exact:92	tail@0xaab67:92	prev=217@0x30fd95-0x310dba+0x0;next=218@0x310dca-0x31297d-0x10	0x310db5	0x310dba	exact positive instruction enters adjacent hidden span; hidden=75->260:+0x10:events=93:obs=sampled_backedge:93
27	uncovered_exact_destination	0x36ef3e	2200	22	1	1	108:22	302:22	+0x2:22	exact:22	tail@0x8f6cf:22	prev=416@0x36ef2c-0x36ef3e+0x0;next=417@0x36ef46-0x36f427-0x8	0x36ef3c	0x36ef3e	exact positive instruction exits recovered bytecode coverage
28	decoded_long_branch_source	145	2130	142	0	0	145:142	354@0xc2241:132,165@0x9a24c:6,171@0x9b4b3:4	+0x139:125,+0xbec:4,+0x30:3,+0x60:3,+0x28b:2	decoded_long_branch:142	tail@0x9634f:142				source_target=0x95b5c;unique_vm_ips=13;top_targets=354@0xc2241:132,165@0x9a24c:6,171@0x9b4b3:4;top_deltas=+0x139:125,+0xbec:4,+0x30:3,+0x60:3,+0x28b:2;long_branch_events=142;long_branch_variants=11;long_branch_operand_lens=0xb:142;long_branch_operand_shapes=142=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;long_branch_top_ir=125=next = table[354], ip += 0x139,4=next = table[165], ip += 0xbec,3=next = table[354], ip += 0x60,2=next = table[171], ip += 0x77,2=next = table[354], ip += 0x30
