source_entry	source_target	site	instruction_events	target_reg	live_slot_reg	byte_index_reg	static_kind	static_load_site	static_slot_temp	static_index_reg	static_index_add_site	top_targets
216	0xa4a61	0xcdac7	735	*rax	rax	rbx	central_indirect	0xcdac7	rax	rbx	tail_memory_jmp	310:549,169:186
356	0xc291a	0xcdac7	733	*rax	rax	rbx	central_indirect	0xcdac7	rax	rbx	tail_memory_jmp	310:367,169:366
99	0x8c99a	0x8cc7f	695	rax	r9		live_slot		r9			198:387,108:153,173:132,160:8,256:7,144:5,257:2,352:1
105	0x8e6b4	0x8eb77	671	rdx	rdi	r10	live_slot		rdi	r10		350:256,28:129,291:72,140:33,92:32,349:13,220:11,317:9
292	0xb540f	0xb593d	651	rbx			consumed_slot	0xb590a	r14	r9	0xb58f2	185:259,350:64,307:64,317:34,90:34,199:28,140:27,332:16
146	0x96407	0x96915	578	r12	r14	rdx	live_slot		r14	rdx		258:186,172:98,70:64,28:30,199:25,79:21,189:13,43:12
90	0x8b334	0x8b6db	567	r12			consumed_slot	0x8b6a1	r15	r12	0x8b695	49:257,260:64,140:34,220:32,3:25,330:18,200:13,28:12
281	0xb2db6	0xb3125	555	r12		rcx	consumed_slot	0xb30f5	rdx	rcx	0xb30eb	269:257,253:153,322:11,292:9,3:8,105:7,307:7,30:7
278	0xb2342	0xcdac7	549	*rax	rax	rbx	central_indirect	0xcdac7	rax	rbx	tail_memory_jmp	169:366,310:182,323:1
95	0x8c41c	0xcdac7	548	*rax	rax	rbx	central_indirect	0xcdac7	rax	rbx	tail_memory_jmp	169:365,310:183
317	0xba1e2	0xba680	537	r15	rax	rsi	live_slot		rax	rsi		154:139,70:125,28:34,282:32,330:29,52:28,79:25,3:12
349	0xc140b	0xc1923	503	r13			consumed_slot	0xc18eb	rbx	r13	0xc18e1	17:264,105:31,332:26,282:25,28:17,200:15,122:12,3:9
122	0x9170d	0x91a57	498	rdx	rbx	r11	live_slot		rbx	r11		334:155,316:112,258:92,210:59,145:40,246:14,114:12,75:7
291	0xb4edd	0xb540d	479	rdx		r10	consumed_slot	0xb53d1	r9	r10	0xb53bb	79:95,292:77,330:69,18:68,48:25,66:16,345:15,307:11
316	0xb987b	0xba0cc	447	rax			consumed_slot	0xb9fb8	r10	rdi	0xb9fa7	165:258,354:95,171:94
118	0x90c23	0x90eb9	398	r11	r15	r12	live_slot		r15	r12		332:256,217:65,322:64,172:3,208:3,114:3,99:1,189:1
