block	start	end	size	events	unique_start_ips	unique_sources	top_sources	top_targets	top_deltas	byte_statuses
67	0x33170b	0x3334ac	0x1da1	3465	1961	126	18:128,258:115,340:109,347:108,189:105,297:98,28:97,64:93	18:128,258:115,340:109,347:108,189:105,297:98,28:97,64:93	+0x4:1786,+0x3:714,+0x5:413,+0x2:335,+0x6:160,+0x16:17,-0x40:17,+0x11:10	exact:3408,backedge_sample:21,hidden_span_of_22:17,hidden_span_of_17:10,hidden_span_of_14:6,file_span_of_48:1,file_span_of_648:1,hidden_span_of_16:1
68	0x3334ba	0x333bc9	0x70f	454	454	82	64:18,215:18,189:18,114:18,185:18,337:16,199:15,340:15	64:18,215:18,189:18,114:18,185:18,337:16,199:15,340:15	+0x4:284,+0x3:114,+0x5:22,+0x2:20,+0x6:11,+0xe:2,+0x55:1	exact:451,hidden_span_of_14:2,file_span_of_85:1
69	0x334a3d	0x3369f2	0x1fb5	3376	2100	135	64:114,340:91,28:89,18:87,307:86,66:85,337:84,43:83	64:114,340:91,28:89,18:87,307:86,66:85,337:84,43:83	+0x4:1598,+0x3:628,+0x5:511,+0x2:408,+0x6:182,+0x16:14,-0x40:14,+0xa:6	exact:3333,backedge_sample:19,hidden_span_of_22:14,hidden_span_of_16:5,hidden_span_of_17:2,file_span_of_48:1,file_span_of_648:1,file_span_of_651:1
70	0x3369fc	0x33710f	0x713	457	457	87	258:21,114:19,337:16,185:16,297:16,18:16,66:16,28:15	258:21,114:19,337:16,185:16,297:16,18:16,66:16,28:15	+0x4:287,+0x3:114,+0x5:22,+0x2:20,+0x6:11,+0xa:2,+0x55:1	exact:456,file_span_of_85:1
71	0x337e84	0x339faf	0x212b	3710	2193	125	18:125,28:113,340:110,189:108,258:107,64:106,297:102,66:99	18:125,28:113,340:110,189:108,258:107,64:106,297:102,66:99	+0x4:1868,+0x3:742,+0x5:494,+0x2:393,+0x6:192,+0x11:10,+0xe:6,-0x78e:4	exact:3689,hidden_span_of_17:10,hidden_span_of_14:6,backedge_sample:4,prefix_32_of_1867:1
72	0x339fbd	0x33a6cc	0x70f	454	454	82	189:23,337:21,185:20,258:19,114:19,18:18,66:16,297:16	189:23,337:21,185:20,258:19,114:19,18:18,66:16,297:16	+0x4:284,+0x3:114,+0x5:22,+0x2:20,+0x6:11,+0xe:2,+0x55:1	exact:451,hidden_span_of_14:2,file_span_of_85:1
73	0x33b647	0x33d2d9	0x1c92	3379	1892	135	18:112,28:100,337:92,340:88,189:87,258:86,43:85,347:82	18:112,28:100,337:92,340:88,189:87,258:86,43:85,347:82	+0x4:1567,+0x3:619,+0x5:548,+0x2:430,+0x6:199,+0xa:5,+0x11:4,-0x767:4	exact:3369,hidden_span_of_17:4,backedge_sample:4,prefix_32_of_1828:1,hidden_span_of_16:1
74	0x33db28	0x33ea02	0xeda	8230	951	115	337:357,340:351,189:324,258:318,28:291,18:285,297:264,199:261	337:357,340:351,189:324,258:318,28:291,18:285,297:264,199:261	+0x4:5136,+0x3:2052,+0x5:414,+0x2:324,+0x6:219,+0x11:33,+0xe:30,+0x60:9	exact:8145,hidden_span_of_17:33,hidden_span_of_14:30,backedge_sample:10,file_span_of_96:9,prefix_32_of_1938:3
75	0x33f278	0x34556c	0x62f4	11845	6541	159	28:355,189:311,18:300,340:297,66:293,258:275,114:273,337:273	28:355,189:311,18:300,340:297,66:293,258:275,114:273,337:273	+0x4:5403,+0x3:2150,+0x5:1900,+0x2:1521,+0x6:659,+0x16:70,-0x40:70,+0x11:18	exact:11651,backedge_sample:90,hidden_span_of_22:70,hidden_span_of_17:18,file_span_of_48:6,file_span_of_648:4,file_span_of_651:3,hidden_span_of_16:2
76	0x3603af	0x364c68	0x48b9	6604	4847	146	18:211,337:209,66:190,189:180,64:170,340:170,28:167,114:167	18:211,337:209,66:190,189:180,64:170,340:170,28:167,114:167	+0x4:3344,+0x3:1308,+0x5:898,+0x2:706,+0x6:305,+0xa:16,+0x10:6,-0x2ce:6	exact:6579,backedge_sample:10,hidden_span_of_16:6,hidden_span_of_17:4,file_span_of_651:2,file_span_of_529:2,file_span_of_648:1
77	0x364c72	0x364e55	0x1e3	125	125	43	347:9,297:7,337:6,340:6,215:6,307:6,305:5,66:5	347:9,297:7,337:6,340:6,215:6,307:6,305:5,66:5	+0x4:85,+0x3:34,+0x6:2,+0x5:2,+0x2:1,+0x11:1	exact:124,hidden_span_of_17:1
78	0x364e5f	0x365042	0x1e3	125	125	42	340:11,18:11,258:6,66:6,333:5,64:5,297:5,307:4	340:11,18:11,258:6,66:6,333:5,64:5,297:5,307:4	+0x4:86,+0x3:33,+0x6:2,+0x5:2,+0x2:1,+0x10:1	exact:124,hidden_span_of_16:1
79	0x36504c	0x3655e4	0x598	204	204	75	340:9,189:9,66:8,168:8,258:8,18:7,28:7,185:7	340:9,189:9,66:8,168:8,258:8,18:7,28:7,185:7	+0x4:114,+0x3:46,+0x5:17,+0x2:16,+0x6:8,+0x2f:1,+0x21a:1,+0x58:1	exact:201,file_span_of_47:1,file_span_of_538:1,file_span_of_88:1
80	0x3674c3	0x36a0bc	0x2bf9	8565	2869	141	340:283,66:270,114:265,189:235,347:230,297:226,199:220,215:218	340:283,66:270,114:265,189:235,347:230,297:226,199:220,215:218	+0x4:4218,+0x3:1690,+0x5:1170,+0x2:922,+0x6:422,+0x16:39,-0x40:39,+0x11:24	exact:8423,backedge_sample:55,hidden_span_of_22:39,hidden_span_of_17:24,hidden_span_of_14:16,file_span_of_96:3,file_span_of_48:1,file_span_of_648:1
81	0x36b124	0x36db0d	0x29e9	8524	2737	137	18:359,258:297,114:284,189:264,199:264,66:249,337:248,347:247	18:359,258:297,114:284,189:264,199:264,66:249,337:248,347:247	+0x4:4556,+0x3:1830,+0x5:905,+0x2:722,+0x6:358,+0x16:41,-0x40:41,+0x11:33	exact:8372,backedge_sample:55,hidden_span_of_22:41,hidden_span_of_17:33,hidden_span_of_14:16,file_span_of_96:3,file_span_of_48:1,file_span_of_648:1
82	0x36ecdc	0x371ff7	0x331b	51881	3240	140	18:1735,28:1696,340:1552,337:1452,64:1421,66:1399,189:1384,347:1288	18:1735,28:1696,340:1552,337:1452,64:1421,66:1399,189:1384,347:1288	+0x4:25921,+0x3:10465,+0x5:6604,+0x2:5343,+0x6:2727,+0x11:183,+0xe:155,+0x139:125	exact:51060,hidden_span_of_17:183,backedge_sample:180,hidden_span_of_14:155,file_span_of_313:125,hidden_span_of_16:50,hidden_span_of_19:25,file_span_of_34:25
