delta	shape	constant_bytes	events	entries	unique_signatures	top_entries	top_targets	top_sites
+0x5	VVVVE	-	1194	3	264	105@0x8e6b4:671,282@0xb3128:269,222@0xa5f3c:254	350@0xc1926:256,28@0x7e390:144,220@0xa522e:105,291@0xb4edd:75,280@0xb2661:64,140@0x94e5a:45	tail@0x8eb77:671,tail@0xb360f:269,tail@0xa646d:254
+0x6	CCVECC	b0=0xe8,b1=0x01,b4=0x3d,b5=0x01	1074	1	85	261@0xaeda2:1074	114@0x90319:215,297@0xb64d7:189,347@0xc088d:184,18@0x7be9b:110,337@0xbec0e:101,215@0xa4609:95	tail@0xaeeff:1074
+0x5	EEECC	b3=0x3d,b4=0x01	551	4	16	127@0x926c3:384,94@0x8bd69:91,326@0xbc06d:70,357@0xc29cf:6	108@0x8f24b:313,144@0x95887:80,173@0x9ba74:74,257@0xadbfd:64,352@0xc1ec4:16,160@0x994cf:3	tail@0x92998:384,tail@0x8c41a:91,tail@0xbc31d:70,tail@0xc2d35:6
+0x3	CVV	b0=0x62	398	1	12	118@0x90c23:398	332@0xbd36d:256,217@0xa4b11:65,322@0xbb3c9:64,172@0x9b68a:3,114@0x90319:3,208@0xa2361:3	tail@0x90eb9:398
+0x5	CCEEV	b0=0x3d,b1=0x01	385	2	25	201@0xa0dca:341,336@0xbe8cd:44	173@0x9ba74:265,256@0xad849:84,144@0x95887:9,108@0x8f24b:8,352@0xc1ec4:7,198@0xa037e:6	tail@0xa13d3:341,tail@0xbec0b:44
+0x5	CCCCC	b0=0x9e,b1=0xd4,b2=0xa9,b3=0x3d,b4=0x01	256	1	1	107@0x8eef4:256	160@0x994cf:256	tail@0x8f248:256
+0x3	EEE	-	157	1	7	331@0xbcfc8:157	340@0xbf435:125,196@0x9fbcd:25,99@0x8c99a:3,222@0xa5f3c:1,168@0x9aa83:1,333@0xbd8af:1	tail@0xbd36a:157
+0x3	VVC	b2=0x62	142	1	11	82@0x8920e:142	99@0x8c99a:67,333@0xbd8af:65,217@0xa4b11:4,307@0xb8064:2,168@0x9aa83:2,157@0x98a9a:1	tail@0x89478:142
+0x5	EECCE	b2=0x3d,b3=0x01	138	6	17	0@0x78561:89,56@0x83e76:27,153@0x979ab:10,130@0x931d3:5,13@0x7aee8:5,209@0xa2935:2	352@0xc1ec4:42,144@0x95887:40,173@0x9ba74:15,160@0x994cf:13,257@0xadbfd:12,108@0x8f24b:11	tail@0x78833:89,tail@0x841f6:27,tail@0x97ce3:10,tail@0x937cd:5,tail@0x7b3bb:5,tail@0xa2da1:2
+0x5	EEVCC	b3=0x3d,b4=0x01	108	1	12	280@0xb2661:108	257@0xadbfd:66,160@0x994cf:12,108@0x8f24b:10,198@0xa037e:8,173@0x9ba74:7,256@0xad849:5	tail@0xb2db4:108
+0xd	EEEEEEEEEECCC	b10=0x00,b11=0x80,b12=0x00	97	1	3	321@0xbb1dd:97	169@0x9af18:94,310@0xb8556:3	dispatch@0xcdac7:97
+0x5	CCEEE	b0=0x3d,b1=0x01	78	3	8	251@0xacbc5:39,290@0xb4c00:27,87@0x8a49e:12	108@0x8f24b:36,257@0xadbfd:21,198@0xa037e:17,256@0xad849:4	tail@0xacefb:39,tail@0xb4eda:27,tail@0x8aa11:12
+0x3	CEE	b0=0x62	75	1	6	250@0xac802:75	43@0x8173d:71,196@0x9fbcd:3,157@0x98a9a:1	tail@0xacbc3:75
+0xd	CCCCCCCCCCCCC	b0=0x47,b1=0x4e,b2=0x04,b3=0x00,b4=0x80,b5=0x00,b6=0x3d,b7=0x01,b8=0x89,b9=0xe8,b10=0x01,b11=0xb9,b12=0x94	64	1	1	102@0x8d71d:64	268@0xb0007:64	tail@0x8df99:64
+0x4	EEEE	-	20	1	7	248@0xac110:20	258@0xadf2c:9,168@0x9aa83:4,189@0x9e7af:2,157@0x98a9a:2,124@0x91e81:1,345@0xc02e4:1	tail@0xac43d:20
+0x5	ECCEE	b1=0x3d,b2=0x01	9	2	4	240@0xa9cf7:7,112@0x8faec:2	173@0x9ba74:5,108@0x8f24b:3,160@0x994cf:1	tail@0xa9ff7:7,tail@0x9026c:2
+0x5	CCCCC	b0=0xce,b1=0x13,b2=0x3d,b3=0x01,b4=0x87	6	1	1	225@0xa6af9:6	144@0x95887:6	tail@0xa6e53:6
+0x5	CCEEC	b0=0x3d,b1=0x01,b4=0x00	6	1	2	359@0xc3406:6	108@0x8f24b:4,160@0x994cf:2	tail@0xc3716:6
+0x4	EECC	b2=0x00,b3=0x00	5	1	2	86@0x8a37f:5	310@0xb8556:4,169@0x9af18:1	tail@0x8a49b:5
+0x5	CCCCC	b0=0x3d,b1=0x3d,b2=0x01,b3=0x89,b4=0x76	5	1	1	187@0x9e07d:5	173@0x9ba74:5	tail@0x9e333:5
+0x5	CCCCC	b0=0xb7,b1=0xce,b2=0xc9,b3=0x3d,b4=0x01	4	1	1	267@0xafa1f:4	144@0x95887:4	tail@0xb0005:4
+0x5	CCCCC	b0=0xd2,b1=0xbd,b2=0xb3,b3=0x3d,b4=0x01	4	1	1	214@0xa3fe9:4	257@0xadbfd:4	tail@0xa4606:4
+0x5	CCCCC	b0=0x3d,b1=0x01,b2=0x03,b3=0x6c,b4=0xa7	4	1	1	231@0xa799b:4	198@0xa037e:4	tail@0xa7ef6:4
+0x5	CCCCC	b0=0x5c,b1=0xc2,b2=0xa3,b3=0x3d,b4=0x01	4	1	1	36@0x800a1:4	108@0x8f24b:4	tail@0x80682:4
+0x5	CCCCC	b0=0x3d,b1=0x01,b2=0x7e,b3=0x59,b4=0xff	4	1	1	313@0xb8b42:4	352@0xc1ec4:4	tail@0xb8fcc:4
+0x5	CCCCC	b0=0x53,b1=0x00,b2=0x08,b3=0x3d,b4=0x01	4	1	1	221@0xa5889:4	256@0xad849:4	tail@0xa5f3a:4
+0x4	CCEE	b0=0x00,b1=0x00	3	1	3	42@0x815ea:3	169@0x9af18:2,310@0xb8556:1	tail@0x8173b:3
+0x5	CCCCC	b0=0x69,b1=0x3d,b2=0x01,b3=0xb4,b4=0x4a	3	1	1	9@0x79da3:3	256@0xad849:3	tail@0x7a04c:3
+0x5	CCCCC	b0=0x75,b1=0xd8,b2=0x3d,b3=0x01,b4=0x5b	2	1	1	136@0x9461b:2	198@0xa037e:2	tail@0x94970:2
+0x5	CCCCC	b0=0x3d,b1=0x01,b2=0xdf,b3=0x2e,b4=0xed	2	1	1	31@0x7ecd2:2	352@0xc1ec4:2	tail@0x7efa6:2
+0xd	CCCCCCCCCCCCC	b0=0x00,b1=0x09,b2=0xc9,b3=0x8e,b4=0x9a,b5=0x20,b6=0x65,b7=0xea,b8=0x55,b9=0x36,b10=0x00,b11=0x80,b12=0x00	2	1	1	69@0x85f24:2	310@0xb8556:2	dispatch@0xc80b9:2
+0xd	EEECCCCCCCCEE	b3=0x00,b4=0x80,b5=0x00,b6=0x3d,b7=0x01,b8=0x22,b9=0xe8,b10=0x01	2	1	2	241@0xa9ffa:2	333@0xbd8af:1,66@0x855ff:1	tail@0xaa87a:2
+0x4	CCCC	b0=0x36,b1=0x01,b2=0x00,b3=0x00	1	1	1	323@0xbb6e6:1	310@0xb8556:1	tail@0xbb8a8:1
+0x5	CCCCC	b0=0x69,b1=0xf8,b2=0x00,b3=0x3d,b4=0x01	1	1	1	35@0x7fd4d:1	256@0xad849:1	tail@0x8009e:1
+0x5	CCCCC	b0=0x3d,b1=0x01,b2=0x67,b3=0x85,b4=0x4f	1	1	1	285@0xb3ff4:1	160@0x994cf:1	tail@0xb42df:1
