source_entry	source_target	site	instruction_events	register_trace_events	target_reg	target_events	target_pct	slot_reg	slot_events	slot_pct	byte_index_reg	byte_index_events	byte_index_pct	frame_reg	frame_events	frame_pct	top_targets	top_deltas	byte_statuses
251	0xacbc5	0xacefb	39	0													108:22,198:17	+0x5:39	exact:39
348	0xc0d7d	0xc1409	37	2	rsi	2	100.0	r13	2	100.0	rax	2	100.0	rbp	2	100.0	352:12,257:7,160:5,173:5,108:3,198:3,144:1,256:1	+0x5:37	exact:37
74	0x86d43	0x873fa	33	1	r15	1	100.0	rax	1	100.0	r14	1	100.0	rbp	1	100.0	160:9,108:9,352:5,198:4,173:4,144:2	+0x5:33	exact:33
56	0x83e76	0x841f6	27	0													160:13,173:10,108:4	+0x5:27	exact:27
290	0xb4c00	0xb4eda	27	0													257:17,108:10	+0x5:27	exact:27
65	0x85371	0x855fc	23	4	r13	4	100.0	r8	4	100.0	r9	4	100.0	rbp	4	100.0	18:4,253:4,199:2,43:2,337:2,215:1,28:1,64:1	+0x4:23	exact:23
248	0xac110	0xac43d	20	4	r11	4	100.0	r12	4	100.0	r13	4	100.0	rbp	4	100.0	258:9,168:4,189:2,157:2,124:1,345:1,114:1	+0x4:20	exact:20
95	0x8c41c	0xc80b9	17	0													169:9,310:5,86:2,42:1	+0xa:14,+0x2341b:2,+0x1d02e:1	exact:14,prefix_32_of_144411:2,prefix_32_of_118830:1
311	0xb86f8	0xc80b9	16	0													169:8,310:7,42:1	+0xa:15,+0x169eb:1	exact:15,prefix_32_of_92651:1
210	0xa2da3	0xa35dd	15	0													354:7,171:6,165:2	+0x30:4,+0x28b:3,+0x60:3,+0x288:2,+0x670:1,+0x211:1,+0x77:1	prefix_32_of_48:4,prefix_32_of_651:3,prefix_32_of_96:3,prefix_32_of_648:2,prefix_32_of_1648:1,prefix_32_of_529:1,prefix_32_of_119:1
87	0x8a49e	0x8aa11	12	0													257:4,108:4,256:4	+0x5:12	exact:12
264	0xaf4cf	0xc80b9	11	0													310:6,169:5	+0xa:11	exact:11
153	0x979ab	0x97ce3	10	0													144:5,173:5	+0x5:10	exact:10
356	0xc291a	0xc80b9	8	0													310:6,169:2	+0xa:8	exact:8
216	0xa4a61	0xc80b9	7	0													169:4,310:3	+0xa:7	exact:7
240	0xa9cf7	0xa9ff7	7	0													173:5,108:2	+0x5:7	exact:7
225	0xa6af9	0xa6e53	6	0													144:6	+0x5:6	exact:6
278	0xb2342	0xc80b9	6	0													310:3,169:2,86:1	+0xa:5,+0x2426ba:1	exact:5,prefix_32_of_2369210:1
357	0xc29cf	0xc2d35	6	0													352:3,144:3	+0x5:6	exact:6
359	0xc3406	0xc3716	6	0													108:4,160:2	+0x5:6	exact:6
13	0x7aee8	0x7b3bb	5	0													256:4,257:1	+0x5:5	exact:5
86	0x8a37f	0x8a49b	5	7	r8	7	100.0	r10	7	100.0	rcx	7	100.0	rbp	7	100.0	310:4,169:1	+0x4:5	exact:5
130	0x931d3	0x937cd	5	4	r13	4	100.0	r9	4	100.0				rbp	4	100.0	144:4,198:1	+0x5:5	exact:5
187	0x9e07d	0x9e333	5	0													173:5	+0x5:5	exact:5
36	0x800a1	0x80682	4	0													108:4	+0x5:4	exact:4
214	0xa3fe9	0xa4606	4	0													257:4	+0x5:4	exact:4
221	0xa5889	0xa5f3a	4	0													256:4	+0x5:4	exact:4
231	0xa799b	0xa7ef6	4	0													198:4	+0x5:4	exact:4
267	0xafa1f	0xb0005	4	0													144:4	+0x5:4	exact:4
313	0xb8b42	0xb8fcc	4	0													352:4	+0x5:4	exact:4
9	0x79da3	0x7a04c	3	0													256:3	+0x5:3	exact:3
42	0x815ea	0x8173b	3	2	rax	2	100.0	rcx	2	100.0				rbp	2	100.0	169:2,310:1	+0x4:3	exact:3
195	0x9fb50	0xc80b9	3	0													310:2,86:1	-0x2306:1,-0x542a:1,-0x8c8e:1	backedge_sample:3
31	0x7ecd2	0x7efa6	2	0													352:2	+0x5:2	exact:2
69	0x85f24	0xc80b9	2	0													310:2	+0xd:2	exact:2
112	0x8faec	0x9026c	2	0													108:1,160:1	+0x5:2	exact:2
136	0x9461b	0x94970	2	0													198:2	+0x5:2	exact:2
209	0xa2935	0xa2da1	2	0													257:1,352:1	+0x5:2	exact:2
241	0xa9ffa	0xaa87a	2	0													333:1,66:1	+0xd:2	exact:2
299	0xb6bba	0xc80b9	2	0													169:1,310:1	-0x7fe6:1,-0xcf8b:1	backedge_sample:2
35	0x7fd4d	0x8009e	1	1	r8	1	100.0	rcx	1	100.0				rbp	1	100.0	256:1	+0x5:1	exact:1
54	0x837cb	0x83b3d	1	0													256:1	+0x5:1	exact:1
78	0x883c0	0xc80b9	1	0													310:1	+0xd:1	exact:1
85	0x89b37	0x8a37d	1	0													64:1	+0xd:1	exact:1
101	0x8ceb4	0x8d71b	1	0													199:1	+0xd:1	exact:1
142	0x953b1	0x957d6	1	0													83:1	+0xa:1	exact:1
175	0x9c08f	0xcdac7	1	0													310:1	+0x2cef7:1	prefix_32_of_184055:1
188	0x9e336	0x9e7ac	1	0													173:1	+0x5:1	exact:1
229	0xa71fe	0xa757c	1	0													352:1	+0x5:1	exact:1
259	0xae332	0xae909	1	0													28:1	+0xa:1	exact:1
276	0xb1b2d	0xb1fd3	1	0													157:1	+0xa:1	exact:1
284	0xb379b	0xb3ff1	1	0													239:1	+0xd:1	exact:1
285	0xb3ff4	0xb42df	1	1	r12	1	100.0	rax	1	100.0	r13	1	100.0	rbp	1	100.0	160:1	+0x5:1	exact:1
314	0xb8fcf	0xb944f	1	0													189:1	+0xa:1	exact:1
323	0xbb6e6	0xbb8a8	1	2	rax	2	100.0	r8	2	100.0				r11	2	100.0	310:1	+0x4:1	exact:1
358	0xc2d37	0xc3403	1	0													144:1	+0x5:1	exact:1
