source_entry	source_target	site	instruction_events	register_trace_events	target_reg	target_events	target_pct	slot_reg	slot_events	slot_pct	byte_index_reg	byte_index_events	byte_index_pct	frame_reg	frame_events	frame_pct	top_targets	top_deltas	byte_statuses
300	0xb6c36	0xb708a	3190	786	r12	786	100.0	r14	786	100.0	rcx	786	100.0	rbp	786	100.0	258:517,220:355,183:268,337:262,333:262,185:260,91:258,64:155	+0x4:3190	exact:3190
260	0xae90b	0xaeda0	2645	231	rcx	231	100.0	r15	231	100.0	rdi	231	100.0	rbp	231	100.0	180:356,189:271,340:257,183:247,91:204,64:186,301:156,18:120	+0x4:2645	exact:2645
269	0xb045b	0xb092e	2612	193	rax	193	100.0	r11	193	100.0	r15	193	100.0	rbp	193	100.0	108:571,352:384,256:368,173:364,160:364,257:274,144:178,198:109	+0x5:2612	exact:2612
30	0x7e849	0x7ecd0	2590	240	rdi	240	100.0	r11	240	100.0	r9	240	100.0	rbp	240	100.0	183:397,203:350,91:266,192:256,337:187,185:185,307:157,180:105	+0x4:2590	exact:2590
171	0x9b4b3	0x9b687	2533	395	r14	395	100.0	r13	395	100.0	rbx	395	100.0	rbp	395	100.0	196:352,337:328,322:256,333:191,43:186,66:152,199:125,268:102	+0x2:2533	exact:2533
239	0xa991e	0xa9cf4	2519	62	r8	62	100.0	rdx	62	100.0	r10	62	100.0	rbp	62	100.0	297:255,28:228,320:208,37:177,157:154,340:138,66:128,185:127	+0x6:2519	exact:2519
167	0x9a8d2	0x9aa81	2509	139	rdx	139	100.0	rsi	139	100.0	rcx	139	100.0	rbp	139	100.0	351:1262,283:790,295:457	+0x6:2509	exact:2509
83	0x8947b	0x89839	2508	73	rdi	73	100.0	r13	73	100.0	r10	73	100.0	rbp	73	100.0	173:548,108:441,160:336,257:286,352:284,144:271,198:179,256:163	+0x5:2508	exact:2508
350	0xc1926	0xc1d46	2414	252	rdi	252	100.0	rax	252	100.0				rbp	252	100.0	183:318,258:257,281:257,91:203,114:158,180:147,43:98,297:97	+0x4:2414	exact:2414
192	0x9f00a	0x9f779	2339	242	r14	242	100.0	rbx	242	100.0	rdi	242	100.0	rbp	242	100.0	198:509,257:419,108:383,256:324,144:319,173:181,160:140,352:64	+0x5:2339	exact:2339
