source_entry	opcode_name	template	candidate_c	proof_status	variables	solver	smt2	solver_output_excerpt
225	vmop_225_plus0x5_state_formula_slot_unknown	or2_add_const	(state0 | flags0) + 0x0u	proved_equivalent	flags0;state0;u16_0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_225.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
237	vmop_237_plus0x5_state_add_const_slot_multi_path	xor_const	u16_1 ^ 0xb7c30a76u	proved_equivalent	flags0;state0;u16_1	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_237.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
240	vmop_240_plus0x5_state_add_const_slot_mba_stateful	const_sub	0x8413de69u - u16_3	proved_equivalent	state0;u16_3	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_240.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
246	vmop_246_plus0x78_sampled_long_or_sparse_slot_unknown	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_246.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
261	vmop_261_plus0x6_state_add_const_slot_mba_stateful	add2_const	state0 + u16_2 + 0x4c539d29u	proved_equivalent	state0;u16_2	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_261.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
266	vmop_266_minus0x2e8_sampled_backedge_slot_unknown	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_266.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
283	vmop_283_plus0x5_state_preserve_slot_mba_stateful	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_283.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
284	vmop_284_plus0xd_state_add_const_slot_mba_stateful	sub2_const	state0 - u16_11 + 0xeb4695b4u	proved_equivalent	state0;u16_11	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_284.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
302	vmop_302_minus0x40_sampled_backedge_slot_unknown	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_302.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
308	vmop_308_plus0x20_exact_slot_unknown	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_308.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
316	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_316.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
320	vmop_320_plus0x5_state_add_const_slot_mba_stateful	and_mask	state0 & 0x81ebc77cu	proved_equivalent	flags0;state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_320.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
332	vmop_332_plus0x4_state_add_const_slot_multi_path	or2_or_mask	(state0 | u16_2) | 0x1cf75fdfu	proved_equivalent	flags0;state0;u16_2	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_332.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
334	vmop_334_plus0x2a5_sampled_long_or_sparse_slot_unknown	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_334.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
336	vmop_336_plus0x5_state_add_const_slot_mba_stateful	and2_xor_const	(state0 & u16_2) ^ 0x114009e8u	proved_equivalent	state0;u16_2	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_336.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
338	vmop_338_plus0x6_state_add_const_slot_mba_stateful	const_sub	0xb40741f4u - u16_0	proved_equivalent	state0;u16_0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_338.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
346	vmop_346_plus0x4_state_add_const_slot_multi_path	xor2_const	state0 ^ flags0 ^ 0x45daa5e4u	proved_equivalent	flags0;state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_346.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
356	vmop_356_plus0xa_state_preserve_slot_mba_stateful	xor2_const	state0 ^ flags0 ^ 0x0u	proved_equivalent	flags0;state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_356.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
357	vmop_357_plus0x5_state_add_const_slot_mba_stateful	xor2_const	state0 ^ flags0 ^ 0x0u	proved_equivalent	flags0;state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_357.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
