trace_dir	runtime_config	run_mode	network_policy	program	rows	first_seq	first_vm_ip	last_seq	last_vm_ip	behavior_tags	confidence	string_refs
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	003	313	133238	0xd5a12	133550	0xd5eb8	control_transfer_or_native_bridge_candidate	low	0
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	004	489	133742	0xd718e	134230	0xd78ea	control_transfer_or_native_bridge_candidate	low	0
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	005	157	134231	0xda38f	134387	0xda5e7	control_transfer_or_native_bridge_candidate	low	0
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	006	194	134388	0xdac57	134581	0xdaf35	control_transfer_or_native_bridge_candidate	low	0
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	007	1024	11614	0x11ac5e	12637	0x11bbd4	control_transfer_or_native_bridge_candidate	low	0
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	008	188	12638	0x11bc28	12825	0x11bf09	control_transfer_or_native_bridge_candidate	low	0
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	009	194	12826	0x11bf5d	13019	0x11c256	control_transfer_or_native_bridge_candidate	low	0
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	010	1621	13020	0x11c2aa	164324	0x11db08	control_transfer_or_native_bridge_candidate	low	0
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	025	929	14353	0x18b66f	134842	0x18c463	control_transfer_or_native_bridge_candidate	low	0
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	029	73109	16090	0x22fe2d	89198	0x2304b4	control_transfer_or_native_bridge_candidate	low	0
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	030	42753	89366	0x230722	132118	0x230901	vm_dispatch_math_only_so_far	none	0
dumps/vmtail-mode2-w16	x_mode_2	2	blocked_observed	032	5416	3100	0x249468	11613	0x24bd26	control_transfer_or_native_bridge_candidate	low	0
