program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
061	0x36b124	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	143	
061	0x36b346	ready_for_mba_reduction	all required static/runtime fields are present	504	42	42	42	yes	yes	7	
061	0x36b374	ready_for_mba_reduction	all required static/runtime fields are present	492	41	41	41	yes	yes	6	
061	0x36b38e	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	134	
061	0x36b592	ready_for_mba_reduction	all required static/runtime fields are present	132	11	11	11	yes	yes	69	
061	0x36b6a4	ready_for_mba_reduction	all required static/runtime fields are present	132	11	11	11	yes	yes	130	
061	0x36b8a7	ready_for_mba_reduction	all required static/runtime fields are present	120	10	10	10	yes	yes	163	
061	0x36bb1e	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	254	
061	0x36beee	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	143	
061	0x36c118	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	169	
061	0x36c3a3	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	85	
061	0x36c4fa	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	107	
061	0x36c69a	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	104	
061	0x36c839	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	23	
061	0x36c8aa	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	68	
061	0x36c9b1	ready_for_mba_reduction	all required static/runtime fields are present	48	4	4	4	yes	yes	72	
061	0x36cacc	ready_for_mba_reduction	all required static/runtime fields are present	48	4	4	4	yes	yes	134	
061	0x36ccd7	ready_for_mba_reduction	all required static/runtime fields are present	48	4	4	4	yes	yes	73	
061	0x36cdf9	ready_for_mba_reduction	all required static/runtime fields are present	36	3	3	3	yes	yes	101	
061	0x36cf84	ready_for_mba_reduction	all required static/runtime fields are present	36	3	3	3	yes	yes	156	
061	0x36d1db	ready_for_mba_reduction	all required static/runtime fields are present	36	3	3	3	yes	yes	121	
061	0x36d3b3	ready_for_mba_reduction	all required static/runtime fields are present	36	3	3	3	yes	yes	73	
