program	case_state	capture_status	case_start_site	case_start_source_entry	case_start_target_entry	case_start_bytes	predecessor_start_vm_ip	predecessor_end_vm_ip	predecessor_site	predecessor_source_entry	focus_ips	focus_sites	stop_after_matches	focus_env	capture_goal
011	0x11de9f	needs_stateful_capture	0x9b687	171	297	2901	0x11de39	0x11de9f	0xafa1d	266	0x11de39,0x11de9f	0xafa1d,0x9b687	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x11de39,0x11de9f EAC_VMTAIL_FOCUS_SITES=0xafa1d,0x9b687 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x11de9f with vm_state/vm_flags/vm_byte populated
011	0x11e03e	needs_stateful_capture	0x9b687	171	340	5401	0x11e02d	0x11e03e	adjacent_unhooked_span	78	0x11e02d,0x11e03e	0x9b687	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x11e02d,0x11e03e EAC_VMTAIL_FOCUS_SITES=0x9b687 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x11e03e with vm_state/vm_flags/vm_byte populated
011	0x11e15f	needs_stateful_capture	0xbf886	340	254	dc6f6800	0x11e14f	0x11e15f	adjacent_unhooked_span	316	0x11e14f,0x11e15f	0xbf886	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x11e14f,0x11e15f EAC_VMTAIL_FOCUS_SITES=0xbf886 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x11e15f with vm_state/vm_flags/vm_byte populated
011	0x11e28a	needs_stateful_capture	0x9b687	171	189	bd00	0x11e27c	0x11e28a	adjacent_unhooked_span	95	0x11e27c,0x11e28a	0x9b687	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x11e27c,0x11e28a EAC_VMTAIL_FOCUS_SITES=0x9b687 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x11e28a with vm_state/vm_flags/vm_byte populated
