source_entry	source_target	validation_status	events	bad_events	dispatch_site_mix	idx_mix	target_entry_mix	ip_delta_mix	static_transfer_statuses	static_transfer_target_coverage_pct	static_transfer_target_mismatched_events	static_transfer_branch_unknown	static_transfer_top_target_exprs	static_transfer_top_slot_exprs	note
78	0x883c0	second_stage_dispatch_validated	1	0	0xc80b9:1	0x9b0:1	310:1	0xd:1	unknown_target:1	0.0	1	1	1=T[(mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x623ccce4)))) & 0xd4da920)) | (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x225dfa31)))) - 0x6110d031)) ^ 0x3fcb6e9a)) ^ (mask32(flags0 ^ 0xc7e744f)))) + 0x60a9dba6)))) & 0xffff]	1=(mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x623ccce4)))) & 0xd4da920)) | (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x225dfa31)))) - 0x6110d031)) ^ 0x3fcb6e9a)) ^ (mask32(flags0 ^ 0xc7e744f)))) + 0x60a9dba6)))) & 0xffff	first-stage MBA tail enters central dispatch; final target validated from DISPATCH idx
95	0x8c41c	second_stage_dispatch_validated	95	0	0xcdac7:81,0xc80b9:14	0x548:61,0x9b0:31,0x2b0:2,0x150:1	169:61,310:31,86:2,42:1	0xa:92,0x2341b:2,0x1d02e:1	unknown_target:92	0.0	92	92	92=T[(mask32(u16_4 + 0x1f18e1aa)) & 0xffff]	92=(mask32(u16_4 + 0x1f18e1aa)) & 0xffff	first-stage MBA tail enters central dispatch; final target validated from DISPATCH idx
216	0xa4a61	second_stage_dispatch_validated	112	0	0xcdac7:108,0xc80b9:4	0x9b0:82,0x548:30	310:82,169:30	0xa:112	unknown_target:112	0.0	112	224	112=T[(mask32(u16_1 - (mask32(state0 ^ flags0)))) & 0xffff]	112=(mask32(u16_1 - (mask32(state0 ^ flags0)))) & 0xffff	first-stage MBA tail enters central dispatch; final target validated from DISPATCH idx
264	0xaf4cf	second_stage_dispatch_validated	50	0	0xcdac7:40,0xc80b9:10	0x548:32,0x9b0:18	169:32,310:18	0xa:49,-0x7426:1	unknown_target:49	0.0	49	0	49=T[(mask32((mask32(u16_8 + state0)) - 0x6fba3362)) & 0xffff]	49=(mask32((mask32(u16_8 + state0)) - 0x6fba3362)) & 0xffff	first-stage MBA tail enters central dispatch; final target validated from DISPATCH idx
278	0xb2342	second_stage_dispatch_validated	83	0	0xcdac7:82,0xc80b9:1	0x548:56,0x9b0:26,0xa18:1	169:56,310:26,323:1	0xa:82,0x221770:1	unknown_target:82	0.0	82	0	82=T[(mask32((mask32(u16_2 - (mask32(state0 | flags0)))) + 0x68baea26)) & 0xffff]	82=(mask32((mask32(u16_2 - (mask32(state0 | flags0)))) + 0x68baea26)) & 0xffff	first-stage MBA tail enters central dispatch; final target validated from DISPATCH idx
311	0xb86f8	second_stage_dispatch_validated	69	0	0xcdac7:55,0xc80b9:14	0x548:36,0x9b0:31,0x150:2	169:36,310:31,42:2	0xa:67,0x169eb:1,-0x34ced:1	unknown_target:67	0.0	67	67	67=T[(mask32((mask32(u16_3 ^ (mask32((mask32(state0 - 0x1889c111)) - (mask32((mask32((mask32(flags0 - (mask32((mask32(state0 - 0x1889c111)) + 0x3cae9026)))) | 0x2b959efa)) | 0x35e8abc1)))))) ^ 0xa9f4228)) & 0xffff]	67=(mask32((mask32(u16_3 ^ (mask32((mask32(state0 - 0x1889c111)) - (mask32((mask32((mask32(flags0 - (mask32((mask32(state0 - 0x1889c111)) + 0x3cae9026)))) | 0x2b959efa)) | 0x35e8abc1)))))) ^ 0xa9f4228)) & 0xffff	first-stage MBA tail enters central dispatch; final target validated from DISPATCH idx
321	0xbb1dd	second_stage_dispatch_validated	19	0	0xcdac7:19	0x548:16,0x9b0:3	169:16,310:3	0xd:19	unknown_target:19	0.0	19	0	19=T[(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 + (mask32(u16_0 ^ flags0)))) | 0x2d680d90)) + 0x69cbe1a0)))) + 0x7ba65dc4)) & 0xffff]	19=(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 + (mask32(u16_0 ^ flags0)))) | 0x2d680d90)) + 0x69cbe1a0)))) + 0x7ba65dc4)) & 0xffff	first-stage MBA tail enters central dispatch; final target validated from DISPATCH idx
356	0xc291a	second_stage_dispatch_validated	116	0	0xcdac7:110,0xc80b9:6	0x9b0:61,0x548:55	310:61,169:55	0xa:116	ok:13,unknown_target:103	0.0	116	0	116=T[(mask32((mask32(u16_0 ^ (mask32(state0 ^ flags0)))) + 0x70d7d4a7)) & 0xffff]	116=(mask32((mask32(u16_0 ^ (mask32(state0 ^ flags0)))) + 0x70d7d4a7)) & 0xffff	first-stage MBA tail enters central dispatch; final target validated from DISPATCH idx
