row_type	section	start	stop	bytes	covered_bytes	uncovered_bytes	coverage_x100	range_count	merged_range_count	source	detail
gap	.text	0x5528f6	0x553fb0	5818	0	5818	0	0	0		
gap	.text	0x49bb83	0x49d220	5789	0	5789	0	0	0		
gap	.text	0x50898b	0x509fc0	5685	0	5685	0	0	0		
gap	.text	0x5299eb	0x52b020	5685	0	5685	0	0	0		
gap	.text	0x525e5c	0x527483	5671	0	5671	0	0	0		
gap	.text	0x49f067	0x4a0650	5609	0	5609	0	0	0		
gap	.text	0x58004d	0x581610	5571	0	5571	0	0	0		
gap	.text	0x2c3a4e	0x2c4fc5	5495	0	5495	0	0	0		
gap	.text	0xcde60	0xcf3c7	5479	0	5479	0	0	0		
gap	.text	0x5246ac	0x525bd0	5412	0	5412	0	0	0		
gap	.text	0x234d2	0x249e6	5396	0	5396	0	0	0		
gap	.text	0x55a289	0x55b740	5303	0	5303	0	0	0		
gap	.text	0x49d310	0x49e770	5216	0	5216	0	0	0		
gap	.text	0x5784cd	0x5798c0	5107	0	5107	0	0	0		
gap	.text	0x55ee32	0x5601d0	5022	0	5022	0	0	0		
gap	.text	0x4fd833	0x4feb80	4941	0	4941	0	0	0		
gap	.text	0x4cb48f	0x4cc7d0	4929	0	4929	0	0	0		
gap	.text	0x510269	0x5115a0	4919	0	4919	0	0	0		
gap	.text	0x581696	0x582980	4842	0	4842	0	0	0		
gap	.text	0x4f1a11	0x4f2ce0	4815	0	4815	0	0	0		
gap	.text	0x57b431	0x57c670	4671	0	4671	0	0	0		
gap	.text	0x5f5ce	0x6080a	4668	0	4668	0	0	0		
gap	.text	0x5034d6	0x5046d0	4602	0	4602	0	0	0		
gap	.text	0x65cc2	0x66ea2	4576	0	4576	0	0	0		
gap	.text	0x5554b0	0x556610	4448	0	4448	0	0	0		
gap	.text	0x505da6	0x506f00	4442	0	4442	0	0	0		
gap	.text	0x4ba789	0x4bb8d0	4423	0	4423	0	0	0		
gap	.text	0x32917	0x339bd	4262	0	4262	0	0	0		
gap	.text	0x5df38	0x5efd2	4250	0	4250	0	0	0		
gap	.text	0x489e44	0x48aec0	4220	0	4220	0	0	0		
gap	.text	0x50e68c	0x50f6f0	4196	0	4196	0	0	0		
gap	.text	0x4c9a91	0x4caa90	4095	0	4095	0	0	0		
gap	.plt	0x1fbf0	0x20bd0	4064	0	4064	0	0	0		
gap	.text	0x28a89	0x29a64	4059	0	4059	0	0	0		
gap	.text	0x5cd02	0x5dc68	3942	0	3942	0	0	0		
gap	.text	0x432fb	0x4425d	3938	0	3938	0	0	0		
gap	.text	0x48b066	0x48bfc0	3930	0	3930	0	0	0		
gap	.text	0x54b5d5	0x54c500	3883	0	3883	0	0	0		
gap	.text	0x26aae	0x27998	3818	0	3818	0	0	0		
gap	.text	0x57a448	0x57b2f0	3752	0	3752	0	0	0		
gap	.text	0x5769f3	0x577860	3693	0	3693	0	0	0		
gap	.text	0x57c75c	0x57d580	3620	0	3620	0	0	0		
gap	.text	0x4ffbe6	0x5009e0	3578	0	3578	0	0	0		
gap	.text	0x55b9cc	0x55c790	3524	0	3524	0	0	0		
gap	.text	0x498d04	0x499ab0	3500	0	3500	0	0	0		
gap	.text	0x5076e6	0x508490	3498	0	3498	0	0	0		
gap	.text	0x551806	0x552590	3466	0	3466	0	0	0		
gap	.text	0x4d7f3b	0x4d8cc0	3461	0	3461	0	0	0		
gap	.text	0x501a79	0x5027f0	3447	0	3447	0	0	0		
gap	.text	0x554506	0x555240	3386	0	3386	0	0	0		
gap	.text	0x4f411d	0x4f4e50	3379	0	3379	0	0	0		
gap	.text	0x56a07d	0x56adb0	3379	0	3379	0	0	0		
gap	.text	0x542916	0x543630	3354	0	3354	0	0	0		
gap	.text	0x57391c	0x574600	3300	0	3300	0	0	0		
gap	.text	0x41551	0x4221c	3275	0	3275	0	0	0		
gap	.text	0x4f077e	0x4f1440	3266	0	3266	0	0	0		
gap	.text	0x4903ab	0x491024	3193	0	3193	0	0	0		
gap	.text	0x50b7d0	0x50c440	3184	0	3184	0	0	0		
gap	.text	0x49120a	0x491e50	3142	0	3142	0	0	0		
gap	.text	0x4a983b	0x4aa470	3125	0	3125	0	0	0		
gap	.text	0x4247f	0x4308a	3083	0	3083	0	0	0		
gap	.text	0x4b429a	0x4b4e60	3014	0	3014	0	0	0		
gap	.text	0x4ab513	0x4ac0d0	3005	0	3005	0	0	0		
gap	.text	0x4efb4c	0x4f0700	2996	0	2996	0	0	0		
gap	.text	0x54a9c8	0x54b560	2968	0	2968	0	0	0		
gap	.text	0x4f33d6	0x4f3f50	2938	0	2938	0	0	0		
gap	.text	0x569358	0x569eb0	2904	0	2904	0	0	0		
gap	.text	0x4b2b79	0x4b36d0	2903	0	2903	0	0	0		
gap	.text	0x51116	0x51c60	2890	0	2890	0	0	0		
gap	.text	0x52cd59	0x52d890	2871	0	2871	0	0	0		
gap	.text	0xc3726	0xc4258	2866	0	2866	0	0	0		
gap	.text	0x52beb8	0x52c9e0	2856	0	2856	0	0	0		
gap	.text	0x4b1c41	0x4b2760	2847	0	2847	0	0	0		
gap	.text	0x4c1ddf	0x4c28f0	2833	0	2833	0	0	0		
gap	.text	0x4d0eca	0x4d19d0	2822	0	2822	0	0	0		
gap	.text	0x4c0c8e	0x4c1770	2786	0	2786	0	0	0		
gap	.text	0x31783	0x32260	2781	0	2781	0	0	0		
gap	.text	0x4aa829	0x4ab2f0	2759	0	2759	0	0	0		
