program	block	state	block_end	byte_end_min	rows	terminal_kind	source_block	raw_b0	raw_b1	raw_b2	raw_b3	raw_b4	raw_b5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	raw_prefix32	first_source_entry	first_target_entry	first_state_ir	first_state_effect_ir	first_dispatch_ir	last_source_entry	last_target_entry	last_state_ir	last_state_effect_ir	last_dispatch_ir	edge_kind	edge_target_block	edge_target_vm_ip	edge_source_entry	edge_target_entry	edge_delta	edge_semantic_ir	edge_coverage	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	observed_pre_state	observed_post_state	observed_pre_flags	observed_post_flags	observed_target_entry	observed_bytes
001	7	0xd3fac	0xd420b	0xd420b	161	exact_instruction	1@0xd3fac-0xd5ec2+0x0	0x62	0x1	0xe8	0x1	0x29	0x1	0x162	0xe801	0x1e8	0x129	6201e801290131cee56859a5d9900be2463aaee801a01a320411ab00b80ecc75						174	321				covered_synthetic_fallthrough		0xd420b	174	321	+0x4	next = 321@0xbb1dd:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	hidden_span_of_17:1	18	5	5	5	0x7777458e:5	0x48c5c666:5	0xc78ea4d6:5	0xf85ee87e:5	354:18	6201e801:18
001	8	0xd421c	0xd43cf	0xd43cf	116	exact_instruction	1@0xd3fac-0xd5ec2+0x270	0x29	0x1	0x31	0xee	0xe0	0x16	0x129	0x3101	0xee31	0x16e0	290131eee01699fefadaab3def32cde801e9b64600ab0024d819959d26e2e801						176	80				covered_synthetic_fallthrough		0xd43cf	176	80	+0x4	next = 80@0x88a58:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	hidden_span_of_17:1	18	5	5	5	0xdee5ebb9:5	0x0:5	0x42c6aa80:5	0x0:5	297:18	2901:18
001	9	0xd43e0	0xd456c	0xd456c	103	long_branch_forward	1@0xd3fac-0xd5ec2+0x434	0xa8	0x0	0x99	0x0	0x6	0xd5	0xa8	0x9900	0x99	0xd506	a800990006d57b7cce447115ce4a99e8017fd9ab005a833ac408ab00e8016670						334	354				decoded_control	10	0xd476e	334	354	+0x20d	next = table[354], ip += 0x20d		18	5	5	5	0x4e2d138a:5	0x0:5	0x239b89ed:5	0x0:5	168:18	a800:18
