program	first_seen_rank	first_vm_ip	timeline_segments	phase_hint	summary	behavior_tags	exact_side_effect_categories	top_strings	evidence_scope
054	21	0x33e889	12	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
055	30	0x33f278	2	network_connectivity_or_tls	TLS/SSL protocol or library-adjacent logic; threading or synchronization surface; host/environment inventory surface; process or shell helper surface; C++ runtime/support surface	tls_or_ssl;threading_sync;host_environment;cxx_runtime	cxx_runtime:7,locale_i18n:6,threading_sync:2,tls_or_ssl:1,process_or_shell:1,host_environment_inventory:1	_ITM_registerTMCloneTable || __freelocale || NSt7__cxx118time_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEE || _ITM_registerTMCloneTable || __freelocale || /home/richard/code/mbedtls/library/ssl_tls.c || pthread_cond_timedwait || _ITM_registerTMCloneTable	vm_program_timeline_plus_static_refs
056	32	0x3603af	4	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
057	40	0x365458	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
058	41	0x3654e0	1	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
059	33	0x3674c3	4	runtime_support	C++ runtime/support surface	cxx_runtime	cxx_runtime:2,embedded_data_or_token:1,locale_i18n:1	QmK3TAsJm8V/J5AWpLEV6jAFgRGymGGHnof0DXzVWZidrcZJWTNuGEX90nB3ee2w || _ITM_registerTMCloneTable || __freelocale || basic_string::_S_construct null not valid	vm_program_timeline_plus_static_refs
060	34	0x369ad3	4	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
061	35	0x36b124	4	runtime_support	C++ runtime/support surface	cxx_runtime	cxx_runtime:1,locale_i18n:1	_ITM_registerTMCloneTable || __freelocale	vm_program_timeline_plus_static_refs
062	36	0x36d524	4	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	unclassified_data:1	:$23	vm_program_timeline_plus_static_refs
063	37	0x36ecdc	151	network_connectivity_or_tls	TLS/SSL protocol or library-adjacent logic; host/environment inventory surface; process or shell helper surface; C++ runtime/support surface	tls_or_ssl;cxx_runtime;process_or_shell	process_or_shell:1,host_environment_inventory:1,cxx_runtime:1,locale_i18n:1,tls_or_ssl:1	pclose || _ITM_registerTMCloneTable || __freelocale || client hello, adding server name extension: %s	vm_program_timeline_plus_static_refs
064	38	0x3716c7	150	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
065	39	0x3717c4	26	vm_control_dispatch	control-transfer/native-bridge candidate with no exact side-effect reference yet	control_transfer_or_native_bridge_candidate	no_exact_side_effect_ref		vm_program_timeline_plus_static_refs
