source_entry	source_target	opcode_name	problem_kind	status	readability_status	operation_family_mix	unresolved_mix	dispatch_slot_kind	state_kind	delta	shape	word_shape	operand_layout	word_layout	programs	program_count	observation_rows	target_entries	target_entry_count	trace_rows	trace_files	dynamic_start_vm_ip_count	exact_string_refs	side_effect_categories	formula_variables	formula_constants	required_inputs	operator_summary	state_formula	dispatch_formula	next_step
112	0x8faec	vmop_112_plus0x5_state_formula_slot_unknown	dispatch_unknown	needs_dispatch_resolution_or_trace	named_structural;needs_algebraic_simplification	unresolved_dispatch:2	algebraic_state_or_slot_formula;dispatch_slot_unknown;static_model_or_runtime_validation_incomplete;state_formula_not_named:2	slot_unknown	state_formula	+0x5	ECCEE	EE	b0=enum2(0x00:1,0x13:1);b1=0x3d;b2=0x01;b3=enum2(0xf9:1,0xa9:1);b4=enum2(0xd3:1,0xf4:1)	w0=enum2(0x3d00:1,0x3d13:1);w1=enum2(0xf901:1,0xa901:1)	026;055	2	2	108;160	2	4	vm_instruction_trace.tsv:2;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2	2	0		flags0;state0;u16_3	0x7d6325a;0x1340e310;0x25637e96;0x26dc7059;0x2aab3c50;0x2bd71820;0x2d8111d9;0x40561547;0x488765f3	pre_state;pre_flags;raw_vm_bytes:u16_3	&:22;|:4;^:12;+:15;-:9	state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 | flags0 & state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 & 0x25637e96 | 0x488765f3 + state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 + 0x2aab3c50 ^ state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 + 0x7d6325a & 0x26dc7059 ^ u16_3 ^ state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 | flags0 & state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 & 0x25637e96 | 0x488765f3 + state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 + 0x2aab3c50 ^ state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 + 0x7d6325a & 0x26dc7059 + 0x2bd71820	dispatch slot expression not recovered; use per-row target evidence when available	collect_missing_dispatch_targets
114	0x90319	vmop_114_plus0x4_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:2254	algebraic_state_or_slot_formula:2254	slot_multi_path	state_add_const	+0x4	VVVV	VV	b0=var255(top=0x99:2.0%);b1=var198(top=0x77:2.9%);b2=var250(top=0xa6:2.9%);b3=var248(top=0xcf:2.6%)	w0=var2171(top=0x67d1:1.0%);w1=var2097(top=0xaca6:1.1%)	000;001;002;003;004;005;006;007;008;009;010;011;012;013;014;015;016;017;018;019;020;021;022;023;...+38	62	2254	3;18;20;26;28;30;33;37;43;49;52;66;70;74;79;83;118;121;123;124;125;128;131;140;...+48	72	50600	vm_instruction_trace.tsv:25300;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:25300	2254	0		flags0;state0;u16_0;u16_2	0x662844c;0xfc7215c;0x1c8b6fee;0x257a9d7d;0x292b555d;0x3b2cb159;0x3dca653f;0x48367f78;0x63bb548f;0x665346b9;0x667e49d1;0x671da5f4;0x6729b5bf;0x6b040388;0x7bdaf9d9	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_2	mask32:27;&:33;|:15;^:36;+:29;-:22	state0 ^ flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x48367f78 ^ 0x63bb548f + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x292b555d ^ u16_2 + state0 ^ flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x48367f78 ^ 0x63bb548f + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x292b555d + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 - 0x3b2cb159 & 0xfc7215c & 0x662844c - 0x7bdaf9d9 ^ 0x257a9d7d ^ 0x665346b9 + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 - 0x3b2cb159 & 0xfc7215c & 0x662844c - 0x7bdaf9d9 ^ 0x257a9d7d ^ 0x665346b9 & 0x1c8b6fee ^ 0x6b040388 - u16_0 + state0 ^ flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x48367f78 ^ 0x63bb548f + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x292b555d ^ u16_2 + state0 ^ flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x48367f78 ^ 0x63bb548f + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x292b555d + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 - 0x3b2cb159 & 0xfc7215c & 0x662844c - 0x7bdaf9d9 ^ 0x257a9d7d ^ 0x665346b9 + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 - 0x3b2cb159 & 0xfc7215c & 0x662844c - 0x7bdaf9d9 ^ 0x257a9d7d ^ 0x665346b9 & 0x1c8b6fee ^ 0x6b040388 + 0x667e49d1	51=(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)) & 0x48367f78)))) ^ 0x63bb548f)) + (mask32((mas...#c641ff3c3e67 | 36=(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)) ...#2b79eeb26734	simplify_to_c_expression_or_table
117	0x90acd	vmop_117_minus0x40_sampled_backedge_slot_unknown	dispatch_unknown	needs_dispatch_resolution_or_trace	named_structural	long_or_backedge_control:18	dispatch_slot_unknown;static_model_or_runtime_validation_incomplete:18	slot_unknown	sampled_backedge	-0x40	sampled				009;026;041;042;043;046;048;052;054;055;056;060;061;062;063	15	18	165;171;354	3	244	vm_instruction_trace.tsv:122;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:122	18	0		state0		pre_state	-:1	state0	dispatch slot expression not recovered; use per-row target evidence when available	collect_missing_dispatch_targets
118	0x90c23	vmop_118_plus0x3_state_formula_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:12	algebraic_state_or_slot_formula;state_formula_not_named:12	slot_mba_stateful	state_formula	+0x3	CVV	V	b0=0x62;b1=var12(top=0xa6:64.3%);b2=var12(top=0x2b:64.3%)	w0=var12(top=0xa662:64.3%)	028;029;030;042;045;055;056;058;059;061;062	11	12	99;114;172;189;208;217;268;322;332;333	10	796	vm_instruction_trace.tsv:398;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:398	12	0		state0;u16_1	0xffff;0x52d3aa4	pre_state;raw_vm_bytes:u16_1	mask32:2;&:2;^:2;-:2	state0 & u16_1 ^ state0 - 0x52d3aa4	128=(mask32((mask32(u16_1 ^ state0)) - 0x52d3aa4)) & 0xffff	simplify_to_c_expression_or_table
119	0x90ebc	vmop_119_plus0x6_state_add_const_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:94	algebraic_state_or_slot_formula:94	slot_mba_stateful	state_add_const	+0x6	CCCCVV	CCV	b0=0xe8;b1=0x01;b2=0x3d;b3=0x01;b4=var72(top=0xb9:10.3%);b5=var72(top=0x8f:10.0%)	w0=0x01e8;w1=0x013d;w2=var94(top=0x8f13:9.9%)	000;001;003;007;010;012;013;014;015;016;020;021;022;023;024;026;028;029;030;031;032;034;035;037;...+17	41	94	18;28;64;66;114;185;189;199;215;258;297;307;337;340;347	15	1844	vm_instruction_trace.tsv:922;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:922	94	0		state0;u16_4	0xffff;0x7e7974a5	pre_state;raw_vm_bytes:u16_4	mask32:2;&:1;|:1;^:2;+:2	state0 | u16_4 ^ state0 + 0x7e7974a5	128=(mask32((mask32(u16_4 ^ state0)) + 0x7e7974a5)) & 0xffff	simplify_to_c_expression_or_table
121	0x91379	vmop_121_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:215	algebraic_state_or_slot_formula:215	slot_mba_stateful	state_add_const	+0x4	VVVV	VV	b0=var124(top=0x7b:11.8%);b1=var131(top=0x93:11.6%);b2=var140(top=0x37:11.7%);b3=var145(top=0x2f:11.6%)	w0=var204(top=0x937b:11.6%);w1=var213(top=0x2f37:11.6%)	000;001;003;004;007;008;010;012;016;019;020;021;023;025;026;028;029;030;031;032;034;039;041;042;...+14	38	215	3;18;28;36;43;48;49;64;66;79;83;91;105;114;125;157;168;172;180;183;189;196;199;203;...+19	43	4396	vm_instruction_trace.tsv:2198;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2198	215	0		flags0;state0;u16_0;u16_2	0x288d43ba;0x3154e54a	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_2	mask32:11;^:5;+:8;-:5	state0 ^ flags0 + 0x3154e54a - 0x288d43ba + u16_0 + state0 ^ flags0 + 0x3154e54a - 0x288d43ba - flags0	128=(mask32((mask32(u16_2 ^ (mask32((mask32((mask32(state0 ^ (mask32(flags0 + 0x3154e54a)))) - 0x288d43ba)) + (mask32((mask32(u16_0 + (mask32((mask32(state0 ^ (mask32(flags0 + 0x3154e54a)))) - 0x288d43ba))))...#16d4adea9152	simplify_to_c_expression_or_table
122	0x9170d	vmop_122_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:41	algebraic_state_or_slot_formula:41	slot_mba_stateful	state_add_const	+0x5	VVCCV	VC	b0=var38(top=0x63:30.3%);b1=var40(top=0x71:30.1%);b2=0x3d;b3=0x01;b4=var37(top=0xd7:30.1%)	w0=var41(top=0x7163:30.1%);w1=0x013d	000;002;009;011;018;023;026;035;041;042;046;048;050;052;053;055;056;059;061;063	20	41	75;114;145;189;199;210;246;258;316;334;340	11	996	vm_instruction_trace.tsv:498;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:498	41	0		flags0;state0;u16_0	0xffff;0x1af9be18	pre_state;pre_flags;raw_vm_bytes:u16_0	mask32:3;&:1;+:7;-:1	state0 + flags0 - u16_0 + state0 + flags0 + 0x1af9be18	121=(mask32((mask32(u16_0 + (mask32(state0 + flags0)))) + 0x1af9be18)) & 0xffff	simplify_to_c_expression_or_table
123	0x91a59	vmop_123_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:889	algebraic_state_or_slot_formula:889	slot_mba_stateful	state_add_const	+0x4	VVCC	VC	b0=var226(top=0x56:3.4%);b1=var237(top=0x96:3.3%);b2=0xe8;b3=0x01	w0=var861(top=0xde81:2.4%);w1=0x01e8	000;001;002;003;004;005;006;007;008;009;010;011;012;013;014;015;016;017;018;019;020;021;022;023;...+37	61	889	5;18;28;40;50;64;66;69;78;95;101;114;119;175;181;185;189;195;199;215;216;258;261;264;...+10	34	21196	vm_instruction_trace.tsv:10598;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:10598	889	0		state0;u16_0	0xffff;0x1603b0a9;0x3da77425	pre_state;raw_vm_bytes:u16_0	mask32:3;&:1;^:2;+:3;-:3	state0 + 0x3da77425 - u16_0 - state0 + 0x3da77425 ^ 0x1603b0a9	128=(mask32((mask32(u16_0 - (mask32(state0 + 0x3da77425)))) ^ 0x1603b0a9)) & 0xffff	simplify_to_c_expression_or_table
124	0x91e81	vmop_124_plus0x6_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:306	algebraic_state_or_slot_formula:306	slot_multi_path	state_add_const	+0x6	VVVVVV	VVV	b0=var166(top=0xc1:12.6%);b1=var177(top=0x7f:8.9%);b2=var34(top=0x00:43.4%);b3=var144(top=0x1b:7.3%);b4=var91(top=0x4f:12.2%);b5=var36(top=0xcb:25.7%)	w0=var303(top=0xee29:7.0%);w1=var236(top=0x1bf0:7.0%);w2=var198(top=0xc44f:9.6%)	000;001;002;004;007;008;009;010;011;012;015;016;017;018;019;021;022;023;024;025;026;028;029;030;...+23	47	306	3;18;28;37;43;48;49;52;64;66;70;79;83;90;92;114;122;148;157;168;172;185;189;192;...+22	46	3592	vm_instruction_trace.tsv:1796;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:1796	306	0		flags0;state0;u16_4;u32_0	0x2bb25e3;0x2c2f20af;0x3654c1a7;0x50ef8024;0x57b29524;0x7c31e804	pre_state;pre_flags;raw_vm_bytes:u16_4,u32_0	mask32:26;&:2;|:15;^:33;+:30;-:48	state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 & u32_0 - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 - u16_4 + state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 & u32_0 - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ 0x3654c1a7	71=(mask32((mask32(u16_4 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ flags0)) ^ 0x2bb25e3)) | 0x50ef8024)) + (mask32(flags0 - (mask32((mask32((mask32((mask32(state0 - 0...#a71fad2f15d8 | 57=(mask32((mask32(u16_4 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ (mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)))) ^ 0x2bb25e3)) | 0x50ef8024)) + (mask32((mask...#eb1d9ab33bed	simplify_to_c_expression_or_table
125	0x922c4	vmop_125_plus0x5_state_formula_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:26	algebraic_state_or_slot_formula;state_formula_not_named:26	slot_mba_stateful	state_formula	+0x5	VVVCC	VV	b0=var25(top=0x2b:70.5%);b1=var25(top=0x60:70.5%);b2=var24(top=0x21:70.5%);b3=0x3d;b4=0x01	w0=var26(top=0x602b:70.5%);w1=var24(top=0x3d21:70.5%)	002;004;011;015;016;026;031;035;036;041;043;055;056;059;061	15	26	18;28;30;75;114;145;210;246;316;334;347	11	258	vm_instruction_trace.tsv:129;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:129	26	0		state0;u16_0	0xffff;0x7b275316	pre_state;raw_vm_bytes:u16_0	mask32:2;&:2;+:2;-:2	state0 & u16_0 + state0 - 0x7b275316	19=(mask32((mask32(u16_0 + state0)) - 0x7b275316)) & 0xffff	simplify_to_c_expression_or_table
127	0x926c3	vmop_127_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:3	algebraic_state_or_slot_formula:3	slot_mba_stateful	state_add_const	+0x5	EEECC	EE	b0=enum3(0xdf:256,0x7b:64,0x99:64);b1=enum3(0x22:256,0xc7:64,0xa1:64);b2=enum3(0xc9:256,0x79:64,0x2b:64);b3=0x3d;b4=0x01	w0=enum3(0x22df:256,0xc77b:64,0xa199:64);w1=enum3(0x3dc9:256,0x3d79:64,0x3d2b:64)	029;030	2	3	108;144;257	3	768	vm_instruction_trace.tsv:384;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:384	3	0		state0;u16_0	0xffff;0xf376a6a	pre_state;raw_vm_bytes:u16_0	mask32:2;&:1;|:1;+:2;-:2	state0 | u16_0 - state0 + 0xf376a6a	128=(mask32((mask32(u16_0 - state0)) + 0xf376a6a)) & 0xffff	simplify_to_c_expression_or_table
128	0x9299b	vmop_128_plus0x5_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:115	algebraic_state_or_slot_formula:115	slot_multi_path	state_add_const	+0x5	EVVVV	VV	b0=enum4(0x62:840,0x3a:175,0x50:118,0x32:25);b1=var10(top=0x79:57.3%);b2=var17(top=0x04:24.0%);b3=var77(top=0xb7:22.4%);b4=var50(top=0x94:25.1%)	w0=var20(top=0x7962:44.7%);w1=var107(top=0xcf04:22.3%)	002;004;008;009;010;011;012;013;018;021;023;025;026;028;029;030;032;034;035;039;041;042;046;047;...+10	34	115	3;18;28;43;49;64;66;79;82;83;94;99;114;131;157;168;172;185;189;196;199;203;215;220;...+10	34	2316	vm_instruction_trace.tsv:1158;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:1158	115	0		flags0;state0;u16_1;u16_3	0x38cd3a;0x46f37ee;0x1a4f949c;0x277b426c;0x32c25a60;0x36a392ff;0x38cd3aec;0x46f37ee7;0x4e6b72c6;0x539da50e;0x57b04ce2;0x63f5af32;0x7036ea56;0x706a6a76;0x7b467141	pre_state;pre_flags;raw_vm_bytes:u16_1,u16_3	mask32:26;&:19;|:13;^:10;+:17;-:24	state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec - u16_1 + state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec + flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 - 0x1a4f949c - 0x4e6b72c6 | 0x7b467141 & u16_3 ^ state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec - u16_1 + state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec + flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 - 0x1a4f949c - 0x4e6b72c6 | 0x7b467141 + 0x539da50e	109=(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32(flags0 | 0x36a392ff)))) | 0x38cd3a...#ecd27d758938 | 19=(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32((mask32((mask32(flags0 ^ 0x46f37ee...#07008f725ecb	simplify_to_c_expression_or_table
129	0x92f21	vmop_129_plus0x3_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:10	algebraic_state_or_slot_formula:10	slot_multi_path	state_add_const	+0x3	VVE	V	b0=var10(top=0xf0:46.0%);b1=var10(top=0x06:46.0%);b2=enum2(0x62:137,0x32:2)	w0=var10(top=0x06f0:46.0%)	001;010;030;047;051;055;056	7	10	66;99;146;172;199;215;217;300;347	9	278	vm_instruction_trace.tsv:139;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:139	10	0		flags0;state0;u16_0	0x63b683d;0x14f8aa88;0x3f4e9109;0x42c8b2fa;0x5d5f2ae2;0x5f119f37;0x77ecded8	pre_state;pre_flags;raw_vm_bytes:u16_0	mask32:13;&:9;|:6;+:18;-:6	state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 + flags0 + state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 - 0x42c8b2fa - 0x3f4e9109 + 0x5d5f2ae2 & 0x63b683d & u16_0 - state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 + flags0 + state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 - 0x42c8b2fa - 0x3f4e9109 + 0x5d5f2ae2 & 0x63b683d	128=(mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 | 0x77ecded8)))) + 0x14f8aa88)) + 0x5f119f37)) + (mask32(flags0 + (mask32((mask32((mask32((mask32(state0 & (mask32(flags0 |...#9cf512e1edb8	simplify_to_c_expression_or_table
130	0x931d3	vmop_130_plus0x5_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:2	algebraic_state_or_slot_formula:2	slot_multi_path	state_add_const	+0x5	EECCE	EC	b0=enum2(0x78:4,0xa1:1);b1=enum2(0xf5:4,0xc3:1);b2=0x3d;b3=0x01;b4=enum2(0x00:4,0x4b:1)	w0=enum2(0xf578:4,0xc3a1:1);w1=0x013d	000;055	2	2	144;198	2	10	vm_instruction_trace.tsv:5;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:5	2	0		flags0;state0;u16_0	0xffff;0x3941798;0x1b3f106e;0x3a044344;0x42718c2a;0x5121ff33	pre_state;pre_flags;raw_vm_bytes:u16_0	mask32:9;&:4;|:4;+:13;-:10	state0 | flags0 - state0 + 0x42718c2a + flags0 - state0 + 0x42718c2a + 0x3941798 - 0x1b3f106e & 0x3a044344 | u16_0 + state0 | flags0 - state0 + 0x42718c2a + flags0 - state0 + 0x42718c2a + 0x3941798 - 0x1b3f106e & 0x3a044344 - 0x5121ff33	4=(mask32((mask32(u16_0 + (mask32((mask32(state0 | (mask32(flags0 - (mask32(state0 + 0x42718c2a)))))) + (mask32((mask32(flags0 - (mask32(state0 + 0x42718c2a)))) & 0x3a044344)))))) - 0x5121ff33)) & 0xffff	simplify_to_c_expression_or_table
131	0x937d0	vmop_131_plus0x5_state_formula_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:18	algebraic_state_or_slot_formula;state_formula_not_named:18	slot_multi_path	state_formula	+0x5	VVVCC	VV	b0=var17(top=0xc5:15.2%);b1=var16(top=0x97:21.2%);b2=var18(top=0x58:15.2%);b3=0x3d;b4=0x01	w0=var18(top=0x0fc5:15.2%);w1=var18(top=0x3d58:15.2%)	017;026;041;042;052;055;056;059;063	9	18	108;144;160;173;198;257;352	7	132	vm_instruction_trace.tsv:66;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:66	18	0		flags0;state0;u16_1	0x43;0x8fb57c3;0x95703a1;0xea909d9;0x1d802c44;0x1ec4fc3d;0x248dd823;0x4382f497;0x45a18ca4;0x4674713d;0x7099ef27;0x75229706	pre_state;pre_flags;raw_vm_bytes:u16_1	mask32:27;|:16;^:18;+:17;-:34	state0 | 0x8fb57c3 - 0x45a18ca4 | flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - u16_1 + state0 | 0x8fb57c3 - 0x45a18ca4 | flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 ^ 0x1d802c44	10=(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 | 0x8fb57c3)) - 0x45a18ca4)) | (mask32((mask32((mask32((mask32(flags0 - (mask32((mask32(state0 | 0x8fb57c3)) + 0x4674713d)))) ^ 0x43...#ccaf3278b018 | 4=(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 | 0x8fb57c3)) - 0x45a18ca4)) | (mask32((mask32((mask32((mask32((mask32((mask32(flags0 + 0x75229706)) - 0x1ec4fc3d)) - (mask32((mask3...#f1a7c3008f2e	simplify_to_c_expression_or_table
