hidden_source_entry	hidden_source_target	hidden_target_entry	hidden_target	delta	events	unique_start_ips	unique_end_ips	statuses	source_observations	prev_sources	prev_sites	next_targets	all_start_ips	all_end_ips	start_ips	end_ips	top_ip_reads	top_bytes	top_sha256	inference	lifted_ir
264	0xaf4cf	165	0x9a24c	+0xe	31	6	6	file_backed:31	exact:31	161:25,184:3,123:2,158:1	tail@0x99b3a:25,tail@0x9d961:3,tail@0x91e7f:2,tail@0x992ca:1	337:25,64:3,172:1,114:1,189:1	0x11eb8c,0x24972b,0x33a50b,0x36d92c,0x36fca8,0x3708e4	0x11eb9a,0x249739,0x33a519,0x36d93a,0x36fcb6,0x3708f2	0x11eb8c,0x24972b,0x33a50b,0x36d92c,0x36fca8,0x3708e4	0x11eb9a,0x249739,0x33a519,0x36d93a,0x36fcb6,0x3708f2	+0x4/2,+0x6/4,+0x0/4,+0x18/2,+0x1a/2,+0x12/2,+0xa/2,+0x16/2,+0xe/2,+0x14/2,+0xc/2,+0x6/2,+0x0/2,+0x2/2,+0x1e/2,+0x20/2,+0x1c/2,+0x10/2,+0x8/2:31	682737008000a9d44800e801a500:25,30bd24008000b6290700a500e801:2,4bb333008000ff4d0200a500e801:1,41ea36008000ff4d0200e801a500:1,76213700800060830700e801a500:1,c64d120080003a9c0200a500e801:1	8f576d5065a920b216f18ad0cbd967e18e74c3c0020abbe4895ea6859167cd56	adjacent_unhooked_span	inferred table[264] -> table[165], ip += 0xe
311	0xb86f8	171	0x9b4b3	+0xe	31	7	7	file_backed:31	exact:31	161:26,174:3,184:1,123:1	tail@0x99b3a:26,tail@0x9c08c:3,tail@0x9d961:1,tail@0x91e7f:1	114:25,66:1,337:1,189:1,340:1,18:1,64:1	0x11b364,0x11b7e8,0x18c2a6,0x31d75a,0x31ec6a,0x3686b9,0x3718ff	0x11b372,0x11b7f6,0x18c2b4,0x31d768,0x31ec78,0x3686c7,0x37190d	0x11b364,0x11b7e8,0x18c2a6,0x31d75a,0x31ec6a,0x3686b9,0x3718ff	0x11b372,0x11b7f6,0x18c2b4,0x31d768,0x31ec78,0x3686c7,0x37190d	+0x6/4,+0x4/2,+0x0/4,+0x0/1,+0x1/2,+0x3/2:31	7a2b370080008e500200e801ab00:25,1b32120080001c600300e801ab00:1,9b34120080001c600300e801ab00:1,a2c918008000945e0300e801ab00:1,d2fa310080006c510700e801ab00:1,010732008000ff4d0200ab00e801:1,19a536008000300b0200ab00e801:1	3f3f1bef2370fa13599d0fd2d882619c0e897e349fd11931717c81c83ac99328	adjacent_unhooked_span	inferred table[311] -> table[171], ip += 0xe
145	0x95b5c	66	0x855ff	+0x11	26	2	2	file_backed:26	sampled_long_or_sparse:26	242:25,125:1	tail@0xaab67:25,tail@0x92612:1	64:25,337:1	0x34367e,0x3704f7	0x34368f,0x370508	0x34367e,0x3704f7	0x34368f,0x370508	+0x8/2,+0xa/1,+0x0/2,+0x4/4:26	62010000790200003d0122e8040ecb6800:25,62010000711000003d01226008e5a8ba63:1	03ad178cb33c506045d0018abd320d2e9128bd72e08aa88e0684c7642a943be7	adjacent_unhooked_span	inferred table[145] -> table[66], ip += 0x11
145	0x95b5c	196	0x9fbcd	+0x13	25	1	1	file_backed:25	sampled_long_or_sparse:25	245:25	tail@0xab424:25	28:25	0x370743	0x370756	0x370743	0x370756	+0x8/2,+0xa/1,+0x0/2,+0x4/4:25	620100002d0000003d019a400604b8de822006:25	89f785d4bb58ba801ec8acf521ff8738cca7a3af7a165af8f0a2a90ea39bdbfe	adjacent_unhooked_span	inferred table[145] -> table[196], ip += 0x13
246	0xab427	347	0xc088d	+0x10	25	1	1	file_backed:25	sampled_long_or_sparse:25	52:25	tail@0x8371b:25	157:25	0x370a81	0x370a91	0x370a81	0x370a91	+0x8/2,+0xa/1,+0x0/2,+0x4/4:25	a5000000ca0f00003d0122f65289bebc:25	2047caef8539f9ed49e902a75cf097338d8e17904791a8a10037ff10e78c1ce5	adjacent_unhooked_span	inferred table[246] -> table[347], ip += 0x10
316	0xb987b	268	0xb0007	+0x10	25	1	1	file_backed:25	sampled_backedge:25	52:25	tail@0x8371b:25	121:25	0x371a20	0x371a30	0x371a20	0x371a30	+0x8/2,+0xa/1,+0x0/2,+0x4/4:25	a5000000430000003d019a95f3e615b2:25	d1a5ff279a04dad74dcc532241dbcb75dfaf83e4796146f5e1134d852f37497d	adjacent_unhooked_span	inferred table[316] -> table[268], ip += 0x10
316	0xb987b	203	0xa1484	+0x11	25	1	1	file_backed:25	sampled_backedge:25	245:25	tail@0xab424:25	332:25	0x3707a0	0x3707b1	0x3707a0	0x3707b1	+0x8/2,+0xa/1,+0x0/2,+0x4/4:25	a5000000c31200003d0122512d5cd89cbc:25	5444a6238ddb8e7fb74ccd6169110f6260828b676e237b0087f8792d087c529a	adjacent_unhooked_span	inferred table[316] -> table[203], ip += 0x11
145	0x95b5c	203	0xa1484	+0x16	22	1	1	file_backed:22	sampled_long_or_sparse:22	122:22	tail@0x91a57:22	66:22	0x36ef16	0x36ef2c	0x36ef16	0x36ef2c	+0x8/2,+0xa/1,+0x0/2,+0x4/4:22	ab000000300000003d0122a006130023569d013d0180:22	bc405540b5d27855c8dbf79d95af09b69ec29b2829df4e05dc01e082aa086054	adjacent_unhooked_span	inferred table[145] -> table[203], ip += 0x16
216	0xa4a61	171	0x9b4b3	+0xe	19	12	12	file_backed:19	exact:19	174:6,123:4,161:4,184:2,158:2,20:1	tail@0x9c08c:6,tail@0x91e7f:4,tail@0x99b3a:4,tail@0x9d961:2,tail@0x992ca:2,tail@0x7ca96:1	268:6,337:6,196:2,347:1,307:1,215:1,66:1,43:1	0x11c682,0x171205,0x171a17,0x17240d,0x176e97,0x24a8c5,0x24ae0f,0x31d984,0x3326a9,0x36c68c,0x36cabe,0x36d1cd	0x11c690,0x171213,0x171a25,0x17241b,0x176ea5,0x24a8d3,0x24ae1d,0x31d992,0x3326b7,0x36c69a,0x36cacc,0x36d1db	0x11c682,0x171205,0x171a17,0x17240d,0x176e97,0x24a8c5,0x24ae0f,0x31d984,...+4	0x11c690,0x171213,0x171a25,0x17241b,0x176ea5,0x24a8d3,0x24ae1d,0x31d992,...+4	+0x6/4,+0x4/2,+0x0/4,+0x0/1,+0x3/2,+0x1/2:19	9ce436008000b6510700ab00e801:4,79e736008000c9d74800e801ab00:3,3cc62400800060654b00ab00e801:2,0dc924008000a01c4b00ab00e801:2,033b1200800028880200e801ab00:1,64fc3100800092510700e801ab00:1,483e33008000a6510700ab00e801:1,46e33600800000ff0100ab00e801:1	8a3d84de7839348a6d8f9316738033d2a330529654e7d81501f3434ce1dd6ba9	adjacent_unhooked_span	inferred table[216] -> table[171], ip += 0xe
210	0xa2da3	157	0x98a9a	+0x16	18	1	1	file_backed:18	sampled_long_or_sparse:18	52:18	tail@0x8371b:18	340:18	0x3427cd	0x3427e3	0x3427cd	0x3427e3	+0x8/2,+0xa/1,+0x0/2,+0x4/4:18	ab000000300000003d012234ec13003d019d0180141a:18	76d96d0d500ef151628c0a5e6c2cec9b47a500e7bfaf450453d94d98921c9e00	adjacent_unhooked_span	inferred table[210] -> table[157], ip += 0x16
