program	case_state	status	block	row_count	terminal_kind	successor_vm_ip	successor_entry	edge_kind	edge_delta	edge_semantic_ir	raw_bytes_0_5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	observed_pre_state	observed_pre_flags	observed_pre_byte	observed_first_target_entry	trace_observations	trace_with_pre_state	reduction	missing
059	0x3674c3	ready_for_mba_reduction	409	143	exact_instruction	0x3676e5	171	fallthrough	+0x2	next = 171@0x9b4b3:1, ip += +0x2; dispatch_model=static_100	0xa5 0x0 0xe8 0x1 0x12 0x0	0xa5	0xe800	0x1e8	0x12	0xea9cdab8	0xdb551cd1		165	12	1	concrete_successor_edge	
059	0x3676e5	ready_for_mba_reduction	410	7	long_branch_forward	0x36772d	354	decoded_control	+0x30	next = table[354], ip += 0x30	0x7c 0x0 0xc1 0x4d 0x0 0x2e	0x7c	0xc100	0x4dc1	0x2e00	0x117b1e60	0xea549f90		124	480	40	concrete_successor_edge	
059	0x367713	ready_for_mba_reduction	411	6	long_branch_backedge	0x3676e5	171	decoded_control	-0x40	next = table[171], ip -= 0x40	0x76 0x93 0x28 0x56 0x4a 0x8d	0x9376	0x2893	0x5628	0x8d4a	0xaec59fe8	0x5c5a4951		297	468	39	concrete_successor_edge	
059	0x36772d	ready_for_mba_reduction	412	134	exact_instruction	0x367931	165	fallthrough	+0x2	next = 165@0x9a24c:1, ip += +0x2; dispatch_model=static_100	0x9a 0x0 0xa0 0x38 0xe8 0x1	0x9a	0xa000	0x38a0	0x1e8	0x7d53a2f8	0x16831a14		154	12	1	concrete_successor_edge	
059	0x367931	ready_for_mba_reduction	413	190	long_branch_forward	0x367e96	354	decoded_control	+0x288	next = table[354], ip += 0x288	0x54 0x1 0x8c 0x13 0x68 0x0	0x154	0x8c01	0x138c	0x68	0xee7c393a	0x6f40cdd1		340	120	10	concrete_successor_edge	
059	0x367c1f	ready_for_mba_reduction	414	163	long_branch_backedge	0x367931	165	decoded_control	-0x55d	next = table[165], ip -= 0x55d	0x74 0xff 0x6c 0xff 0xa3 0x77	0xff74	0x6cff	0xff6c	0x77a3	0x8020620	0x9e0b95b6		297	108	9	concrete_successor_edge	
059	0x367e96	ready_for_mba_reduction	415	96	exact_instruction	0x368007	354	fallthrough	+0x2	next = 354@0xc2241:1, ip += +0x2; dispatch_model=static_100; state=state_mixed	0x4c 0x1 0x1c 0xd7 0x7f 0xcf	0x14c	0x1c01	0xd71c	0xcf7f	0xe506389d	0x16833a14		332	12	1	concrete_successor_edge	
059	0x368007	ready_for_mba_reduction	416	20	long_branch_forward	0x3682dd	165	decoded_control	+0x28b	next = table[165], ip += 0x28b	0x42 0x1 0xe8 0x1 0x74 0x97	0x142	0xe801	0x1e8	0x9774	0xd9f75ee5	0x4022918		322	48	4	concrete_successor_edge	
059	0x368063	ready_for_mba_reduction	417	164	long_branch_backedge	0x368007	354	decoded_control	-0x2ce	next = table[354], ip -= 0x2ce	0xe3 0xa 0xe8 0x1 0x42 0x6	0xae3	0xe80a	0x1e8	0x642	0x529ba229	0x1d4e1231		157	36	3	concrete_successor_edge	
059	0x3682dd	ready_for_mba_reduction	418	116	exact_instruction	0x36848f	311	covered_synthetic_fallthrough	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100	0x1c 0x0 0x90 0x3 0x10 0x2e	0x1c	0x9000	0x390	0x2e10	0x78230118	0xa1dfbe1		28	12	1	concrete_successor_edge	
059	0x36849d	ready_for_mba_reduction	419	143	exact_instruction	0x3686b9	311	covered_synthetic_fallthrough	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100	0x1c 0x0 0xe8 0x5 0x10 0x5e	0x1c	0xe800	0x5e8	0x5e10	0xe6dd2577	0x89bc33b1		28	12	1	concrete_successor_edge	
059	0x3686c7	ready_for_mba_reduction	420	169	exact_instruction	0x368944	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100	0x40 0x0 0x1d 0xa8 0x99 0x0	0x40	0x1d00	0xa81d	0x99	0x69a345e1	0x33d047a8		64	12	1	concrete_successor_edge	
059	0x368952	ready_for_mba_reduction	421	85	exact_instruction	0x368a98	75	covered_synthetic_fallthrough	+0x5	next = 75@0x873fc:1, ip += +0x5; dispatch_model=static_100	0x40 0x0 0xbd 0xa2 0x99 0x0	0x40	0xbd00	0xa2bd	0x99	0x1054a4b2	0x3bc054ba		64	12	1	concrete_successor_edge	
059	0x368aa9	ready_for_mba_reduction	422	107	exact_instruction	0x368c3b	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100	0x58 0x61 0xd0 0x3 0xe8 0x1	0x6158	0xd061	0x3d0	0x1e8	0x20040	0x453a090		183	12	1	concrete_successor_edge	
059	0x368c49	ready_for_mba_reduction	423	104	exact_instruction	0x368dd8	334	covered_synthetic_fallthrough	+0x5	next = 334@0xbdd18:1, ip += +0x5; dispatch_model=static_100	0x2 0x1 0x4e 0xbe 0x7 0x76	0x102	0x4e01	0xbe4e	0x7607	0x9cde1084	0xacb11fb3		258	12	1	concrete_successor_edge	
059	0x368de9	ready_for_mba_reduction	424	23	exact_instruction	0x368e48	334	covered_synthetic_fallthrough	+0x5	next = 334@0xbdd18:1, ip += +0x5; dispatch_model=static_100	0x10 0x1b 0x50 0xc5 0x93 0xf	0x1b10	0x501b	0xc550	0xf93	0x17d34ed8	0xa04b0a4		180	12	1	concrete_successor_edge	
059	0x368e58	ready_for_mba_reduction	425	68	exact_instruction	0x368f60	165	fallthrough	+0x2	next = 165@0x9a24c:1, ip += +0x2; dispatch_model=static_100	0x96 0x8a 0x8c 0x2 0x7f 0x94	0x8a96	0x8c8a	0x28c	0x947f	0xa575bd8	0xf4288caf		43	12	1	concrete_successor_edge	
059	0x368f60	ready_for_mba_reduction	426	72	exact_instruction	0x36906d	216	covered_synthetic_fallthrough	+0x4	next = 216@0xa4a61:4, ip += +0x4; dispatch_model=static_100	0xc8 0x0 0xd8 0x7b 0x7 0x0	0xc8	0xd800	0x7bd8	0x7	0xfffffc2f	0xfefdeff9		200	48	4	concrete_successor_edge	
059	0x36907b	ready_for_mba_reduction	427	134	exact_instruction	0x369275	321	covered_synthetic_fallthrough	+0x4	next = 321@0xbb1dd:4, ip += +0x4; dispatch_model=static_100	0x4d 0x1 0x73 0xe9 0x99 0x0	0x14d	0x7301	0xe973	0x99	0xdf8b4fec	0xe066dc88		333	48	4	concrete_successor_edge	
059	0x369286	ready_for_mba_reduction	428	73	long_branch_forward	0x369b28	354	decoded_control	+0x791	next = table[354], ip += 0x791	0xa8 0x0 0x99 0x0 0x16 0xd8	0xa8	0x9900	0x99	0xd816	0xfdbf9aa9	0x25d3a910		168	48	4	concrete_successor_edge	
059	0x3693a8	ready_for_mba_reduction	429	101	exact_instruction	0x369525	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:3, ip += +0x4; dispatch_model=static_100	0x3b 0xd0 0x68 0x0 0xe0 0x3	0xd03b	0x68d0	0x68	0x3e0	0x7b5fbbf3	0x7bfb94dd		215	36	3	concrete_successor_edge	
059	0x369533	ready_for_mba_reduction	430	156	exact_instruction	0x36977c	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:3, ip += +0x4; dispatch_model=static_100	0x54 0x1 0xd4 0x17 0x99 0x0	0x154	0xd401	0x17d4	0x99	0x20e2508f	0x75bc468e		340	36	3	concrete_successor_edge	
059	0x36978a	ready_for_mba_reduction	431	121	exact_instruction	0x369951	69	covered_synthetic_fallthrough	+0x4	next = 69@0x85f24:3, ip += +0x4; dispatch_model=static_100	0x51 0x1 0x68 0x95 0x99 0x0	0x151	0x6801	0x9568	0x99	0xb0f85fd1	0x3b514600		337	36	3	concrete_successor_edge	
059	0x369962	ready_for_mba_reduction	432	73	long_branch_forward	0x369ad3	354	decoded_control	+0x60	next = table[354], ip += 0x60	0x51 0x1 0x10 0x95 0x99 0x0	0x151	0x1001	0x9510	0x99	0xd1853c4	0x4199e44		337	36	3	concrete_successor_edge	
