program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
041	0x30e872	ready_for_mba_reduction	all required static/runtime fields are present	20	17	17	17	yes	yes	417	
041	0x30eea2	ready_for_mba_reduction	all required static/runtime fields are present	238	56	56	56	yes	yes	7	
041	0x30eed0	ready_for_mba_reduction	all required static/runtime fields are present	221	52	52	52	yes	yes	6	
041	0x30eeea	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	134	
041	0x30f0ee	ready_for_mba_reduction	all required static/runtime fields are present	68	16	16	16	yes	yes	189	
041	0x30f3d6	ready_for_mba_reduction	all required static/runtime fields are present	51	12	12	12	yes	yes	163	
041	0x30f64d	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	486	
041	0x30fd95	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	911	
041	0x310b1c	ready_for_mba_reduction	all required static/runtime fields are present	1096	56	56	56	yes	yes	178	
041	0x310dca	ready_for_mba_reduction	all required static/runtime fields are present	1085	56	56	56	yes	yes	1865	
041	0x3129aa	ready_for_mba_reduction	all required static/runtime fields are present	1079	52	52	52	yes	yes	3116	
041	0x31580e	ready_for_mba_reduction	all required static/runtime fields are present	1079	52	52	52	yes	yes	318	
041	0x315cc8	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	654	
