program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
021	0x1705a9	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	182	
021	0x170864	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	194	
021	0x170b4f	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	162	
021	0x170dbf	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	144	
021	0x170fe9	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	144	
021	0x171213	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	181	
021	0x1714ca	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	194	
021	0x1717b5	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	162	
021	0x171a25	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	144	
021	0x171c4f	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	144	
021	0x171e79	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	181	
021	0x172130	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	194	
021	0x17241b	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	150	
021	0x17265b	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	144	
021	0x172885	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	144	
021	0x172aaf	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	181	
021	0x172d66	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	194	
021	0x173051	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	162	
021	0x1732c1	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	144	
021	0x1734eb	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	144	
021	0x173715	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	181	
021	0x1739cc	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	194	
021	0x173cb7	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	162	
021	0x173f27	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	144	
021	0x174151	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	144	
021	0x17437b	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	116	
