rank	kind	key	priority	events	unique_start_ips	unique_end_ips	sources	targets	deltas	statuses	sites	nearest_recovered	sample_starts	sample_ends	detail
11	decoded_long_branch_sample	75->171:-0x6d	1275	255	1	1	75:255	171:255	-0x6d:255	backedge_sample:255	tail@0x87c25:255	inside=140@0x22fe2d-0x230111+0x117	0x22ffb1	0x22ff44	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=255;operand_min_len=0xb;operand_shape=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;ir=next = table[171], ip -= 0x6d
12	hidden_transition_destination	0x3703d8	650	26	1	1	161:26	311:26	+0x4:26	exact:26	tail@0x99b3a:26	prev=290@0x370256-0x3703d8+0x0;next=291@0x3703e6-0x3708e4-0xe	0x3703d4	0x3703d8	exact positive instruction enters adjacent hidden span; hidden=311->165:+0xe:events=39:obs=exact:39
13	decoded_long_branch_source	334	630	42	0	0	334:42	354@0xc2241:33,171@0x9b4b3:5,165@0x9a24c:4	+0x2a5:25,+0x288:2,+0x30:2,+0x2f:2,+0x20d:1	decoded_long_branch:42	tail@0xbe55b:42				source_target=0xbdd18;unique_vm_ips=18;top_targets=354@0xc2241:33,171@0x9b4b3:5,165@0x9a24c:4;top_deltas=+0x2a5:25,+0x288:2,+0x30:2,+0x2f:2,+0x20d:1;long_branch_events=42;long_branch_variants=18;long_branch_operand_lens=0xb:42;long_branch_operand_shapes=42=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;long_branch_top_ir=25=next = table[354], ip += 0x2a5,1=next = table[165], ip += 0x238,1=next = table[165], ip += 0x288,1=next = table[165], ip += 0x2f,1=next = table[165], ip += 0x48d
14	decoded_long_branch_sample	266->354:-0x2e8	625	125	1	1	266:125	354:125	-0x2e8:125	backedge_sample:125	tail@0xafa1d:125	inside=295@0x370f18-0x3718ff+0x514	0x371714	0x37142c	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=125;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x2e8
15	hidden_transition_destination	0x3708e4	625	25	1	1	161:25	264:25	+0x4:25	exact:25	tail@0x99b3a:25	prev=291@0x3703e6-0x3708e4+0x0;next=292@0x3708f2-0x370a81-0xe	0x3708e0	0x3708e4	exact positive instruction enters adjacent hidden span; hidden=264->165:+0xe:events=31:obs=exact:31
16	hidden_transition_destination	0x370a81	625	25	1	1	52:25	246:25	+0x5:25	exact:25	tail@0x8371b:25	prev=292@0x3708f2-0x370a81+0x0;next=293@0x370a91-0x370cb0-0x10	0x370a7c	0x370a81	exact positive instruction enters adjacent hidden span; hidden=246->347:+0x10:events=25:obs=sampled_long_or_sparse:25
17	hidden_transition_destination	0x370cb0	625	25	1	1	20:25	356:25	+0x4:25	exact:25	tail@0x7ca96:25	prev=293@0x370a91-0x370cb0+0x0;next=294@0x370cbe-0x370f0a-0xe	0x370cac	0x370cb0	exact positive instruction enters adjacent hidden span; hidden=356->171:+0xe:events=33:obs=exact:33
18	hidden_transition_destination	0x370f0a	625	25	1	1	176:25	264:25	+0x4:25	exact:25	tail@0x9c3f4:25	prev=294@0x370cbe-0x370f0a+0x0;next=295@0x370f18-0x3718ff-0xe	0x370f06	0x370f0a	exact positive instruction enters adjacent hidden span; hidden=264->171:+0xe:events=58:obs=exact:58
19	hidden_transition_destination	0x3718ff	625	25	1	1	161:25	311:25	+0x4:25	exact:25	tail@0x99b3a:25	prev=295@0x370f18-0x3718ff+0x0;next=296@0x37190d-0x371a20-0xe	0x3718fb	0x3718ff	exact positive instruction enters adjacent hidden span; hidden=311->171:+0xe:events=31:obs=exact:31
20	hidden_transition_destination	0x371a20	625	25	1	1	52:25	316:25	+0x5:25	exact:25	tail@0x8371b:25	prev=296@0x37190d-0x371a20+0x0;next=297@0x371a30-0x371b85-0x10	0x371a1b	0x371a20	exact positive instruction enters adjacent hidden span; hidden=316->268:+0x10:events=25:obs=sampled_backedge:25
21	decoded_long_branch_source	246	585	39	0	0	246:39	165@0x9a24c:31,354@0xc2241:6,171@0x9b4b3:2	+0x78:25,+0x792:3,+0x21a:2,+0x288:2,+0x28b:2	decoded_long_branch:39	tail@0xabc56:39				source_target=0xab427;unique_vm_ips=13;top_targets=165@0x9a24c:31,354@0xc2241:6,171@0x9b4b3:2;top_deltas=+0x78:25,+0x792:3,+0x21a:2,+0x288:2,+0x28b:2;long_branch_events=39;long_branch_variants=12;long_branch_operand_lens=0xb:39;long_branch_operand_shapes=39=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;long_branch_top_ir=25=next = table[165], ip += 0x78,3=next = table[165], ip += 0x792,2=next = table[354], ip += 0x28b,1=next = table[165], ip += 0x211,1=next = table[165], ip += 0x21a
22	decoded_long_branch_sample	308->171:-0x51a4	455	91	1	1	308:91	171:91	-0x51a4:91	backedge_sample:91	tail@0xb84a4:91	inside=188@0x30fd95-0x316692+0xd87	0x315cc0	0x310b1c	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=91;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x51a4
23	decoded_long_branch_sample	308->171:-0x9de	320	64	1	1	308:64	171:64	-0x9de:64	backedge_sample:64	tail@0xb84a4:64	inside=142@0x230722-0x230b1b+0x117	0x231217	0x230839	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=64;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x9de
24	hidden_transition_destination	0x33de22	300	12	1	1	123:12	264:12	+0x4:12	exact:12	tail@0x91e7f:12	prev=241@0x33dcce-0x33de22+0x0;next=242@0x33de30-0x33e02a-0xe	0x33de1e	0x33de22	exact positive instruction enters adjacent hidden span; hidden=264->171:+0xe:events=58:obs=exact:58
25	hidden_transition_destination	0x33e02a	300	12	1	1	20:12	80:12	+0x4:12	exact:12	tail@0x7ca96:12	prev=242@0x33de30-0x33e02a+0x0;next=243@0x33e03b-0x33e2da-0x11	0x33e026	0x33e02a	exact positive instruction enters adjacent hidden span; hidden=80->171:+0x11:events=17:obs=target_only:17
26	decoded_long_branch_sample	117->354:-0x40	280	56	3	3	117:56	354:56	-0x40:56	backedge_sample:56	tail@0x90c21:56	inside=247@0x33f278-0x34367e+0x450	0x33f708,0x343f34,0x36b386	0x33f6c8,0x343ef4,0x36b346	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=56;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x40
27	hidden_transition_destination	0x36b693	275	11	1	1	123:11	78:11	+0x4:11	exact:11	tail@0x91e7f:11	prev=270@0x36b124-0x36b693+0x0;next=271@0x36b6a4-0x36bee0-0x11	0x36b68f	0x36b693	exact positive instruction enters adjacent hidden span; hidden=78->165:+0x11:events=16:obs=exact:16
28	decoded_long_branch_sample	266->171:-0x40	260	52	4	4	266:52	171:52	-0x40:52	backedge_sample:52	tail@0xafa1d:52	inside=190@0x31aed4-0x31c33a+0x1119	0x31c02d,0x340f43,0x341a6d,0x3427f5	0x31bfed,0x340f03,0x341a2d,0x3427b5	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=52;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x40
29	decoded_long_branch_source	210	225	15	0	0	210:15	354@0xc2241:7,171@0x9b4b3:6,165@0x9a24c:2	+0x30:4,+0x28b:3,+0x60:3,+0x288:2,+0x670:1	decoded_long_branch:15	tail@0xa35dd:15				source_target=0xa2da3;unique_vm_ips=13;top_targets=354@0xc2241:7,171@0x9b4b3:6,165@0x9a24c:2;top_deltas=+0x30:4,+0x28b:3,+0x60:3,+0x288:2,+0x670:1;long_branch_events=15;long_branch_variants=9;long_branch_operand_lens=0xb:15;long_branch_operand_shapes=15=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;long_branch_top_ir=3=next = table[171], ip += 0x30,3=next = table[354], ip += 0x60,2=next = table[171], ip += 0x28b,2=next = table[354], ip += 0x288,1=next = table[165], ip += 0x30
30	hidden_transition_destination	0x33e2da	225	9	1	1	161:9	311:9	+0x4:9	exact:9	tail@0x99b3a:9	prev=243@0x33e03b-0x33e2da+0x0;next=244@0x33e2e8-0x33e532-0xe	0x33e2d6	0x33e2da	exact positive instruction enters adjacent hidden span; hidden=311->165:+0xe:events=39:obs=exact:39
31	hidden_transition_destination	0x33e532	225	9	1	1	161:9	264:9	+0x4:9	exact:9	tail@0x99b3a:9	prev=244@0x33e2e8-0x33e532+0x0;next=245@0x33e540-0x33e707-0xe	0x33e52e	0x33e532	exact positive instruction enters adjacent hidden span; hidden=264->171:+0xe:events=58:obs=exact:58
32	hidden_transition_destination	0x33e707	225	9	1	1	123:9	69:9	+0x4:9	exact:9	tail@0x91e7f:9	prev=245@0x33e540-0x33e707+0x0;next=246@0x33e718-0x33ea02-0x11	0x33e703	0x33e707	exact positive instruction enters adjacent hidden span; hidden=69->171:+0x11:events=15:obs=exact:15
33	uncovered_exact_destination	0x24bd2a	200	2	1	1	20:2	299:2	+0x4:2	exact:2	tail@0x7ca96:2	prev=161@0x24bb77-0x24bd2a+0x0;next=162@0x26cd71-0x26cf3b-0x21047	0x24bd26	0x24bd2a	exact positive instruction exits recovered bytecode coverage
34	decoded_long_branch_sample	302->171:-0x40	195	39	1	1	302:39	171:39	-0x40:39	backedge_sample:39	tail@0xb7699:39	inside=255@0x3674c3-0x36848f+0x222	0x367725	0x3676e5	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=39;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x40
35	decoded_long_branch_sample	117->165:-0x40	135	27	2	2	117:27	165:27	-0x40:27	backedge_sample:27	tail@0x90c21:27	inside=221@0x334a3d-0x3364c6+0x226	0x30eee2,0x334ca3	0x30eea2,0x334c63	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=27;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[165], ip -= 0x40
36	decoded_long_branch_sample	308->171:-0x17ed	125	25	1	1	308:25	171:25	-0x17ed:25	backedge_sample:25	tail@0xb84a4:25	inside=290@0x370256-0x3703d8+0x0	0x371a43	0x370256	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=25;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x17ed
37	hidden_transition_destination	0x331c7a	125	5	1	1	158:5	78:5	+0x4:5	exact:5	tail@0x992ca:5	prev=208@0x33170b-0x331c7a+0x0;next=209@0x331c8b-0x332469-0x11	0x331c76	0x331c7a	exact positive instruction enters adjacent hidden span; hidden=78->165:+0x11:events=16:obs=exact:16
38	decoded_long_branch_sample	308->171:-0x40	120	24	2	2	308:24	171:24	-0x40:24	backedge_sample:24	tail@0xb84a4:24	inside=190@0x31aed4-0x31c33a+0x42f	0x31b343,0x33196d	0x31b303,0x33192d	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=24;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[171], ip -= 0x40
39	decoded_long_branch_sample	302->165:-0x40	110	22	1	1	302:22	165:22	-0x40:22	backedge_sample:22	tail@0xb7699:22	inside=286@0x36ecdc-0x36fca8+0x222	0x36ef3e	0x36eefe	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=22;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[165], ip -= 0x40
40	hidden_transition_destination	0x3387d9	100	4	1	1	158:4	69:4	+0x4:4	exact:4	tail@0x992ca:4	prev=225@0x337e84-0x3387d9+0x0;next=226@0x3387ea-0x338f6c-0x11	0x3387d5	0x3387d9	exact positive instruction enters adjacent hidden span; hidden=69->354:+0x11:events=6:obs=exact:6
41	hidden_transition_destination	0x36906d	100	4	1	1	174:4	216:4	+0x4:4	exact:4	tail@0x9c08c:4	prev=262@0x368e58-0x36906d+0x0;next=263@0x36907b-0x369275-0xe	0x369069	0x36906d	exact positive instruction enters adjacent hidden span; hidden=216->165:+0xe:events=7:obs=exact:7
42	hidden_transition_destination	0x369275	100	4	1	1	174:4	321:4	+0x4:4	exact:4	tail@0x9c08c:4	prev=263@0x36907b-0x369275+0x0;next=264@0x369286-0x369525-0x11	0x369271	0x369275	exact positive instruction enters adjacent hidden span; hidden=321->354:+0x11:events=6:obs=exact:6
43	hidden_transition_destination	0x36cabe	100	4	1	1	174:4	216:4	+0x4:4	exact:4	tail@0x9c08c:4	prev=278@0x36c8aa-0x36cabe+0x0;next=279@0x36cacc-0x36ccc6-0xe	0x36caba	0x36cabe	exact positive instruction enters adjacent hidden span; hidden=216->171:+0xe:events=19:obs=exact:19
44	hidden_transition_destination	0x36ccc6	100	4	1	1	174:4	50:4	+0x4:4	exact:4	tail@0x9c08c:4	prev=279@0x36cacc-0x36ccc6+0x0;next=280@0x36ccd7-0x36cf76-0x11	0x36ccc2	0x36ccc6	exact positive instruction enters adjacent hidden span; hidden=50->165:+0x11:events=4:obs=target_only:4
45	uncovered_exact_destination	0x11d6a2	100	1	1	1	176:1	95:1	+0x4:1	exact:1	tail@0x9c3f4:1	prev=41@0x11d3e1-0x11d6a2+0x0;next=42@0x11d6b0-0x11d91b-0xe	0x11d69e	0x11d6a2	exact positive instruction exits recovered bytecode coverage
46	uncovered_exact_destination	0x11d91b	100	1	1	1	123:1	264:1	+0x4:1	exact:1	tail@0x91e7f:1	prev=42@0x11d6b0-0x11d91b+0x0;next=43@0x11d929-0x11da3a-0xe	0x11d917	0x11d91b	exact positive instruction exits recovered bytecode coverage
47	uncovered_exact_destination	0x120af4	100	1	1	1	174:1	264:1	+0x4:1	exact:1	tail@0x9c08c:1	prev=56@0x1209d2-0x120af4+0x0;next=57@0x120b02-0x120d67-0xe	0x120af0	0x120af4	exact positive instruction exits recovered bytecode coverage
48	uncovered_exact_destination	0x121924	100	1	1	1	123:1	278:1	+0x4:1	exact:1	tail@0x91e7f:1	prev=62@0x1217d8-0x121924+0x0;next=63@0x121932-0x121c83-0xe	0x121920	0x121924	exact positive instruction exits recovered bytecode coverage
49	uncovered_exact_destination	0x121c83	100	1	1	1	184:1	95:1	+0x4:1	exact:1	tail@0x9d961:1	prev=63@0x121932-0x121c83+0x0;next=64@0x121c91-0x121ec6-0xe	0x121c7f	0x121c83	exact positive instruction exits recovered bytecode coverage
50	uncovered_exact_destination	0x121ec6	100	1	1	1	176:1	278:1	+0x4:1	exact:1	tail@0x9c3f4:1	prev=64@0x121c91-0x121ec6+0x0;next=65@0x121ed4-0x122196-0xe	0x121ec2	0x121ec6	exact positive instruction exits recovered bytecode coverage
51	uncovered_exact_destination	0x122196	100	1	1	1	174:1	356:1	+0x4:1	exact:1	tail@0x9c08c:1	prev=65@0x121ed4-0x122196+0x0;next=66@0x1221a4-0x122466-0xe	0x122192	0x122196	exact positive instruction exits recovered bytecode coverage
52	uncovered_exact_destination	0x122466	100	1	1	1	20:1	264:1	+0x4:1	exact:1	tail@0x7ca96:1	prev=66@0x1221a4-0x122466+0x0;next=67@0x122474-0x122615-0xe	0x122462	0x122466	exact positive instruction exits recovered bytecode coverage
53	uncovered_exact_destination	0x122c7b	100	1	1	1	184:1	278:1	+0x4:1	exact:1	tail@0x9d961:1	prev=68@0x122626-0x122c7b+0x0;next=69@0x122c89-0x122e3c-0xe	0x122c77	0x122c7b	exact positive instruction exits recovered bytecode coverage
54	uncovered_exact_destination	0x122e3c	100	1	1	1	174:1	299:1	+0x4:1	exact:1	tail@0x9c08c:1	prev=69@0x122c89-0x122e3c+0x0;next=70@0x128952-0x128b72-0x5b16	0x122e38	0x122e3c	exact positive instruction exits recovered bytecode coverage
55	uncovered_exact_destination	0x128b72	100	1	1	1	123:1	278:1	+0x4:1	exact:1	tail@0x91e7f:1	prev=70@0x128952-0x128b72+0x0;next=71@0x128b80-0x128de7-0xe	0x128b6e	0x128b72	exact positive instruction exits recovered bytecode coverage
56	uncovered_exact_destination	0x128de7	100	1	1	1	161:1	95:1	+0x4:1	exact:1	tail@0x99b3a:1	prev=71@0x128b80-0x128de7+0x0;next=72@0x128df5-0x12906f-0xe	0x128de3	0x128de7	exact positive instruction exits recovered bytecode coverage
57	uncovered_exact_destination	0x12906f	100	1	1	1	174:1	278:1	+0x4:1	exact:1	tail@0x9c08c:1	prev=72@0x128df5-0x12906f+0x0;next=73@0x1705a9-0x170856-0x4753a	0x12906b	0x12906f	exact positive instruction exits recovered bytecode coverage
58	uncovered_exact_destination	0x172877	100	1	1	1	174:1	311:1	+0x4:1	exact:1	tail@0x9c08c:1	prev=86@0x17265b-0x172877+0x0;next=87@0x172885-0x172aa1-0xe	0x172873	0x172877	exact positive instruction exits recovered bytecode coverage
59	uncovered_exact_destination	0x172aa1	100	1	1	1	174:1	356:1	+0x4:1	exact:1	tail@0x9c08c:1	prev=87@0x172885-0x172aa1+0x0;next=88@0x172aaf-0x172d58-0xe	0x172a9d	0x172aa1	exact positive instruction exits recovered bytecode coverage
60	uncovered_exact_destination	0x172d58	100	1	1	1	161:1	356:1	+0x4:1	exact:1	tail@0x99b3a:1	prev=88@0x172aaf-0x172d58+0x0;next=89@0x172d66-0x173043-0xe	0x172d54	0x172d58	exact positive instruction exits recovered bytecode coverage
61	uncovered_exact_destination	0x173043	100	1	1	1	158:1	95:1	+0x4:1	exact:1	tail@0x992ca:1	prev=89@0x172d66-0x173043+0x0;next=90@0x173051-0x1732b3-0xe	0x17303f	0x173043	exact positive instruction exits recovered bytecode coverage
62	uncovered_exact_destination	0x1732b3	100	1	1	1	174:1	216:1	+0x4:1	exact:1	tail@0x9c08c:1	prev=90@0x173051-0x1732b3+0x0;next=91@0x1732c1-0x1734dd-0xe	0x1732af	0x1732b3	exact positive instruction exits recovered bytecode coverage
63	uncovered_exact_destination	0x1734dd	100	1	1	1	174:1	311:1	+0x4:1	exact:1	tail@0x9c08c:1	prev=91@0x1732c1-0x1734dd+0x0;next=92@0x1734eb-0x173707-0xe	0x1734d9	0x1734dd	exact positive instruction exits recovered bytecode coverage
64	uncovered_exact_destination	0x173707	100	1	1	1	20:1	278:1	+0x4:1	exact:1	tail@0x7ca96:1	prev=92@0x1734eb-0x173707+0x0;next=93@0x173715-0x1739be-0xe	0x173703	0x173707	exact positive instruction exits recovered bytecode coverage
65	uncovered_exact_destination	0x1739be	100	1	1	1	161:1	95:1	+0x4:1	exact:1	tail@0x99b3a:1	prev=93@0x173715-0x1739be+0x0;next=94@0x1739cc-0x173ca9-0xe	0x1739ba	0x1739be	exact positive instruction exits recovered bytecode coverage
66	uncovered_exact_destination	0x173ca9	100	1	1	1	20:1	311:1	+0x4:1	exact:1	tail@0x7ca96:1	prev=94@0x1739cc-0x173ca9+0x0;next=95@0x173cb7-0x173f19-0xe	0x173ca5	0x173ca9	exact positive instruction exits recovered bytecode coverage
67	uncovered_exact_destination	0x173f19	100	1	1	1	20:1	216:1	+0x4:1	exact:1	tail@0x7ca96:1	prev=95@0x173cb7-0x173f19+0x0;next=96@0x173f27-0x174143-0xe	0x173f15	0x173f19	exact positive instruction exits recovered bytecode coverage
68	uncovered_exact_destination	0x174143	100	1	1	1	176:1	278:1	+0x4:1	exact:1	tail@0x9c3f4:1	prev=96@0x173f27-0x174143+0x0;next=97@0x174151-0x17436d-0xe	0x17413f	0x174143	exact positive instruction exits recovered bytecode coverage
69	uncovered_exact_destination	0x17436d	100	1	1	1	184:1	264:1	+0x4:1	exact:1	tail@0x9d961:1	prev=97@0x174151-0x17436d+0x0;next=98@0x17437b-0x17452e-0xe	0x174369	0x17436d	exact positive instruction exits recovered bytecode coverage
70	uncovered_exact_destination	0x17452e	100	1	1	1	123:1	299:1	+0x4:1	exact:1	tail@0x91e7f:1	prev=98@0x17437b-0x17452e+0x0;next=99@0x176883-0x176aa5-0x2355	0x17452a	0x17452e	exact positive instruction exits recovered bytecode coverage
71	uncovered_exact_destination	0x17a420	100	1	1	1	161:1	175:1	+0x4:1	exact:1	tail@0x99b3a:1	prev=110@0x17a26d-0x17a420+0x0;next=111@0x18b66f-0x18b88f-0x1124f	0x17a41c	0x17a420	exact positive instruction exits recovered bytecode coverage
72	uncovered_exact_destination	0x18bd8c	100	1	1	1	184:1	216:1	+0x4:1	exact:1	tail@0x9d961:1	prev=113@0x18ba69-0x18bd8c+0x0;next=114@0x18bd9a-0x18beab-0xe	0x18bd88	0x18bd8c	exact positive instruction exits recovered bytecode coverage
73	uncovered_exact_destination	0x18c07a	100	1	1	1	20:1	311:1	+0x4:1	exact:1	tail@0x7ca96:1	prev=115@0x18bebc-0x18c07a+0x0;next=116@0x18c088-0x18c2a6-0xe	0x18c076	0x18c07a	exact positive instruction exits recovered bytecode coverage
74	uncovered_exact_destination	0x18c467	100	1	1	1	184:1	195:1	+0x4:1	exact:1	tail@0x9d961:1	prev=117@0x18c2b4-0x18c467+0x0;next=118@0x1a480d-0x1a4a91-0x183a6	0x18c463	0x18c467	exact positive instruction exits recovered bytecode coverage
75	uncovered_exact_destination	0x1a6041	100	1	1	1	174:1	175:1	+0x4:1	exact:1	tail@0x9c08c:1	prev=130@0x1a5d8c-0x1a6041+0x0;next=131@0x1ec0ab-0x1ec347-0x4606a	0x1a603d	0x1a6041	exact positive instruction exits recovered bytecode coverage
