program	block	state	block_end	byte_end_min	rows	terminal_kind	source_block	raw_b0	raw_b1	raw_b2	raw_b3	raw_b4	raw_b5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	raw_prefix32	first_source_entry	first_target_entry	first_state_ir	first_state_effect_ir	first_dispatch_ir	last_source_entry	last_target_entry	last_state_ir	last_state_effect_ir	last_dispatch_ir	edge_kind	edge_target_block	edge_target_vm_ip	edge_source_entry	edge_target_entry	edge_delta	edge_semantic_ir	edge_coverage	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	observed_pre_state	observed_post_state	observed_pre_flags	observed_post_flags	observed_target_entry	observed_bytes
013	67	0x11ef65	0x11f1b9	0x11f1b9	158	exact_instruction	5@0x11ac5e-0x11f4da+0x4307	0x2	0x1	0xf	0xc2	0xd6	0x75	0x102	0xf01	0xc20f	0x75d6	02010fc2d675638d3a5a0d052af50de7f1630fe801003d01df5e3ae6e765fecf						123	5				covered_synthetic_fallthrough		0x11f1b9	123	5	+0x4	next = 5@0x79675:1, ip += +0x4; dispatch_model=static_100	hidden_span_of_12:1	12	1	1	1	0x3a8307b8:1		0x5580930:1		258:11,171:1	0201:11,02010fc2d675638d3a5a0d05:1
013	68	0x11f1c5	0x11f39b	0x11f39b	125	exact_instruction	5@0x11ac5e-0x11f4da+0x4567	0xd7	0x0	0x40	0x5	0x88	0x1c	0xd7	0x4000	0x540	0x1c88	d7004005881c5f65d93c0b9900ff7ee8017ba3ab002abb9f2bf031ea86efe801						176	356				covered_synthetic_fallthrough		0x11f39b	176	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100	hidden_span_of_14:1	12	1	1	1	0x77ababe9:1		0x39d046a8:1		215:11,354:1	d700:11,d7004005881c5f65d93c0b99:1
013	69	0x11f3a9	0x11f4c5	0x11f4c5	73	long_branch_forward	5@0x11ac5e-0x11f4da+0x474b	0xc4	0x0	0x4f	0x6e	0x5c	0xf4	0xc4	0x4f00	0x6e4f	0xf45c	c4004f6e5cf4d321a6b8099a8108d0e8013c023ead4ecea9ed66891bdfeee801						334	354				decoded_control	70	0x1209d2	334	354	+0x1518	next = table[354], ip += 0x1518		12	1	1	1	0x4e76c57c:1		0x4e76c57c:1		196:11,354:1	c400:11,c4004f6e5cf4d321a6b8099a:1
