program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
059	0x3674c3	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	143	
059	0x3676e5	ready_for_mba_reduction	all required static/runtime fields are present	480	40	40	40	yes	yes	7	
059	0x367713	ready_for_mba_reduction	all required static/runtime fields are present	468	39	39	39	yes	yes	6	
059	0x36772d	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	134	
059	0x367931	ready_for_mba_reduction	all required static/runtime fields are present	120	10	10	10	yes	yes	190	
059	0x367c1f	ready_for_mba_reduction	all required static/runtime fields are present	108	9	9	9	yes	yes	163	
059	0x367e96	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	96	
059	0x368007	ready_for_mba_reduction	all required static/runtime fields are present	48	4	4	4	yes	yes	20	
059	0x368063	ready_for_mba_reduction	all required static/runtime fields are present	36	3	3	3	yes	yes	164	
059	0x3682dd	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	116	
059	0x36849d	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	143	
059	0x3686c7	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	169	
059	0x368952	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	85	
059	0x368aa9	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	107	
059	0x368c49	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	104	
059	0x368de9	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	23	
059	0x368e58	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	68	
059	0x368f60	ready_for_mba_reduction	all required static/runtime fields are present	48	4	4	4	yes	yes	72	
059	0x36907b	ready_for_mba_reduction	all required static/runtime fields are present	48	4	4	4	yes	yes	134	
059	0x369286	ready_for_mba_reduction	all required static/runtime fields are present	48	4	4	4	yes	yes	73	
059	0x3693a8	ready_for_mba_reduction	all required static/runtime fields are present	36	3	3	3	yes	yes	101	
059	0x369533	ready_for_mba_reduction	all required static/runtime fields are present	36	3	3	3	yes	yes	156	
059	0x36978a	ready_for_mba_reduction	all required static/runtime fields are present	36	3	3	3	yes	yes	121	
059	0x369962	ready_for_mba_reduction	all required static/runtime fields are present	36	3	3	3	yes	yes	73	
