source_entry	opcode_name	dispatch_slot_kind	variant_index	observed_expr_count	entry_events	unique_slot_exprs	target_coverage_pct	target_mismatched_events	target_binding_status	reduction_status	proof_status	original_chars	candidate_chars	candidate_c	original_expr	variables	smt2	solver_output_excerpt
88	vmop_088_plus0x5_state_add_const_slot_multi_path	slot_multi_path	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	98	81	((((0xe3630316u + (state0 | flags0)) + u16_1) ^ 0x415462f5u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_1 + (mask32((mask32(state0 | flags0)) - 0x1c9cfcea)))) ^ 0x415462f5)) & 0xffff	flags0;state0;u16_1	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_088_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
90	vmop_090_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	37	43	((u16_0 + 0x224914c1u) & 0xffffu) & 0xffffu	(mask32(u16_0 + 0x224914c1)) & 0xffff	u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_090_00.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
91	vmop_091_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	33	38	((state0 ^ u16_0) & 0xffffu) & 0xffffu	(mask32(u16_0 ^ state0)) & 0xffff	state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_091_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
92	vmop_092_plus0x4_state_add_const_slot_multi_path	slot_multi_path	0	84	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	223	94	(((0x8f44d42du + ((((~u16_2) & state0) | flags0) | 0x395bfef7u)) + u16_0) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_2 ^ state0)) ^ (mask32(flags0 | 0x39591837)))))) | (mask32(flags0 | 0x39591837)))) | 0x1002fee7)) + 0x2efa2a96)))) + 0x604aa997)) & 0xffff	flags0;state0;u16_0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_092_00.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
92	vmop_092_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	44	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	177	94	(((0x8f44d42du + ((((~u16_2) & state0) | flags0) | 0x1002fee7u)) + u16_0) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_2 ^ state0)) ^ flags0)))) | flags0)) | 0x1002fee7)) + 0x2efa2a96)))) + 0x604aa997)) & 0xffff	flags0;state0;u16_0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_092_01.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
94	vmop_094_plus0x5_state_add_const_slot_multi_path	slot_multi_path	0	74	74	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	201	146	((((((state0 & ((0x551fa912u + state0) ^ flags0)) & 0x7af574e5u) + ((0x551fa912u + state0) ^ flags0)) | 0x23f8268cu) ^ u16_1) & 0xffffu) & 0xffffu	(mask32(u16_1 ^ (mask32((mask32((mask32(state0 & (mask32((mask32(flags0 ^ (mask32(state0 + 0x551fa912)))) & 0x7af574e5)))) + (mask32(flags0 ^ (mask32(state0 + 0x551fa912)))))) | 0x23f8268c)))) & 0xffff	flags0;state0;u16_1	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_094_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
95	vmop_095_plus0xa_state_preserve_slot_mba_stateful	slot_mba_stateful	0	92	92	1	0.0	92	target_binding_not_validated	compiler_expression_recovered	proved_equivalent	37	43	((u16_4 + 0x1f18e1aau) & 0xffffu) & 0xffffu	(mask32(u16_4 + 0x1f18e1aa)) & 0xffff	u16_4	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_095_00.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
99	vmop_099_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	56	54	(((state0 ^ u16_1) - 0x48503105u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_1 ^ state0)) - 0x48503105)) & 0xffff	state0;u16_1	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_099_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
101	vmop_101_plus0xd_state_add_const_slot_mba_stateful	slot_mba_stateful	0	1	1	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	57	55	(((state0 ^ u16_11) ^ 0x44422ebbu) & 0xffffu) & 0xffffu	(mask32((mask32(u16_11 ^ state0)) ^ 0x44422ebb)) & 0xffff	state0;u16_11	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_101_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
102	vmop_102_plus0xd_state_preserve_slot_mba_stateful	slot_mba_stateful	0	64	64	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	57	55	(((state0 + u16_11) + 0x7b88d4e3u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_11 + state0)) + 0x7b88d4e3)) & 0xffff	state0;u16_11	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_102_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
107	vmop_107_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	33	38	((state0 ^ u16_0) & 0xffffu) & 0xffffu	(mask32(u16_0 ^ state0)) & 0xffff	state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_107_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
108	vmop_108_plus0x2_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	121	97	((((((state0 + 0x11961dc7u) ^ 0x5fa19cc7u) - flags0) ^ u16_0) + 0x36f124dbu) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 ^ (mask32((mask32((mask32(state0 + 0x11961dc7)) ^ 0x5fa19cc7)) - flags0)))) + 0x36f124db)) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_108_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
114	vmop_114_plus0x4_state_add_const_slot_multi_path	slot_multi_path	0	51	128	4	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	757	497	((((0x667e49d1u + (((((state0 | 0x6729b5bfu) & flags0) + state0) & 0x1c8b6feeu) ^ 0x6b040388u)) + u16_0) + ((((((state0 | 0x6729b5bfu) & flags0) + state0) + u16_2) + ((((((((state0 | 0x6729b5bfu) & flags0) + state0) & 0x48367f78u) ^ state0) ^ 0x63bb548fu) + (((state0 | 0x6729b5bfu) & flags0) + state0)) & 0x292b555du)) ^ ((((((((state0 | 0x6729b5bfu) & flags0) + state0) & 0x48367f78u) ^ state0) ^ 0x63bb548fu) + (((state0 | 0x6729b5bfu) & flags0) + state0)) & 0x292b555du))) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)) & 0x48367f78)))) ^ 0x63bb548f)) + (mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)))) & 0x292b555d)) ^ (mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)) & 0x48367f78)))) ^ 0x63bb548f)) + (mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)))) & 0x292b555d)))) + (mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)))))) + (mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)) & 0x1c8b6fee)) ^ 0x6b040388)))))) + 0x667e49d1)) & 0xffff	flags0;state0;u16_0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_114_00.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
114	vmop_114_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	36	128	4	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	1033	689	((((0x667e49d1u + (((((((state0 | 0x6729b5bfu) & flags0) - 0x3dca653fu) ^ 0x671da5f4u) + state0) & 0x1c8b6feeu) ^ 0x6b040388u)) + u16_0) + ((((((((state0 | 0x6729b5bfu) & flags0) - 0x3dca653fu) ^ 0x671da5f4u) + state0) + u16_2) + ((((((((((state0 | 0x6729b5bfu) & flags0) - 0x3dca653fu) ^ 0x671da5f4u) + state0) & 0x48367f78u) ^ state0) ^ 0x63bb548fu) + (((((state0 | 0x6729b5bfu) & flags0) - 0x3dca653fu) ^ 0x671da5f4u) + state0)) & 0x292b555du)) ^ ((((((((((state0 | 0x6729b5bfu) & flags0) - 0x3dca653fu) ^ 0x671da5f4u) + state0) & 0x48367f78u) ^ state0) ^ 0x63bb548fu) + (((((state0 | 0x6729b5bfu) & flags0) - 0x3dca653fu) ^ 0x671da5f4u) + state0)) & 0x292b555du))) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)) & 0x48367f78)))) ^ 0x63bb548f)) + (mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)))) & 0x292b555d)) ^ (mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)) & 0x48367f78)))) ^ 0x63bb548f)) + (mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)))) & 0x292b555d)))) + (mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)))))) + (mask32((mask32((mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)) & 0x1c8b6fee)) ^ 0x6b040388)))))) + 0x667e49d1)) & 0xffff	flags0;state0;u16_0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_114_01.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
114	vmop_114_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	28	128	4	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	847	543	((((((((((state0 | 0x6729b5bfu) & flags0) + state0) - 0x3b2cb159u) & 0xfc7215cu) + u16_2) + ((((((((state0 | 0x6729b5bfu) & flags0) + state0) & 0x48367f78u) ^ state0) ^ 0x63bb548fu) + (((state0 | 0x6729b5bfu) & flags0) + state0)) & 0x292b555du)) ^ ((((((((state0 | 0x6729b5bfu) & flags0) + state0) & 0x48367f78u) ^ state0) ^ 0x63bb548fu) + (((state0 | 0x6729b5bfu) & flags0) + state0)) & 0x292b555du)) + ((0x667e49d1u + ((((((state0 | 0x6729b5bfu) & flags0) + state0) - 0x3b2cb159u) & 0xc83214cu) ^ 0x6b040388u)) + u16_0)) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)) & 0x48367f78)))) ^ 0x63bb548f)) + (mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)))) & 0x292b555d)) ^ (mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)) & 0x48367f78)))) ^ 0x63bb548f)) + (mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)))) & 0x292b555d)))) + (mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)) - 0x3b2cb159)) & 0xfc7215c)))))) + (mask32((mask32((mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)) - 0x3b2cb159)) & 0xfc7215c)) & 0x1c8b6fee)) ^ 0x6b040388)))))) + 0x667e49d1)) & 0xffff	flags0;state0;u16_0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_114_02.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
114	vmop_114_plus0x4_state_add_const_slot_multi_path	slot_multi_path	3	13	128	4	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	1123	735	((((((((((((state0 | 0x6729b5bfu) & flags0) - 0x3dca653fu) ^ 0x671da5f4u) + state0) - 0x3b2cb159u) & 0xfc7215cu) + u16_2) + ((((((((((state0 | 0x6729b5bfu) & flags0) - 0x3dca653fu) ^ 0x671da5f4u) + state0) & 0x48367f78u) ^ state0) ^ 0x63bb548fu) + (((((state0 | 0x6729b5bfu) & flags0) - 0x3dca653fu) ^ 0x671da5f4u) + state0)) & 0x292b555du)) ^ ((((((((((state0 | 0x6729b5bfu) & flags0) - 0x3dca653fu) ^ 0x671da5f4u) + state0) & 0x48367f78u) ^ state0) ^ 0x63bb548fu) + (((((state0 | 0x6729b5bfu) & flags0) - 0x3dca653fu) ^ 0x671da5f4u) + state0)) & 0x292b555du)) + ((0x667e49d1u + ((((((((state0 | 0x6729b5bfu) & flags0) - 0x3dca653fu) ^ 0x671da5f4u) + state0) - 0x3b2cb159u) & 0xc83214cu) ^ 0x6b040388u)) + u16_0)) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)) & 0x48367f78)))) ^ 0x63bb548f)) + (mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)))) & 0x292b555d)) ^ (mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)) & 0x48367f78)))) ^ 0x63bb548f)) + (mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)))) & 0x292b555d)))) + (mask32((mask32((mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)) - 0x3b2cb159)) & 0xfc7215c)))))) + (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)) - 0x3b2cb159)) & 0xfc7215c)) & 0x1c8b6fee)) ^ 0x6b040388)))))) + 0x667e49d1)) & 0xffff	flags0;state0;u16_0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_114_03.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
118	vmop_118_plus0x3_state_formula_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	55	53	(((state0 ^ u16_1) - 0x52d3aa4u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_1 ^ state0)) - 0x52d3aa4)) & 0xffff	state0;u16_1	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_118_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
119	vmop_119_plus0x6_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	56	54	(((state0 ^ u16_4) + 0x7e7974a5u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_4 ^ state0)) + 0x7e7974a5)) & 0xffff	state0;u16_4	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_119_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
121	vmop_121_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	242	127	(((((0xaee5788cu + (u16_0 - flags0)) + (((0x3154e54au + flags0) ^ state0) * 0x2u)) ^ u16_2) + 0x7609a96cu) & 0xffffu) & 0xffffu	(mask32((mask32(u16_2 ^ (mask32((mask32((mask32(state0 ^ (mask32(flags0 + 0x3154e54a)))) - 0x288d43ba)) + (mask32((mask32(u16_0 + (mask32((mask32(state0 ^ (mask32(flags0 + 0x3154e54a)))) - 0x288d43ba)))) - flags0)))))) + 0x7609a96c)) & 0xffff	flags0;state0;u16_0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_121_00.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
122	vmop_122_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	0	121	121	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	75	65	(((0x1af9be18u + (flags0 + state0)) + u16_0) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 + (mask32(state0 + flags0)))) + 0x1af9be18)) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_122_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
123	vmop_123_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	79	70	((((u16_0 - 0x3da77425u) - state0) ^ 0x1603b0a9u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 - (mask32(state0 + 0x3da77425)))) ^ 0x1603b0a9)) & 0xffff	state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_123_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
124	vmop_124_plus0x6_state_add_const_slot_multi_path	slot_multi_path	0	71	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	767	235	(((((u32_0 - ((flags0 - ((((state0 - 0x7c31e804u) ^ flags0) ^ 0x2bb25e3u) | 0x50ef8024u)) ^ flags0)) & ((flags0 - ((((state0 - 0x7c31e804u) ^ flags0) ^ 0x2bb25e3u) | 0x50ef8024u)) ^ flags0)) + u16_4) ^ 0x3654c1a7u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_4 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ flags0)) ^ 0x2bb25e3)) | 0x50ef8024)) + (mask32(flags0 - (mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ flags0)) ^ 0x2bb25e3)) | 0x50ef8024)))))) ^ (mask32(flags0 - (mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ flags0)) ^ 0x2bb25e3)) | 0x50ef8024)))))) & (mask32(u32_0 - (mask32((mask32((mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ flags0)) ^ 0x2bb25e3)) | 0x50ef8024)) + (mask32(flags0 - (mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ flags0)) ^ 0x2bb25e3)) | 0x50ef8024)))))) ^ (mask32(flags0 - (mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ flags0)) ^ 0x2bb25e3)) | 0x50ef8024)))))))))))) ^ 0x3654c1a7)) & 0xffff	flags0;state0;u16_4;u32_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_124_00.smt2	"unsat\n(error ""line 10 column 10: model is not available"")"
124	vmop_124_plus0x6_state_add_const_slot_multi_path	slot_multi_path	1	57	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	1227	331	(((((u32_0 - ((0x2b837475u + flags0) ^ ((0x2b837475u + flags0) - ((((state0 - 0x7c31e804u) ^ (0x2b837475u + flags0)) ^ 0x2bb25e3u) | 0x50ef8024u)))) & ((0x2b837475u + flags0) ^ ((0x2b837475u + flags0) - ((((state0 - 0x7c31e804u) ^ (0x2b837475u + flags0)) ^ 0x2bb25e3u) | 0x50ef8024u)))) + u16_4) ^ 0x3654c1a7u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_4 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ (mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)))) ^ 0x2bb25e3)) | 0x50ef8024)) + (mask32((mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)) - (mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ (mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)))) ^ 0x2bb25e3)) | 0x50ef8024)))))) ^ (mask32((mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)) - (mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ (mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)))) ^ 0x2bb25e3)) | 0x50ef8024)))))) & (mask32(u32_0 - (mask32((mask32((mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ (mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)))) ^ 0x2bb25e3)) | 0x50ef8024)) + (mask32((mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)) - (mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ (mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)))) ^ 0x2bb25e3)) | 0x50ef8024)))))) ^ (mask32((mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)) - (mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ (mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)))) ^ 0x2bb25e3)) | 0x50ef8024)))))))))))) ^ 0x3654c1a7)) & 0xffff	flags0;state0;u16_4;u32_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_124_01.smt2	"unsat\n(error ""line 10 column 10: model is not available"")"
125	vmop_125_plus0x5_state_formula_slot_mba_stateful	slot_mba_stateful	0	19	19	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	56	54	(((state0 + u16_0) - 0x7b275316u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 + state0)) - 0x7b275316)) & 0xffff	state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_125_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
127	vmop_127_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	55	53	(((u16_0 + 0xf376a6au) - state0) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 - state0)) + 0xf376a6a)) & 0xffff	state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_127_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
128	vmop_128_plus0x5_state_add_const_slot_multi_path	slot_multi_path	0	109	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	487	96	((((((flags0 - 0x68bb0762u) - u16_1) | 0x7b467141u) ^ u16_3) + 0x539da50eu) & 0xffffu) & 0xffffu	(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32(flags0 | 0x36a392ff)))) | 0x38cd3aec)) - (mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32(flags0 | 0x36a392ff)))) | 0x38cd3aec)))))) + (mask32((mask32(flags0 - 0x1a4f949c)) - 0x4e6b72c6)))) | 0x7b467141)))) + 0x539da50e)) & 0xffff	flags0;state0;u16_1;u16_3	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_128_00.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
128	vmop_128_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	19	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	625	128	((((((((flags0 ^ 0x46f37ee7u) & 0x706a6a76u) - u16_1) - 0x68bb0762u) | 0x7b467141u) ^ u16_3) + 0x539da50eu) & 0xffffu) & 0xffffu	(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32((mask32((mask32(flags0 ^ 0x46f37ee7)) & 0x706a6a76)) | 0x36a392ff)))) | 0x38cd3aec)) - (mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32((mask32((mask32(flags0 ^ 0x46f37ee7)) & 0x706a6a76)) | 0x36a392ff)))) | 0x38cd3aec)))))) + (mask32((mask32((mask32((mask32(flags0 ^ 0x46f37ee7)) & 0x706a6a76)) - 0x1a4f949c)) - 0x4e6b72c6)))) | 0x7b467141)))) + 0x539da50e)) & 0xffff	flags0;state0;u16_1;u16_3	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_128_01.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
