source_entry	opcode_name	dispatch_slot_kind	variant_index	observed_expr_count	entry_events	unique_slot_exprs	target_coverage_pct	target_mismatched_events	target_binding_status	reduction_status	proof_status	original_chars	candidate_chars	candidate_c	original_expr	variables	smt2	solver_output_excerpt
43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	93	53	(((u16_0 ^ u16_2) - 0x64d373dcu) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 ^ (mask32(state0 ^ (mask32(u16_2 ^ state0)))))) - 0x64d373dc)) & 0xffff	state0;u16_0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_043_00.smt2	"unsat\n(error ""line 10 column 10: model is not available"")"
48	vmop_048_plus0x5_state_add_const_slot_multi_path	slot_multi_path	0	78	119	3	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	349	242	(((((((((((u16_3 + state0) ^ flags0) & state0) - (flags0 & 0x6134e706u)) + 0x4f1a7667u) & (flags0 & 0x6134e706u)) ^ 0x79fc8ff4u) | (0xbcf3fd74u + (flags0 & 0x6134e706u))) & ((flags0 & 0x6134e706u) + 0x157b2443u)) + u16_0) & 0xffffu) & 0xffffu	(mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_3 + state0)) ^ flags0)))) + 0x4f1a7667)) - (mask32(flags0 & 0x6134e706)))) & (mask32(flags0 & 0x6134e706)))) ^ 0x79fc8ff4)) | (mask32((mask32(flags0 & 0x6134e706)) - 0x430c028c)))) & (mask32((mask32(flags0 & 0x6134e706)) + 0x157b2443)))))) & 0xffff	flags0;state0;u16_0;u16_3	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_048_00.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
48	vmop_048_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	28	119	3	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	574	397	(((((((((((u16_3 + state0) ^ ((flags0 ^ 0x8881ae0u) - 0x1accc893u)) & state0) - (((flags0 ^ 0x8881ae0u) - 0x1accc893u) & 0x6134e706u)) + 0x4f1a7667u) & (((flags0 ^ 0x8881ae0u) - 0x1accc893u) & 0x6134e706u)) ^ 0x79fc8ff4u) | (0xbcf3fd74u + (((flags0 ^ 0x8881ae0u) - 0x1accc893u) & 0x6134e706u))) & ((((flags0 ^ 0x8881ae0u) - 0x1accc893u) & 0x6134e706u) + 0x157b2443u)) + u16_0) & 0xffffu) & 0xffffu	(mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_3 + state0)) ^ (mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)))))) + 0x4f1a7667)) - (mask32((mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)) & 0x6134e706)))) & (mask32((mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)) & 0x6134e706)))) ^ 0x79fc8ff4)) | (mask32((mask32((mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)) & 0x6134e706)) - 0x430c028c)))) & (mask32((mask32((mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)) & 0x6134e706)) + 0x157b2443)))))) & 0xffff	flags0;state0;u16_0;u16_3	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_048_01.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
48	vmop_048_plus0x5_state_add_const_slot_multi_path	slot_multi_path	2	13	119	3	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	758	461	(((((((((((u16_3 + state0) ^ ((flags0 ^ 0x8881ae0u) - 0x1accc893u)) & state0) + 0x4f1a7667u) - ((((flags0 ^ 0x8881ae0u) - 0x1accc893u) & 0x6004e302u) ^ 0x41ba58a6u)) & ((((flags0 ^ 0x8881ae0u) - 0x1accc893u) & 0x6004e302u) ^ 0x41ba58a6u)) ^ 0x79fc8ff4u) | (0xbcf3fd74u + ((((flags0 ^ 0x8881ae0u) - 0x1accc893u) & 0x6004e302u) ^ 0x41ba58a6u))) & (((((flags0 ^ 0x8881ae0u) - 0x1accc893u) & 0x6004e302u) ^ 0x41ba58a6u) + 0x157b2443u)) + u16_0) & 0xffffu) & 0xffffu	(mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_3 + state0)) ^ (mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)))))) + 0x4f1a7667)) - (mask32((mask32((mask32((mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)) & 0x6134e706)) & 0x7e86fbd3)) ^ 0x41ba58a6)))) & (mask32((mask32((mask32((mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)) & 0x6134e706)) & 0x7e86fbd3)) ^ 0x41ba58a6)))) ^ 0x79fc8ff4)) | (mask32((mask32((mask32((mask32((mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)) & 0x6134e706)) & 0x7e86fbd3)) ^ 0x41ba58a6)) - 0x430c028c)))) & (mask32((mask32((mask32((mask32((mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)) & 0x6134e706)) & 0x7e86fbd3)) ^ 0x41ba58a6)) + 0x157b2443)))))) & 0xffff	flags0;state0;u16_0;u16_3	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_048_02.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
49	vmop_049_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	140	76	(((0x76278178u + (u16_1 + flags0)) + (flags0 & state0)) & 0xffffu) & 0xffffu	(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32(state0 & flags0)) + flags0)) - 0x353700ed)) + 0x55a592d8)))) + 0x55b8ef8d)) & 0xffff	flags0;state0;u16_1	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_049_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
52	vmop_052_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	56	54	(((state0 + u16_0) ^ 0x7823b2dau) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 + state0)) ^ 0x7823b2da)) & 0xffff	state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_052_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
54	vmop_054_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	0	1	1	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	98	81	(((((state0 & flags0) - 0x68b4ad2fu) ^ u16_0) ^ 0x437360e7u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 ^ (mask32((mask32(state0 & flags0)) - 0x68b4ad2f)))) ^ 0x437360e7)) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_054_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
56	vmop_056_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	0	6	6	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	56	54	(((u16_0 - state0) ^ 0x5380ff71u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 - state0)) ^ 0x5380ff71)) & 0xffff	state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_056_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
62	vmop_062_plus0x4_state_add_const_slot_multi_path	slot_multi_path	0	36	36	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	138	106	(((((((flags0 + 0xd90ded5u) ^ u16_2) | state0) ^ u16_0) ^ 0x5dbb6647u) + 0x7ebb48a2u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 ^ (mask32((mask32(state0 | (mask32(u16_2 ^ (mask32(flags0 + 0xd90ded5)))))) ^ 0x5dbb6647)))) + 0x7ebb48a2)) & 0xffff	flags0;state0;u16_0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_062_00.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
64	vmop_064_plus0x4_state_add_const_slot_multi_path	slot_multi_path	0	77	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	158	118	(((u16_0 + 0x2701cdcdu) - (((0x869eb21bu + state0) ^ (u16_2 + flags0)) ^ (flags0 + 0x729dddb0u))) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 - (mask32((mask32((mask32(state0 - 0x79614de5)) ^ (mask32(u16_2 + flags0)))) ^ (mask32(flags0 + 0x729dddb0)))))) + 0x2701cdcd)) & 0xffff	flags0;state0;u16_0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_064_00.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
