program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
046	0x33170b	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	143	
046	0x33192d	ready_for_mba_reduction	all required static/runtime fields are present	306	72	72	72	yes	yes	7	
046	0x33195b	ready_for_mba_reduction	all required static/runtime fields are present	289	68	68	68	yes	yes	6	
046	0x331975	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	134	
046	0x331b79	ready_for_mba_reduction	all required static/runtime fields are present	85	20	20	20	yes	yes	69	
046	0x331c8b	ready_for_mba_reduction	all required static/runtime fields are present	85	20	20	20	yes	yes	130	
046	0x331e8e	ready_for_mba_reduction	all required static/runtime fields are present	68	16	16	16	yes	yes	163	
046	0x332105	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	229	
046	0x332477	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	150	
046	0x3326b7	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	168	
046	0x33293d	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	150	
046	0x332b7f	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	162	
046	0x332df1	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	104	
046	0x332f90	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	107	
046	0x333131	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	104	
046	0x3332d1	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	126	
046	0x3334ba	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	164	
046	0x333730	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	68	
