source_entry	opcode_name	problem_kind	state_kind	variables	status	template	candidate_c	random_tests	validation	original_state_formula
121	vmop_121_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 ^ flags0 + 0x3154e54a - 0x288d43ba + u16_0 + state0 ^ flags0 + 0x3154e54a - 0x288d43ba - flags0
122	vmop_122_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 + flags0 - u16_0 + state0 + flags0 + 0x1af9be18
123	vmop_123_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 + 0x3da77425 - u16_0 - state0 + 0x3da77425 ^ 0x1603b0a9
124	vmop_124_plus0x6_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_4;u32_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 & u32_0 - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 - u16_4 + state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 & u32_0 - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ 0x3654c1a7
125	vmop_125_plus0x5_state_formula_slot_mba_stateful	algebraic_mba	state_formula	state0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & u16_0 + state0 - 0x7b275316
127	vmop_127_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | u16_0 - state0 + 0xf376a6a
128	vmop_128_plus0x5_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_1;u16_3	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec - u16_1 + state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec + flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 - 0x1a4f949c - 0x4e6b72c6 | 0x7b467141 & u16_3 ^ state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec - u16_1 + state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec + flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 - 0x1a4f949c - 0x4e6b72c6 | 0x7b467141 + 0x539da50e
129	vmop_129_plus0x3_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 + flags0 + state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 - 0x42c8b2fa - 0x3f4e9109 + 0x5d5f2ae2 & 0x63b683d & u16_0 - state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 + flags0 + state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 - 0x42c8b2fa - 0x3f4e9109 + 0x5d5f2ae2 & 0x63b683d
130	vmop_130_plus0x5_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | flags0 - state0 + 0x42718c2a + flags0 - state0 + 0x42718c2a + 0x3941798 - 0x1b3f106e & 0x3a044344 | u16_0 + state0 | flags0 - state0 + 0x42718c2a + flags0 - state0 + 0x42718c2a + 0x3941798 - 0x1b3f106e & 0x3a044344 - 0x5121ff33
131	vmop_131_plus0x5_state_formula_slot_multi_path	algebraic_mba	state_formula	state0;flags0;u16_1	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | 0x8fb57c3 - 0x45a18ca4 | flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - u16_1 + state0 | 0x8fb57c3 - 0x45a18ca4 | flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 ^ 0x1d802c44
136	vmop_136_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 | u16_0 ^ state0 - 0x2eae4eac
140	vmop_140_plus0x6_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 - flags0 - 0x6f549f79 - state0 | 0xf17c331 | 0x16a9ca8c + u16_0 ^ state0 - flags0 - 0x6f549f79 - state0 | 0xf17c331 | 0x16a9ca8c ^ 0x6e089feb
142	vmop_142_plus0xa_state_formula_slot_unknown	dispatch_unknown	state_formula	state0;flags0;u16_8;u32_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae ^ 0x6209aa88 + u32_0 ^ state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae ^ 0x6209aa88 + flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 ^ state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae | 0x2fd9e422 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae + 0x56d385ee ^ flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 ^ state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae | 0x2fd9e422 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae + 0x56d385ee - 0x18594029 - u16_8
144	vmop_144_plus0x2_state_mixed_slot_mba_stateful	algebraic_mba	state_mixed	state0;u16_0	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 & 0x61f88068 & 0x1d022eee ^ 0x6367b3dd & u16_0 ^ state0 & 0x61f88068 & 0x1d022eee ^ 0x6367b3dd - 0x2f1222e2
145	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	dispatch_unknown	sampled_long_or_sparse	state0	candidate_simplified	identity	state0	4107	random_differential_against_compiled_original_not_formal_proof	state0
146	vmop_146_plus0x5_state_add_const_slot_multi_path	algebraic_mba	state_add_const	state0;flags0;u16_1;u16_3	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 + flags0 ^ 0x2e312e01 & flags0 & 0xa6d4251 ^ 0x409c2e61 + 0x7d882664 + 0x4a5b7e16 ^ u16_3 + flags0 & 0xa6d4251 ^ 0x409c2e61 ^ u16_1 - state0 + flags0 ^ 0x2e312e01 & flags0 & 0xa6d4251 ^ 0x409c2e61 + 0x7d882664 + 0x4a5b7e16 ^ u16_3 + flags0 & 0xa6d4251 ^ 0x409c2e61 + 0x2cff1885
148	vmop_148_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0	candidate_simplified	and2_add_const	(state0 & flags0) + 0x0u	4107	random_differential_against_compiled_original_not_formal_proof	state0 & flags0
151	vmop_151_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;flags0;u16_3	unsolved_by_current_templates			4107	random_differential_against_compiled_original_not_formal_proof	state0 + flags0 ^ u16_3 + state0 + flags0 + 0x77236c60
153	vmop_153_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state_add_const	state0;u16_0	candidate_simplified	xor_const	u16_0 ^ 0x6f642592u	4107	random_differential_against_compiled_original_not_formal_proof	state0 + u16_0 - state0 ^ 0x6f642592
