program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
053	0x33db28	ready_for_mba_reduction	all required static/runtime fields are present	51	12	12	12	yes	yes	105	
053	0x33dcce	ready_for_mba_reduction	all required static/runtime fields are present	51	12	12	12	yes	yes	18	
053	0x33dd15	ready_for_mba_reduction	all required static/runtime fields are present	204	48	48	48	yes	yes	72	
053	0x33de30	ready_for_mba_reduction	all required static/runtime fields are present	204	48	48	48	yes	yes	134	
053	0x33e03b	ready_for_mba_reduction	all required static/runtime fields are present	204	48	48	48	yes	yes	73	
053	0x33e15d	ready_for_mba_reduction	all required static/runtime fields are present	153	36	36	36	yes	yes	101	
053	0x33e2e8	ready_for_mba_reduction	all required static/runtime fields are present	153	36	36	36	yes	yes	156	
053	0x33e540	ready_for_mba_reduction	all required static/runtime fields are present	153	36	36	36	yes	yes	121	
053	0x33e718	ready_for_mba_reduction	all required static/runtime fields are present	153	36	36	36	yes	yes	73	
