source_entry	source_target	opcode_name	class	events	ir_rows	delta	shape	word_shape	operand_layout	word_layout	state_kind	state_class_mix	state_effect_rows	state_effect_preview	dispatch_slot_kind	dispatch_slot_preview	ip_advance_ir	long_branch_ir	sampled_operand_ir	top_bytes	programs	readability_status	state_effect_ir	dispatch_slot_ir
125	0x922c4	vmop_125_plus0x5_state_formula_slot_mba_stateful	static_validated	129	26	+0x5	VVVCC	VV	b0=var25(top=0x2b:70.5%);b1=var25(top=0x60:70.5%);b2=var24(top=0x21:70.5%);b3=0x3d;b4=0x01	w0=var26(top=0x602b:70.5%);w1=var24(top=0x3d21:70.5%)	state_formula	state_add_const:7	26	state0 & u16_0 + state0 - 0x7b275316	slot_mba_stateful	19=(mask32((mask32(u16_0 + state0)) - 0x7b275316)) & 0xffff	19=0x5			f8c8cb3d01:1,7353a13d01:1,0c0d0b3d01:1,ee54d73d01:1,0e99593d01:1,4e405f3d01:1,9d892b3d01:1,9eacdb3d01:1	026:4,043:4,061:3,011:2,056:2,059:2,002:1,004:1,015:1,016:1,031:1,035:1	named_structural;needs_algebraic_simplification	state0 & u16_0 + state0 - 0x7b275316	19=(mask32((mask32(u16_0 + state0)) - 0x7b275316)) & 0xffff
127	0x926c3	vmop_127_plus0x5_state_add_const_slot_mba_stateful	static_validated	384	3	+0x5	EEECC	EE	b0=enum3(0xdf:256,0x7b:64,0x99:64);b1=enum3(0x22:256,0xc7:64,0xa1:64);b2=enum3(0xc9:256,0x79:64,0x2b:64);b3=0x3d;b4=0x01	w0=enum3(0x22df:256,0xc77b:64,0xa199:64);w1=enum3(0x3dc9:256,0x3d79:64,0x3d2b:64)	state_add_const	state_add_const:3	3	state0 | u16_0 - state0 + 0xf376a6a	slot_mba_stateful	128=(mask32((mask32(u16_0 - state0)) + 0xf376a6a)) & 0xffff	128=0x5			df22c93d01:1,7bc7793d01:1,99a12b3d01:1	030:2,029:1	named_structural;needs_algebraic_simplification	state0 | u16_0 - state0 + 0xf376a6a	128=(mask32((mask32(u16_0 - state0)) + 0xf376a6a)) & 0xffff
128	0x9299b	vmop_128_plus0x5_state_add_const_slot_multi_path	static_validated	1158	115	+0x5	EVVVV	VV	b0=enum4(0x62:840,0x3a:175,0x50:118,0x32:25);b1=var10(top=0x79:57.3%);b2=var17(top=0x04:24.0%);b3=var77(top=0xb7:22.4%);b4=var50(top=0x94:25.1%)	w0=var20(top=0x7962:44.7%);w1=var107(top=0xcf04:22.3%)	state_add_const	state_add_const:67	115	state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec - u16_1 + state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec + ...#32a	slot_multi_path	109=(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32(flags0 | 0x36a392ff)))) | 0x38cd3a...#ecd27d758938 | 19=(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((ma...#1c0	128=0x5			3a79852313:1,3a79c5b9a0:1,3a6b81a19e:1,3a79c5cb10:1,5079c4c598:1,6279856319:1,3a6bc5eda8:1,50c48575a6:1	055:24,056:9,042:8,059:7,032:6,041:6,063:6,046:5,061:4,013:3,029:3,050:3	named_structural;needs_algebraic_simplification	state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec - u16_1 + state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec + flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 - 0x1a4f949c - 0x4e6b72c6 | 0x7b467141 & u16_3 ^ state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec - u16_1 + state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec + flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 - 0x1a4f949c - 0x4e6b72c6 | 0x7b467141 + 0x539da50e	109=(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32(flags0 | 0x36a392ff)))) | 0x38cd3a...#ecd27d758938 | 19=(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32((mask32((mask32(flags0 ^ 0x46f37ee...#07008f725ecb
129	0x92f21	vmop_129_plus0x3_state_add_const_slot_multi_path	static_validated	139	10	+0x3	VVE	V	b0=var10(top=0xf0:46.0%);b1=var10(top=0x06:46.0%);b2=enum2(0x62:137,0x32:2)	w0=var10(top=0x06f0:46.0%)	state_add_const	state_add_const:9	10	state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 + flags0 + state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 - 0x42c8b2fa - 0x3f4e9109 + 0x5d5f2ae2 & 0x63b683d & u16_0 - state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 + flags0 + state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f...#161	slot_multi_path	128=(mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 | 0x77ecded8)))) + 0x14f8aa88)) + 0x5f119f37)) + (mask32(flags0 + (mask32((mask32((mask32((mask32(state0 & (mask32(flags0 |...#9cf512e1edb8	128=0x3			750532:1,783132:1,d46662:1,f00662:1,2c6362:1,d92e62:1,c82462:1,fd0a62:1	001:2,030:2,055:2,010:1,047:1,051:1,056:1	named_structural;needs_algebraic_simplification	state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 + flags0 + state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 - 0x42c8b2fa - 0x3f4e9109 + 0x5d5f2ae2 & 0x63b683d & u16_0 - state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 + flags0 + state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 - 0x42c8b2fa - 0x3f4e9109 + 0x5d5f2ae2 & 0x63b683d	128=(mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 | 0x77ecded8)))) + 0x14f8aa88)) + 0x5f119f37)) + (mask32(flags0 + (mask32((mask32((mask32((mask32(state0 & (mask32(flags0 |...#9cf512e1edb8
130	0x931d3	vmop_130_plus0x5_state_add_const_slot_multi_path	static_validated	5	2	+0x5	EECCE	EC	b0=enum2(0x78:4,0xa1:1);b1=enum2(0xf5:4,0xc3:1);b2=0x3d;b3=0x01;b4=enum2(0x00:4,0x4b:1)	w0=enum2(0xf578:4,0xc3a1:1);w1=0x013d	state_add_const	state_add_const:1	2	state0 | flags0 - state0 + 0x42718c2a + flags0 - state0 + 0x42718c2a + 0x3941798 - 0x1b3f106e & 0x3a044344 | u16_0 + state0 | flags0 - state0 + 0x42718c2a + flags0 - state0 + 0x42718c2a + 0x3941798 - 0x1b3f106e & 0x3a044344 - 0x5121ff33	slot_multi_path	4=(mask32((mask32(u16_0 + (mask32((mask32(state0 | (mask32(flags0 - (mask32(state0 + 0x42718c2a)))))) + (mask32((mask32(flags0 - (mask32(state0 + 0x42718c2a)))) & 0x3a044344)))))) - 0x5121ff33)) & 0xffff	4=0x5			78f53d0100:1,a1c33d014b:1	000:1,055:1	named_structural;needs_algebraic_simplification	state0 | flags0 - state0 + 0x42718c2a + flags0 - state0 + 0x42718c2a + 0x3941798 - 0x1b3f106e & 0x3a044344 | u16_0 + state0 | flags0 - state0 + 0x42718c2a + flags0 - state0 + 0x42718c2a + 0x3941798 - 0x1b3f106e & 0x3a044344 - 0x5121ff33	4=(mask32((mask32(u16_0 + (mask32((mask32(state0 | (mask32(flags0 - (mask32(state0 + 0x42718c2a)))))) + (mask32((mask32(flags0 - (mask32(state0 + 0x42718c2a)))) & 0x3a044344)))))) - 0x5121ff33)) & 0xffff
131	0x937d0	vmop_131_plus0x5_state_formula_slot_multi_path	static_validated	66	18	+0x5	VVVCC	VV	b0=var17(top=0xc5:15.2%);b1=var16(top=0x97:21.2%);b2=var18(top=0x58:15.2%);b3=0x3d;b4=0x01	w0=var18(top=0x0fc5:15.2%);w1=var18(top=0x3d58:15.2%)	state_formula	state_add_const:6	18	state0 | 0x8fb57c3 - 0x45a18ca4 | flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - flags0 + 0x75229706 - 0x...#33a	slot_multi_path	10=(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 | 0x8fb57c3)) - 0x45a18ca4)) | (mask32((mask32((mask32((mask32(flags0 - (mask32((mask32(state0 | 0x8fb57c3)) + 0x4674713d)))) ^ 0x43...#ccaf3278b018 | 4=(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state...#1be	14=0x5			ebdb2f3d01:1,df4f363d01:1,dd97bc3d01:1,537b6a3d01:1,e1f3c13d01:1,a5bf473d01:1,7bff873d01:1,41fbeb3d01:1	056:4,059:3,063:3,042:2,055:2,017:1,026:1,041:1,052:1	named_structural;needs_algebraic_simplification	state0 | 0x8fb57c3 - 0x45a18ca4 | flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - u16_1 + state0 | 0x8fb57c3 - 0x45a18ca4 | flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 ^ 0x1d802c44	10=(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 | 0x8fb57c3)) - 0x45a18ca4)) | (mask32((mask32((mask32((mask32(flags0 - (mask32((mask32(state0 | 0x8fb57c3)) + 0x4674713d)))) ^ 0x43...#ccaf3278b018 | 4=(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 | 0x8fb57c3)) - 0x45a18ca4)) | (mask32((mask32((mask32((mask32((mask32((mask32(flags0 + 0x75229706)) - 0x1ec4fc3d)) - (mask32((mask3...#f1a7c3008f2e
136	0x9461b	vmop_136_plus0x5_state_add_const_slot_mba_stateful	static_validated	2	1	+0x5	CCCCC	CC	b0=0x75;b1=0xd8;b2=0x3d;b3=0x01;b4=0x5b	w0=0xd875;w1=0x013d	state_add_const	state_add_const:1	1	state0 | u16_0 ^ state0 - 0x2eae4eac	slot_mba_stateful	2=(mask32((mask32(u16_0 ^ state0)) - 0x2eae4eac)) & 0xffff	2=0x5			75d83d015b:1	042:1	named_structural;needs_algebraic_simplification	state0 | u16_0 ^ state0 - 0x2eae4eac	2=(mask32((mask32(u16_0 ^ state0)) - 0x2eae4eac)) & 0xffff
140	0x94e5a	vmop_140_plus0x6_state_add_const_slot_multi_path	static_validated	2190	248	+0x6	VVVVVV	VVV	b0=var143(top=0xce:6.8%);b1=var148(top=0xab:8.5%);b2=var158(top=0x2b:7.0%);b3=var152(top=0x45:12.9%);b4=var146(top=0xf3:6.9%);b5=var145(top=0x79:6.8%)	w0=var247(top=0x95ce:6.8%);w1=var247(top=0x9e2b:6.8%);w2=var242(top=0x79f3:6.8%)	state_add_const	state_add_const:147	248	state0 - flags0 - 0x6f549f79 - state0 | 0xf17c331 | 0x16a9ca8c + u16_0 ^ state0 - flags0 - 0x6f549f79 - state0 | 0xf17c331 | 0x16a9ca8c ^ 0x6e089feb	slot_multi_path	112=(mask32((mask32(u16_0 ^ (mask32(state0 - (mask32((mask32(flags0 - (mask32(state0 | 0xf17c331)))) | 0x16a9ca8c)))))) ^ 0x6e089feb)) & 0xffff | 16=(mask32((mask32(u16_0 ^ (mask32(state0 - (mask32((mask32((mask32(flags0 - 0x6f549f79)) - (mask32(state0 | 0xf17c331)))) | 0x16a9ca8c)))))) ^ 0x6e089feb)) & 0xffff	128=0x6			624d0dbeda7e:1,1fb83cda91c2:1,11b5a440eaf9:1,9a9be7bcf804:1,4fba50518bcf:1,effe6c61d5f5:1,7f91a8f7848b:1,c6480d4ff377:1	055:37,042:26,041:21,056:21,063:19,048:14,052:13,061:12,021:10,032:9,046:8,050:7	named_structural;needs_algebraic_simplification	state0 - flags0 - 0x6f549f79 - state0 | 0xf17c331 | 0x16a9ca8c + u16_0 ^ state0 - flags0 - 0x6f549f79 - state0 | 0xf17c331 | 0x16a9ca8c ^ 0x6e089feb	112=(mask32((mask32(u16_0 ^ (mask32(state0 - (mask32((mask32(flags0 - (mask32(state0 | 0xf17c331)))) | 0x16a9ca8c)))))) ^ 0x6e089feb)) & 0xffff | 16=(mask32((mask32(u16_0 ^ (mask32(state0 - (mask32((mask32((mask32(flags0 - 0x6f549f79)) - (mask32(state0 | 0xf17c331)))) | 0x16a9ca8c)))))) ^ 0x6e089feb)) & 0xffff
142	0x953b1	vmop_142_plus0xa_state_formula_slot_unknown	partial	1	1	+0xa	CCCCCCCCCC	CCCCC	b0=0xc9;b1=0xc7;b2=0xf0;b3=0xc6;b4=0x36;b5=0x38;b6=0x0f;b7=0x39;b8=0x98;b9=0x02	w0=0xc7c9;w1=0xc6f0;w2=0x3836;w3=0x390f;w4=0x0298	state_formula		1	state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae ^ 0x6209aa88 + u32_0 ^ state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2...#692	slot_unknown					c9c7f0c636380f399802:1	061:1	named_structural;needs_algebraic_simplification	state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae ^ 0x6209aa88 + u32_0 ^ state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae ^ 0x6209aa88 + flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 ^ state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae | 0x2fd9e422 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae + 0x56d385ee ^ flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 ^ state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae | 0x2fd9e422 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae + 0x56d385ee - 0x18594029 - u16_8	
144	0x95887	vmop_144_plus0x2_state_mixed_slot_mba_stateful	static_validated	5218	619	+0x2	VV	V	b0=var32(top=0x87:10.1%);b1=var11(top=0x99:16.2%)	w0=var215(top=0x9087:5.4%)	state_mixed	state_mixed:348,state_add_const:152,state_const_post:72	619	state0 & 0x61f88068 & 0x1d022eee ^ 0x6367b3dd & u16_0 ^ state0 & 0x61f88068 & 0x1d022eee ^ 0x6367b3dd - 0x2f1222e2	slot_mba_stateful	128=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32(state0 & 0x61f88068)) & 0x1d022eee)) ^ 0x6367b3dd)))) - 0x2f1222e2)) & 0xffff	128=0x2			179b:11,779b:10,779e:8,b79e:7,a795:7,5795:7,df98:7,0f9e:7	055:99,041:55,042:48,056:44,063:36,050:30,061:30,048:28,052:28,059:26,046:24,021:19	named_structural;needs_algebraic_simplification	state0 & 0x61f88068 & 0x1d022eee ^ 0x6367b3dd & u16_0 ^ state0 & 0x61f88068 & 0x1d022eee ^ 0x6367b3dd - 0x2f1222e2	128=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32(state0 & 0x61f88068)) & 0x1d022eee)) ^ 0x6367b3dd)))) - 0x2f1222e2)) & 0xffff
145	0x95b5c	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	sampled_only	142	13	+0x139	sampled				sampled_long_or_sparse	sampled_long_or_sparse:13	13	state0	slot_unknown			125=next = table[354], ip += 0x139 | 4=next = table[165], ip += 0xbec		ab000000770000003d0122:2,62010000300000003d0122:2,a5000000ec0b00003d0122:1,620100008b0200003d0100:1,a50000004b0700003d0100:1,a5000000880200003d0100:1,62010000600000003d0122:1,ab000000300000003d0122:1	063:4,055:2,015:1,017:1,033:1,042:1,048:1,050:1,059:1	named_structural	state0	
146	0x96407	vmop_146_plus0x5_state_add_const_slot_multi_path	static_validated	578	101	+0x5	EVVVV	VV	b0=enum3(0x3a:379,0x50:122,0x62:77);b1=var58(top=0x09:27.5%);b2=var66(top=0x6e:15.9%);b3=var52(top=0x47:16.6%);b4=var53(top=0x92:18.2%)	w0=var73(top=0x513a:16.6%);w1=var101(top=0xa874:15.7%)	state_add_const	state_add_const:62	101	state0 + flags0 ^ 0x2e312e01 & flags0 & 0xa6d4251 ^ 0x409c2e61 + 0x7d882664 + 0x4a5b7e16 ^ u16_3 + flags0 & 0xa6d4251 ^ 0x409c2e61 ^ u16_1 - state0 + flags0 ^ 0x2e312e01 & flags0 & 0xa6d4251 ^ 0x409c2e61 + 0x7d882664 + 0x4a5b7e16 ^ u16_3 + flags0 & 0xa6d4251 ^ 0x409c2e61 + 0x2cff1885	slot_multi_path	99=(mask32((mask32(u16_1 - (mask32((mask32((mask32((mask32((mask32(state0 + flags0)) ^ 0x2e312e01)) & (mask32(flags0 + 0x7d882664)))) + 0x4a5b7e16)) ^ (mask32(u16_3 + flags0)))))) + 0x2cff1885)) & 0xffff | 29=(mask32((mask32(u16_1 - (mask32((mask32((mask32((mask32((mask32(state0 + flags0)) ^ 0x2...#1ac	128=0x5			3a91e90794:1,3a819303fe:1,3a51bbc0aa:1,3a59fb4794:1,3a8d927834:1,3ac66e3794:1,3ac18b67b4:1,3a116c07d2:1	055:22,056:13,041:6,032:4,042:4,048:4,061:4,010:3,028:3,046:3,050:3,052:3	named_structural;needs_algebraic_simplification	state0 + flags0 ^ 0x2e312e01 & flags0 & 0xa6d4251 ^ 0x409c2e61 + 0x7d882664 + 0x4a5b7e16 ^ u16_3 + flags0 & 0xa6d4251 ^ 0x409c2e61 ^ u16_1 - state0 + flags0 ^ 0x2e312e01 & flags0 & 0xa6d4251 ^ 0x409c2e61 + 0x7d882664 + 0x4a5b7e16 ^ u16_3 + flags0 & 0xa6d4251 ^ 0x409c2e61 + 0x2cff1885	99=(mask32((mask32(u16_1 - (mask32((mask32((mask32((mask32((mask32(state0 + flags0)) ^ 0x2e312e01)) & (mask32(flags0 + 0x7d882664)))) + 0x4a5b7e16)) ^ (mask32(u16_3 + flags0)))))) + 0x2cff1885)) & 0xffff | 29=(mask32((mask32(u16_1 - (mask32((mask32((mask32((mask32((mask32(state0 + flags0)) ^ 0x2e312e01)) & (mask32((mask32((mask32(flags0 & 0xa6d4251)) ^ 0x409c2e61)) + 0x7d882664)))) + 0x4a5b7e16)) ^ (mask32(u1...#f74cf8f6b8fa
148	0x96b6e	vmop_148_plus0x5_state_add_const_slot_mba_stateful	static_validated	144	18	+0x5	CCVVV	CV	b0=0x3d;b1=0x01;b2=var16(top=0xad:44.4%);b3=var12(top=0x79:53.5%);b4=var15(top=0x56:47.9%)	w0=0x013d;w1=var18(top=0x79ad:44.4%)	state_add_const	state_add_const:12	18	state0 & flags0	slot_mba_stateful	105=(mask32((mask32(u16_3 - (mask32(state0 & flags0)))) ^ 0x502e5379)) & 0xffff	105=0x5			3d01ad7956:1,3d01638107:1,3d01979c5f:1,3d01b387b9:1,3d01cd5960:1,3d01010e61:1,3d01777960:1,3d015f795e:1	055:6,059:3,048:2,052:2,056:2,030:1,050:1,063:1	named_structural;needs_algebraic_simplification	state0 & flags0	105=(mask32((mask32(u16_3 - (mask32(state0 & flags0)))) ^ 0x502e5379)) & 0xffff
151	0x97311	vmop_151_plus0x5_state_add_const_slot_mba_stateful	static_validated	45	12	+0x5	CCVVV	CV	b0=0x3d;b1=0x01;b2=var11(top=0xa7:13.3%);b3=var11(top=0x07:13.3%);b4=var12(top=0xc3:13.3%)	w0=0x013d;w1=var12(top=0x07a7:13.3%)	state_add_const	state_add_const:9	12	state0 + flags0 ^ u16_3 + state0 + flags0 + 0x77236c60	slot_mba_stateful	34=(mask32((mask32(u16_3 + (mask32(state0 + flags0)))) + 0x77236c60)) & 0xffff	34=0x5			3d0159640b:1,3d018d64db:1,3d014ddd14:1,3d01a910c7:1,3d01f58ba9:1,3d01e7a3d9:1,3d01f5a999:1,3d01710f37:1	055:3,052:2,056:2,041:1,042:1,046:1,048:1,063:1	named_structural;needs_algebraic_simplification	state0 + flags0 ^ u16_3 + state0 + flags0 + 0x77236c60	34=(mask32((mask32(u16_3 + (mask32(state0 + flags0)))) + 0x77236c60)) & 0xffff
153	0x979ab	vmop_153_plus0x5_state_add_const_slot_mba_stateful	static_validated	10	2	+0x5	EECCE	EC	b0=enum2(0xda:5,0xb5:5);b1=enum2(0xa5:5,0x8b:5);b2=0x3d;b3=0x01;b4=enum2(0x0b:5,0x97:5)	w0=enum2(0xa5da:5,0x8bb5:5);w1=0x013d	state_add_const	state_add_const:2	2	state0 + u16_0 - state0 ^ 0x6f642592	slot_mba_stateful	10=(mask32((mask32(u16_0 - state0)) ^ 0x6f642592)) & 0xffff	10=0x5			daa53d010b:1,b58b3d0197:1	055:2	named_structural;needs_algebraic_simplification	state0 + u16_0 - state0 ^ 0x6f642592	10=(mask32((mask32(u16_0 - state0)) ^ 0x6f642592)) & 0xffff
