program	block	state	block_end	byte_end_min	rows	terminal_kind	source_block	raw_b0	raw_b1	raw_b2	raw_b3	raw_b4	raw_b5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	raw_prefix32	first_source_entry	first_target_entry	first_state_ir	first_state_effect_ir	first_dispatch_ir	last_source_entry	last_target_entry	last_state_ir	last_state_effect_ir	last_dispatch_ir	edge_kind	edge_target_block	edge_target_vm_ip	edge_source_entry	edge_target_entry	edge_delta	edge_semantic_ir	edge_coverage	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	observed_pre_state	observed_post_state	observed_pre_flags	observed_post_flags	observed_target_entry	observed_bytes
024	129	0x179f43	0x17a04f	0x17a04f	72	exact_instruction	10@0x179f43-0x17a426+0x0	0x4c	0x1	0x1c	0xd7	0x7f	0xcf	0x14c	0x1c01	0xd71c	0xcf7f	4c011cd77fcfdc4be801aaf6509a4185bda7a21db2003d01b730ce23d981125d						184	278				covered_synthetic_fallthrough		0x17a04f	184	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	hidden_span_of_14:1	11	0	0	0					332:11	4c01:11
024	130	0x17a05d	0x17a25f	0x17a25f	137	exact_instruction	10@0x179f43-0x17a426+0x11a	0x33	0x1	0x3a	0x9d	0xae	0xff	0x133	0x3a01	0x9d3a	0xffae	33013a9daeffd799006e09f8bb6b53e801fbe2ae4f79abc694f9bb03fe16e801						176	264				covered_synthetic_fallthrough		0x17a25f	176	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100	hidden_span_of_14:1	11	0	0	0					307:11	3301:11
024	131	0x17a26d	0x17a420	0x17a420	116	exact_instruction	10@0x179f43-0x17a426+0x32a	0x12	0x0	0x10	0x8	0x3a	0xec	0x12	0x1000	0x810	0xec3a	120010083aecdf8d4b696f9ed96c50e801029a3a33c1ab006e88b220e8012208						161	175				covered_synthetic_fallthrough		0x17a420	161	175	+0x4	next = 175@0x9c08f:1, ip += +0x4; dispatch_model=static_100	target_footprint_of_6:1	11	0	0	0					18:11	1200:11
