source_entry	opcode_name	reduction_status	proof_status	original_chars	candidate_chars	candidate_c	smt2	solver_output_excerpt
237	vmop_237_plus0x5_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	170	19	u16_1 ^ 0xb7c30a76u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_237.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
239	vmop_239_plus0x6_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	210	142	(((((state0 + flags0) - u16_4) + 0x7a791554u) & (((flags0 + u32_0) + 0x40a7aa16u) - state0)) & ((state0 + flags0) + 0x40a7aa16u)) & 0x1804a10u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_239.smt2	"unsat\n(error ""line 10 column 10: model is not available"")"
240	vmop_240_plus0x5_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	36	19	0x8413de69u - u16_3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_240.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
241	vmop_241_plus0xd_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	24	26	(state0 + state0) - u16_11	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_241.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
242	vmop_242_plus0x5_state_formula_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	36	41	((u16_3 - state0) ^ 0x5c05e9b5u) | state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_242.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
243	vmop_243_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	553	320	((((((0x98f0410cu + state0) & 0x4ec4a2f1u) ^ (flags0 & 0x57df388cu)) | ((flags0 | state0) | (state0 ^ 0x47b31677u))) | (((0x98f0410cu + state0) & 0x2627b93bu) ^ 0xbdd98a5u)) | ((((0x98f0410cu + state0) & state0) & 0x4ec4a2f1u) ^ 0x47b31677u)) | ((((u16_0 + 0x2627b93bu) - state0) & (0x98f0410cu + state0)) ^ 0x47b31677u)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_243.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
245	vmop_245_plus0x5_state_affine_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	36	41	((u16_0 + state0) ^ state0) ^ 0x3a835417u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_245.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
246	vmop_246_plus0x78_sampled_long_or_sparse_slot_unknown	compiler_expression_recovered	proved_equivalent	6	6	state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_246.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
248	vmop_248_plus0x4_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	132	95	((((0x6764746au - state0) & 0x5188b16eu) ^ u16_2) ^ 0xf33f7905u) | ((flags0 - state0) ^ state0)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_248.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
250	vmop_250_plus0x3_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	166	107	((((u16_1 - state0) ^ (flags0 + flags0)) ^ flags0) | ((state0 ^ flags0) ^ (flags0 + flags0))) | 0xbf5fefdau	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_250.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
251	vmop_251_plus0x5_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	36	41	((u16_3 - state0) & state0) ^ 0x7cf1b821u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_251.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
253	vmop_253_plus0x6_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	118	110	((((u32_2 - 0x1c9c7d85u) ^ (flags0 + flags0)) | ((0x7c5d4802u + u16_0) ^ 0x2906c0c1u)) | state0) | 0x62c3b0ddu	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_253.smt2	"unsat\n(error ""line 10 column 10: model is not available"")"
254	vmop_254_plus0x4_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	170	159	((((((0xca5e7538u + flags0) & 0x5bf4e999u) ^ 0x15874263u) | flags0) | (0xdd75be5eu + u16_2)) | (((state0 + flags0) - u16_0) ^ (state0 + flags0))) | 0x7ff37dd9u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_254.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
256	vmop_256_plus0x2_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	290	133	((((u16_0 + state0) & 0x30de4dc1u) ^ 0x55c8a398u) | ((state0 ^ (flags0 - state0)) ^ 0x11246d19u)) | ((flags0 - state0) ^ 0xbc2ab174u)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_256.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
257	vmop_257_plus0x2_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	123	87	((((u16_0 + 0x33cddc09u) - state0) ^ 0x1d2af87u) | (state0 + 0x33cddc09u)) | 0x1d2af87u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_257.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
