program	path	rows	string_ref_rows	unresolved_rows	family_mix
000	dumps/vmtail-wide-1m-w16/vm_programs_readable_ops/vm_program_atlas_000.vmpseudo	633	0	591	obfuscated_table_dispatch:580,operand_table_dispatch:43,fixed_or_affine_dispatch:8,long_or_backedge_control:2
001	dumps/vmtail-wide-1m-w16/vm_programs_readable_ops/vm_program_atlas_001.vmpseudo	380	0	348	obfuscated_table_dispatch:333,operand_table_dispatch:42,fixed_or_affine_dispatch:4,long_or_backedge_control:1
002	dumps/vmtail-wide-1m-w16/vm_programs_readable_ops/vm_program_atlas_002.vmpseudo	1080	0	980	obfuscated_table_dispatch:951,operand_table_dispatch:118,fixed_or_affine_dispatch:10,long_or_backedge_control:1
003	dumps/vmtail-wide-1m-w16/vm_programs_readable_ops/vm_program_atlas_003.vmpseudo	313	0	288	obfuscated_table_dispatch:275,operand_table_dispatch:34,fixed_or_affine_dispatch:4
004	dumps/vmtail-wide-1m-w16/vm_programs_readable_ops/vm_program_atlas_004.vmpseudo	489	0	454	obfuscated_table_dispatch:444,operand_table_dispatch:39,fixed_or_affine_dispatch:5,long_or_backedge_control:1
005	dumps/vmtail-wide-1m-w16/vm_programs_readable_ops/vm_program_atlas_005.vmpseudo	157	0	145	obfuscated_table_dispatch:140,operand_table_dispatch:14,fixed_or_affine_dispatch:2,long_or_backedge_control:1
006	dumps/vmtail-wide-1m-w16/vm_programs_readable_ops/vm_program_atlas_006.vmpseudo	194	0	178	obfuscated_table_dispatch:172,operand_table_dispatch:19,fixed_or_affine_dispatch:3
007	dumps/vmtail-wide-1m-w16/vm_programs_readable_ops/vm_program_atlas_007.vmpseudo	1024	0	953	obfuscated_table_dispatch:920,operand_table_dispatch:94,fixed_or_affine_dispatch:9,unresolved_dispatch:1
008	dumps/vmtail-wide-1m-w16/vm_programs_readable_ops/vm_program_atlas_008.vmpseudo	188	0	173	obfuscated_table_dispatch:165,operand_table_dispatch:19,fixed_or_affine_dispatch:3,long_or_backedge_control:1
009	dumps/vmtail-wide-1m-w16/vm_programs_readable_ops/vm_program_atlas_009.vmpseudo	194	0	178	obfuscated_table_dispatch:174,operand_table_dispatch:15,fixed_or_affine_dispatch:4,long_or_backedge_control:1
010	dumps/vmtail-wide-1m-w16/vm_programs_readable_ops/vm_program_atlas_010.vmpseudo	1823	0	1685	obfuscated_table_dispatch:1634,operand_table_dispatch:171,fixed_or_affine_dispatch:17,long_or_backedge_control:1
011	dumps/vmtail-wide-1m-w16/vm_programs_readable_ops/vm_program_atlas_011.vmpseudo	326	0	304	obfuscated_table_dispatch:299,operand_table_dispatch:22,fixed_or_affine_dispatch:4,long_or_backedge_control:1
