program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
043	0x31df8f	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	54	
043	0x31e060	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	72	
043	0x31e182	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	51	
043	0x31e24d	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	72	
043	0x31e36f	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	51	
043	0x31e43a	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	72	
043	0x31e55c	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	52	
043	0x31e627	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	72	
043	0x31e749	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	6	
043	0x31e77f	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	52	
