program	case_state	status	block	row_count	terminal_kind	successor_vm_ip	successor_entry	edge_kind	edge_delta	edge_semantic_ir	raw_bytes_0_5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	observed_pre_state	observed_pre_flags	observed_pre_byte	observed_first_target_entry	trace_observations	trace_with_pre_state	reduction	missing
041	0x30e872	ready_for_mba_reduction	217	417	exact_instruction	0x30eea2	165	fallthrough	+0x2	next = 165@0x9a24c:1, ip += +0x2; dispatch_model=static_100; state=state_add_const	0x0 0x0 0xa9 0x0 0x62 0x1	0x0	0xa900	0xa9	0x162	0xa86c6e49	0xf0397358		169	20	17	concrete_successor_edge	
041	0x30eea2	ready_for_mba_reduction	218	7	long_branch_forward	0x30eeea	165	decoded_control	+0x30	next = table[165], ip += 0x30	0xb9 0x0 0xc3 0xa3 0x3a 0xcd	0xb9	0xc300	0xa3c3	0xcd3a	0x53a603ec	0x3ac62b5e		185	238	56	concrete_successor_edge	
041	0x30eed0	ready_for_mba_reduction	219	6	long_branch_backedge	0x30eea2	165	decoded_control	-0x40	next = table[165], ip -= 0x40	0xef 0xca 0x2a 0xe4 0x15 0x69	0xcaef	0x2aca	0xe42a	0x6915	0x7a230ef8	0x204010		337	221	52	concrete_successor_edge	
041	0x30eeea	ready_for_mba_reduction	220	134	exact_instruction	0x30f0ee	354	fallthrough	+0x2	next = 354@0xc2241:1, ip += +0x2; dispatch_model=static_100; state=state_mixed	0x51 0x1 0x5f 0x9a 0x68 0x0	0x151	0x5f01	0x9a5f	0x68	0x7a230878	0x430c4d4		337	17	4	concrete_successor_edge	
041	0x30f0ee	ready_for_mba_reduction	221	189	long_branch_forward	0x30f64d	171	decoded_control	+0x288	next = table[171], ip += 0x288	0xc4 0x0 0x1e 0x6e 0x34 0xf6	0xc4	0x1e00	0x6e1e	0xf634	0x22450050	0x276ae924		196	68	16	concrete_successor_edge	
041	0x30f3d6	ready_for_mba_reduction	222	163	long_branch_backedge	0x30f0ee	354	decoded_control	-0x557	next = table[354], ip -= 0x557	0x30 0x1 0x36 0xb 0x13 0x28	0x130	0x3601	0xb36	0x2813	0x998173a1	0x801214c		30	51	12	concrete_successor_edge	
041	0x30f64d	ready_for_mba_reduction	223	486	exact_instruction	0x30fd84	210	covered_synthetic_fallthrough	+0x5	next = 210@0xa2da3:1, ip += +0x5; dispatch_model=static_100; state=state_add_const	0xc7 0x0 0x6f 0x4f 0x3a 0xf9	0xc7	0x6f00	0x4f6f	0xf93a	0xe50579ef	0x4d1c5ffb		199	17	4	concrete_successor_edge	
041	0x30fd95	ready_for_mba_reduction	224	911	exact_instruction	0x310b1c	171	fallthrough	+0x2	next = 171@0x9b4b3:1, ip += +0x2; dispatch_model=static_100; state=state_add_const	0xd 0xf 0x6a 0xb2 0x3b 0xb	0xf0d	0x6a0f	0xb26a	0xb3b	0xf6f651cb	0x5de9d0f2		180	17	4	concrete_successor_edge	
041	0x310b1c	ready_for_mba_reduction	225	178	long_branch_forward	0x315cc8	354	decoded_control	+0x4f0e	next = table[354], ip += 0x4f0e	0x4d 0x1 0xd3 0xe4 0x68 0x0	0x14d	0xd301	0xe4d3	0x68	0x874f7fa0	0x16292acf		333	1096	56	concrete_successor_edge	
041	0x310dca	ready_for_mba_reduction	226	1865	long_branch_forward	0x3129aa	354	decoded_control	+0x2d	next = table[354], ip += 0x2d	0x9d 0xf 0x39 0x51 0xe8 0x1	0xf9d	0x390f	0x5139	0x1e8	0x283b02	0xd7f67ddb		183	1085	56	concrete_successor_edge	
041	0x3129aa	ready_for_mba_reduction	227	3116	long_branch_forward	0x31580e	171	decoded_control	+0x2d	next = table[171], ip += 0x2d	0x2b 0x0 0xa4 0x7b 0x68 0x0	0x2b	0xa400	0x7ba4	0x68	0x430108c0	0xc75bd0c4		43	1079	52	concrete_successor_edge	
041	0x31580e	ready_for_mba_reduction	228	318	long_branch_backedge	0x310b1c	171	decoded_control	-0x51a4	next = table[171], ip -= 0x51a4	0x51 0x1 0xf4 0x97 0xb3 0x0	0x151	0xf401	0x97f4	0xb3	0xe505a30b	0x262680ab		337	1079	52	concrete_successor_edge	
041	0x315cc8	ready_for_mba_reduction	229	654	sampled_operand_forward	0x343569	310	decoded_control	+0x2cef7	sampled operand footprint 0x6; observed target table[310], delta +0x2cef7	0x51 0x1 0xaf 0x92 0x68 0x0	0x151	0xaf01	0x92af	0x68	0xfbfb525a	0x8345d1e7		337	12	1	concrete_successor_edge	
