program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
055	0x33f278	ready_for_mba_reduction	all required static/runtime fields are present	20	17	17	17	yes	yes	290	
055	0x33f6c8	ready_for_mba_reduction	all required static/runtime fields are present	102	24	24	24	yes	yes	7	
055	0x33f6f6	ready_for_mba_reduction	all required static/runtime fields are present	85	20	20	20	yes	yes	6	
055	0x33f710	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	134	
055	0x33f914	ready_for_mba_reduction	all required static/runtime fields are present	34	8	8	8	yes	yes	190	
055	0x33fc02	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	132	
055	0x33fe02	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	233	
055	0x34017b	ready_for_mba_reduction	all required static/runtime fields are present	187	44	44	44	yes	yes	7	
055	0x3401a9	ready_for_mba_reduction	all required static/runtime fields are present	170	40	40	40	yes	yes	6	
055	0x3401c3	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	134	
055	0x3403c7	ready_for_mba_reduction	all required static/runtime fields are present	51	12	12	12	yes	yes	201	
055	0x3406dc	ready_for_mba_reduction	all required static/runtime fields are present	34	8	8	8	yes	yes	163	
055	0x340953	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	96	
055	0x340ac4	ready_for_mba_reduction	all required static/runtime fields are present	51	12	12	12	yes	yes	20	
055	0x340b20	ready_for_mba_reduction	all required static/runtime fields are present	34	8	8	8	yes	yes	164	
055	0x340d9a	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	95	
055	0x340f03	ready_for_mba_reduction	all required static/runtime fields are present	306	72	72	72	yes	yes	7	
055	0x340f31	ready_for_mba_reduction	all required static/runtime fields are present	289	68	68	68	yes	yes	6	
055	0x340f4b	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	134	
055	0x34114f	ready_for_mba_reduction	all required static/runtime fields are present	85	20	20	20	yes	yes	190	
055	0x34143d	ready_for_mba_reduction	all required static/runtime fields are present	68	16	16	16	yes	yes	163	
055	0x3416b4	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	233	
055	0x341a2d	ready_for_mba_reduction	all required static/runtime fields are present	187	44	44	44	yes	yes	7	
055	0x341a5b	ready_for_mba_reduction	all required static/runtime fields are present	170	40	40	40	yes	yes	6	
055	0x341a75	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	134	
055	0x341c79	ready_for_mba_reduction	all required static/runtime fields are present	51	12	12	12	yes	yes	201	
055	0x341f8e	ready_for_mba_reduction	all required static/runtime fields are present	34	8	8	8	yes	yes	163	
055	0x342205	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	96	
055	0x342376	ready_for_mba_reduction	all required static/runtime fields are present	51	12	12	12	yes	yes	20	
055	0x3423d2	ready_for_mba_reduction	all required static/runtime fields are present	34	8	8	8	yes	yes	164	
055	0x34264c	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	95	
055	0x3427b5	ready_for_mba_reduction	all required static/runtime fields are present	323	76	76	76	yes	yes	7	
055	0x3427e3	ready_for_mba_reduction	all required static/runtime fields are present	306	72	72	72	yes	yes	6	
055	0x3427fd	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	134	
055	0x342a01	ready_for_mba_reduction	all required static/runtime fields are present	85	20	20	20	yes	yes	190	
055	0x342cef	ready_for_mba_reduction	all required static/runtime fields are present	68	16	16	16	yes	yes	163	
055	0x342f66	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	96	
055	0x3430d7	ready_for_mba_reduction	all required static/runtime fields are present	51	12	12	12	yes	yes	20	
055	0x343132	ready_for_mba_reduction	all required static/runtime fields are present	34	8	8	8	yes	yes	164	
055	0x3433ad	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	117	
055	0x343569	ready_for_mba_reduction	all required static/runtime fields are present	14	13	13	13	yes	yes	73	
055	0x34368f	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	565	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
055	0x343ef4	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	121	0	0	0	yes	yes	7	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
055	0x343f22	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	110	0	0	0	yes	yes	6	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
055	0x343f3c	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	1495	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
