source_entry	opcode_name	problem_kind	trace_rows	trace_files	dynamic_start_vm_ips	dynamic_target_entries	pre_state_samples	pre_flags_samples	post_state_samples	post_flags_samples	byte_samples	required_inputs	capture_status
33	vmop_033_plus0x4_state_add_const_slot_multi_path	algebraic_mba	18496	vm_instruction_trace.tsv:9248;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:9248	0xd0ad1;0xd0b0d;0xd0d5e;0xd0d9a;0xd0da9;0xd1068;0xd1095;0xd10b3;0xd129f;0xd12ea;0xd1335;0xd3ff9;0xd4080;0xd4247;0xd4256;0xd4292;0xd430a;0xd43fc;0xd4456;0xd44b0;0xd44ce;0xd4a9e;0xd4acb;0xd4cd4;...+783	18;28;43;64;66;114;157;167;168;172;185;189;196;199;203;215;258;268;297;307;333;337;338;340;...+1					e801e280;e8011e86;e8016aca;e80186f3;e80164f4;e801d277;e8010c35;e8019ef6	pre_state;raw_vm_bytes:u16_2	no_state_samples_in_current_traces
35	vmop_035_plus0x5_state_preserve_slot_mba_stateful	algebraic_mba	2	vm_instruction_trace.tsv:1;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:1	0xd40ee	256					69f8003d01	pre_state;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
36	vmop_036_plus0x5_state_add_const_slot_multi_path	algebraic_mba	8	vm_instruction_trace.tsv:4;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:4	0x33c1e7	108					5cc2a33d01	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
37	vmop_037_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	4070	vm_instruction_trace.tsv:2035;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2035	0xd0be8;0xd40d4;0x11b286;0x11beeb;0x11c1e2;0x11c846;0x11cb60;0x11d057;0x11d0e4;0x1706d5;0x170a1d;0x170ee7;0x17133b;0x1713c8;0x1718dd;0x171fa1;0x172bd7;0x173179;0x173613;0x173882;0x173b85;0x17404f;0x177380;0x177632;...+197	108;144;160;173;198;256;257;352					7d90913d01;aa13003d01;296f5b3d01;549f773d01;fb04003d01;d5e0003d01;eb01003d01;4d466d3d01	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
40	vmop_040_plus0x6_state_add_const_slot_mba_stateful	algebraic_mba	1856	vm_instruction_trace.tsv:928;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:928	0xd0c98;0xd139a;0xd4ec0;0xd4f99;0xd5e11;0xd771d;0xdaccd;0x11b73d;0x11bcb4;0x11c34e;0x11d328;0x11d870;0x11dc4a;0x11e1d1;0x11e5ea;0x120cbc;0x121bd8;0x122bd0;0x128ac7;0x128fc4;0x170a96;0x171411;0x17196c;0x172362;...+69	18;28;64;66;114;185;189;199;215;258;297;307;337;340;347					e8013d0149b5;e8013d0174db;e8013d01a793;e8013d01a00b;e8013d017f54;e8013d0157dd;e8013d014809;e8013d01d255	pre_state;raw_vm_bytes:u16_4	no_state_samples_in_current_traces
42	vmop_042_plus0x4_state_mixed_slot_const_or_affine	algebraic_mba	6	vm_instruction_trace.tsv:3;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:3	0x30e872;0x334a3d;0x33b647	169;310	0xffc939bf;0x37ee0220;0xa86c6e49	0x7170d2b7;0x3fee7f36;0xf0397358			0000a900;00003601	pre_state;pre_flags;raw_vm_bytes:u16_2	has_state_samples
43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	32276	vm_instruction_trace.tsv:16138;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:16138	0xd0b09;0xd0b8c;0xd0b98;0xd0bae;0xd0bc8;0xd0bd7;0xd0c05;0xd0d71;0xd0eb5;0xd0f01;0xd0f1a;0xd0f2e;0xd1024;0xd1147;0xd12c4;0xd12df;0xd1313;0xd136d;0xd137c;0xd3fc8;0xd3fd4;0xd4004;0xd405a;0xd413f;...+1436	0;3;18;26;28;30;33;37;49;64;66;70;79;83;91;99;114;121;124;125;128;129;140;146;...+42					5435c04f;01e6ed93;ee3c0249;9307ef79;57f66b8b;78011479;8ecb32bf;d6fd1286	pre_state;raw_vm_bytes:u16_0,u16_2	no_state_samples_in_current_traces
48	vmop_048_plus0x5_state_add_const_slot_multi_path	algebraic_mba	566	vm_instruction_trace.tsv:283;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:283	0x11bb6d;0x11c1f2;0x11c84d;0x11d56f;0x11deed;0x122b4c;0x177273;0x17769b;0x24b1f2;0x24ba1b;0x26efa8;0x292c89;0x2c00cd;0x30f001;0x30f0e2;0x30f1d0;0x30f3ae;0x30f55c;0x30f639;0x30f848;0x3105c1;0x31aba5;0x31ac8a;0x31b21d;...+69	3;18;28;30;49;52;66;79;83;90;92;121;124;131;154;185;186;199;200;220;239;254;260;269;...+13					50dc506900;a07c3aa9fc;04f53a2f51;a4453a10b6;d87e3a780b;8c7c5026f2;b006505ca6;90de627e77	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_3	no_state_samples_in_current_traces
49	vmop_049_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	8264	vm_instruction_trace.tsv:4132;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:4132	0xd0c14;0xd0f0c;0xd114b;0xd4120;0xd47c1;0xd4ba1;0xd551f;0xd5535;0xd5a23;0xd72d0;0xd74cc;0x11adba;0x11ae18;0x11b26e;0x11b720;0x11bb9e;0x11bfa0;0x11c220;0x11c331;0x11c560;0x11c962;0x11cbd5;0x11cc03;0x11cc2f;...+391	108;144;160;173;198;256;257;352					00606e3d01;00144f3d01;00de263d01;005e7b3d01;00f8613d01;001e053d01;002e753d01;0086523d01	pre_state;pre_flags;raw_vm_bytes:u16_1	no_state_samples_in_current_traces
52	vmop_052_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	2206	vm_instruction_trace.tsv:1103;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:1103	0xd4dd7;0xd4eb0;0xd5163;0xd57cf;0xd770d;0x11bb79;0x11beae;0x122610;0x22ffac;0x2303a9;0x23084a;0x293167;0x2935f8;0x29361b;0x29363e;0x293661;0x2bee6b;0x30eeb5;0x315a7b;0x31b316;0x31c000;0x31c591;0x331e78;0x334c76;...+31	18;28;64;75;145;189;196;199;210;246;316;334;347					eef7af3d01;4ababf3d01;82b0473d01;63f7ff3d01;e64b113d01;d88bb13d01;135fbd3d01;af71d73d01	pre_state;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
54	vmop_054_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	2	vm_instruction_trace.tsv:1;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:1	0x31b076	256					f11bbd3d01	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
56	vmop_056_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	54	vm_instruction_trace.tsv:27;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:27	0x33513c;0x33fba1;0x367bbe;0x36b846	108;160;173					34753d01b7;42663d0127;02f03d011b;8d763d014b	pre_state;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
62	vmop_062_plus0x4_state_add_const_slot_multi_path	algebraic_mba	240	vm_instruction_trace.tsv:120;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:120	0x17720c;0x24b292;0x30ee2c;0x30fe39;0x311e56;0x31d180;0x31d667;0x3318b7;0x334bed;0x33dd2f;0x340105;0x340e8d;0x360517;0x364767;0x36ce0d;0x36ee88	28;66;124;157;196;200;215;253;297;307;337;347					f8518dfe;4661c7dc;b1dabe5f;19f6eb18;d9a77d60;dca0bd1e;83dd4332;f9da6536	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_2	no_state_samples_in_current_traces
64	vmop_064_plus0x4_state_add_const_slot_multi_path	algebraic_mba	47356	vm_instruction_trace.tsv:23678;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:23678	0xd0ac9;0xd0b81;0xd0bcc;0xd0c33;0xd0c49;0xd0c90;0xd0c9e;0xd0cb7;0xd0d9e;0xd0db4;0xd0de9;0xd0dff;0xd0e34;0xd0eef;0xd0f41;0xd130f;0xd13c1;0xd13e5;0xd1406;0xd3ffd;0xd40e5;0xd4146;0xd4158;0xd4166;...+2198	0;3;18;20;26;28;30;33;37;43;49;52;66;70;79;83;121;122;123;124;128;129;140;146;...+49					bd4937b0;061bd3f6;14cd1a9a;a39523f9;8b87d3df;7d9d517e;3d5a7384;05ba0fac	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_2	no_state_samples_in_current_traces
65	vmop_065_plus0x4_state_simple_slot_mba_stateful	algebraic_mba	46	vm_instruction_trace.tsv:23;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:23	0x1a4dcf;0x1a4ec0;0x1a5aaf;0x24a7bc;0x24acee;0x31b28d;0x31bf77;0x31cc99;0x31db4e;0x34273f;0x361aed;0x36325c;0x36766f;0x3693bc;0x36c9cb;0x36fdcb	18;28;43;64;124;185;199;215;239;253;333;337;345;347					d5d8fd77;f4c5e11a;54d88adf;11a7d7e5;9f840f37;2afa1f44;b2eca742;0d53a38a	pre_state;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
66	vmop_066_plus0x3_state_add_const_slot_multi_path	algebraic_mba	45478	vm_instruction_trace.tsv:22739;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:22739	0xd0b06;0xd0c6d;0xd0c86;0xd0cef;0xd0d38;0xd0de2;0xd0f13;0xd0f45;0xd0fae;0xd0fb9;0xd1021;0xd1043;0xd1225;0xd1237;0xd12c1;0xd12ee;0xd1301;0xd1379;0xd13a0;0xd13ba;0xd13e2;0xd4057;0xd4088;0xd4111;...+2156	3;17;20;26;30;33;37;43;48;49;52;54;64;70;74;79;83;90;92;99;105;107;114;121;...+64					31983a;7d2bfa;5dacde;552ce8;6da038;f1d76a;821eb6;393aa0	pre_state;pre_flags;raw_vm_bytes:b2,u16_0	no_state_samples_in_current_traces
69	vmop_069_plus0xd_state_formula_slot_unknown	dispatch_unknown	25	vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:23;vm_instruction_trace.tsv:2	0xd5044;0xd77c8;0x31c33a;0x3387d9;0x33e707;0x362716;0x369951;0x370127	171;310;354			0xbffd3685	0x9c3300c2	0009c98e9a2065ea5536008000;00ccb947a5047cb4610d008000ab00e801;c4b49396790f443faf0d008000e8016201;120bfc05e4d8611cf431008000e801ab00;ca6c3d5e33ae7740eb33008000ab00e801;5b61e70803d91ed2a633008000e8016201;f925247ee1a8623da236008000ab00e801;fa66421da93f42dd1f37008000e8016201	pre_state;pre_flags	no_state_samples_in_current_traces
70	vmop_070_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	3258	vm_instruction_trace.tsv:1629;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:1629	0xd0c2c;0xd1134;0xd5509;0xd57b8;0xd7513;0xda3bc;0xdac84;0x11ad8a;0x11b016;0x11b70a;0x11bc55;0x11c2d7;0x11c578;0x11d564;0x11d7d8;0x11e5a1;0x11ecc2;0x11f021;0x11f066;0x12159a;0x121b5e;0x121db9;0x1220a1;0x122371;...+205	108;144;160;173;198;256;257;352					ba56003d01;6925003d01;f950003d01;acf3d33d01;ab8e003d01;4c2a3b3d01;1ac4433d01;4273e13d01	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
74	vmop_074_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	66	vm_instruction_trace.tsv:33;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:33	0x120e83;0x22ffcd;0x2c0576;0x30f7ca;0x31b11f;0x335047;0x3350f1;0x338cb6;0x3412e7;0x341391;0x362e0d;0x363fc6;0x3643e9	108;144;160;173;198;352					c6cf3d01a7;2c243d019d;55a63d0123;6af53d01f1;3c853d01f7;4c2c3d017f;74a33d0103;b7fc3d0129	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
75	vmop_075_minus0x6d_sampled_backedge_slot_unknown	dispatch_unknown	687	vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:411;vm_instruction_trace.tsv:276	0xd57d4;0xd78ea;0x11e39b;0x122615;0x18beab;0x1a52c0;0x22ffb1;0x2935fd;0x293643;0x2bf048;0x310dba;0x31b82c;0x31c005;0x31e54b;0x33518c;0x33e829;0x340f1b;0x343122;0x361133;0x368052;0x368a98;0x36c899	28;30;114;140;165;168;171;180;189;199;260;300;322;337;350;354					ab0000006d0000803d019a5ae9e544f6d9c39fb63a3668ff1418b4e9c6cf3d01;620100003e0200003d012254056287b5718f8f7b06bf9d016f909a7f003d0177;ab000000a52a00003d01223ae7bda6db049b10e8010b126800d80dabd4fa6880;62010000110200003d019abf042b7d44c0e5991e39c30be801d3943ae3ef6800;a5000000300000003d0122f8e6809d018cc13d011300cfad18fb6008b4710fe9;a5000000880200003d01006d0df0008a1f1bdcbc530ce801df9214be0d02ad00;a5000000600000003d01222ae237ad68004507ed80ebca6e3fb806e801980288;a5000000300000003d012267b79d01fc8313003d0180b537e5cf880a01e4f6cd	pre_state	no_state_samples_in_current_traces
78	vmop_078_plus0xd_state_preserve_slot_multi_path	algebraic_mba	20	vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:19;vm_instruction_trace.tsv:1	0x11e02d;0x293222;0x331c7a;0x33cb55;0x36b693	165;171;310;354			0x1400b840	0x1400b840	d5a3e8f5b13421dfd233008000;206105e4180518cf3b33008000e801a500;4c90bfd11d1725f3da36008000e801a500;2c4766f5a11e04422e12008000e801ab00;6394ff02ef88624d172c0080006201e801	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
79	vmop_079_plus0x5_state_add_const_slot_multi_path	algebraic_mba	7266	vm_instruction_trace.tsv:3633;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:3633	0xd0bd0;0xd0c58;0xd0ec8;0xd111c;0xd11a6;0xd40bc;0xd477f;0xd49a5;0xd5a4f;0xd5c33;0xd72a2;0xda3a4;0xdac9a;0x11b4de;0x11b6f2;0x11b906;0x11bc6b;0x11bed3;0x11c7e9;0x11d03f;0x11d0cc;0x11d0fb;0x11d13f;0x11d7c0;...+393	108;144;160;173;198;256;257;352					82a83d0100;96293d0100;40853d0100;56a53d0100;f6253d0100;3ac83d0100;70073d0100;ca843d0100	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
82	vmop_082_plus0x3_state_add_const_slot_mba_stateful	algebraic_mba	284	vm_instruction_trace.tsv:142;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:142	0x120c79;0x1a5f7e;0x2309bd;0x231019;0x29311b;0x30f768;0x332219;0x335689;0x33cfd6;0x340bcb;0x36163c	18;99;157;168;217;307;333					3eb162;20b962;428762;085862;998b62;d95562;6f8e62;de4662	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
83	vmop_083_plus0x5_state_add_const_slot_multi_path	algebraic_mba	5016	vm_instruction_trace.tsv:2508;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2508	0xd0c42;0xd4512;0xd4541;0xd4795;0xd49bb;0xd5579;0xd5a39;0xd7529;0x11b6c4;0x11b934;0x11bc3d;0x11bc81;0x11bf72;0x11bfce;0x11c1ca;0x11c24f;0x11c7a0;0x11c877;0x11c8bf;0x11c936;0x11d084;0x11d0b2;0x11d129;0x11d54c;...+408	108;144;160;173;198;256;257;352					f4ae003d01;1d19003d01;1229003d01;2985003d01;33a6003d01;93b4003d01;8f9c003d01;3522003d01	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
88	vmop_088_plus0x5_state_add_const_slot_multi_path	algebraic_mba	298	vm_instruction_trace.tsv:149;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:149	0x1217ac;0x230832;0x230f24;0x2311bb;0x31ca8a;0x331fa3;0x33c037;0x33f9b9;0x341831;0x3420a3;0x36103f	108;173;256;257;352					e5b8553d01;41eba63d01;8709003d01;d7a06a3d01;9d472c3d01;bdccec3d01;5508683d01;1b01783d01	pre_state;pre_flags;raw_vm_bytes:u16_1	no_state_samples_in_current_traces
90	vmop_090_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	1134	vm_instruction_trace.tsv:567;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:567	0x177c71;0x1a4949;0x1a534b;0x1a5575;0x1ed366;0x22ff7e;0x230d22;0x24a660;0x292f2b;0x30efb8;0x30f1cc;0x30f5a5;0x310b11;0x31abaa;0x31ac40;0x31ac86;0x31acd1;0x31ad68;0x31adb6;0x31b53c;0x31b631;0x31b6db;0x31b9d3;0x31ba21;...+72	3;17;18;28;30;48;49;52;66;70;74;79;83;121;122;124;140;153;185;199;200;215;220;239;...+15					8ff5bf9a;c7eceeaa;5ff3bd85;b7f25ab8;77f1b7f2;bfecf20c;8ff579d5;77f18bed	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_2	no_state_samples_in_current_traces
91	vmop_091_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	4502	vm_instruction_trace.tsv:2251;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2251	0xd4118;0xd54e6;0xd7297;0xd74c8;0xda3a0;0x11affa;0x11bf6e;0x11c2b7;0x11c558;0x11c8b7;0x11c901;0x11d030;0x11d4ff;0x11deac;0x11e167;0x11ea7c;0x12154f;0x121d92;0x122575;0x128cd3;0x1706b9;0x170c50;0x1710f5;0x1713a1;...+339	3;18;28;43;49;64;66;79;83;112;114;157;168;172;185;189;196;199;203;215;220;258;268;269;...+8					5007e801;4005e801;541fe801;4389e801;8bfee801;e80ae801;8bf6e801;e042e801	pre_state;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
92	vmop_092_plus0x4_state_add_const_slot_multi_path	algebraic_mba	614	vm_instruction_trace.tsv:307;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:307	0x11adb1;0x11c859;0x11d7df;0x177278;0x1772ec;0x1a5b77;0x2311f5;0x30f0de;0x30f325;0x30f6ca;0x3105c6;0x31b37f;0x31b941;0x31bb55;0x31be1e;0x31bf0c;0x31c14c;0x31c1dc;0x31c220;0x31c496;0x31c791;0x31c8bd;0x31cbdb;0x31dd8c;...+57	3;17;18;28;48;49;66;74;79;83;105;122;124;131;140;154;185;199;215;220;239;253;254;260;...+12					24361720;3c3527ff;a434c56f;bc303fda;5c2ce000;b43198db;94326ebf;a4339891	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_2	no_state_samples_in_current_traces
94	vmop_094_plus0x5_state_add_const_slot_multi_path	algebraic_mba	182	vm_instruction_trace.tsv:91;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:91	0x231106;0x30f4eb;0x316132;0x31bd20;0x334f54;0x360ea2;0x368179;0x36b9bc	144;160;173;198					8ba6eb3d01;01be323d01;57a62b3d01;a13d323d01;9bef293d01;d9c6eb3d01;4be76b3d01;193ea23d01	pre_state;pre_flags;raw_vm_bytes:u16_1	no_state_samples_in_current_traces
95	vmop_095_plus0xa_state_preserve_slot_mba_stateful	algebraic_mba	1195	vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:630;vm_instruction_trace.tsv:565	0xd1002;0xd5641;0x11ca2a;0x11d6a2;0x11e27c;0x11e695;0x11e962;0x121c83;0x128de7;0x170b41;0x170db1;0x171e6b;0x173043;0x1739be;0x176c87;0x1770e9;0x18ba5b;0x249956;0x249ddc;0x24a01f;0x24a292;0x24ab6a;0x24b640;0x24bb69;...+29	42;86;165;169;171;310;354			0x3ffda2b6;0xc04a030;0xa5d60228;0x4ac4ab80;0xdeaf53c6;0x37ee0220;0x6fbdfffb;0xd6ac94ea	0x12833a00;0xc04a030;0xb5deff2f;0x4ac4ab80;0xdead53c6;0x3fee7f36;0x91a615d2;0x90396658	a8fb2600800000fd0100;28012700800000fd0100;7abe24008000e05406006201e8017200fb628cacbbc49900082133e801a4ac88;2074330080000fd54800;747a3300800080fd0100;690432008000e04d0700a500e8014000c5a6990034c17b03fb98eee80129f6ef;7ed433008000b2510700;9b71310080009c330700	pre_state;raw_vm_bytes:u16_4	no_state_samples_in_current_traces
99	vmop_099_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	1390	vm_instruction_trace.tsv:695;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:695	0x120c89;0x1a5f84;0x2302b6;0x2309c0;0x230f98;0x231020;0x23111f;0x26cf00;0x31ca2b;0x31e80f;0x31eb2b;0x332223;0x335698;0x33a3cc;0x33e925;0x340bd7;0x3417d2;0x344736;0x36163f;0x362dae;0x36438a;0x36bc3c;0x36f933;0x3710a3;...+2	108;144;160;173;198;256;257;352					000aaf3d01;00097a3d01;00df5e3d01;0075353d01;00d2e53d01;007d363d01;006dc13d01;0070b33d01	pre_state;raw_vm_bytes:u16_1	no_state_samples_in_current_traces
101	vmop_101_plus0xd_state_add_const_slot_mba_stateful	algebraic_mba	2	vm_instruction_trace.tsv:1;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:1	0xd4e92	199					1e1e020080003d0122e80154b0	pre_state;raw_vm_bytes:u16_11	no_state_samples_in_current_traces
102	vmop_102_plus0xd_state_preserve_slot_mba_stateful	algebraic_mba	128	vm_instruction_trace.tsv:64;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:64	0x230905	268					474e040080003d0189e801b994	pre_state;raw_vm_bytes:u16_11	no_state_samples_in_current_traces
107	vmop_107_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	512	vm_instruction_trace.tsv:256;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:256	0x23034e	160					9ed4a93d01	pre_state;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
108	vmop_108_plus0x2_state_add_const_slot_mba_stateful	algebraic_mba	10478	vm_instruction_trace.tsv:5239;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:5239	0xd0e7a;0xd0f29;0xd1150;0xd1195;0xd40d9;0xd4517;0xd452f;0xd49c0;0xd550e;0xd5524;0xd5a54;0xd74d1;0xd7500;0xda5d1;0xdac71;0x11ad8f;0x11b049;0x11bef0;0x11bf77;0x11c1e7;0x11c225;0x11c565;0x11c593;0x11c7a5;...+695	17;18;28;30;43;48;62;64;65;66;90;92;105;114;117;121;124;128;140;146;154;157;165;168;...+40					45d0;d88b;fc63;f63d;01d9;965a;6690;cf80	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
112	vmop_112_plus0x5_state_formula_slot_unknown	dispatch_unknown	4	vm_instruction_trace.tsv:2;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2	0x1a4ed5;0x343e2a	108;160					133d01a9f4;003d01f9d3	pre_state;pre_flags;raw_vm_bytes:u16_3	no_state_samples_in_current_traces
114	vmop_114_plus0x4_state_add_const_slot_multi_path	algebraic_mba	50600	vm_instruction_trace.tsv:25300;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:25300	0xd0ae4;0xd0bfa;0xd0c25;0xd0c65;0xd0cac;0xd0cbf;0xd0ceb;0xd0cf6;0xd0d3b;0xd0f8c;0xd103f;0xd1183;0xd11ea;0xd1221;0xd123a;0xd124d;0xd132e;0xd13a3;0xd1411;0xd1432;0xd143d;0xd3fe3;0xd4022;0xd4031;...+2230	3;18;20;26;28;30;33;37;43;49;52;66;70;74;79;83;118;121;123;124;125;128;131;140;...+48					4d9239d4;2a8933bc;c67809c0;f5b572ff;c7fd6736;36777835;2d4d0182;60b30ffb	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_2	no_state_samples_in_current_traces
117	vmop_117_minus0x40_sampled_backedge_slot_unknown	dispatch_unknown	244	vm_instruction_trace.tsv:122;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:122	0x11c256;0x1a5ee8;0x30eee2;0x31cbe6;0x31e75d;0x3320fd;0x334ca3;0x33c5b0;0x33e8d6;0x33f708;0x34094b;0x342644;0x343f34;0x362b22;0x369b20;0x36b386;0x36d571;0x36f6a7	165;171;354					a5000000540000001c00400510ef5536d52d0851a81008d2e15d1bc0433d0100;ab000000ce020080fe00e80142476310e801dff768009c7ddef4ec1db3003d01;a500000040000080290131eee5d33ddb0f9f76b0db6477b88d630ee801003d01;a5000000c10b0080c700df4d3ad4c7d003e8016e922798cec51f98151649c300;6201000084050080fe00e80142478b09e8017f74bfa5d3e16800354be8003d01;6201000067070080c4001e6e14f6a12b42478b06e801d88dfbc8b7a0870088b9;62010000220000004000e3aab300007db44871e0f6ffafafe7db91377f003d01;6201000040000080d700100888528c5c038d0f63f15b0ee80108e12d2300c0a7	pre_state	no_state_samples_in_current_traces
118	vmop_118_plus0x3_state_formula_slot_mba_stateful	algebraic_mba	796	vm_instruction_trace.tsv:398;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:398	0x1ed3c3;0x2302af;0x230f91;0x2310eb;0x31bcb3;0x31eb28;0x34247d;0x36437b;0x365520;0x36810e;0x36bc29;0x36d7e6	99;114;172;189;208;217;268;322;332;333					62a62b;625890;62a852;625947;62f3d8;62753d;623733;620cea	pre_state;raw_vm_bytes:u16_1	no_state_samples_in_current_traces
119	vmop_119_plus0x6_state_add_const_slot_mba_stateful	algebraic_mba	1844	vm_instruction_trace.tsv:922;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:922	0xd0f57;0xd4160;0xd5c50;0x11b077;0x11b97f;0x11c97f;0x11cc4c;0x11d5f7;0x11da5d;0x11eae1;0x11f2f0;0x120a49;0x1215e5;0x121e1b;0x128d3c;0x1707ab;0x1727cc;0x1729f6;0x173432;0x17365c;0x173913;0x174098;0x1769fa;0x17740d;...+70	18;28;64;66;114;185;189;199;215;258;297;307;337;340;347					e8013d01cb96;e8013d019a23;e8013d01f396;e8013d012a12;e8013d01f76b;e8013d01a8eb;e8013d012391;e8013d012b97	pre_state;raw_vm_bytes:u16_4	no_state_samples_in_current_traces
121	vmop_121_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	4396	vm_instruction_trace.tsv:2198;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2198	0xd0bc4;0xd1156;0xd40ad;0xd5a44;0xd72de;0xd74c4;0x11b04e;0x11b294;0x11b95e;0x11bc72;0x11c313;0x11c50f;0x11c945;0x11ce37;0x11d02c;0x11ec9f;0x121bb7;0x122b67;0x128fa3;0x1706b5;0x170c82;0x170ec7;0x17111c;0x171663;...+191	3;18;28;36;43;48;49;64;66;79;83;91;105;114;125;157;168;172;180;183;189;196;199;203;...+19					b05c14f7;9862d043;10d1bfd0;82e06c02;583f8c31;838def0c;235f6a1f;22f9debc	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_2	no_state_samples_in_current_traces
