program	case_state	capture_status	case_start_site	case_start_source_entry	case_start_target_entry	case_start_bytes	predecessor_start_vm_ip	predecessor_end_vm_ip	predecessor_site	predecessor_source_entry	focus_ips	focus_sites	stop_after_matches	focus_env	capture_goal
063	0x36ecdc	needs_stateful_capture	0xb86f5	310	165	e801a500					0x36ecdc	0xb86f5	1	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x36ecdc EAC_VMTAIL_FOCUS_SITES=0xb86f5 EAC_VMTAIL_STOP_AFTER_MATCHES=1	emit VMTAIL row for 0x36ecdc with vm_state/vm_flags/vm_byte populated
063	0x36eefe	needs_stateful_capture	0x9a46b	165	18	1200	0x36eefc	0x36eefe	0x99757	160	0x36eefc,0x36eefe	0x99757,0x9a46b	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x36eefc,0x36eefe EAC_VMTAIL_FOCUS_SITES=0x99757,0x9a46b EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x36eefe with vm_state/vm_flags/vm_byte populated
063	0x36ef2c	needs_stateful_capture	0xa1936	203	66	179a0637	0x36ef16	0x36ef2c	adjacent_unhooked_span	145	0x36ef16,0x36ef2c	0xa1936	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x36ef16,0x36ef2c EAC_VMTAIL_FOCUS_SITES=0xa1936 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x36ef2c with vm_state/vm_flags/vm_byte populated
063	0x36ef46	needs_stateful_capture	0x9b687	171	254	fe00	0x36ef16	0x36ef46	0x9634f	145	0x36ef16,0x36ef46	0x9634f,0x9b687	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x36ef16,0x36ef46 EAC_VMTAIL_FOCUS_SITES=0x9634f,0x9b687 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x36ef46 with vm_state/vm_flags/vm_byte populated
063	0x36f14a	needs_stateful_capture	0x9a46b	165	258	0201	0x36f148	0x36f14a	0x95b59	144	0x36f148,0x36f14a	0x95b59,0x9a46b	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x36f148,0x36f14a EAC_VMTAIL_FOCUS_SITES=0x95b59,0x9a46b EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x36f14a with vm_state/vm_flags/vm_byte populated
063	0x36f438	needs_stateful_capture	0x9d692	183	268	e8012e8a	0x36f427	0x36f438	adjacent_unhooked_span	246	0x36f427,0x36f438	0x9d692	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x36f427,0x36f438 EAC_VMTAIL_FOCUS_SITES=0x9d692 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x36f438 with vm_state/vm_flags/vm_byte populated
063	0x36f6af	needs_stateful_capture	0x9a46b	165	347	5b01	0x36f427	0x36f6af	0xabc56	246	0x36f427,0x36f6af	0xabc56,0x9a46b	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x36f427,0x36f6af EAC_VMTAIL_FOCUS_SITES=0xabc56,0x9a46b EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x36f6af with vm_state/vm_flags/vm_byte populated
063	0x36f820	needs_stateful_capture	0x9a46b	165	199	c700	0x36f81e	0x36f820	0xa062e	198	0x36f81e,0x36f820	0xa062e,0x9a46b	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x36f81e,0x36f820 EAC_VMTAIL_FOCUS_SITES=0xa062e,0x9a46b EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x36f820 with vm_state/vm_flags/vm_byte populated
063	0x36f87c	needs_stateful_capture	0x9170b	121	91	464f7d24	0x36f86b	0x36f87c	adjacent_unhooked_span	145	0x36f86b,0x36f87c	0x9170b	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x36f86b,0x36f87c EAC_VMTAIL_FOCUS_SITES=0x9170b EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x36f87c with vm_state/vm_flags/vm_byte populated
063	0x36faf6	needs_stateful_capture	0x9b687	171	189	bd00	0x36f86b	0x36faf6	0x9634f	145	0x36f86b,0x36faf6	0x9634f,0x9b687	2	EAC_VMTAIL_TRACE=1 EAC_VMTAIL_REGS=1 EAC_VMTAIL_SCRATCH=1 EAC_VMTAIL_LIMIT=16 EAC_VMTAIL_SITES=$ALL_TABLE_SPEC EAC_VMTAIL_FOCUS_IPS=0x36f86b,0x36faf6 EAC_VMTAIL_FOCUS_SITES=0x9634f,0x9b687 EAC_VMTAIL_STOP_AFTER_MATCHES=2	emit VMTAIL row for 0x36faf6 with vm_state/vm_flags/vm_byte populated
