program	block	state	block_end	byte_end_min	rows	terminal_kind	source_block	raw_b0	raw_b1	raw_b2	raw_b3	raw_b4	raw_b5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	raw_prefix32	first_source_entry	first_target_entry	first_state_ir	first_state_effect_ir	first_dispatch_ir	last_source_entry	last_target_entry	last_state_ir	last_state_effect_ir	last_dispatch_ir	edge_kind	edge_target_block	edge_target_vm_ip	edge_source_entry	edge_target_entry	edge_delta	edge_semantic_ir	edge_coverage	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	observed_pre_state	observed_post_state	observed_pre_flags	observed_post_flags	observed_target_entry	observed_bytes
065	493	0x3717c4	0x3718ff	0x3718ff	85	exact_instruction	36@0x36ecdc-0x371ff7+0x2ae8	0x40	0x0	0xd5	0xab	0x91	0x0	0x40	0xd500	0xabd5	0x91	4000d5ab91006b06910019210001bea26525a05a12003d01ada2420069983a25						161	311				covered_synthetic_fallthrough		0x3718ff	161	311	+0x4	next = 311@0xb86f8:25, ip += +0x4; dispatch_model=static_100	hidden_span_of_14:25	276	1	1	1	0xb7fa57fe:1		0x624000c8:1		64:275,165:1	4000:275,4000d5ab91006b0691001921:1
065	494	0x37190d	0x371a20	0x371a20	72	exact_instruction	36@0x36ecdc-0x371ff7+0x2c31	0x72	0x0	0xcb	0x64	0x8c	0xac	0x72	0xcb00	0x64cb	0xac8c	7200cb648cac600848afd2352b5ecde80110a6a0a741ab24bfd8092be801e1f0						52	316				covered_synthetic_fallthrough		0x371a20	52	316	+0x5	next = 316@0xb987b:25, ip += +0x5; dispatch_model=static_100	hidden_span_of_16:25	276	1	1	1	0xeb767f7e:1		0xa7562710:1		114:275,171:1	7200:275,7200cb648cac600848afd235:1
065	495	0x371a30	0x371a4b	0x371a4b	6	long_branch_backedge	36@0x36ecdc-0x371ff7+0x2d54	0x64	0x9c	0xae	0x65	0x98	0x34	0x9c64	0xae9c	0x65ae	0x3498	649cae659834bfa363442639003d0167f0579fab000000ed1700800c01641c86						308	171				decoded_control	476	0x370256	308	171	-0x17ed	next = table[171], ip -= 0x17ed		276	1	1	1	0x4100000:1		0x4128000:1		121:275,268:1	649cae65:275,649cae659834bfa363442639:1
065	496	0x371a63	0x371b85	0x371b85	78	exact_instruction	36@0x36ecdc-0x371ff7+0x2d87	0x4c	0x1	0x1c	0xd7	0x47	0xcc	0x14c	0x1c01	0xd71c	0xcc47	4c011cd747cc530ce8011790147aa34a620968099e003d014ffb661223541640						123	95				covered_synthetic_fallthrough		0x371b85	123	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100	hidden_span_of_14:1	11	0	0	0					332:11	4c01:11
065	497	0x371b93	0x371e16	0x371e16	171	exact_instruction	36@0x36ecdc-0x371ff7+0x2eb7	0xc	0x1	0x4a	0x1c	0x76	0x62	0x10c	0x4a01	0x1c4a	0x6276	0c014a1c7662e52a5a8c342089cd12e801dbf4ab00d8bc2cabd00048bf9ee801						123	311				covered_synthetic_fallthrough		0x371e16	123	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100	hidden_span_of_14:1	11	0	0	0					268:11	0c01:11
065	498	0x371e24	0x371fdd	0x371fdd	117	sampled_operand_backedge	36@0x36ecdc-0x371ff7+0x3148	0x2b	0x0	0xfd	0x7e	0x99	0x0	0x2b	0xfd00	0x7efd	0x99	2b00fd7e9900679400003c083ae801a8cd0e0db200eb45ab00d809ade80131f5						299	310				decoded_control	405	0x36504c	299	310	-0xcf8b	sampled operand footprint 0x6; observed target table[310], delta -0xcf8b		11	0	0	0					43:11	2b00:11
