segment	start	end	size	events	unique_start_ips	unique_sources	conflict_offsets	conflict_events	sha256	top_sources	top_targets	top_deltas	hex_prefix	hex_suffix
47	0x26cd71	0x26cf3b	0x1ca	452	113	56	0	0	9b96b14cdfda0107b080fdf5985bb5c7712c23c860eb0958aefd5c0e045ff5a6	66:28,340:20,189:20,307:20,43:20,337:20,157:16,287:16	66:28,340:20,189:20,307:20,43:20,337:20,157:16,287:16	+0x4:272,+0x3:96,+0x5:40,+0x2:28,+0x6:12,+0xbec:4	36010000e801a500420031983a761999004b4399004414e801144aab007fdfab00e0892ae80199f5f08afc904015afa2afe3006e34e8017d2bfa73d82800930f	f791821eb6000aaf3d01e92b57f66b8bb0fd600a14ac21765506ae3d01695848a5000000ec0b00003d01226005cfb8eb00c5036f80909d5a47e8015ead78020e
48	0x26db07	0x26f097	0x1590	5745	1437	101	0	0	8303f731d40bba8c2a8e801d91d0f2c8c299c6d67b7fbf35c066e498909d8a07	340:232,258:224,18:220,28:220,66:208,337:196,114:188,64:184	340:232,258:224,18:220,28:220,66:208,337:196,114:188,64:184	+0x4:3440,+0x3:1392,+0x5:352,+0x2:308,+0x6:220,+0xa:32,-0x2306:1	c7000f483a2a8933bcee8d6e3e4005e801b4d4fed5003d01dc3f912abd4937b01068912836a140129ae35516d93d01be2e00f625c40cb300780114793aad9458	f88e01a00004e801adf6719dafab0834ebeabfe8013ab5ab6d8e99f8f273e8017e56060080009c5050ff3424488b04244883c4084883c40848c70424a9000000
49	0x292986	0x292b48	0x1c2	120	120	39	0	0	6dd2c3f4c5c63d40a461948c889535f9daa1090d09287a81c506b5e7b36eaa8b	64:10,307:7,297:6,66:6,347:5,189:5,158:5,337:4	64:10,307:7,297:6,66:6,347:5,189:5,158:5,337:4	+0x4:83,+0x3:33,+0x6:2,+0x2:1,+0x5:1	e801a500b9004bab3a8c91ce5499d09ed8e801a9faef80ef026b1795ff9057b6364fe8010fb680ff97d3890052c50d5a26e801ec71d51c477c3e68caccbde801	1cdb0b8b81e8016fc6bf45ad198516bee8013e55eaadd96a04423a67e8e801ab4898d3ad123de80149764c2dab00f004a3e801b5e3c786faf2d11350b934e801
50	0x292b56	0x292de8	0x292	175	175	62	0	0	2b9b02cb80521e0d96765933091cc67856c40c797eb8f67d7bc2c15f0eca77a4	28:11,18:9,114:8,258:6,268:6,64:6,340:6,185:5	28:11,18:9,114:8,258:6,268:6,64:6,340:6,185:5	+0x4:107,+0x3:42,+0x5:12,+0x2:10,+0x6:4	0201bec207765b843aa6f8c285c684e8017c152b0077507cd44b803a4578e8019e433a6d0ef552a1fc38d4e80129f155247159a21510d8b7de40e8013ac5079a	e3ef84a3bde1d5e801f4ff37e052979abd87e8010002b0d98a574de8010d649c1a89001acffc6578e8016808ab00f00488e8018d54e84a9a093edd89e801194e
51	0x292df6	0x293470	0x67a	773	431	75	0	0	5c74f84126d0722aa43a06c6da2e25ec8ca49228a196e9532e014209cf4f002a	28:38,189:37,18:36,114:33,258:32,340:31,297:25,307:24	28:38,189:37,18:36,114:33,258:32,340:31,297:25,307:24	+0x4:496,+0x3:203,+0x5:29,+0x2:24,+0x6:17,+0x11:3,+0xe:1	1200e8053aaea5d4a22fb1e3001fabe801979b47c6b1931646ab887143dfe801417e7dde680a7ac7e78900829de8017c133a060e2c02523f28000a20e801cc8b	4701ec55aae801966dd3a81bffffa5aee801cedcd80a9efe8e6cc2ba2ae801a5bc98dd4c7afb08f6e80199acca760d3283e80122d20b17cc59d80308b526e801
52	0x29347e	0x293689	0x20b	116	116	51	0	0	8a244524cb0c538dc93343589aa037ca45586e25116ef2659538cc633d9ad9e9	28:7,66:6,347:5,172:5,189:5,268:4,64:4,287:4	28:7,66:6,347:5,172:5,189:5,268:4,64:4,287:4	+0x4:64,+0x3:24,+0x5:11,+0x6:8,+0x2:4,+0x11:4,+0x10:1	4d01a3e59900d80a00b90a9d820e34e80192b841fb6008427bca6169a59ae801659d89005d6c18b79463e8fe2de801468edb0fda0464e45d347ace6ae8019f09	00003d0100b48ce4adb300a61a097bc5d3090d43f05007c0dabcb93d01a5000000910100003d01225dede1a7ec0024f8f9fde7d4c5c6b24cdd772a63ee3d014b
53	0x2bec2e	0x2bed4f	0x121	78	78	36	0	0	de094c975f11e415d66b56b5c385eea13bba2d3ffed9dc48f8dc2095e4fa3012	64:6,189:5,20:5,185:4,199:4,184:4,174:3,176:3	64:6,189:5,20:5,185:4,199:4,184:4,174:3,176:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:2	9a00a038e801c30be801bc9a3a99301f2943ba3cd6e1c7003d013706c184125de805c30dec90c01db453f7680000acc73d01f922c3dab3001e8936082cb68f7a	9cef267629aa73e8019003e629471683e801c21ff94e7d291df8a8e8011ec38b2d7aebdcc33a07a9e80135b5abc30c5378d202e801d80e3ac98bed01682ce801
54	0x2bed5d	0x2bef26	0x1c9	121	121	40	0	0	842368020892963bd491416c4605779fc822471549a3608a33f9642a6c1065e9	64:10,258:8,297:7,199:7,66:6,333:6,168:5,315:4	64:10,258:8,297:7,199:7,66:6,333:6,168:5,315:4	+0x4:82,+0x3:33,+0x6:3,+0x5:2,+0x2:1	2901312ee7a86545f8606071ef6cf5e801c9ec5189f364e3ace82932e80139f973bf8ea82c3d23999776d6b69ae80168932a3af6c0e3ff65e6d8e000e8014005	e8227434e3d819e8011177062c02a5aee8019ed21702f2221924c6edd6e8018fc5b1e691c7456949e80170d783ab4dc51ee801dcd501e5bdb905cc8ce8013951
55	0x2bef37	0x2bf3b8	0x481	151	151	56	0	0	2603e12968e95749da4aa93eea3f87ddc1f6c266f1ee526ef8af56017dc22d3d	114:9,347:9,185:8,337:7,18:7,66:6,307:6,340:6	114:9,347:9,185:8,337:7,18:7,66:6,307:6,340:6	+0x4:97,+0x3:38,+0x2:6,+0x5:6,+0x6:3,+0x24f:1	5101609c990005d0a875f814ca226de80168a34febe804845304ab007c1de80112153a1529bb00e4b59b55e462e801f9827850d59202848fdd75559fe801e16e	3ad866c7afe8014127714bb68f2b501de8017397aaf23ae0037e05c89ce8010064ceed0fe182e255e801836b405bf0043be801058ec05af244539900b55de801
56	0x2bf3c6	0x2bf50f	0x149	79	79	34	0	0	05d9517072e087526dbc97f7b7ab3e60af7e5ef342fc94864f10247be0c10809	199:7,33:7,340:7,64:4,43:4,66:3,315:3,268:3	199:7,33:7,340:7,64:4,43:4,66:3,315:3,268:3	+0x4:53,+0x3:18,+0x5:3,+0x2:2,+0x6:2,+0x48d:1	4000bda29900471aab6ff5aa989adbe80113083cf3a77bb3011746fae80129f1289af4ef897b79f821897ce8017ec497d862b9c08a4f7cde30b1e801cc76584c	025b474ed227f73d01dff7582bdf3e18a5b3000dc7ab4019ff9b0da9e63d01ada50000008d0400003d012213cf8f7d9b716b541142c13be801401e359809881a
57	0x2bf97c	0x2bf9cc	0x50	14	14	12	0	0	b7b2c828352df54bca6c9bf6e791ed6631dea88823540d1dc7a7c27d82628a7c	165:2,157:2,258:1,185:1,124:1,49:1,144:1,322:1	157:2,258:1,185:1,124:1,49:1,144:1,165:1,322:1	+0x4:5,+0x2:3,+0x3:2,+0x5:2,+0x6:1,+0x4c3:1	0201d4c22176eb81504be7b300b18600512fc000f3d53d01d79b4201b3007796038db3007b86771712eb5d3d01136a8762010000c30400003d01227a970ca72c	512fc000f3d53d01d79b4201b3007796038db3007b86771712eb5d3d01136a8762010000c30400003d01227a970ca72c7c1446e8016b1a680010be68004b0d68
58	0x2bfe6f	0x2bff90	0x121	78	78	39	0	0	2be8da100497f394a9b337bafec4437ded83cdd51426f678b41ecafdb5f2db4a	123:5,347:5,66:5,189:4,340:4,20:4,199:3,337:3	123:5,347:5,66:5,189:4,340:4,20:4,199:3,337:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:2	40005eac68009ff468003f2d77f5930fe8012f3dab00f0653d0177b78ebbd0eaf4ec225fcbab680aca1be16800fb42003d01eef63f9e7fbe7bb7a65cd76f5b10	4701daa5aee801fe677db0fafba9a288e80114796252adf47a8be3848de8010c193a590dcd43202de8013a387499cbd29caa78e801f48a2003115b5ae80135be
59	0x2bff9e	0x2c0230	0x292	175	175	63	0	0	ecd6f90c50a7a8376f283a500f790487a67dbb31c9e5092041aa330a546777ab	66:10,64:10,185:9,337:8,199:6,347:6,189:6,258:5	66:10,64:10,185:9,337:8,199:6,347:6,189:6,258:5	+0x4:107,+0x3:42,+0x5:12,+0x2:10,+0x6:4	0201eec40776c66731df91367ae80151f6c0bb55a1f18a3a27a30d0b2dcbe80176c48900d80a84cd808d01381ce8012717d6d558017a9074f409d4fbe80153a1	6869b15694e801b618db45ade96216adb35ae801a00a08af052800e801821fd23db400157100ec17e80177063a7f1b97c6a213e8017c5e990077a0dce80176fa
60	0x2c023e	0x2c045a	0x21c	144	144	50	0	0	ba0f911592e6572ba57f758a0ed6616908f36bc3d00912bd30eb2e3abbb7223e	114:8,258:8,28:7,66:6,307:6,168:6,64:6,161:6	114:8,258:8,28:7,66:6,307:6,168:6,64:6,161:6	+0x4:94,+0x3:37,+0x2:5,+0x5:5,+0x6:3	4200e98e3a9b73ff0dd0a29af2eccbe801cea9d30a900321a5a64aeae6cde80137f723026d7a33f2203db3f8d5e8014f08fa3a63739bdcbf0ed0fadce801e804	f57c10062ee801108f3fd702712b8ee35bace801863db4ff9520ffe801cd19f69069d0a0001ce801233399568e1546a5aee80196b500026eeaceac758dc8e801
