program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
048	0x334a3d	ready_for_mba_reduction	all required static/runtime fields are present	20	17	17	17	yes	yes	144	
048	0x334c63	ready_for_mba_reduction	all required static/runtime fields are present	255	60	60	60	yes	yes	7	
048	0x334c91	ready_for_mba_reduction	all required static/runtime fields are present	238	56	56	56	yes	yes	6	
048	0x334cab	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	134	
048	0x334eaf	ready_for_mba_reduction	all required static/runtime fields are present	68	16	16	16	yes	yes	190	
048	0x33519c	ready_for_mba_reduction	all required static/runtime fields are present	51	12	12	12	yes	yes	163	
048	0x335414	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	96	
048	0x335585	ready_for_mba_reduction	all required static/runtime fields are present	51	12	12	12	yes	yes	20	
048	0x3355e0	ready_for_mba_reduction	all required static/runtime fields are present	34	8	8	8	yes	yes	164	
048	0x33585b	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	835	
048	0x3364d7	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	213	
048	0x336817	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	126	
048	0x3369fc	ready_for_mba_reduction	all required static/runtime fields are present	20	17	17	17	yes	yes	235	
