program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
045	0x31eae4	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	104	
045	0x31ec78	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	150	
045	0x31eebb	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	150	
045	0x31f0fe	ready_for_mba_reduction	all required static/runtime fields are present	17	4	4	4	yes	yes	116	
