block	start_vm_ip	byte_end_min	terminal_vm_ip	terminal_target_vm_ip	successor_block	successor_vm_ip	edge_kind	row_count	exact_rows	decoded_rows	events	terminal_events	source_entries	target_entries	target_coverage_statuses	row_kinds	state_classes	provenance	leader_reasons	terminal_kind	terminal_source_entry	terminal_target_entry	terminal_delta	terminal_semantic_ir	source_block
10	0xd476e	0xd4889	0xd4885	0xd4889		0xd4889	covered_synthetic_fallthrough	77	77	0	77	1	340:7,337:5,185:5,258:4,215:4,176:4,199:3,350:3	340:7,337:5,185:5,258:4,215:4,176:4,199:3,350:3	frontier_span_of_14:1	exact_instruction:77	state_add_const:66,state_mixed:7,state_const_post:4	vm_instruction_lift:77	synthetic_successor_target:file_span_of_525:1,long_branch_forward_target:1,after_decoded_control:1	exact_instruction	161	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	1@0xd3fac-0xd5ec2+0x7c2
11	0xd4897	0xd4a83	0xd4a7f	0xd4a83		0xd4a83	covered_synthetic_fallthrough	132	132	0	132	1	347:8,337:7,18:7,189:7,185:6,307:6,168:5,64:5	347:8,337:7,18:7,189:7,185:6,307:6,168:5,64:5	hidden_span_of_14:1	exact_instruction:132	state_add_const:118,state_mixed:11,state_const_post:3	vm_instruction_lift:132	synthetic_successor_target:frontier_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	158	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	1@0xd3fac-0xd5ec2+0x8eb
12	0xd4a91	0xd4beb	0xd4be6	0xd4beb		0xd4beb	covered_synthetic_fallthrough	91	91	0	91	1	66:7,340:6,168:5,28:5,114:5,43:4,305:4,172:4	66:7,340:6,168:5,28:5,114:5,43:4,305:4,172:4	hidden_span_of_17:1	exact_instruction:91	state_add_const:82,state_mixed:7,state_const_post:1,state_preserve:1	vm_instruction_lift:91	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	125	316	+0x5	next = 316@0xb987b:1, ip += +0x5; dispatch_model=static_100; state=state_add_const	1@0xd3fac-0xd5ec2+0xae5
13	0xd4bfc	0xd4cb9	0xd4cb5	0xd4cb9		0xd4cb9	covered_synthetic_fallthrough	51	51	0	51	1	28:6,184:4,258:4,185:3,174:3,176:3,340:3,64:2	28:6,184:4,258:4,174:3,176:3,340:3,185:2,64:2	hidden_span_of_14:1	exact_instruction:51	state_add_const:47,state_mixed:3,state_const_post:1	vm_instruction_lift:51	synthetic_successor_target:hidden_span_of_17:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	174	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	1@0xd3fac-0xd5ec2+0xc50
14	0xd4cc7	0xd5044	0xd5040	0xd5044		0xd5044	covered_synthetic_fallthrough	232	232	0	232	1	340:14,307:12,28:12,18:12,258:11,64:10,114:10,20:10	340:14,307:12,28:12,18:12,258:11,64:10,114:10,20:10	hidden_span_of_17:1	exact_instruction:232	state_add_const:208,state_mixed:15,state_const_post:7,state_preserve:2	vm_instruction_lift:232	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	158	69	+0x4	next = 69@0x85f24:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	1@0xd3fac-0xd5ec2+0xd1b
15	0xd5055	0xd521e	0xd521a	0xd521e		0xd521e	covered_synthetic_fallthrough	121	121	0	121	1	189:11,28:7,114:6,215:6,315:5,185:5,66:4,258:4	189:11,28:7,114:6,215:6,315:5,185:5,66:4,258:4	hidden_span_of_17:1	exact_instruction:121	state_add_const:99,state_mixed:20,state_const_post:1,state_preserve:1	vm_instruction_lift:121	synthetic_successor_target:hidden_span_of_17:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	158	321	+0x4	next = 321@0xbb1dd:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	1@0xd3fac-0xd5ec2+0x10a9
16	0xd522f	0xd5641	0xd563d	0xd5641		0xd5641	covered_synthetic_fallthrough	273	273	0	273	1	18:18,64:15,337:15,114:14,123:12,307:11,28:10,66:10	18:18,64:15,337:15,114:14,123:12,307:11,28:10,66:10	hidden_span_of_14:1	exact_instruction:273	state_add_const:246,state_mixed:22,state_const_post:5	vm_instruction_lift:273	synthetic_successor_target:hidden_span_of_17:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	123	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	1@0xd3fac-0xd5ec2+0x1283
17	0xd564f	0xd57df	0xd57d4	0xd5a12	18	0xd5a12	decoded_control	103	102	1	103	1	64:6,185:5,297:5,347:4,168:4,203:4,337:3,43:3	64:6,185:5,297:5,347:4,168:4,203:4,337:3,43:3		exact_instruction:102,long_branch_forward:1	state_add_const:91,state_mixed:5,state_const_post:4,state_preserve:2,sampled_backedge:1	vm_instruction_lift:102,long_branch:1	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	long_branch_forward	75	354	+0x23e	next = table[354], ip += 0x23e	1@0xd3fac-0xd5ec2+0x16a3
18	0xd5a12	0xd5b17	0xd5b13	0xd5b17		0xd5b17	covered_synthetic_fallthrough	71	71	0	71	1	297:5,347:5,189:5,215:4,174:4,258:3,176:3,158:3	297:5,347:5,189:5,215:4,174:4,258:3,176:3,158:3	hidden_span_of_14:1	exact_instruction:71	state_add_const:64,state_mixed:6,state_const_post:1	vm_instruction_lift:71	synthetic_successor_target:file_span_of_574:1,long_branch_forward_target:1,after_decoded_control:1	exact_instruction	176	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	1@0xd3fac-0xd5ec2+0x1a66
19	0xd5b25	0xd5cfb	0xd5cf7	0xd5cfb		0xd5cfb	covered_synthetic_fallthrough	126	126	0	126	1	347:12,28:8,18:6,215:5,258:5,189:5,185:5,337:5	347:12,28:8,18:6,215:5,258:5,189:5,185:5,337:5	hidden_span_of_14:1	exact_instruction:126	state_add_const:112,state_mixed:10,state_const_post:4	vm_instruction_lift:126	synthetic_successor_target:hidden_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	123	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	1@0xd3fac-0xd5ec2+0x1b79
