program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
035	0x292986	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	120	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
035	0x292b56	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	175	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
035	0x292df6	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	86	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
035	0x292f3e	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	22	0	0	0	yes	yes	53	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
035	0x29300f	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	22	0	0	0	yes	yes	141	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
035	0x293233	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	22	0	0	0	yes	yes	72	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
035	0x293355	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	21	0	0	0	yes	yes	76	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
035	0x29347e	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	91	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
035	0x2935eb	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	4	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
035	0x29360e	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	4	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
035	0x293630	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	4	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
035	0x293654	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	4	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
035	0x293677	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	4	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
