program	path	entrypoint	start	end	size	blocks	ir_rows	mba_cases	mba_ready_cases	mba_missing_cases	row_kind_mix	edge_kind_mix	mba_edge_kind_mix	state_ir_mix	byte_status_mix	top_source_entries	top_target_entries	primary_trace_rows	primary_trace_unique_ips	primary_trace_kind_mix	top_primary_trace_sources	top_primary_trace_targets	state_inlined	state_summarized	state_preserved	concrete_next_entry	decoded_long_control	folded_internal_edges	folded_hidden_span_edges	folded_external_edges	string_ref_count	strings	status	semantic_gap	next_action
014	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_014.c	vm_program_atlas_014_decompiled_folded	0x1209d2	0x120ebe	0x4ec	3	320	3	3	0	exact_instruction:319,long_branch_forward:1	covered_synthetic_fallthrough:2,decoded_control:1	covered_synthetic_fallthrough:2,decoded_control:1	state_mixed:20,state_add_const:10,state_const_post:4,state_preserve:1,sampled_long_or_sparse:1	exact:319,prefix_32_of_568:1:1	18:14,114:14,340:13,185:13,297:12,347:12,64:12,258:11	18:14,114:14,340:13,185:13,297:12,347:12,64:12,258:11	320	320	tail:320	18:14,114:14,340:13,185:13,297:12,347:12,64:12,258:11	18:14,114:14,340:13,185:13,297:12,347:12,64:12,258:11	319	0	1	319	1	0	2	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
015	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_015.c	vm_program_atlas_015_decompiled_folded	0x1210d6	0x121ada	0xa04	7	642	7	7	0	exact_instruction:640,long_branch_forward:2	covered_synthetic_fallthrough:5,decoded_control:2	covered_synthetic_fallthrough:5,decoded_control:2	state_mixed:34,state_add_const:31,state_const_post:8,sampled_long_or_sparse:2,state_preserve:1	exact:640,prefix_32_of_47:1:1,prefix_32_of_119:1:1	114:31,18:26,258:24,215:24,337:23,189:23,347:22,64:21	114:31,18:26,258:24,215:24,337:23,189:23,347:22,64:21	642	642	tail:642	114:31,18:26,258:24,215:24,337:23,189:23,347:22,64:21	114:31,18:26,258:24,215:24,337:23,189:23,347:22,64:21	640	0	2	640	2	1	5	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
016	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_016.c	vm_program_atlas_016_decompiled_folded	0x121b31	0x12201d	0x4ec	3	319	3	3	0	exact_instruction:318,long_branch_forward:1	covered_synthetic_fallthrough:2,decoded_control:1	covered_synthetic_fallthrough:2,decoded_control:1	state_mixed:14,state_add_const:14,state_const_post:4,sampled_long_or_sparse:1	exact:318,prefix_32_of_119:1:1	189:19,340:17,18:14,297:12,307:12,66:12,28:12,337:11	189:19,340:17,18:14,297:12,307:12,66:12,28:12,337:11	319	319	tail:319	189:19,340:17,18:14,297:12,307:12,66:12,28:12,337:11	189:19,340:17,18:14,297:12,307:12,66:12,28:12,337:11	318	0	1	318	1	0	2	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
017	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_017.c	vm_program_atlas_017_decompiled_folded	0x122074	0x1222ed	0x279	2	157	2	2	0	exact_instruction:156,long_branch_forward:1	covered_synthetic_fallthrough:1,decoded_control:1	covered_synthetic_fallthrough:1,decoded_control:1	state_add_const:11,state_mixed:7,state_const_post:1,state_preserve:1,sampled_long_or_sparse:1	exact:156,prefix_32_of_119:1:1	28:7,114:7,189:7,307:7,347:6,158:6,18:6,337:6	28:7,114:7,189:7,307:7,347:6,158:6,18:6,337:6	157	157	tail:157	28:7,114:7,189:7,307:7,347:6,158:6,18:6,337:6	28:7,114:7,189:7,307:7,347:6,158:6,18:6,337:6	155	0	2	156	1	0	1	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
018	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_018.c	vm_program_atlas_018_decompiled_folded	0x122344	0x1226e6	0x3a2	3	229	3	3	0	exact_instruction:228,long_branch_forward:1	covered_synthetic_fallthrough:2,decoded_control:1	covered_synthetic_fallthrough:2,decoded_control:1	state_mixed:13,state_add_const:10,state_const_post:3,sampled_long_or_sparse:1	exact:228,prefix_32_of_896:1:1	258:14,114:9,18:9,333:9,66:8,340:8,347:7,185:7	258:14,114:9,18:9,333:9,66:8,340:8,347:7,185:7	229	229	tail:229	258:14,114:9,18:9,333:9,66:8,340:8,347:7,185:7	258:14,114:9,18:9,333:9,66:8,340:8,347:7,185:7	227	0	2	228	1	0	2	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
019	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_019.c	vm_program_atlas_019_decompiled_folded	0x122a46	0x122e3c	0x3f6	2	258	2	2	0	exact_instruction:258	covered_synthetic_fallthrough:2	covered_synthetic_fallthrough:2	state_add_const:15,state_mixed:8,state_const_post:5	exact:258	28:15,340:12,18:11,114:10,189:10,64:10,185:9,199:8	28:15,340:12,18:11,114:10,189:10,64:10,185:9,199:8	258	258	tail:258	28:15,340:12,18:11,114:10,189:10,64:10,185:9,199:8	28:15,340:12,18:11,114:10,189:10,64:10,185:9,199:8	257	0	1	258	0	0	1	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
020	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_020.c	vm_program_atlas_020_decompiled_folded	0x128952	0x12906f	0x71d	3	477	3	3	0	exact_instruction:477	covered_synthetic_fallthrough:3	covered_synthetic_fallthrough:3	state_add_const:29,state_mixed:14,state_const_post:6,state_preserve:1	exact:477	340:23,185:20,347:20,307:19,64:17,189:17,66:16,258:15	340:23,185:20,347:20,307:19,64:17,189:17,66:16,258:15	477	477	tail:477	340:23,185:20,347:20,307:19,64:17,189:17,66:16,258:15	340:23,185:20,347:20,307:19,64:17,189:17,66:16,258:15	476	0	1	477	0	0	2	1	1	FILTERS_MODE_IPREFETCH	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
021	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_021.c	vm_program_atlas_021_decompiled_folded	0x1705a9	0x17452e	0x3f85	26	4230	26	26	0	exact_instruction:4230	covered_synthetic_fallthrough:26	covered_synthetic_fallthrough:26	state_add_const:204,state_mixed:170,state_const_post:63,state_preserve:10	exact:4230	18:167,337:163,189:157,258:155,64:150,347:147,114:136,66:135	18:167,337:163,189:157,258:155,64:150,347:147,114:136,66:135	4230	4230	tail:4230	18:167,337:163,189:157,258:155,64:150,347:147,114:136,66:135	18:167,337:163,189:157,258:155,64:150,347:147,114:136,66:135	4222	0	8	4230	0	0	25	1	1	pthread_mutexattr_init	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
022	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_022.c	vm_program_atlas_022_decompiled_folded	0x176883	0x17731c	0xa99	5	698	5	5	0	exact_instruction:697,long_branch_forward:1	covered_synthetic_fallthrough:4,decoded_control:1	covered_synthetic_fallthrough:4,decoded_control:1	state_add_const:43,state_mixed:23,state_const_post:13,state_preserve:3,sampled_long_or_sparse:1	exact:697,prefix_32_of_87:1:1	307:34,114:30,340:30,28:29,64:27,337:22,347:21,168:21	307:34,114:30,340:30,28:29,64:27,337:22,347:21,168:21	698	698	tail:698	307:34,114:30,340:30,28:29,64:27,337:22,347:21,168:21	307:34,114:30,340:30,28:29,64:27,337:22,347:21,168:21	694	0	4	697	1	0	4	1	1	unsigned __int128	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
023	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_023.c	vm_program_atlas_023_decompiled_folded	0x177353	0x177ca2	0x94f	5	608	5	5	0	exact_instruction:607,long_branch_forward:1	covered_synthetic_fallthrough:4,decoded_control:1	covered_synthetic_fallthrough:4,decoded_control:1	state_add_const:36,state_mixed:25,state_const_post:9,state_preserve:2,exact:1	exact:607,prefix_32_of_8897:1:1	28:29,337:25,64:25,189:21,258:21,215:19,307:19,199:16	28:29,337:25,64:25,189:21,258:21,215:19,307:19,199:16	608	608	tail:608	28:29,337:25,64:25,189:21,258:21,215:19,307:19,199:16	28:29,337:25,64:25,189:21,258:21,215:19,307:19,199:16	606	0	2	607	1	0	4	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
