program	path	entrypoint	start	end	size	blocks	ir_rows	mba_cases	mba_ready_cases	mba_missing_cases	row_kind_mix	edge_kind_mix	mba_edge_kind_mix	state_ir_mix	byte_status_mix	top_source_entries	top_target_entries	primary_trace_rows	primary_trace_unique_ips	primary_trace_kind_mix	top_primary_trace_sources	top_primary_trace_targets	state_inlined	state_summarized	state_preserved	concrete_next_entry	decoded_long_control	folded_internal_edges	folded_hidden_span_edges	folded_external_edges	string_ref_count	strings	status	semantic_gap	next_action
024	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_024.c	vm_program_atlas_024_decompiled_folded	0x179f43	0x17a420	0x4dd	3	325	3	3	0	exact_instruction:325	covered_synthetic_fallthrough:3	covered_synthetic_fallthrough:3	state_add_const:16,state_mixed:12,state_const_post:2	exact:325	64:22,18:20,189:16,114:15,66:15,215:14,347:12,258:12	64:22,18:20,189:16,114:15,66:15,215:14,347:12,258:12	325	325	tail:325	64:22,18:20,189:16,114:15,66:15,215:14,347:12,258:12	64:22,18:20,189:16,114:15,66:15,215:14,347:12,258:12	325	0	0	325	0	0	2	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
025	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_025.c	vm_program_atlas_025_decompiled_folded	0x18b66f	0x18c467	0xdf8	7	929	7	7	0	exact_instruction:929	covered_synthetic_fallthrough:7	covered_synthetic_fallthrough:7	state_add_const:820,state_mixed:78,state_const_post:26,state_preserve:5	exact:929	18:39,114:38,66:36,189:36,64:34,199:33,307:33,337:32	18:39,114:38,66:36,189:36,64:34,199:33,307:33,337:32	929	929	tail:929	18:39,114:38,66:36,189:36,64:34,199:33,307:33,337:32	18:39,114:38,66:36,189:36,64:34,199:33,307:33,337:32	926	0	3	929	0	0	6	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
026	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_026.c	vm_program_atlas_026_decompiled_folded	0x1a480d	0x1a5f08	0x16fb	13	1496	13	13	0	exact_instruction:1495,long_branch_forward:1	covered_synthetic_fallthrough:12,decoded_control:1	covered_synthetic_fallthrough:12,decoded_control:1	state_add_const:91,state_mixed:56,state_const_post:21,state_preserve:2,sampled_backedge:1	exact:1495,prefix_32_of_85:1:1	337:63,28:62,64:53,307:53,18:51,258:51,114:47,340:46	337:62,28:62,64:53,307:53,18:51,258:51,114:47,340:46	1496	1496	tail:1496	337:63,28:62,64:53,307:53,18:51,258:51,114:47,340:46	337:62,28:62,64:53,307:53,18:51,258:51,114:47,340:46	1490	0	6	1495	1	0	12	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
027	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_027.c	vm_program_atlas_027_decompiled_folded	0x1a5f3d	0x1a6041	0x104	1	70	1	1	0	exact_instruction:70	covered_synthetic_fallthrough:1	covered_synthetic_fallthrough:1	state_add_const:6,state_mixed:3,state_const_post:2	exact:70	174:6,340:5,258:4,28:4,347:4,199:4,176:4,307:3	174:6,340:5,258:4,28:4,347:4,199:4,176:4,307:3	70	70	tail:70	174:6,340:5,258:4,28:4,347:4,199:4,176:4,307:3	174:6,340:5,258:4,28:4,347:4,199:4,176:4,307:3	70	0	0	70	0	0	0	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
028	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_028.c	vm_program_atlas_028_decompiled_folded	0x1ec0ab	0x1ed483	0x13d8	9	1317	9	9	0	exact_instruction:1317	covered_synthetic_fallthrough:9	covered_synthetic_fallthrough:9	state_add_const:68,state_mixed:60,state_const_post:21,state_preserve:7	exact:1317	258:56,340:54,66:53,347:51,18:46,28:43,114:43,64:42	258:56,340:54,66:53,347:51,18:46,28:43,114:43,64:42	1317	1317	tail:1317	258:56,340:54,66:53,347:51,18:46,28:43,114:43,64:42	258:56,340:54,66:53,347:51,18:46,28:43,114:43,64:42	1311	0	6	1317	0	0	8	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
029	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_029.c	vm_program_atlas_029_decompiled_folded	0x22fe2d	0x2304b8	0x68b	6	436	6	6	0	exact_instruction:434,long_branch_backedge:2	fallthrough:2,decoded_control:2,covered_synthetic_fallthrough:2	fallthrough:2,decoded_control:2,covered_synthetic_fallthrough:2	state_add_const:392,state_mixed:31,state_const_post:10,sampled_backedge:2,state_preserve:1	exact:434,backedge_sample:255:2	258:19,66:19,189:17,114:17,347:17,199:14,18:12,172:12	258:19,66:19,114:17,347:17,189:16,199:14,18:12,172:12	73109	436	tail:73109	258:3589,347:2567,28:2562,215:2561,114:2312,66:2059,189:2057,199:2054	258:3589,347:2567,28:2562,215:2561,114:2312,66:2059,189:2056,199:2054	433	0	3	434	2	4	1	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
030	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_030.c	vm_program_atlas_030_decompiled_folded	0x230722	0x231237	0xb15	4	740	4	4	0	exact_instruction:739,long_branch_backedge:1	covered_synthetic_fallthrough:2,fallthrough:1,decoded_control:1	covered_synthetic_fallthrough:2,fallthrough:1,decoded_control:1	state_add_const:663,state_mixed:45,state_const_post:27,state_preserve:4,exact:1	exact:739,backedge_sample:64:1	347:29,18:24,307:24,258:24,64:21,28:21,337:21,114:20	347:29,18:24,307:24,258:24,64:21,28:21,337:21,114:20	42753	740	tail:42753	347:1606,258:1540,307:1410,337:1284,18:1223,28:1221,66:1219,64:1158	347:1606,258:1540,307:1410,337:1284,18:1223,28:1221,66:1219,64:1158	735	0	5	739	1	2	2	0	0		mechanical_vm_semantics_folded	semantic_intent_unknown	name repeated VM idioms from handler/state formulas
031	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_031.c	vm_program_atlas_031_decompiled_folded	0x2316bf	0x231b74	0x4b5	2	315	2	2	0	exact_instruction:315	covered_synthetic_fallthrough:2	covered_synthetic_fallthrough:2	state_mixed:18,state_add_const:17,state_preserve:1,state_const_post:1	exact:315	66:18,258:17,18:17,189:16,340:12,347:12,215:11,114:11	66:18,258:17,18:17,189:16,340:12,347:12,215:11,114:11	315	315	tail:315	66:18,258:17,18:17,189:16,340:12,347:12,215:11,114:11	66:18,258:17,18:17,189:16,340:12,347:12,215:11,114:11	314	0	1	315	0	0	1	1	1	_ZGTtdlPv	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
032	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_032.c	vm_program_atlas_032_decompiled_folded	0x249468	0x24bd2a	0x28c2	16	2708	16	16	0	exact_instruction:2707,sampled_operand_forward:1	covered_synthetic_fallthrough:15,decoded_control:1	covered_synthetic_fallthrough:15,decoded_control:1	state_add_const:2419,state_mixed:212,state_const_post:68,state_preserve:8,exact:1	exact:2707,prefix_32_of_144411:2:1	18:120,28:103,258:103,337:97,340:96,64:94,114:90,189:87	18:120,28:103,258:103,337:97,340:96,64:94,114:90,189:87	5416	2708	tail:5414,dispatch:2	18:240,28:206,258:206,337:194,340:192,64:188,114:180,189:174	18:240,28:206,258:206,337:194,340:192,64:188,114:180,189:174	2704	0	4	2708	0	0	14	2	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
033	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_033.c	vm_program_atlas_033_decompiled_folded	0x26cd71	0x26cf3b	0x1ca	1	113	1	1	0	exact_instruction:112,long_branch_forward:1	decoded_control:1	decoded_control:1	state_add_const:102,state_mixed:4,state_preserve:3,state_const_post:3,sampled_long_or_sparse:1	exact:112,prefix_32_of_3052:4:1	66:7,340:5,189:5,307:5,43:5,337:5,157:4,287:4	66:7,340:5,189:5,307:5,43:5,337:5,157:4,287:4	452	113	tail:452	66:28,340:20,189:20,307:20,43:20,337:20,157:16,287:16	66:28,340:20,189:20,307:20,43:20,337:20,157:16,287:16	109	0	4	112	1	0	0	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
034	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_034.c	vm_program_atlas_034_decompiled_folded	0x26db07	0x26f097	0x1590	1	1437	1	1	0	exact_instruction:1436,sampled_operand_backedge:1	decoded_control:1	decoded_control:1	state_add_const:1264,state_mixed:124,state_const_post:33,state_preserve:15,sampled_backedge:1	exact:1436,backedge_sample:1:1	340:58,258:56,18:55,28:55,66:52,337:49,114:47,64:46	340:58,258:56,18:55,28:55,66:52,337:49,114:47,64:46	5745	1437	tail:5712,dispatch:33	340:232,258:224,18:220,28:220,66:208,337:196,114:188,64:184	340:232,258:224,18:220,28:220,66:208,337:196,114:188,64:184	1430	0	7	1437	0	0	0	1	1	YYYYY	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
035	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_035.c	vm_program_atlas_035_decompiled_folded	0x292986	0x293689	0xd03	13	834	13	13	0	exact_instruction:834	covered_synthetic_fallthrough:12,fallthrough:1	covered_synthetic_fallthrough:12,fallthrough:1	state_add_const:42,state_mixed:37,state_const_post:18,state_preserve:3	exact:834	28:42,189:36,114:33,64:31,18:30,347:28,66:28,258:28	28:42,189:35,114:33,64:30,18:30,347:28,66:28,258:28	1175	834	tail:1175	28:60,189:52,114:49,18:46,258:43,64:41,340:40,66:40	28:60,189:50,114:49,18:46,258:43,64:40,340:40,66:40	831	0	3	834	0	1	11	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
036	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_036.c	vm_program_atlas_036_decompiled_folded	0x2bec2e	0x2bf068	0x43a	3	272	3	3	0	exact_instruction:271,long_branch_forward:1	covered_synthetic_fallthrough:2,decoded_control:1	covered_synthetic_fallthrough:2,decoded_control:1	state_add_const:13,state_mixed:10,state_const_post:5,state_preserve:1,sampled_backedge:1	exact:271,prefix_32_of_591:1:1	64:16,199:13,66:12,297:12,114:12,185:11,307:10,337:10	64:16,199:13,66:12,297:12,114:12,185:11,307:10,337:10	272	272	tail:272	64:16,199:13,66:12,297:12,114:12,185:11,307:10,337:10	64:16,199:13,66:12,297:12,114:12,185:11,307:10,337:10	271	0	1	271	1	0	2	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
037	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_037.c	vm_program_atlas_037_decompiled_folded	0x2bf297	0x2bf50f	0x278	2	157	2	2	0	exact_instruction:156,long_branch_forward:1	covered_synthetic_fallthrough:1,decoded_control:1	covered_synthetic_fallthrough:1,decoded_control:1	state_add_const:8,state_const_post:4,state_mixed:3,sampled_long_or_sparse:1	exact:156,prefix_32_of_1165:1:1	340:10,199:8,18:7,33:7,114:6,258:6,347:6,43:5	340:10,199:8,18:7,33:7,114:6,258:6,347:6,43:5	157	157	tail:157	340:10,199:8,18:7,33:7,114:6,258:6,347:6,43:5	340:10,199:8,18:7,33:7,114:6,258:6,347:6,43:5	156	0	1	156	1	0	1	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
038	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_038.c	vm_program_atlas_038_decompiled_folded	0x2bf97c	0x2bf9cc	0x50	1	14	1	1	0	exact_instruction:13,long_branch_forward:1	decoded_control:1	decoded_control:1	state_mixed:1,sampled_backedge:1	exact:13,prefix_32_of_1219:1:1	165:2,157:2,258:1,185:1,124:1,49:1,144:1,322:1	157:2,258:1,185:1,124:1,49:1,144:1,165:1,322:1	14	14	tail:14	165:2,157:2,258:1,185:1,124:1,49:1,144:1,322:1	157:2,258:1,185:1,124:1,49:1,144:1,165:1,322:1	13	0	1	13	1	0	0	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
039	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_039.c	vm_program_atlas_039_decompiled_folded	0x2bfe6f	0x2c05b1	0x742	4	476	4	4	0	exact_instruction:475,long_branch_forward:1	covered_synthetic_fallthrough:3,decoded_control:1	covered_synthetic_fallthrough:3,decoded_control:1	state_add_const:20,state_mixed:14,state_const_post:8,state_preserve:1,sampled_long_or_sparse:1	exact:475,prefix_32_of_3013:1:1	66:23,64:22,185:20,189:19,258:18,347:17,337:16,114:15	66:23,64:22,185:20,189:19,258:18,347:17,337:16,114:15	476	476	tail:476	66:23,64:22,185:20,189:19,258:18,347:17,337:16,114:15	66:23,64:22,185:20,189:19,258:18,347:17,337:16,114:15	474	0	2	475	1	0	3	1	1	socket	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
040	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_040.c	vm_program_atlas_040_decompiled_folded	0x2c1156	0x2c13ed	0x297	2	165	2	2	0	exact_instruction:164,long_branch_backedge:1	covered_synthetic_fallthrough:1,decoded_control:1	covered_synthetic_fallthrough:1,decoded_control:1	state_add_const:16,state_mixed:7,state_const_post:1,sampled_backedge:1	exact:164,backedge_sample:1:1	258:9,66:9,114:7,189:6,215:6,337:6,28:6,157:6	258:9,66:9,114:7,189:6,215:6,337:6,28:6,157:6	165	165	tail:165	258:9,66:9,114:7,189:6,215:6,337:6,28:6,157:6	258:9,66:9,114:7,189:6,215:6,337:6,28:6,157:6	164	0	1	164	1	0	1	1	1	basic_string::append	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
041	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_041.c	vm_program_atlas_041_decompiled_folded	0x30e872	0x316692	0x7e20	13	8444	13	13	0	exact_instruction:8435,long_branch_forward:5,long_branch_backedge:3,sampled_operand_forward:1	decoded_control:9,fallthrough:3,covered_synthetic_fallthrough:1	decoded_control:9,fallthrough:3,covered_synthetic_fallthrough:1	state_add_const:6927,state_mixed:640,state_const_post:203,state_preserve:95,sampled_backedge:6,sampled_long_or_sparse:1,exact:1	exact:8435,prefix_32_of_45:91:2,prefix_32_of_48:1:1,backedge_sample:13:1,prefix_32_of_648:1:1,backedge_sample:3:1,prefix_32_of_20238:1:1,backedge_sample:91:1	337:306,189:295,28:292,114:292,18:292,340:291,258:283,64:277	337:306,189:295,28:292,114:292,340:291,18:291,258:283,64:277	502501	8444	tail:499210,dispatch:3291	337:19246,258:18656,340:18486,28:18049,114:17691,189:17599,18:17504,64:17496	337:19246,258:18656,340:18486,28:18049,114:17691,189:17599,18:17501,64:17496	8396	0	48	8436	8	11	1	1	5	_ITM_registerTMCloneTable; __freelocale; blake3_hasher_finalize; unsigned __int128; zydis_decoder_tree_root	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
042	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_042.c	vm_program_atlas_042_decompiled_folded	0x31aa27	0x31ddb5	0x338e	28	3387	28	28	0	exact_instruction:3374,long_branch_forward:7,long_branch_backedge:6	decoded_control:13,covered_synthetic_fallthrough:9,fallthrough:6	decoded_control:13,covered_synthetic_fallthrough:9,fallthrough:6	state_add_const:3021,state_mixed:254,state_const_post:88,state_preserve:11,sampled_backedge:7,sampled_long_or_sparse:4,exact:2	exact:3374,prefix_32_of_48:1:2,backedge_sample:7:2,prefix_32_of_529:1:2,backedge_sample:1:2,prefix_32_of_651:1:2,backedge_sample:3:2,prefix_32_of_506:1:1	18:103,28:101,258:100,337:95,189:94,66:93,199:85,347:85	18:102,28:101,258:99,337:95,189:94,66:93,199:85,347:85	4724	3387	tail:4724	18:152,258:136,28:129,66:127,337:125,189:120,347:115,215:107	18:151,258:129,28:129,66:127,337:125,189:120,347:115,215:107	3364	0	23	3374	13	18	9	1	4	_ITM_registerTMCloneTable; __freelocale	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
043	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_043.c	vm_program_atlas_043_decompiled_folded	0x31df8f	0x31e862	0x8d3	10	554	10	10	0	exact_instruction:550,sampled_operand_forward:2,long_branch_forward:2	covered_synthetic_fallthrough:6,decoded_control:4	covered_synthetic_fallthrough:6,decoded_control:4	state_add_const:487,state_mixed:44,state_const_post:16,state_preserve:3,exact:2,sampled_backedge:1,sampled_long_or_sparse:1	exact:550,prefix_32_of_92651:1:1,prefix_32_of_118830:1:1,prefix_32_of_34:1:1,prefix_32_of_538:1:1	337:24,28:23,189:23,66:22,340:22,18:21,347:20,297:20	337:24,189:23,28:22,66:22,340:22,18:21,347:20,297:19	554	554	tail:552,dispatch:2	337:24,28:23,189:23,66:22,340:22,18:21,347:20,297:20	337:24,189:23,28:22,66:22,340:22,18:21,347:20,297:19	549	0	5	552	2	1	6	3	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
044	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_044.c	vm_program_atlas_044_decompiled_folded	0x31ea5c	0x31eaac	0x50	1	14	1	1	0	exact_instruction:13,long_branch_forward:1	decoded_control:1	decoded_control:1	state_add_const:10,state_const_post:2,state_mixed:1,sampled_backedge:1	exact:13,prefix_32_of_88:1:1	268:2,354:1,18:1,64:1,253:1,269:1,144:1,165:1	268:2,18:1,64:1,253:1,269:1,144:1,165:1,340:1	14	14	tail:14	268:2,354:1,18:1,64:1,253:1,269:1,144:1,165:1	268:2,18:1,64:1,253:1,269:1,144:1,165:1,340:1	13	0	1	13	1	0	0	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
045	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_045.c	vm_program_atlas_045_decompiled_folded	0x31eae4	0x31f2b1	0x7cd	4	520	4	4	0	exact_instruction:520	covered_synthetic_fallthrough:4	covered_synthetic_fallthrough:4	state_add_const:455,state_mixed:48,state_const_post:15,state_preserve:2	exact:520	189:21,64:20,114:20,28:19,307:19,347:19,337:19,340:18	189:21,64:20,114:20,28:19,307:19,347:19,337:19,340:18	520	520	tail:520	189:21,64:20,114:20,28:19,307:19,347:19,337:19,340:18	189:21,64:20,114:20,28:19,307:19,347:19,337:19,340:18	519	0	1	520	0	0	3	1	1	pthread_cond_wait	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
046	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_046.c	vm_program_atlas_046_decompiled_folded	0x33170b	0x33384d	0x2142	18	2184	18	18	0	exact_instruction:2179,long_branch_forward:3,long_branch_backedge:2	covered_synthetic_fallthrough:11,decoded_control:5,fallthrough:2	covered_synthetic_fallthrough:11,decoded_control:5,fallthrough:2	state_add_const:1931,state_mixed:171,state_const_post:71,state_preserve:6,sampled_long_or_sparse:2,sampled_backedge:2,exact:1	exact:2179,prefix_32_of_48:1:1,backedge_sample:17:1,prefix_32_of_648:1:1,backedge_sample:4:1,prefix_32_of_85:1:1	18:70,340:70,258:70,64:69,189:68,297:66,347:64,114:63	18:70,64:69,340:69,258:69,189:68,297:66,347:64,114:63	3663	2184	tail:3663	18:135,258:121,340:116,189:115,347:114,64:103,28:103,297:102	18:135,258:120,189:115,347:114,64:103,28:103,297:102,307:99	2176	0	8	2179	5	6	11	1	2	_ITM_registerTMCloneTable; __freelocale	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
047	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_047.c	vm_program_atlas_047_decompiled_folded	0x333882	0x333bc9	0x347	2	220	2	2	0	exact_instruction:220	covered_synthetic_fallthrough:2	covered_synthetic_fallthrough:2	state_add_const:201,state_mixed:16,state_const_post:3	exact:220	215:11,114:10,185:9,66:8,347:8,337:8,297:8,189:8	215:11,114:10,185:9,66:8,347:8,337:8,297:8,189:8	220	220	tail:220	215:11,114:10,185:9,66:8,347:8,337:8,297:8,189:8	215:11,114:10,185:9,66:8,347:8,337:8,297:8,189:8	220	0	0	220	0	0	1	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
048	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_048.c	vm_program_atlas_048_decompiled_folded	0x334a3d	0x336d93	0x2356	13	2333	13	13	0	exact_instruction:2326,long_branch_forward:4,long_branch_backedge:3	decoded_control:7,fallthrough:3,covered_synthetic_fallthrough:3	decoded_control:7,fallthrough:3,covered_synthetic_fallthrough:3	state_add_const:2078,state_mixed:170,state_const_post:62,state_preserve:16,sampled_backedge:4,sampled_long_or_sparse:2,exact:1	exact:2326,prefix_32_of_48:1:1,backedge_sample:14:1,prefix_32_of_648:1:1,backedge_sample:3:1,prefix_32_of_651:1:1,backedge_sample:2:1,prefix_32_of_85:1:1	340:73,64:73,18:72,66:71,337:70,28:70,114:69,189:64	340:73,64:73,18:72,66:70,337:70,28:70,114:69,189:64	3590	2333	tail:3583,dispatch:7	64:123,28:100,340:96,18:94,66:93,337:91,43:89,307:88	64:123,28:100,340:96,18:94,66:92,337:91,43:89,307:88	2320	0	13	2326	7	9	3	1	3	_ITM_registerTMCloneTable; __freelocale; long double	mechanical_vm_semantics_folded;string_refs_present;cross_program_or_hidden_span_edges	semantic_intent_unknown;string_reference_intent_needs_context;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;propagate string refs to nearby VM operations;stitch external edges into whole-program control graph
049	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_049.c	vm_program_atlas_049_decompiled_folded	0x336dc8	0x33710f	0x347	1	222	1	1	0	exact_instruction:222	covered_synthetic_fallthrough:1	covered_synthetic_fallthrough:1	state_add_const:200,state_mixed:14,state_const_post:6,state_preserve:2	exact:222	340:10,199:10,307:9,337:9,258:9,297:9,18:9,114:9	340:10,199:10,307:9,337:9,258:9,297:9,18:9,114:9	222	222	tail:221,dispatch:1	340:10,199:10,307:9,337:9,258:9,297:9,18:9,114:9	340:10,199:10,307:9,337:9,258:9,297:9,18:9,114:9	221	0	1	222	0	0	0	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
050	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_050.c	vm_program_atlas_050_decompiled_folded	0x337e84	0x33a350	0x24cc	15	2416	15	15	0	exact_instruction:2413,long_branch_forward:2,long_branch_backedge:1	covered_synthetic_fallthrough:11,decoded_control:3,fallthrough:1	covered_synthetic_fallthrough:11,decoded_control:3,fallthrough:1	state_add_const:2151,state_mixed:191,state_const_post:65,state_preserve:6,sampled_long_or_sparse:1,sampled_backedge:1,exact:1	exact:2413,prefix_32_of_1867:1:1,backedge_sample:4:1,prefix_32_of_85:1:1	28:79,18:78,189:77,64:75,337:71,340:69,297:68,307:67	28:79,18:78,189:77,64:75,337:71,340:69,297:68,307:67	3926	2416	tail:3926	18:135,189:123,28:118,258:115,340:114,297:112,64:112,337:110	18:135,189:123,28:118,258:115,340:114,297:112,64:112,337:110	2412	0	4	2413	3	3	11	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
051	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_051.c	vm_program_atlas_051_decompiled_folded	0x33a385	0x33a6cc	0x347	2	220	2	2	0	exact_instruction:220	covered_synthetic_fallthrough:2	covered_synthetic_fallthrough:2	state_add_const:201,state_mixed:15,state_const_post:4	exact:220	114:12,258:11,28:11,185:9,64:9,20:9,66:8,337:8	114:12,258:11,28:11,185:9,64:9,20:9,66:8,337:8	220	220	tail:220	114:12,258:11,28:11,185:9,64:9,20:9,66:8,337:8	114:12,258:11,28:11,185:9,64:9,20:9,66:8,337:8	220	0	0	220	0	0	1	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
