entry	target	observation	observed_events	delta	shape	tail_site	static_stop	top_targets	state_update_count	flag_update_count	branch_count	ip_reads	state_static_pct	state_static_mismatches	state_affine_status	state_affine_cv_status	state_affine_cv_pct	state_affine_terms	static_dispatch_pct	static_dispatch_mismatches	static_ip_pct	static_ip_mismatches	dispatch_model	dispatch_model_pct	dispatch_model_events	dispatch_affine_cv_status	dispatch_affine_cv_pct	dispatch_affine_terms	transfer_expr_events	transfer_expr_target_pct	transfer_expr_ip_pct	transfer_expr_unique_slot_exprs	transfer_expr_unique_ip_exprs	transfer_expr_top_slot_exprs	transfer_expr_top_ip_exprs	path_profile_events	path_profile_unique_paths	path_profile_branch_sites	path_profile_top_paths	branch_predicate_events	branch_predicate_unknown_events	branch_predicate_unknown_pct	branch_predicate_top_classes	branch_predicate_top_unknown_sites	branch_predicate_top_unknown_conditions	branch_gpr_predicate_events	branch_gpr_predicate_unknown_events	branch_gpr_predicate_unknown_pct	branch_gpr_predicate_top_classes	branch_gpr_predicate_top_unknown_sites	branch_gpr_predicate_top_unknown_conditions	long_branch_events	long_branch_variants	long_branch_operand_lens	long_branch_operand_shapes	long_branch_top_ir	sampled_operand_events	sampled_operand_variants	sampled_operand_lens	sampled_operand_shapes	sampled_operand_top_ir	target_reg	slot_kind	slot_reg_or_temp	byte_index_reg	static_load_site	static_index_add_site	tail_role_events	decode_signature	dispatch_skeleton	final_state_expr
10	0x7a04f	unobserved	0	-	-	0x7a4d6	0x7a4e6		4	2	9	0x7a058:byte0,0x7a065:byte0,0x7a20d:byte0,0x7a324:b4,0x7a354:u16_2,0x7a43a:u16_0																																																									IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdx	state0 & flags0 ^ flags0 + state0 & flags0 + 0x564636d2 & 0x1a79a963 ^ 0x36174357 + 0x4123783c - u16_0 ^ state0 & flags0 ^ flags0 + state0 & flags0 + 0x564636d2 & 0x1a79a963 ^ 0x36174357 + 0x4123783c - 0x19471e33
11	0x7a4d8	unobserved	0	-	-	0x7acd6	0x7ace6		1	0	38	0x7a533:u16_6,0x7a575:b8,0x7ab62:u32_0,0x7ab8d:u16_4,0x7abdd:u16_9,0x7ac3f:u16_11																																																									IPADV+0xb;RIP+0xb/2:movzx;RF+0x170/4:add;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0xb;RIP+0xb/2:movzx;RF+0x170/4:add;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rsi	state0 + u16_11 + state0 ^ 0x4ecbeff6
12	0x7acd8	unobserved	0	-	-	0x7aee6	0x7aef6		2	0	1	0x7ad3c:u16_4,0x7ad46:u16_6,0x7adc1:u16_2,0x7ae68:u16_0																																																									IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rax	state0 | flags0 | u16_0 - state0 | flags0 + 0x61ec39cd
13	0x7aee8	exact	5	+0x5	EECCE	0x7b3bb	0x7b3cb	256@0xad849:4,257@0xadbfd:1	2	4	9	0x7b082:byte0,0x7b0e7:b4,0x7b113:u16_2,0x7b137:byte0,0x7b2ec:u16_0	100.0	0	fit	partial	80.0	29	100.0	0	100.0	0	static_100	100.0	5	partial	80.0	3	5	100.0	100.0	1	1	5=(mask32((mask32(u16_0 - (mask32((mask32(state0 ^ 0x67934603)) ^ (mask32((mask32((mask32((mask32(flags0 - 0x1c36555)) | 0x771fee31)) | 0x1490ac71)) - 0x2de02e8)))))) - 0x5ad3c2e8)) & 0xffff	5=0x5	5	2	0x7af0e,0x7b058,0x7b089,0x7b097,0x7b0a6,0x7b0b4,0x7b0f2,0x7b14c,0x7b179	4:b7836cdca7530662:0x7af0e:je:0;0x7b058:je:0;0x7b089:jne:1;0x7b097:jne:1;0x7b0a6:jne:0;0x7b0b4:jne:1;0x7b0f2:je:0;0x7b14c:je:0;0x7b179:je:0|1:19d8a9a4824de2a0:0x7af0e:je:0;0x7b058:je:0;0x7b089:jne:0;0x7b097:jne:1;0x7b0a6:jne:1;0x7b0b4:jne:1;0x7b0f2:je:0;0x7b14c:je:0;0x7b179:je:0	45	0	0.0				45	0	0.0														r12	live_slot	rcx	rbx			5	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r12	state0 ^ 0x67934603 ^ flags0 - 0x1c36555 | 0x771fee31 | 0x1490ac71 - 0x2de02e8
14	0x7b3be	unobserved	0	-	-	0x7b6c9	0x7b6d9		2	0	3	0x7b543:b4,0x7b59d:u16_2,0x7b655:u16_0																																																									IPADV+0x0;RIP+0x0/2:movzx;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rbx;RF+0xa/8:mov	state0 & flags0 ^ u16_0 - 0x7584d103
15	0x7b6cb	unobserved	0	-	-	0x7bae7	0x7baf7		2	0	5	0x7b6df:u32_0,0x7b732:u32_0,0x7b961:b0,0x7b9bc:u16_3,0x7ba42:u16_1																																																									IPADV+0x1;RIP+0x1/2:movzx;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x1;RIP+0x1/2:movzx;RF+0x10f/8:mov;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdx;RF+0x81/8:mov	state0 ^ flags0 ^ u16_1 - 0x699ad46a
16	0x7b77c	unobserved	0	-	-	0x7bae7	0x7baf7		2	0	3	0x7b961:b0,0x7b9bc:u16_3,0x7ba42:u16_1																																																									IPADV+0x1;RIP+0x1/2:movzx;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x1;RIP+0x1/2:movzx;RF+0x10f/8:mov;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdx;RF+0x81/8:mov	state0 ^ flags0 ^ u16_1 - 0x699ad46a
17	0x7bae9	exact	758	+0x5	VVEVV	0x7be98	0x7bea8	300@0xb6c36:256,122@0x9170d:150,28@0x7e390:132,18@0x7be9b:31,92@0x8b8cb:31,200@0xa0a9e:30	4	7	7	0x7bb5e:byte0,0x7bb78:u16_0,0x7bbd6:b2,0x7bdc5:u16_3	100.0	0	fit	partial	91.6	309	100.0	0	100.0	0	static_100	100.0	346	partial	91.6	210	128	100.0	100.0	1	1	128=(mask32(u16_3 - (mask32((mask32((mask32(state0 | (mask32(flags0 ^ 0x4365071c)))) & (mask32((mask32(u16_0 ^ (mask32(state0 | (mask32(flags0 ^ 0x4365071c)))))) + (mask32(flags0 ^ 0x4365071c)))))) ^ 0x95f9698)))) & 0xffff	128=0x5	346	6	0x7bafa,0x7bbdd,0x7bbea,0x7bbf8,0x7bc05,0x7bc7b,0x7bd0e	259:db3cbbbc0c0a8e41:0x7bafa:je:?;0x7bbdd:jne:0;0x7bbea:jne:1;0x7bbf8:jne:1;0x7bc05:jne:1;0x7bc7b:je:0;0x7bd0e:je:1|31:dfbfe5a7641750c5:0x7bafa:je:?;0x7bbdd:jne:1;0x7bbea:jne:1;0x7bbf8:jne:0;0x7bc05:jne:1;0x7bc7b:je:0;0x7bd0e:je:1|19:94ed757ea46b6bbf:0x7bafa:je:?;0x7bbdd:jne:1;0x7bbea:jne:1;0x7bbf8:jne:0;0x7bc05:jne:1;0x7bc7b:je:1;0x7bd0e:je:1|16:a7ac9449621c75fc:0x7bafa:je:?;0x7bbdd:jne:1;0x7bbea:jne:1;0x7bbf8:jne:1;0x7bc05:jne:0;0x7bc7b:je:1;0x7bd0e:je:1|13:e32326016dd10226:0x7bafa:je:?;0x7bbdd:jne:1;0x7bbea:jne:1;0x7bbf8:jne:1;0x7bc05:jne:0;0x7bc7b:je:0;0x7bd0e:je:1	896	128	14.3	live_in_reg:128	0x7bafa:je:live_in_reg:128	0x7baf6:cmp:r8b, 0:low8(live_in(r8))(?livein_r8) ? 0x0(0x0):zf=None:constant,live_in_reg,unknown:128:128	896	0	0.0														r14	live_slot	rsi	r15			346	IPADV+0x3;RIP+0x3/2:movzx;RF+0x170/4:sub;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x3;RIP+0x3/2:movzx;RF+0x170/4:sub;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r14	state0 | flags0 ^ 0x4365071c & u16_0 ^ state0 | flags0 ^ 0x4365071c + flags0 ^ 0x4365071c ^ 0x95f9698 + u16_3 - state0 | flags0 ^ 0x4365071c & u16_0 ^ state0 | flags0 ^ 0x4365071c + flags0 ^ 0x4365071c ^ 0x95f9698
18	0x7be9b	exact	25448	+0x3	VVV	0x7c308	0x7c318	114@0x90319:1729,189@0x9e7af:1581,347@0xc088d:1461,258@0xadf2c:1384,337@0xbec0e:1249,174@0x9bd8f:1212	4	6	4	0x7bebd:byte0,0x7bf62:byte0,0x7bf6f:byte0,0x7bf96:byte0,0x7c03a:b2,0x7c148:byte0,0x7c200:u16_0	100.0	0	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	static_100	100.0	7392	no_train_fit	0.0	0	128	100.0	100.0	2	1	99=(mask32(u16_0 - (mask32((mask32((mask32(state0 & flags0)) - 0x6382ce20)) & flags0)))) & 0xffff;29=(mask32(u16_0 - (mask32((mask32((mask32(state0 & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))) - 0x6382ce20)) & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))))) & 0xffff	128=0x3	7392	2	0x7bed4,0x7befe,0x7bfe0,0x7c17e	5184:52cb94c676146085:0x7bed4:je:?;0x7befe:je:1;0x7bfe0:je:1;0x7c17e:je:0|2208:7e789bf72e271a78:0x7bed4:je:?;0x7befe:je:0;0x7bfe0:je:0;0x7c17e:je:0	512	128	25.0	live_in_reg:128	0x7bed4:je:live_in_reg:128	0x7bed0:cmp:dil, 0:low8(live_in(rdi))(?livein_rdi) ? 0x0(0x0):zf=None:constant,live_in_reg,unknown:128:128	512	0	0.0														rsi	live_slot	r13	r9			7406	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x10f/8:mov;RF+0x170/4:sub;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rsi	state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b - u16_0 - state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b
19	0x7c30a	unobserved	0	-	-	0x7c628	0x7c638		1	0	2	0x7c361:u16_4,0x7c365:u16_2,0x7c3da:u16_9,0x7c45a:u16_2,0x7c47a:u16_4,0x7c50c:b8,0x7c54b:u16_0,0x7c5b4:u16_6																																																									IPADV+0x6;RIP+0x6/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x6;RIP+0x6/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r12	state0 & u16_6 - state0 + 0x7d53d38d
