entry	target	observation	observed_events	delta	shape	tail_site	static_stop	top_targets	state_update_count	flag_update_count	branch_count	ip_reads	state_static_pct	state_static_mismatches	state_affine_status	state_affine_cv_status	state_affine_cv_pct	state_affine_terms	static_dispatch_pct	static_dispatch_mismatches	static_ip_pct	static_ip_mismatches	dispatch_model	dispatch_model_pct	dispatch_model_events	dispatch_affine_cv_status	dispatch_affine_cv_pct	dispatch_affine_terms	transfer_expr_events	transfer_expr_target_pct	transfer_expr_ip_pct	transfer_expr_unique_slot_exprs	transfer_expr_unique_ip_exprs	transfer_expr_top_slot_exprs	transfer_expr_top_ip_exprs	path_profile_events	path_profile_unique_paths	path_profile_branch_sites	path_profile_top_paths	branch_predicate_events	branch_predicate_unknown_events	branch_predicate_unknown_pct	branch_predicate_top_classes	branch_predicate_top_unknown_sites	branch_predicate_top_unknown_conditions	branch_gpr_predicate_events	branch_gpr_predicate_unknown_events	branch_gpr_predicate_unknown_pct	branch_gpr_predicate_top_classes	branch_gpr_predicate_top_unknown_sites	branch_gpr_predicate_top_unknown_conditions	long_branch_events	long_branch_variants	long_branch_operand_lens	long_branch_operand_shapes	long_branch_top_ir	sampled_operand_events	sampled_operand_variants	sampled_operand_lens	sampled_operand_shapes	sampled_operand_top_ir	target_reg	slot_kind	slot_reg_or_temp	byte_index_reg	static_load_site	static_index_add_site	tail_role_events	decode_signature	dispatch_skeleton	final_state_expr
115	0x90895	unobserved	0	-	-	0x90a18	0x90a28		3	0	1	0x908d0:u16_2,0x908e0:u16_0,0x90902:u16_4,0x909a7:u16_6																																																									IPADV+0x6;RIP+0x6/2:movzx;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x6;RIP+0x6/2:movzx;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r12;RF+0xa/8:mov	state0 & flags0 - flags0 ^ u16_6 - 0x65879915
116	0x90a1b	unobserved	0	-	-	0x90c21	0x90c31		0	0	3	0x90a2f:u32_0,0x90a82:u32_0,0x90b09:u16_0,0x90b96:u32_4,0x90b99:u32_4																																																									IPADV+0x0;RIP+0x0/2:mov;TDYN;RTdyn/8:mov;IPADV+0x4;RIP+0x4/4:mov;WF+0xa/8:sub;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:mov;RF+0x10f/8:mov;TDYN;RTdyn/8:mov;RF+0xa/8:mov;IPADV+0x4;RIP+0x4/4:mov;WF+0xa/8:sub;WF+0xa/8:add;JMP:rax	state0
117	0x90acd	sampled_backedge	122	-0x40	sampled	0x90c21	0x90c31	354@0xc2241:71,165@0x9a24c:48,171@0x9b4b3:3	0	0	1	0x90b09:u16_0,0x90b96:u32_4,0x90b99:u32_4																																								122	14	122=0x8	122=target_u32@+0,delta_u32@+4	56=next = table[354], ip -= 0x40;27=next = table[165], ip -= 0x40;9=next = table[165], ip -= 0xbc1;6=next = table[354], ip -= 0x584;5=next = table[165], ip -= 0x55d						rax	live_slot	r10	rdx			58	IPADV+0x0;RIP+0x0/2:mov;TDYN;RTdyn/8:mov;IPADV+0x4;RIP+0x4/4:mov;WF+0xa/8:sub;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:mov;RF+0x10f/8:mov;TDYN;RTdyn/8:mov;RF+0xa/8:mov;IPADV+0x4;RIP+0x4/4:mov;WF+0xa/8:sub;WF+0xa/8:add;JMP:rax	state0
118	0x90c23	exact	398	+0x3	CVV	0x90eb9	0x90ec9	332@0xbd36d:256,217@0xa4b11:65,322@0xbb3c9:64,172@0x9b68a:3,114@0x90319:3,208@0xa2361:3	1	5	3	0x90c51:byte0,0x90d10:b0,0x90dc5:u16_1	100.0	0	fit	partial	99.7	59	100.0	0	100.0	0	static_100	100.0	390	partial	99.7	34	128	100.0	100.0	1	1	128=(mask32((mask32(u16_1 ^ state0)) - 0x52d3aa4)) & 0xffff	128=0x3	390	2	0x90c71,0x90c94,0x90d19	325:0c2ec304c56dd3de:0x90c71:je:0;0x90c94:je:1;0x90d19:je:0|65:c682e41fb0d4fdce:0x90c71:je:0;0x90c94:je:0;0x90d19:je:0	384	0	0.0				384	0	0.0														r11	live_slot	r15	r12			390	IPADV+0x1;RIP+0x1/2:movzx;RF+0x170/4:xor;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x1;RF+0x10f/8:mov;RIP+0x1/2:movzx;RF+0x170/4:xor;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r11	state0 & u16_1 ^ state0 - 0x52d3aa4
119	0x90ebc	exact	922	+0x6	CCCCVV	0x91067	0x91077	28@0x7e390:190,64@0x85059:187,340@0xbf435:107,337@0xbec0e:99,297@0xb64d7:96,18@0x7be9b:96	1	2	1	0x90f08:u16_2,0x90f1f:u16_0,0x90fd0:u16_4	100.0	0	fit	partial	89.3	504	100.0	0	100.0	0	static_100	100.0	243	partial	89.3	207	128	100.0	100.0	1	1	128=(mask32((mask32(u16_4 ^ state0)) + 0x7e7974a5)) & 0xffff	128=0x6	243	2	0x90f2a	158:4c73699f63238b6f:0x90f2a:je:1|85:73da1b628e200f11:0x90f2a:je:0	128	0	0.0				128	0	0.0														r11	live_slot	rsi				243	IPADV+0x4;RIP+0x4/2:movzx;RF+0x170/4:xor;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x4;RIP+0x4/2:movzx;RF+0x170/4:xor;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r11	state0 | u16_4 ^ state0 + 0x7e7974a5
120	0x9106a	unobserved	0	-	-	0x91377	0x91387		1	1	2	0x910cc:u16_4,0x9111c:u16_6,0x9117d:u16_9,0x91209:u16_6,0x91221:u16_4,0x9128a:b8,0x912c6:u16_2,0x9130e:u16_0																																																									IPADV+0x0;RIP+0x0/2:movzx;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;WF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rbx	state0 ^ u16_0
121	0x91379	exact	2198	+0x4	VVVV	0x9170b	0x9171b	307@0xb8064:350,180@0x9cf32:244,114@0x90319:190,91@0x8b6de:171,196@0x9fbcd:117,66@0x855ff:117	3	1	0	0x91417:byte0,0x91452:byte0,0x914a5:u16_0,0x9163b:u16_2	100.0	0	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	static_100	100.0	737	no_train_fit	0.0	0	128	100.0	100.0	1	1	128=(mask32((mask32(u16_2 ^ (mask32((mask32((mask32(state0 ^ (mask32(flags0 + 0x3154e54a)))) - 0x288d43ba)) + (mask32((mask32(u16_0 + (mask32((mask32(state0 ^ (mask32(flags0 + 0x3154e54a)))) - 0x288d43ba)))) - flags0)))))) + 0x7609a96c)) & 0xffff	128=0x4	737	1		737:e3b0c44298fc1c14:-																							rdx	live_slot	r10	rsi			740	IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdx	state0 ^ flags0 + 0x3154e54a - 0x288d43ba + u16_0 + state0 ^ flags0 + 0x3154e54a - 0x288d43ba - flags0
122	0x9170d	exact	498	+0x5	VVCCV	0x91a57	0x91a67	334@0xbdd18:155,316@0xb987b:112,258@0xadf2c:92,210@0xa2da3:59,145@0x95b5c:40,246@0xab427:14	2	0	5	0x91836:byte0,0x91925:b4,0x9197b:u16_2,0x919d3:u16_0	100.0	0	fit	partial	92.6	215	100.0	0	100.0	0	static_100	100.0	121	partial	92.6	98	121	100.0	100.0	1	1	121=(mask32((mask32(u16_0 + (mask32(state0 + flags0)))) + 0x1af9be18)) & 0xffff	121=0x5	121	3	0x9183d,0x9184b,0x9185a,0x91872,0x91935	103:fbbf0c4194ed2eeb:0x9183d:jne:1;0x9184b:jne:1;0x9185a:jne:1;0x91872:jne:0;0x91935:je:0|17:d9b4f55f629e1412:0x9183d:jne:1;0x9184b:jne:1;0x9185a:jne:0;0x91872:jne:1;0x91935:je:0|1:d05c9b2323c578d9:0x9183d:jne:0;0x9184b:jne:1;0x9185a:jne:1;0x91872:jne:1;0x91935:je:0	605	0	0.0				605	0	0.0														rdx	live_slot	rbx	r11			121	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdx;RF+0x81/8:mov	state0 + flags0 - u16_0 + state0 + flags0 + 0x1af9be18
123	0x91a59	exact	10598	+0x4	VVCC	0x91e7f	0x91e8f	337@0xbec0e:1011,114@0x90319:972,66@0x855ff:944,347@0xc088d:901,64@0x85059:880,18@0x7be9b:646	2	4	5	0x91ae6:byte0,0x91bc8:u16_2,0x91d9f:u16_0	100.0	0	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	static_100	100.0	2829	no_train_fit	0.0	0	128	100.0	100.0	1	1	128=(mask32((mask32(u16_0 - (mask32(state0 + 0x3da77425)))) ^ 0x1603b0a9)) & 0xffff	128=0x4	2829	4	0x91a6a,0x91be2,0x91c91,0x91cd7,0x91d11	1376:602456c009357cc7:0x91a6a:je:?;0x91be2:jne:1;0x91c91:je:1;0x91cd7:je:0;0x91d11:je:1|826:351c6e16de75b6f7:0x91a6a:je:?;0x91be2:jne:1;0x91c91:je:0;0x91cd7:je:0;0x91d11:je:0|626:23416fdb6a059203:0x91a6a:je:?;0x91be2:jne:1;0x91c91:je:0;0x91cd7:je:0;0x91d11:je:1|1:2eabfe2f03414b40:0x91a6a:je:?;0x91be2:jne:1;0x91c91:je:0;0x91cd7:je:1;0x91d11:je:0	640	128	20.0	live_in_reg:128	0x91a6a:je:live_in_reg:128	0x91a66:cmp:r15b, 0:low8(live_in(r15))(?livein_r15) ? 0x0(0x0):zf=None:constant,live_in_reg,unknown:128:128	640	0	0.0														rdx	live_slot	r8	rdi			2829	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x10f/8:mov;RF+0x170/4:sub;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdx	state0 + 0x3da77425 - u16_0 - state0 + 0x3da77425 ^ 0x1603b0a9
124	0x91e81	exact	1796	+0x6	VVVVVV	0x922c1	0x922d1	320@0xbada5:235,192@0x9f00a:199,43@0x8173d:191,37@0x80685:147,333@0xbd8af:139,307@0xb8064:123	8	4	2	0x92045:u32_0,0x921ef:u16_4,0x9223d:u16_4 + state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 & u32_0 - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ 0x3654c1a7	100.0	0	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	static_100	100.0	639	no_train_fit	0.0	0	128	100.0	100.0	2	1	71=(mask32((mask32(u16_4 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ flags0)) ^ 0x2bb25e3)) | 0x50ef8024)) + (mask32(flags0 - (mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ flags0)) ^ 0x2bb25e3)) | 0x50ef8024)))))) ^ (mask32(flags0 - (mask32((mask32((mask32((...#ac1733a63517;57=(mask32((mask32(u16_4 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ (mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)))) ^ 0x2bb25e3)) | 0x50ef8024)) + (mask32((mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)) - (mask32((mask32((mask32((mask32(state0 - 0x7c31e80...#3edf825bbda7	128=0x6	639	2	0x91eac,0x91efe	424:720d13cce365bff2:0x91eac:je:1;0x91efe:je:0|215:2ee011e838763ccd:0x91eac:je:0;0x91efe:je:0	256	0	0.0				256	0	0.0														r12	live_slot	rsi	r13			639	IPADV+0x4;RIP+0x4/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x4;RIP+0x4/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r12	state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 & u32_0 - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 - u16_4 + state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 & u32_0 - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ 0x3654c1a7
125	0x922c4	exact	129	+0x5	VVVCC	0x92612	0x92622	316@0xb987b:96,334@0xbdd18:9,246@0xab427:6,18@0x7be9b:4,114@0x90319:3,210@0xa2da3:3	1	0	5	0x923c4:byte0,0x924e0:b2,0x92534:u16_3,0x9259e:u16_0	100.0	0	fit	partial	68.4	65	100.0	0	100.0	0	static_100	100.0	19	partial	68.4	28	19	100.0	100.0	1	1	19=(mask32((mask32(u16_0 + state0)) - 0x7b275316)) & 0xffff	19=0x5	19	2	0x923cb,0x923df,0x923f7,0x9240b,0x924eb	18:640e99e97634cb74:0x923cb:jne:0;0x923df:jne:1;0x923f7:jne:1;0x9240b:jne:1;0x924eb:je:0|1:6855c7694d2cef8f:0x923cb:jne:1;0x923df:jne:1;0x923f7:jne:1;0x9240b:jne:0;0x924eb:je:0	95	0	0.0				95	0	0.0														r14	live_slot	rsi	rbx			19	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r14	state0 & u16_0 + state0 - 0x7b275316
126	0x92615	unobserved	0	-	-	0x92998	0x929a8		1	0	5	0x92630:u16_6,0x92658:u16_4,0x92684:u32_0,0x926cd:byte0,0x9274e:u16_3,0x9276c:byte0,0x92857:b2,0x928aa:u16_3,0x92926:u16_0																																																									IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r14;RF+0x23/4:mov	state0 | u16_0 - state0 + 0xf376a6a
127	0x926c3	exact	384	+0x5	EEECC	0x92998	0x929a8	108@0x8f24b:256,144@0x95887:64,257@0xadbfd:64	1	0	5	0x926cd:byte0,0x9274e:u16_3,0x9276c:byte0,0x92857:b2,0x928aa:u16_3,0x92926:u16_0	100.0	0	fit	robust	100.0	48	100.0	0	100.0	0	static_100	100.0	384	robust	100.0	16	128	100.0	100.0	1	1	128=(mask32((mask32(u16_0 - state0)) + 0xf376a6a)) & 0xffff	128=0x5	384	2	0x92773,0x92782,0x92798,0x927ad,0x92862	320:a24732f3bf1ecb29:0x92773:jne:1;0x92782:jne:1;0x92798:jne:1;0x927ad:jne:0;0x92862:je:0|64:1910477798590f8b:0x92773:jne:1;0x92782:jne:1;0x92798:jne:0;0x927ad:jne:1;0x92862:je:0	640	0	0.0				640	0	0.0														r14	live_slot	rsi	r12			384	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r14;RF+0x23/4:mov	state0 | u16_0 - state0 + 0xf376a6a
128	0x9299b	exact	1158	+0x5	EVVVV	0x92f1f	0x92f2f	268@0xb0007:282,215@0xa4609:268,64@0x85059:262,3@0x78c77:71,196@0x9fbcd:45,347@0xc088d:32	9	7	8	0x92ab3:byte0,0x92b4b:u16_1,0x92cb1:b0,0x92e31:u16_3	100.0	0	fit	partial	97.0	569	100.0	0	100.0	0	static_100	100.0	955	partial	97.0	216	128	100.0	100.0	2	1	109=(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32(flags0 | 0x36a392ff)))) | 0x38cd3aec)) - (mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)...#a4fc43487c07;19=(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32((mask32((mask32(flags0 ^ 0x46f37ee7)) & 0x706a6a76)) | 0x36a392ff)))) | 0x38cd3aec)) - (mask32(u16_1 + (mask32((mask32((mask32((mask32...#7647f41314cb	128=0x5	955	6	0x929dd,0x92a2e,0x92a94,0x92cb8,0x92cdb,0x92ceb,0x92d07,0x92d9f	773:1cc26e6017eab5d3:0x929dd:je:1;0x92a2e:je:1;0x92a94:je:0;0x92cb8:jne:0;0x92cdb:jne:1;0x92ceb:jne:1;0x92d07:jne:1;0x92d9f:je:1|65:19d51e80d17f4b6e:0x929dd:je:0;0x92a2e:je:1;0x92a94:je:0;0x92cb8:jne:0;0x92cdb:jne:1;0x92ceb:jne:1;0x92d07:jne:1;0x92d9f:je:1|41:a63c04819ab1404c:0x929dd:je:0;0x92a2e:je:1;0x92a94:je:0;0x92cb8:jne:1;0x92cdb:jne:1;0x92ceb:jne:1;0x92d07:jne:0;0x92d9f:je:1|34:51e06e44bdfa5e39:0x929dd:je:1;0x92a2e:je:1;0x92a94:je:0;0x92cb8:jne:1;0x92cdb:jne:1;0x92ceb:jne:0;0x92d07:jne:1;0x92d9f:je:1|28:91bf05f3f343e4b6:0x929dd:je:1;0x92a2e:je:1;0x92a94:je:0;0x92cb8:jne:1;0x92cdb:jne:1;0x92ceb:jne:1;0x92d07:jne:0;0x92d9f:je:1	1024	0	0.0				1024	0	0.0														rdx	live_slot	r13	rcx			955	IPADV+0x3;RIP+0x3/2:movzx;RF+0x170/4:xor;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x3;RF+0x10f/8:mov;RIP+0x3/2:movzx;RF+0x170/4:xor;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdx	state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec - u16_1 + state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec + flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 - 0x1a4f949c - 0x4e6b72c6 | 0x7b467141 & u16_3 ^ state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec - u16_1 + state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec + flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 - 0x1a4f949c - 0x4e6b72c6 | 0x7b467141 + 0x539da50e
129	0x92f21	exact	139	+0x3	VVE	0x931d0	0x931e0	215@0xa4609:64,99@0x8c99a:64,66@0x855ff:3,199@0xa0631:2,217@0xa4b11:2,172@0x9b68a:1	6	5	1	0x92f53:b2,0x93118:u16_0	100.0	0	fit	partial	95.6	41	100.0	0	100.0	0	static_100	100.0	136	partial	95.6	38	128	100.0	100.0	1	1	128=(mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 | 0x77ecded8)))) + 0x14f8aa88)) + 0x5f119f37)) + (mask32(flags0 + (mask32((mask32((mask32((mask32(state0 & (mask32(flags0 | 0x77ecded8)))) + 0x14f8aa88)) + 0x5f119f37)) - 0x42c8b2fa)))))) & 0x63b683d)))) & 0xffff	128=0x3	136	2	0x93007	134:88af7305685357cd:0x93007:je:1|2:2d7de7f338ef1eb3:0x93007:je:0	128	0	0.0				128	0	0.0														r11	live_slot	r14	r13			136	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x10f/8:mov;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r11	state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 + flags0 + state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 - 0x42c8b2fa - 0x3f4e9109 + 0x5d5f2ae2 & 0x63b683d & u16_0 - state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 + flags0 + state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 - 0x42c8b2fa - 0x3f4e9109 + 0x5d5f2ae2 & 0x63b683d
130	0x931d3	exact	5	+0x5	EECCE	0x937cd	0x937dd	144@0x95887:4,198@0xa037e:1	3	3	7	0x93502:byte0,0x93607:b4,0x93632:u16_2,0x9371f:u16_0	100.0	0	fit	robust	100.0	22	100.0	0	100.0	0	static_100	100.0	4	robust	100.0	2	4	100.0	100.0	1	1	4=(mask32((mask32(u16_0 + (mask32((mask32(state0 | (mask32(flags0 - (mask32(state0 + 0x42718c2a)))))) + (mask32((mask32(flags0 - (mask32(state0 + 0x42718c2a)))) & 0x3a044344)))))) - 0x5121ff33)) & 0xffff	4=0x5	4	1	0x933d5,0x93509,0x93524,0x93546,0x9355b,0x93611,0x93660	4:ebeafe43f7b7b773:0x933d5:je:1;0x93509:jne:1;0x93524:jne:1;0x93546:jne:1;0x9355b:jne:0;0x93611:je:1;0x93660:je:0	28	0	0.0				28	0	0.0														r13	live_slot	r9				4	IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r13	state0 | flags0 - state0 + 0x42718c2a + flags0 - state0 + 0x42718c2a + 0x3941798 - 0x1b3f106e & 0x3a044344 | u16_0 + state0 | flags0 - state0 + 0x42718c2a + flags0 - state0 + 0x42718c2a + 0x3941798 - 0x1b3f106e & 0x3a044344 - 0x5121ff33
