program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
015	0x1210d6	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	53	
015	0x1211a7	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	174	
015	0x121443	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	156	
015	0x12169e	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	78	
015	0x1217d8	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	88	
015	0x121932	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	79	
015	0x121a8a	ready_for_mba_reduction	all required static/runtime fields are present	12	1	1	1	yes	yes	14	
