program	case_state	status	block	row_count	terminal_kind	successor_vm_ip	successor_entry	edge_kind	edge_delta	edge_semantic_ir	raw_bytes_0_5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	observed_pre_state	observed_pre_flags	observed_pre_byte	observed_first_target_entry	trace_observations	trace_with_pre_state	reduction	missing
024	0x179f43	needs_more_evidence	129	72	exact_instruction	0x17a04f	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	0x4c 0x1 0x1c 0xd7 0x7f 0xcf	0x14c	0x1c01	0xd71c	0xcf7f				332	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
024	0x17a05d	needs_more_evidence	130	137	exact_instruction	0x17a25f	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100	0x33 0x1 0x3a 0x9d 0xae 0xff	0x133	0x3a01	0x9d3a	0xffae				307	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
024	0x17a26d	needs_more_evidence	131	116	exact_instruction	0x17a420	175	covered_synthetic_fallthrough	+0x4	next = 175@0x9c08f:1, ip += +0x4; dispatch_model=static_100	0x12 0x0 0x10 0x8 0x3a 0xec	0x12	0x1000	0x810	0xec3a				18	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
