program	state	status	reason	trace_observations	trace_with_pre_state	trace_with_pre_flags	trace_with_pre_byte	raw_bytes_known	edge_known	ir_rows	needs
036	0x2bec2e	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	78	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
036	0x2bed5d	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	121	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
036	0x2bef37	needs_more_evidence	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte	11	0	0	0	yes	yes	73	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
