rank	offset	end	bytes	semantic_covered_bytes	semantic_uncovered_bytes	coverage_x100	kind	name	nbbs	ninstrs	outdegree	priority_class	next_action	selected_range
2919	0x4987d0	0x498a27	599	0	599	0	r2_discovered	fcn.004987d0	11	103	5	tier1_medium_native_gap	targeted_retdec_single_function	0x4987d0-0x498a27
2920	0x49a050	0x49a2a7	599	0	599	0	r2_discovered	fcn.0049a050	19	137	9	tier1_medium_native_gap	targeted_retdec_single_function	0x49a050-0x49a2a7
2921	0x4c5d50	0x4c5fa1	593	0	593	0	r2_discovered	fcn.004c5d50	21	133	10	tier1_medium_native_gap	targeted_retdec_single_function	0x4c5d50-0x4c5fa1
2922	0x525e70	0x5260be	590	0	590	0	native_discovered	method.std::__cxx11::time_get_char__std::istreambuf_iterator_char__std::char_traits_char_____.virtual_64	26	143	6	tier1_medium_native_gap	targeted_retdec_single_function	0x525e70-0x5260be
2923	0x495020	0x49526d	589	0	589	0	r2_discovered	fcn.00495020	20	142	17	tier1_medium_native_gap	targeted_retdec_single_function	0x495020-0x49526d
2924	0x4e9d80	0x4e9fcb	587	0	587	0	r2_discovered	fcn.004e9d80	40	146	2	tier1_medium_native_gap	targeted_retdec_single_function	0x4e9d80-0x4e9fcb
2925	0x56f16	0x5715f	585	0	585	0	r2_discovered	fcn.00056f16	33	144	13	tier1_medium_native_gap	targeted_retdec_single_function	0x56f16-0x5715f
2926	0x57778	0x579c1	585	0	585	0	r2_discovered	fcn.00057778	33	144	13	tier1_medium_native_gap	targeted_retdec_single_function	0x57778-0x579c1
2927	0x517200	0x517449	585	0	585	0	r2_discovered	fcn.00517200	22	128	7	tier1_medium_native_gap	targeted_retdec_single_function	0x517200-0x517449
2928	0x4c00c0	0x4c0306	582	0	582	0	r2_discovered	fcn.004c00c0	6	161	2	tier1_medium_native_gap	targeted_retdec_single_function	0x4c00c0-0x4c0306
2929	0x56ba40	0x56bc82	578	0	578	0	native_discovered	method.std::codecvt_wchar_t__char____mbstate_t_.virtual_16	26	150	8	tier1_medium_native_gap	targeted_retdec_single_function	0x56ba40-0x56bc82
2930	0x4cf560	0x4cf79f	575	0	575	0	r2_discovered	fcn.004cf560	51	152	0	tier1_medium_native_gap	targeted_retdec_single_function	0x4cf560-0x4cf79f
2931	0x4a03f0	0x4a062e	574	0	574	0	r2_discovered	fcn.004a03f0	13	125	8	tier1_medium_native_gap	targeted_retdec_single_function	0x4a03f0-0x4a062e
2932	0x4c9480	0x4c96bd	573	0	573	0	r2_discovered	fcn.004c9480	16	127	13	tier1_medium_native_gap	targeted_retdec_single_function	0x4c9480-0x4c96bd
2933	0x501510	0x50174d	573	0	573	0	native_discovered	method.std::basic_filebuf_wchar_t__std::char_traits_wchar_t___.virtual_104	32	132	5	tier1_medium_native_gap	targeted_retdec_single_function	0x501510-0x50174d
2934	0x4fe020	0x4fe25a	570	0	570	0	native_discovered	method.std::basic_filebuf_wchar_t__std::char_traits_wchar_t___.virtual_64	30	144	7	tier1_medium_native_gap	targeted_retdec_single_function	0x4fe020-0x4fe25a
2935	0x4d09e0	0x4d0c18	568	0	568	0	r2_discovered	fcn.004d09e0	6	172	6	tier1_medium_native_gap	targeted_retdec_single_function	0x4d09e0-0x4d0c18
2936	0x50ee90	0x50f0c6	566	0	566	0	native_discovered	method.std::num_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_48	16	155	6	tier1_medium_native_gap	targeted_retdec_single_function	0x50ee90-0x50f0c6
2937	0x50e6b0	0x50e8e1	561	0	561	0	r2_discovered	fcn.0050e6b0	15	154	6	tier1_medium_native_gap	targeted_retdec_single_function	0x50e6b0-0x50e8e1
2938	0x566890	0x566ac1	561	0	561	0	r2_discovered	fcn.00566890	31	135	16	tier1_medium_native_gap	targeted_retdec_single_function	0x566890-0x566ac1
2939	0x4fddc0	0x4fdfee	558	0	558	0	native_discovered	method.std::basic_filebuf_char__std::char_traits_char___.virtual_64	30	138	7	tier1_medium_native_gap	targeted_retdec_single_function	0x4fddc0-0x4fdfee
2940	0x508660	0x50888e	558	0	558	0	native_discovered	method.std::collate_wchar_t_.virtual_24	23	144	20	tier1_medium_native_gap	targeted_retdec_single_function	0x508660-0x50888e
2941	0x4ff6a0	0x4ff8cd	557	0	557	0	native_discovered	method.std::basic_filebuf_char__std::char_traits_char___.virtual_104	31	129	5	tier1_medium_native_gap	targeted_retdec_single_function	0x4ff6a0-0x4ff8cd
2942	0x4daf6	0x4dd21	555	0	555	0	r2_discovered	fcn.0004daf6	18	123	10	tier1_medium_native_gap	targeted_retdec_single_function	0x4daf6-0x4dd21
2943	0x49d8b0	0x49dadb	555	0	555	0	r2_discovered	fcn.0049d8b0	26	127	8	tier1_medium_native_gap	targeted_retdec_single_function	0x49d8b0-0x49dadb
