rank	offset	end	bytes	semantic_covered_bytes	semantic_uncovered_bytes	coverage_x100	kind	name	nbbs	ninstrs	outdegree	priority_class	next_action	selected_range
1	0x568cf0	0x568eea	506	0	506	0	native_discovered	method.std::__cxx11::messages_wchar_t_.virtual_24	11	143	13	tier0_small_native_gap	targeted_retdec_single_function	0x568cf0-0x568eea
2	0x56274	0x5646b	503	0	503	0	r2_discovered	fcn.00056274	11	110	20	tier0_small_native_gap	targeted_retdec_single_function	0x56274-0x5646b
3	0x4fed10	0x4fef07	503	0	503	0	r2_discovered	fcn.004fed10	1	82	1	tier0_small_native_gap	targeted_retdec_single_function	0x4fed10-0x4fef07
4	0x25a3e	0x25c34	502	0	502	0	r2_discovered	fcn.00025a3e	19	130	9	tier0_small_native_gap	targeted_retdec_single_function	0x25a3e-0x25c34
5	0x500b70	0x500d66	502	0	502	0	r2_discovered	fcn.00500b70	1	82	1	tier0_small_native_gap	targeted_retdec_single_function	0x500b70-0x500d66
6	0x498230	0x498422	498	0	498	0	r2_discovered	fcn.00498230	13	84	8	tier0_small_native_gap	targeted_retdec_single_function	0x498230-0x498422
7	0x4c98a0	0x4c9a91	497	0	497	0	r2_discovered	fcn.004c98a0	28	142	3	tier0_small_native_gap	targeted_retdec_single_function	0x4c98a0-0x4c9a91
8	0x2ceb0	0x2d09e	494	0	494	0	r2_discovered	fcn.0002ceb0	2	125	0	tier0_small_native_gap	targeted_retdec_single_function	0x2ceb0-0x2d09e
9	0x579d80	0x579f6e	494	0	494	0	r2_discovered	fcn.00579d80	43	149	1	tier0_small_native_gap	targeted_retdec_single_function	0x579d80-0x579f6e
10	0x4f75e	0x4f94a	492	0	492	0	r2_discovered	fcn.0004f75e	14	97	8	tier0_small_native_gap	targeted_retdec_single_function	0x4f75e-0x4f94a
11	0x4d3da0	0x4d3f8b	491	0	491	0	r2_discovered	fcn.004d3da0	21	122	10	tier0_small_native_gap	targeted_retdec_single_function	0x4d3da0-0x4d3f8b
12	0x4fbb00	0x4fbceb	491	0	491	0	r2_discovered	fcn.004fbb00	25	112	0	tier0_small_native_gap	targeted_retdec_single_function	0x4fbb00-0x4fbceb
13	0x4b2990	0x4b2b79	489	0	489	0	r2_discovered	fcn.004b2990	27	126	6	tier0_small_native_gap	targeted_retdec_single_function	0x4b2990-0x4b2b79
14	0x53f76	0x5415e	488	0	488	0	r2_discovered	fcn.00053f76	9	116	11	tier0_small_native_gap	targeted_retdec_single_function	0x53f76-0x5415e
15	0x5534e	0x55536	488	0	488	0	r2_discovered	fcn.0005534e	9	116	11	tier0_small_native_gap	targeted_retdec_single_function	0x5534e-0x55536
16	0x568500	0x5686e7	487	0	487	0	r2_discovered	fcn.00568500	15	108	7	tier0_small_native_gap	targeted_retdec_single_function	0x568500-0x5686e7
17	0x56b2c0	0x56b4a7	487	0	487	0	r2_discovered	fcn.0056b2c0	15	108	7	tier0_small_native_gap	targeted_retdec_single_function	0x56b2c0-0x56b4a7
18	0x4cd00	0x4cee6	486	0	486	0	r2_discovered	fcn.0004cd00	5	115	17	tier0_small_native_gap	targeted_retdec_single_function	0x4cd00-0x4cee6
19	0x268c9	0x26aae	485	0	485	0	r2_discovered	fcn.000268c9	22	139	16	tier0_small_native_gap	targeted_retdec_single_function	0x268c9-0x26aae
20	0x4a6e6	0x4a8c5	479	0	479	0	r2_discovered	fcn.0004a6e6	30	140	9	tier0_small_native_gap	targeted_retdec_single_function	0x4a6e6-0x4a8c5
21	0x57160	0x5733f	479	0	479	0	r2_discovered	fcn.00057160	28	128	11	tier0_small_native_gap	targeted_retdec_single_function	0x57160-0x5733f
22	0x55c790	0x55c96f	479	0	479	0	native_discovered	method.std::num_get_char__std::istreambuf_iterator_char__std::char_traits_char_____.virtual_72	21	128	8	tier0_small_native_gap	targeted_retdec_single_function	0x55c790-0x55c96f
23	0x55c9b0	0x55cb8f	479	0	479	0	native_discovered	method.std::num_get_char__std::istreambuf_iterator_char__std::char_traits_char_____.virtual_88	21	128	8	tier0_small_native_gap	targeted_retdec_single_function	0x55c9b0-0x55cb8f
24	0x5725b0	0x57278f	479	0	479	0	r2_discovered	fcn.005725b0	11	131	22	tier0_small_native_gap	targeted_retdec_single_function	0x5725b0-0x57278f
25	0x5727c0	0x57299f	479	0	479	0	r2_discovered	fcn.005727c0	11	131	22	tier0_small_native_gap	targeted_retdec_single_function	0x5727c0-0x57299f
26	0x4b8430	0x4b860e	478	0	478	0	r2_discovered	fcn.004b8430	17	131	13	tier0_small_native_gap	targeted_retdec_single_function	0x4b8430-0x4b860e
27	0x538ea0	0x53907d	477	0	477	0	native_discovered	method.std::__cxx11::time_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_64	25	123	6	tier0_small_native_gap	targeted_retdec_single_function	0x538ea0-0x53907d
28	0x5cb26	0x5cd02	476	0	476	0	r2_discovered	fcn.0005cb26	20	114	9	tier0_small_native_gap	targeted_retdec_single_function	0x5cb26-0x5cd02
29	0x2cafa	0x2ccd5	475	0	475	0	r2_discovered	fcn.0002cafa	3	68	12	tier0_small_native_gap	targeted_retdec_single_function	0x2cafa-0x2ccd5
30	0x62b92	0x62d6d	475	0	475	0	r2_discovered	fcn.00062b92	19	123	9	tier0_small_native_gap	targeted_retdec_single_function	0x62b92-0x62d6d
31	0x4aa650	0x4aa829	473	0	473	0	r2_discovered	fcn.004aa650	15	125	10	tier0_small_native_gap	targeted_retdec_single_function	0x4aa650-0x4aa829
32	0x4b1ca0	0x4b1e79	473	0	473	0	r2_discovered	fcn.004b1ca0	30	135	11	tier0_small_native_gap	targeted_retdec_single_function	0x4b1ca0-0x4b1e79
33	0x567f20	0x5680f7	471	0	471	0	r2_discovered	fcn.00567f20	25	122	21	tier0_small_native_gap	targeted_retdec_single_function	0x567f20-0x5680f7
34	0x492898	0x492a6e	470	0	470	0	r2_discovered	fcn.00492898	26	142	8	tier0_small_native_gap	targeted_retdec_single_function	0x492898-0x492a6e
35	0x4c6100	0x4c62d6	470	0	470	0	r2_discovered	fcn.004c6100	25	125	13	tier0_small_native_gap	targeted_retdec_single_function	0x4c6100-0x4c62d6
36	0x56b60	0x56d34	468	0	468	0	r2_discovered	fcn.00056b60	22	125	16	tier0_small_native_gap	targeted_retdec_single_function	0x56b60-0x56d34
37	0x4bcd80	0x4bcf54	468	0	468	0	r2_discovered	fcn.004bcd80	23	136	13	tier0_small_native_gap	targeted_retdec_single_function	0x4bcd80-0x4bcf54
38	0x4bfaf0	0x4bfcc3	467	0	467	0	r2_discovered	fcn.004bfaf0	28	128	6	tier0_small_native_gap	targeted_retdec_single_function	0x4bfaf0-0x4bfcc3
39	0x4b8bc0	0x4b8d92	466	0	466	0	r2_discovered	fcn.004b8bc0	21	106	13	tier0_small_native_gap	targeted_retdec_single_function	0x4b8bc0-0x4b8d92
40	0x572230	0x572400	464	0	464	0	r2_discovered	fcn.00572230	16	120	19	tier0_small_native_gap	targeted_retdec_single_function	0x572230-0x572400
41	0x4b36d0	0x4b389f	463	0	463	0	r2_discovered	fcn.004b36d0	18	113	24	tier0_small_native_gap	targeted_retdec_single_function	0x4b36d0-0x4b389f
42	0x5586e0	0x5588ad	461	0	461	0	native_discovered	method.std::num_put_char__std::ostreambuf_iterator_char__std::char_traits_char_____.virtual_16	22	137	8	tier0_small_native_gap	targeted_retdec_single_function	0x5586e0-0x5588ad
43	0x4f20e	0x4f3da	460	0	460	0	r2_discovered	fcn.0004f20e	26	129	14	tier0_small_native_gap	targeted_retdec_single_function	0x4f20e-0x4f3da
44	0x50e4c0	0x50e68c	460	0	460	0	native_discovered	method.std::num_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_16	22	136	8	tier0_small_native_gap	targeted_retdec_single_function	0x50e4c0-0x50e68c
45	0x619f2	0x61bbd	459	0	459	0	r2_discovered	fcn.000619f2	21	123	11	tier0_small_native_gap	targeted_retdec_single_function	0x619f2-0x61bbd
46	0x502fa0	0x50316a	458	0	458	0	r2_discovered	fcn.00502fa0	1	77	2	tier0_small_native_gap	targeted_retdec_single_function	0x502fa0-0x50316a
47	0x505870	0x505a3a	458	0	458	0	r2_discovered	fcn.00505870	1	77	2	tier0_small_native_gap	targeted_retdec_single_function	0x505870-0x505a3a
48	0x556610	0x5567da	458	0	458	0	r2_discovered	fcn.00556610	19	119	10	tier0_small_native_gap	targeted_retdec_single_function	0x556610-0x5567da
49	0x5100a0	0x510269	457	0	457	0	native_discovered	method.std::time_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_40	8	100	5	tier0_small_native_gap	targeted_retdec_single_function	0x5100a0-0x510269
50	0x55a0c0	0x55a289	457	0	457	0	native_discovered	method.std::time_get_char__std::istreambuf_iterator_char__std::char_traits_char_____.virtual_40	8	100	5	tier0_small_native_gap	targeted_retdec_single_function	0x55a0c0-0x55a289
51	0x530c90	0x530e56	454	0	454	0	native_discovered	method.std::__cxx11::money_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_16	10	118	13	tier0_small_native_gap	targeted_retdec_single_function	0x530c90-0x530e56
52	0x4b60a0	0x4b6264	452	0	452	0	r2_discovered	fcn.004b60a0	15	110	7	tier0_small_native_gap	targeted_retdec_single_function	0x4b60a0-0x4b6264
53	0x48bfc0	0x48c182	450	0	450	0	r2_discovered	fcn.0048bfc0	9	108	13	tier0_small_native_gap	targeted_retdec_single_function	0x48bfc0-0x48c182
54	0x4cf380	0x4cf540	448	0	448	0	r2_discovered	fcn.004cf380	17	124	0	tier0_small_native_gap	targeted_retdec_single_function	0x4cf380-0x4cf540
55	0x4d3930	0x4d3af0	448	0	448	0	r2_discovered	fcn.004d3930	16	106	4	tier0_small_native_gap	targeted_retdec_single_function	0x4d3930-0x4d3af0
56	0x568c4	0x56a83	447	0	447	0	r2_discovered	fcn.000568c4	17	118	16	tier0_small_native_gap	targeted_retdec_single_function	0x568c4-0x56a83
57	0x69abc	0x69c7b	447	0	447	0	r2_discovered	fcn.00069abc	9	119	21	tier0_small_native_gap	targeted_retdec_single_function	0x69abc-0x69c7b
58	0x37c20	0x37dde	446	0	446	0	r2_discovered	fcn.00037c20	2	114	0	tier0_small_native_gap	targeted_retdec_single_function	0x37c20-0x37dde
59	0x66ea2	0x67060	446	0	446	0	r2_discovered	fcn.00066ea2	5	116	15	tier0_small_native_gap	targeted_retdec_single_function	0x66ea2-0x67060
60	0x4a3b70	0x4a3d2c	444	0	444	0	r2_discovered	fcn.004a3b70	24	110	4	tier0_small_native_gap	targeted_retdec_single_function	0x4a3b70-0x4a3d2c
61	0x56b7e0	0x56b99c	444	0	444	0	native_discovered	method.std::messages_wchar_t_.virtual_24	9	127	13	tier0_small_native_gap	targeted_retdec_single_function	0x56b7e0-0x56b99c
62	0x32360	0x3251a	442	0	442	0	r2_discovered	fcn.00032360	2	118	0	tier0_small_native_gap	targeted_retdec_single_function	0x32360-0x3251a
63	0x522540	0x5226f9	441	0	441	0	native_discovered	method.std::__cxx11::time_get_char__std::istreambuf_iterator_char__std::char_traits_char_____.virtual_56	22	120	5	tier0_small_native_gap	targeted_retdec_single_function	0x522540-0x5226f9
64	0x555240	0x5553f9	441	0	441	0	native_discovered	method.std::time_get_char__std::istreambuf_iterator_char__std::char_traits_char_____.virtual_56	22	120	5	tier0_small_native_gap	targeted_retdec_single_function	0x555240-0x5553f9
65	0x50dec0	0x50e078	440	0	440	0	native_discovered	method.std::money_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_16	12	124	14	tier0_small_native_gap	targeted_retdec_single_function	0x50dec0-0x50e078
66	0x5580e0	0x558297	439	0	439	0	native_discovered	method.std::money_put_char__std::ostreambuf_iterator_char__std::char_traits_char_____.virtual_16	12	123	14	tier0_small_native_gap	targeted_retdec_single_function	0x5580e0-0x558297
67	0x59faa	0x5a160	438	0	438	0	r2_discovered	fcn.00059faa	23	110	14	tier0_small_native_gap	targeted_retdec_single_function	0x59faa-0x5a160
68	0x50ab00	0x50acb6	438	0	438	0	r2_discovered	fcn.0050ab00	21	129	10	tier0_small_native_gap	targeted_retdec_single_function	0x50ab00-0x50acb6
69	0x56bf40	0x56c0f5	437	0	437	0	native_discovered	method.std::codecvt_wchar_t__char____mbstate_t_.virtual_56	21	119	6	tier0_small_native_gap	targeted_retdec_single_function	0x56bf40-0x56c0f5
70	0x4baf6	0x4bca9	435	0	435	0	r2_discovered	fcn.0004baf6	8	94	20	tier0_small_native_gap	targeted_retdec_single_function	0x4baf6-0x4bca9
71	0x50cd40	0x50cef3	435	0	435	0	r2_discovered	fcn.0050cd40	20	127	8	tier0_small_native_gap	targeted_retdec_single_function	0x50cd40-0x50cef3
72	0x49a910	0x49aac2	434	0	434	0	r2_discovered	fcn.0049a910	13	98	10	tier0_small_native_gap	targeted_retdec_single_function	0x49a910-0x49aac2
73	0x4c5100	0x4c52b2	434	0	434	0	r2_discovered	fcn.004c5100	19	112	15	tier0_small_native_gap	targeted_retdec_single_function	0x4c5100-0x4c52b2
74	0x55ec80	0x55ee32	434	0	434	0	native_discovered	method.std::num_get_char__std::istreambuf_iterator_char__std::char_traits_char_____.virtual_80	15	113	8	tier0_small_native_gap	targeted_retdec_single_function	0x55ec80-0x55ee32
75	0x499e90	0x49a041	433	0	433	0	r2_discovered	fcn.00499e90	22	102	9	tier0_small_native_gap	targeted_retdec_single_function	0x499e90-0x49a041
76	0x4eb84	0x4ed34	432	0	432	0	r2_discovered	fcn.0004eb84	36	129	9	tier0_small_native_gap	targeted_retdec_single_function	0x4eb84-0x4ed34
77	0x568b50	0x568d00	432	0	432	0	native_discovered	method.std::__cxx11::messages_char_.virtual_32	29	121	15	tier0_small_native_gap	targeted_retdec_single_function	0x568b50-0x568d00
78	0x4ac9e0	0x4acb8f	431	0	431	0	r2_discovered	fcn.004ac9e0	29	124	6	tier0_small_native_gap	targeted_retdec_single_function	0x4ac9e0-0x4acb8f
79	0x212399	0x212547	430	0	430	0	r2_discovered	fcn.00212399	1	118	0	tier0_small_native_gap	targeted_retdec_single_function	0x212399-0x212547
80	0x4ac0d0	0x4ac27e	430	0	430	0	r2_discovered	fcn.004ac0d0	23	102	7	tier0_small_native_gap	targeted_retdec_single_function	0x4ac0d0-0x4ac27e
81	0x2293e	0x22aea	428	0	428	0	r2_discovered	fcn.0002293e	18	103	13	tier0_small_native_gap	targeted_retdec_single_function	0x2293e-0x22aea
82	0x2ccd6	0x2ce81	427	0	427	0	r2_discovered	fcn.0002ccd6	15	89	22	tier0_small_native_gap	targeted_retdec_single_function	0x2ccd6-0x2ce81
83	0x529840	0x5299eb	427	0	427	0	native_discovered	method.std::__cxx11::money_get_char__std::istreambuf_iterator_char__std::char_traits_char_____.virtual_24	15	114	8	tier0_small_native_gap	targeted_retdec_single_function	0x529840-0x5299eb
84	0x50aff0	0x50b198	424	0	424	0	native_discovered	method.std::time_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_56	24	120	5	tier0_small_native_gap	targeted_retdec_single_function	0x50aff0-0x50b198
85	0x535930	0x535ad8	424	0	424	0	native_discovered	method.std::__cxx11::time_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_56	24	120	5	tier0_small_native_gap	targeted_retdec_single_function	0x535930-0x535ad8
86	0x527483	0x52762a	423	0	423	0	r2_discovered	fcn.00527483	33	92	6	tier0_small_native_gap	targeted_retdec_single_function	0x527483-0x52762a
87	0x54d0a0	0x54d247	423	0	423	0	r2_discovered	fcn.0054d0a0	16	103	5	tier0_small_native_gap	targeted_retdec_single_function	0x54d0a0-0x54d247
88	0x6747c	0x67622	422	0	422	0	r2_discovered	fcn.0006747c	20	111	8	tier0_small_native_gap	targeted_retdec_single_function	0x6747c-0x67622
89	0x48aec0	0x48b066	422	0	422	0	r2_discovered	fcn.0048aec0	2	106	0	tier0_small_native_gap	targeted_retdec_single_function	0x48aec0-0x48b066
90	0x4f3230	0x4f33d6	422	0	422	0	r2_discovered	fcn.004f3230	18	117	1	tier0_small_native_gap	targeted_retdec_single_function	0x4f3230-0x4f33d6
91	0x542770	0x542916	422	0	422	0	r2_discovered	fcn.00542770	1	100	24	tier0_small_native_gap	targeted_retdec_single_function	0x542770-0x542916
92	0x32260	0x32405	421	0	421	0	r2_discovered	fcn.00032260	2	107	0	tier0_small_native_gap	targeted_retdec_single_function	0x32260-0x32405
93	0x69802	0x699a6	420	0	420	0	r2_discovered	fcn.00069802	6	106	22	tier0_small_native_gap	targeted_retdec_single_function	0x69802-0x699a6
94	0x4b13e0	0x4b1584	420	0	420	0	r2_discovered	fcn.004b13e0	12	113	7	tier0_small_native_gap	targeted_retdec_single_function	0x4b13e0-0x4b1584
95	0x6bd8a	0x6bf2a	416	0	416	0	r2_discovered	fcn.0006bd8a	17	118	6	tier0_small_native_gap	targeted_retdec_single_function	0x6bd8a-0x6bf2a
96	0x4ad2a0	0x4ad440	416	0	416	0	r2_discovered	fcn.004ad2a0	27	119	5	tier0_small_native_gap	targeted_retdec_single_function	0x4ad2a0-0x4ad440
97	0x61082	0x61221	415	0	415	0	r2_discovered	fcn.00061082	48	128	1	tier0_small_native_gap	targeted_retdec_single_function	0x61082-0x61221
98	0x4886f0	0x48888d	413	0	413	0	r2_discovered	fcn.004886f0	2	112	0	tier0_small_native_gap	targeted_retdec_single_function	0x4886f0-0x48888d
99	0x55620	0x557b9	409	0	409	0	r2_discovered	fcn.00055620	13	120	9	tier0_small_native_gap	targeted_retdec_single_function	0x55620-0x557b9
100	0x4ae080	0x4ae218	408	0	408	0	r2_discovered	fcn.004ae080	11	113	5	tier0_small_native_gap	targeted_retdec_single_function	0x4ae080-0x4ae218
101	0x4cd900	0x4cda96	406	0	406	0	r2_discovered	fcn.004cd900	6	126	2	tier0_small_native_gap	targeted_retdec_single_function	0x4cd900-0x4cda96
102	0x4d3af0	0x4d3c86	406	0	406	0	r2_discovered	fcn.004d3af0	15	104	10	tier0_small_native_gap	targeted_retdec_single_function	0x4d3af0-0x4d3c86
103	0x54d830	0x54d9c6	406	0	406	0	r2_discovered	fcn.0054d830	29	110	0	tier0_small_native_gap	targeted_retdec_single_function	0x54d830-0x54d9c6
104	0x552760	0x5528f6	406	0	406	0	native_discovered	method.std::collate_char_.virtual_24	14	115	12	tier0_small_native_gap	targeted_retdec_single_function	0x552760-0x5528f6
105	0x29a64	0x29bf9	405	0	405	0	r2_discovered	fcn.00029a64	7	88	20	tier0_small_native_gap	targeted_retdec_single_function	0x29a64-0x29bf9
106	0x4dfc2	0x4e155	403	0	403	0	r2_discovered	fcn.0004dfc2	19	105	10	tier0_small_native_gap	targeted_retdec_single_function	0x4dfc2-0x4e155
107	0x497ff0	0x498183	403	0	403	0	r2_discovered	fcn.00497ff0	23	101	7	tier0_small_native_gap	targeted_retdec_single_function	0x497ff0-0x498183
108	0x4ab380	0x4ab513	403	0	403	0	r2_discovered	fcn.004ab380	35	111	8	tier0_small_native_gap	targeted_retdec_single_function	0x4ab380-0x4ab513
109	0x4b53f0	0x4b5583	403	0	403	0	r2_discovered	fcn.004b53f0	35	112	1	tier0_small_native_gap	targeted_retdec_single_function	0x4b53f0-0x4b5583
110	0x489630	0x4897c0	400	0	400	0	r2_discovered	fcn.00489630	2	107	0	tier0_small_native_gap	targeted_retdec_single_function	0x489630-0x4897c0
111	0x57c4c0	0x57c64f	399	0	399	0	r2_discovered	fcn.0057c4c0	26	117	4	tier0_small_native_gap	targeted_retdec_single_function	0x57c4c0-0x57c64f
112	0x23344	0x234d2	398	0	398	0	r2_discovered	fcn.00023344	2	111	0	tier0_small_native_gap	targeted_retdec_single_function	0x23344-0x234d2
113	0x4918e	0x4931c	398	0	398	0	r2_discovered	fcn.0004918e	12	98	11	tier0_small_native_gap	targeted_retdec_single_function	0x4918e-0x4931c
114	0x4d4560	0x4d46ec	396	0	396	0	r2_discovered	fcn.004d4560	17	114	0	tier0_small_native_gap	targeted_retdec_single_function	0x4d4560-0x4d46ec
115	0x565450	0x5655dc	396	0	396	0	r2_discovered	fcn.00565450	27	102	8	tier0_small_native_gap	targeted_retdec_single_function	0x565450-0x5655dc
116	0x4985b0	0x49873b	395	0	395	0	r2_discovered	fcn.004985b0	24	95	17	tier0_small_native_gap	targeted_retdec_single_function	0x4985b0-0x49873b
117	0x5be1a	0x5bfa4	394	0	394	0	r2_discovered	fcn.0005be1a	18	105	14	tier0_small_native_gap	targeted_retdec_single_function	0x5be1a-0x5bfa4
118	0x67ede	0x68067	393	0	393	0	r2_discovered	fcn.00067ede	6	90	13	tier0_small_native_gap	targeted_retdec_single_function	0x67ede-0x68067
119	0x71a15	0x71b9e	393	0	393	0	r2_discovered	fcn.00071a15	26	106	13	tier0_small_native_gap	targeted_retdec_single_function	0x71a15-0x71b9e
120	0x491e50	0x491fd9	393	0	393	0	r2_discovered	fcn.00491e50	15	101	2	tier0_small_native_gap	targeted_retdec_single_function	0x491e50-0x491fd9
121	0x30c30	0x30db8	392	0	392	0	r2_discovered	fcn.00030c30	2	100	0	tier0_small_native_gap	targeted_retdec_single_function	0x30c30-0x30db8
122	0x2620b	0x26392	391	0	391	0	r2_discovered	fcn.0002620b	13	108	10	tier0_small_native_gap	targeted_retdec_single_function	0x2620b-0x26392
123	0x488d00	0x488e87	391	0	391	0	r2_discovered	fcn.00488d00	3	106	0	tier0_small_native_gap	targeted_retdec_single_function	0x488d00-0x488e87
124	0x5515b0	0x551735	389	0	389	0	r2_discovered	fcn.005515b0	15	123	8	tier0_small_native_gap	targeted_retdec_single_function	0x5515b0-0x551735
125	0x33be0	0x33d64	388	0	388	0	r2_discovered	fcn.00033be0	2	98	0	tier0_small_native_gap	targeted_retdec_single_function	0x33be0-0x33d64
126	0x564190	0x564314	388	0	388	0	native_discovered	method.__cxxabiv1::__vmi_class_type_info.virtual_56	19	92	2	tier0_small_native_gap	targeted_retdec_single_function	0x564190-0x564314
127	0x565720	0x5658a3	387	0	387	0	symbol_named	sym.__cxa_free_dependent_exception	31	102	7	tier0_small_native_gap	targeted_retdec_single_function	0x565720-0x5658a3
128	0x4b1ac0	0x4b1c41	385	0	385	0	r2_discovered	fcn.004b1ac0	26	109	9	tier0_small_native_gap	targeted_retdec_single_function	0x4b1ac0-0x4b1c41
129	0x27c71	0x27df1	384	0	384	0	r2_discovered	fcn.00027c71	19	117	3	tier0_small_native_gap	targeted_retdec_single_function	0x27c71-0x27df1
130	0x4b2e6	0x4b465	383	0	383	0	r2_discovered	fcn.0004b2e6	1	57	6	tier0_small_native_gap	targeted_retdec_single_function	0x4b2e6-0x4b465
131	0x5c136	0x5c2b5	383	0	383	0	r2_discovered	fcn.0005c136	31	133	10	tier0_small_native_gap	targeted_retdec_single_function	0x5c136-0x5c2b5
132	0x5c2b6	0x5c435	383	0	383	0	r2_discovered	fcn.0005c2b6	31	133	10	tier0_small_native_gap	targeted_retdec_single_function	0x5c2b6-0x5c435
133	0x5143e0	0x51455f	383	0	383	0	native_discovered	method.std::money_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_24	12	104	8	tier0_small_native_gap	targeted_retdec_single_function	0x5143e0-0x51455f
134	0x61d90	0x61f0e	382	0	382	0	r2_discovered	fcn.00061d90	28	111	4	tier0_small_native_gap	targeted_retdec_single_function	0x61d90-0x61f0e
135	0x55ead0	0x55ec4e	382	0	382	0	native_discovered	method.std::money_get_char__std::istreambuf_iterator_char__std::char_traits_char_____.virtual_24	12	103	8	tier0_small_native_gap	targeted_retdec_single_function	0x55ead0-0x55ec4e
136	0x497e60	0x497fdd	381	0	381	0	r2_discovered	fcn.00497e60	7	73	4	tier0_small_native_gap	targeted_retdec_single_function	0x497e60-0x497fdd
137	0x5422a	0x543a6	380	0	380	0	r2_discovered	fcn.0005422a	13	113	7	tier0_small_native_gap	targeted_retdec_single_function	0x5422a-0x543a6
138	0x48c190	0x48c30c	380	0	380	0	r2_discovered	fcn.0048c190	2	99	0	tier0_small_native_gap	targeted_retdec_single_function	0x48c190-0x48c30c
139	0x54d560	0x54d6dc	380	0	380	0	r2_discovered	fcn.0054d560	10	74	2	tier0_small_native_gap	targeted_retdec_single_function	0x54d560-0x54d6dc
140	0x61792	0x6190c	378	0	378	0	r2_discovered	fcn.00061792	16	101	7	tier0_small_native_gap	targeted_retdec_single_function	0x61792-0x6190c
141	0x4ff270	0x4ff3e8	376	0	376	0	r2_discovered	fcn.004ff270	14	110	10	tier0_small_native_gap	targeted_retdec_single_function	0x4ff270-0x4ff3e8
142	0x5010e0	0x501258	376	0	376	0	r2_discovered	fcn.005010e0	14	110	10	tier0_small_native_gap	targeted_retdec_single_function	0x5010e0-0x501258
143	0x2247e	0x225f5	375	0	375	0	r2_discovered	fcn.0002247e	7	80	19	tier0_small_native_gap	targeted_retdec_single_function	0x2247e-0x225f5
144	0x327a0	0x32917	375	0	375	0	r2_discovered	fcn.000327a0	2	101	0	tier0_small_native_gap	targeted_retdec_single_function	0x327a0-0x32917
145	0x36b64	0x36cda	374	0	374	0	r2_discovered	fcn.00036b64	20	117	8	tier0_small_native_gap	targeted_retdec_single_function	0x36b64-0x36cda
146	0x4b51a	0x4b690	374	0	374	0	r2_discovered	fcn.0004b51a	6	79	10	tier0_small_native_gap	targeted_retdec_single_function	0x4b51a-0x4b690
147	0x71d34	0x71eaa	374	0	374	0	r2_discovered	fcn.00071d34	2	101	0	tier0_small_native_gap	targeted_retdec_single_function	0x71d34-0x71eaa
148	0x4c5bd0	0x4c5d45	373	0	373	0	r2_discovered	fcn.004c5bd0	18	93	10	tier0_small_native_gap	targeted_retdec_single_function	0x4c5bd0-0x4c5d45
149	0x4ea160	0x4ea2d5	373	0	373	0	r2_discovered	fcn.004ea160	21	100	0	tier0_small_native_gap	targeted_retdec_single_function	0x4ea160-0x4ea2d5
150	0x548780	0x5488f5	373	0	373	0	r2_discovered	fcn.00548780	17	108	8	tier0_small_native_gap	targeted_retdec_single_function	0x548780-0x5488f5
151	0x48e480	0x48e5f4	372	0	372	0	r2_discovered	fcn.0048e480	8	98	15	tier0_small_native_gap	targeted_retdec_single_function	0x48e480-0x48e5f4
152	0x4d2690	0x4d2804	372	0	372	0	r2_discovered	fcn.004d2690	10	86	10	tier0_small_native_gap	targeted_retdec_single_function	0x4d2690-0x4d2804
153	0x50cac0	0x50cc34	372	0	372	0	r2_discovered	fcn.0050cac0	24	107	0	tier0_small_native_gap	targeted_retdec_single_function	0x50cac0-0x50cc34
154	0x2d980	0x2daf3	371	0	371	0	r2_discovered	fcn.0002d980	2	96	0	tier0_small_native_gap	targeted_retdec_single_function	0x2d980-0x2daf3
155	0x549ac	0x54b1f	371	0	371	0	r2_discovered	fcn.000549ac	18	103	3	tier0_small_native_gap	targeted_retdec_single_function	0x549ac-0x54b1f
156	0x55c6e	0x55de1	371	0	371	0	r2_discovered	fcn.00055c6e	18	103	3	tier0_small_native_gap	targeted_retdec_single_function	0x55c6e-0x55de1
157	0x59cd2	0x59e45	371	0	371	0	r2_discovered	fcn.00059cd2	22	113	4	tier0_small_native_gap	targeted_retdec_single_function	0x59cd2-0x59e45
158	0x50c440	0x50c5b3	371	0	371	0	r2_discovered	fcn.0050c440	13	95	11	tier0_small_native_gap	targeted_retdec_single_function	0x50c440-0x50c5b3
159	0x4fd550	0x4fd6c1	369	0	369	0	native_discovered	method.std::basic_filebuf_char__std::char_traits_char___.virtual_88	19	84	4	tier0_small_native_gap	targeted_retdec_single_function	0x4fd550-0x4fd6c1
160	0x4c87e	0x4c9ee	368	0	368	0	r2_discovered	fcn.0004c87e	30	97	6	tier0_small_native_gap	targeted_retdec_single_function	0x4c87e-0x4c9ee
