program	case_state	status	block	row_count	terminal_kind	successor_vm_ip	successor_entry	edge_kind	edge_delta	edge_semantic_ir	raw_bytes_0_5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	observed_pre_state	observed_pre_flags	observed_pre_byte	observed_first_target_entry	trace_observations	trace_with_pre_state	reduction	missing
016	0x121b31	ready_for_mba_reduction	80	90	exact_instruction	0x121c83	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100	0x4 0x1 0xd 0xf 0xc3 0xbf	0x104	0xd01	0xf0d	0xbfc3	0x3a832db5	0xaafb2e95		260	12	1	concrete_successor_edge	
016	0x121c91	ready_for_mba_reduction	81	150	exact_instruction	0x121ec6	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100	0x33 0x1 0x3a 0xd 0xb0 0xef	0x133	0x3a01	0xd3a	0xefb0	0x105528fa	0x3bd24ca8		307	12	1	concrete_successor_edge	
016	0x121ed4	ready_for_mba_reduction	82	79	long_branch_forward	0x122074	354	decoded_control	+0x77	next = table[354], ip += 0x77	0x42 0x0 0x19 0x98 0x3a 0x5b	0x42	0x1900	0x9819	0x5b3a	0xf9955f7f	0x124c7dc5		66	12	1	concrete_successor_edge	
