source_entry	opcode_name	problem_kind	variables	constants	constant_count	operator_summary	requires_state	requires_flags	requires_operands	state_formula	dispatch_formula
91	vmop_091_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff	1	mask32:1;&:1;^:3	1	0	u16_0	state0 ^ u16_0 ^ state0	128=(mask32(u16_0 ^ state0)) & 0xffff
92	vmop_092_plus0x4_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0;u16_2	0xffff;0x1002fee7;0x2efa2a96;0x39591837;0x604aa997	5	mask32:18;&:5;|:15;^:9;+:10	1	1	u16_0,u16_2	state0 & u16_2 ^ state0 ^ flags0 | 0x39591837 | flags0 | 0x39591837 | 0x1002fee7 + 0x2efa2a96 ^ u16_0 + state0 & u16_2 ^ state0 ^ flags0 | 0x39591837 | flags0 | 0x39591837 | 0x1002fee7 + 0x2efa2a96 + 0x604aa997	84=(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_2 ^ state0)) ^ (mask32(flags0 | 0x39591837)))))) | (mask32(flags0 | 0x39591837)))) | 0x1002fee7)) + 0x2efa2a96)))) + 0...#6dc3d486c873 | 44=(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_2 ^ state0)) ^ flags0)))) | flags0)) | 0x1002fee7)) + 0x2efa2a96)))) + 0x604aa997)) & 0xffff
94	vmop_094_plus0x5_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_1	0xffff;0x23f8268c;0x551fa912;0x7af574e5	4	mask32:9;&:7;|:3;^:8;+:9;-:1	1	1	u16_1	state0 & flags0 ^ state0 + 0x551fa912 & 0x7af574e5 + flags0 ^ state0 + 0x551fa912 | 0x23f8268c - u16_1 ^ state0 & flags0 ^ state0 + 0x551fa912 & 0x7af574e5 + flags0 ^ state0 + 0x551fa912 | 0x23f8268c	74=(mask32(u16_1 ^ (mask32((mask32((mask32(state0 & (mask32((mask32(flags0 ^ (mask32(state0 + 0x551fa912)))) & 0x7af574e5)))) + (mask32(flags0 ^ (mask32(state0 + 0x551fa912)))))) | 0x23f8268c)))) & 0xffff
95	vmop_095_plus0xa_state_preserve_slot_mba_stateful	algebraic_mba	state0;u16_4	0xffff;0x1f18e1aa	2	mask32:1;&:1;^:1;+:2	1	0	u16_4	state0 ^ u16_4 + 0x1f18e1aa	92=(mask32(u16_4 + 0x1f18e1aa)) & 0xffff
99	vmop_099_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_1	0xffff;0x48503105	2	mask32:2;&:2;^:2;-:2	1	0	u16_1	state0 & u16_1 ^ state0 - 0x48503105	128=(mask32((mask32(u16_1 ^ state0)) - 0x48503105)) & 0xffff
101	vmop_101_plus0xd_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_11	0xffff;0x44422ebb	2	mask32:2;&:2;^:4	1	0	u16_11	state0 & u16_11 ^ state0 ^ 0x44422ebb	1=(mask32((mask32(u16_11 ^ state0)) ^ 0x44422ebb)) & 0xffff
102	vmop_102_plus0xd_state_preserve_slot_mba_stateful	algebraic_mba	state0;u16_11	0xffff;0x7b88d4e3	2	mask32:2;&:1;+:2	1	0	u16_11	state0	64=(mask32((mask32(u16_11 + state0)) + 0x7b88d4e3)) & 0xffff
107	vmop_107_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff	1	mask32:1;&:1;^:2;-:1	1	0	u16_0	state0 - u16_0 ^ state0	128=(mask32(u16_0 ^ state0)) & 0xffff
108	vmop_108_plus0x2_state_add_const_slot_mba_stateful	algebraic_mba	flags0;state0;u16_0	0xffff;0x11961dc7;0x36f124db;0x5fa19cc7	4	mask32:5;&:1;^:3;+:3;-:2	1	1	u16_0	state0 + 0x11961dc7 ^ 0x5fa19cc7 - flags0	128=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32(state0 + 0x11961dc7)) ^ 0x5fa19cc7)) - flags0)))) + 0x36f124db)) & 0xffff
112	vmop_112_plus0x5_state_formula_slot_unknown	dispatch_unknown	flags0;state0;u16_3	0x7d6325a;0x1340e310;0x25637e96;0x26dc7059;0x2aab3c50;0x2bd71820;0x2d8111d9;0x40561547;0x488765f3	9	&:22;|:4;^:12;+:15;-:9	1	1	u16_3	state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 | flags0 & state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 & 0x25637e96 | 0x488765f3 + state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 + 0x2aab3c50 ^ state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 + 0x7d6325a & 0x26dc7059 ^ u16_3 ^ state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 | flags0 & state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 & 0x25637e96 | 0x488765f3 + state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 + 0x2aab3c50 ^ state0 & flags0 ^ 0x40561547 - flags0 & 0x1340e310 + 0x2d8111d9 + 0x7d6325a & 0x26dc7059 + 0x2bd71820	dispatch slot expression not recovered; use per-row target evidence when available
114	vmop_114_plus0x4_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0;u16_2	0x662844c;0xfc7215c;0x1c8b6fee;0x257a9d7d;0x292b555d;0x3b2cb159;0x3dca653f;0x48367f78;0x63bb548f;0x665346b9;0x667e49d1;0x671da5f4;0x6729b5bf;0x6b040388;0x7bdaf9d9	15	mask32:27;&:33;|:15;^:36;+:29;-:22	1	1	u16_0,u16_2	state0 ^ flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x48367f78 ^ 0x63bb548f + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x292b555d ^ u16_2 + state0 ^ flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x48367f78 ^ 0x63bb548f + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x292b555d + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 - 0x3b2cb159 & 0xfc7215c & 0x662844c - 0x7bdaf9d9 ^ 0x257a9d7d ^ 0x665346b9 + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 - 0x3b2cb159 & 0xfc7215c & 0x662844c - 0x7bdaf9d9 ^ 0x257a9d7d ^ 0x665346b9 & 0x1c8b6fee ^ 0x6b040388 - u16_0 + state0 ^ flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x48367f78 ^ 0x63bb548f + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x292b555d ^ u16_2 + state0 ^ flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x48367f78 ^ 0x63bb548f + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 & 0x292b555d + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 - 0x3b2cb159 & 0xfc7215c & 0x662844c - 0x7bdaf9d9 ^ 0x257a9d7d ^ 0x665346b9 + flags0 & state0 | 0x6729b5bf - 0x3dca653f ^ 0x671da5f4 + state0 - 0x3b2cb159 & 0xfc7215c & 0x662844c - 0x7bdaf9d9 ^ 0x257a9d7d ^ 0x665346b9 & 0x1c8b6fee ^ 0x6b040388 + 0x667e49d1	51=(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) + state0)) & 0x48367f78)))) ^ 0x63bb548f)) + (mask32((mas...#c641ff3c3e67 | 36=(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 ^ (mask32((mask32((mask32((mask32((mask32(flags0 & (mask32(state0 | 0x6729b5bf)))) - 0x3dca653f)) ^ 0x671da5f4)) + state0)) ...#2b79eeb26734
117	vmop_117_minus0x40_sampled_backedge_slot_unknown	dispatch_unknown	state0		0	-:1	1	0		state0	dispatch slot expression not recovered; use per-row target evidence when available
118	vmop_118_plus0x3_state_formula_slot_mba_stateful	algebraic_mba	state0;u16_1	0xffff;0x52d3aa4	2	mask32:2;&:2;^:2;-:2	1	0	u16_1	state0 & u16_1 ^ state0 - 0x52d3aa4	128=(mask32((mask32(u16_1 ^ state0)) - 0x52d3aa4)) & 0xffff
119	vmop_119_plus0x6_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_4	0xffff;0x7e7974a5	2	mask32:2;&:1;|:1;^:2;+:2	1	0	u16_4	state0 | u16_4 ^ state0 + 0x7e7974a5	128=(mask32((mask32(u16_4 ^ state0)) + 0x7e7974a5)) & 0xffff
121	vmop_121_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	flags0;state0;u16_0;u16_2	0x288d43ba;0x3154e54a	2	mask32:11;^:5;+:8;-:5	1	1	u16_0,u16_2	state0 ^ flags0 + 0x3154e54a - 0x288d43ba + u16_0 + state0 ^ flags0 + 0x3154e54a - 0x288d43ba - flags0	128=(mask32((mask32(u16_2 ^ (mask32((mask32((mask32(state0 ^ (mask32(flags0 + 0x3154e54a)))) - 0x288d43ba)) + (mask32((mask32(u16_0 + (mask32((mask32(state0 ^ (mask32(flags0 + 0x3154e54a)))) - 0x288d43ba))))...#16d4adea9152
122	vmop_122_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	flags0;state0;u16_0	0xffff;0x1af9be18	2	mask32:3;&:1;+:7;-:1	1	1	u16_0	state0 + flags0 - u16_0 + state0 + flags0 + 0x1af9be18	121=(mask32((mask32(u16_0 + (mask32(state0 + flags0)))) + 0x1af9be18)) & 0xffff
123	vmop_123_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff;0x1603b0a9;0x3da77425	3	mask32:3;&:1;^:2;+:3;-:3	1	0	u16_0	state0 + 0x3da77425 - u16_0 - state0 + 0x3da77425 ^ 0x1603b0a9	128=(mask32((mask32(u16_0 - (mask32(state0 + 0x3da77425)))) ^ 0x1603b0a9)) & 0xffff
124	vmop_124_plus0x6_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_4	0x2bb25e3;0x2c2f20af;0x3654c1a7;0x50ef8024;0x57b29524;0x7c31e804	6	mask32:26;&:2;|:15;^:33;+:30;-:48	1	1	u16_4	state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 & u32_0 - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 - u16_4 + state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 & u32_0 - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 + flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ flags0 + 0x57b29524 - 0x2c2f20af - state0 - 0x7c31e804 ^ flags0 + 0x57b29524 - 0x2c2f20af ^ 0x2bb25e3 | 0x50ef8024 ^ 0x3654c1a7	71=(mask32((mask32(u16_4 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ flags0)) ^ 0x2bb25e3)) | 0x50ef8024)) + (mask32(flags0 - (mask32((mask32((mask32((mask32(state0 - 0...#a71fad2f15d8 | 57=(mask32((mask32(u16_4 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - 0x7c31e804)) ^ (mask32((mask32(flags0 + 0x57b29524)) - 0x2c2f20af)))) ^ 0x2bb25e3)) | 0x50ef8024)) + (mask32((mask...#eb1d9ab33bed
125	vmop_125_plus0x5_state_formula_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff;0x7b275316	2	mask32:2;&:2;+:2;-:2	1	0	u16_0	state0 & u16_0 + state0 - 0x7b275316	19=(mask32((mask32(u16_0 + state0)) - 0x7b275316)) & 0xffff
127	vmop_127_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff;0xf376a6a	2	mask32:2;&:1;|:1;+:2;-:2	1	0	u16_0	state0 | u16_0 - state0 + 0xf376a6a	128=(mask32((mask32(u16_0 - state0)) + 0xf376a6a)) & 0xffff
128	vmop_128_plus0x5_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_1;u16_3	0x38cd3a;0x46f37ee;0x1a4f949c;0x277b426c;0x32c25a60;0x36a392ff;0x38cd3aec;0x46f37ee7;0x4e6b72c6;0x539da50e;0x57b04ce2;0x63f5af32;0x7036ea56;0x706a6a76;0x7b467141	15	mask32:26;&:19;|:13;^:10;+:17;-:24	1	1	u16_1,u16_3	state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec - u16_1 + state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec + flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 - 0x1a4f949c - 0x4e6b72c6 | 0x7b467141 & u16_3 ^ state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec - u16_1 + state0 & flags0 & 0x7036ea56 + 0x277b426c - 0x57b04ce2 - flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 | 0x36a392ff | 0x38cd3aec + flags0 ^ 0x46f37ee7 & 0x706a6a76 - 0x32c25a60 + 0x63f5af32 - 0x1a4f949c - 0x4e6b72c6 | 0x7b467141 + 0x539da50e	109=(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32(flags0 | 0x36a392ff)))) | 0x38cd3a...#ecd27d758938 | 19=(mask32((mask32(u16_3 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 & 0x7036ea56)))) + 0x277b426c)) - 0x57b04ce2)) - (mask32((mask32((mask32(flags0 ^ 0x46f37ee...#07008f725ecb
129	vmop_129_plus0x3_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0	0x63b683d;0x14f8aa88;0x3f4e9109;0x42c8b2fa;0x5d5f2ae2;0x5f119f37;0x77ecded8	7	mask32:13;&:9;|:6;+:18;-:6	1	1	u16_0	state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 + flags0 + state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 - 0x42c8b2fa - 0x3f4e9109 + 0x5d5f2ae2 & 0x63b683d & u16_0 - state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 + flags0 + state0 & flags0 | 0x77ecded8 + 0x14f8aa88 + 0x5f119f37 - 0x42c8b2fa - 0x3f4e9109 + 0x5d5f2ae2 & 0x63b683d	128=(mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 | 0x77ecded8)))) + 0x14f8aa88)) + 0x5f119f37)) + (mask32(flags0 + (mask32((mask32((mask32((mask32(state0 & (mask32(flags0 |...#9cf512e1edb8
130	vmop_130_plus0x5_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0	0xffff;0x3941798;0x1b3f106e;0x3a044344;0x42718c2a;0x5121ff33	6	mask32:9;&:4;|:4;+:13;-:10	1	1	u16_0	state0 | flags0 - state0 + 0x42718c2a + flags0 - state0 + 0x42718c2a + 0x3941798 - 0x1b3f106e & 0x3a044344 | u16_0 + state0 | flags0 - state0 + 0x42718c2a + flags0 - state0 + 0x42718c2a + 0x3941798 - 0x1b3f106e & 0x3a044344 - 0x5121ff33	4=(mask32((mask32(u16_0 + (mask32((mask32(state0 | (mask32(flags0 - (mask32(state0 + 0x42718c2a)))))) + (mask32((mask32(flags0 - (mask32(state0 + 0x42718c2a)))) & 0x3a044344)))))) - 0x5121ff33)) & 0xffff
131	vmop_131_plus0x5_state_formula_slot_multi_path	algebraic_mba	flags0;state0;u16_1	0x43;0x8fb57c3;0x95703a1;0xea909d9;0x1d802c44;0x1ec4fc3d;0x248dd823;0x4382f497;0x45a18ca4;0x4674713d;0x7099ef27;0x75229706	12	mask32:27;|:16;^:18;+:17;-:34	1	1	u16_1	state0 | 0x8fb57c3 - 0x45a18ca4 | flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - u16_1 + state0 | 0x8fb57c3 - 0x45a18ca4 | flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 - flags0 + 0x75229706 - 0x1ec4fc3d - state0 | 0x8fb57c3 + 0x4674713d ^ 0x4382f497 - 0x95703a1 ^ 0xea909d9 ^ 0x7099ef27 - 0x248dd823 ^ 0x1d802c44	10=(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 | 0x8fb57c3)) - 0x45a18ca4)) | (mask32((mask32((mask32((mask32(flags0 - (mask32((mask32(state0 | 0x8fb57c3)) + 0x4674713d)))) ^ 0x43...#ccaf3278b018 | 4=(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32((mask32(state0 | 0x8fb57c3)) - 0x45a18ca4)) | (mask32((mask32((mask32((mask32((mask32((mask32(flags0 + 0x75229706)) - 0x1ec4fc3d)) - (mask32((mask3...#f1a7c3008f2e
136	vmop_136_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff;0x2eae4eac	2	mask32:2;&:1;|:1;^:2;-:2	1	0	u16_0	state0 | u16_0 ^ state0 - 0x2eae4eac	2=(mask32((mask32(u16_0 ^ state0)) - 0x2eae4eac)) & 0xffff
140	vmop_140_plus0x6_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0	0xffff;0xf17c331;0x16a9ca8c;0x6e089feb;0x6f549f79	5	mask32:13;&:2;|:9;^:6;+:1;-:11	1	1	u16_0	state0 - flags0 - 0x6f549f79 - state0 | 0xf17c331 | 0x16a9ca8c + u16_0 ^ state0 - flags0 - 0x6f549f79 - state0 | 0xf17c331 | 0x16a9ca8c ^ 0x6e089feb	112=(mask32((mask32(u16_0 ^ (mask32(state0 - (mask32((mask32(flags0 - (mask32(state0 | 0xf17c331)))) | 0x16a9ca8c)))))) ^ 0x6e089feb)) & 0xffff | 16=(mask32((mask32(u16_0 ^ (mask32(state0 - (mask32((mask32((mask32(flags0 - 0x6f549f79)) - (mask32(state0 | 0xf17c331)))) | 0x16a9ca8c)))))) ^ 0x6e089feb)) & 0xffff
142	vmop_142_plus0xa_state_formula_slot_unknown	dispatch_unknown	flags0;state0;u16_8	0x18594029;0x295d79d4;0x2968389e;0x2de9e0a2;0x2ed5a434;0x2fd9e422;0x56d385ee;0x5f23a362;0x5f9390ae;0x6209aa88;0x6a70639e;0x7e4feaa1	12	|:36;^:86;+:10;-:15	1	1	u16_8	state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae ^ 0x6209aa88 + u32_0 ^ state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae ^ 0x6209aa88 + flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 ^ state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae | 0x2fd9e422 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae + 0x56d385ee ^ flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 ^ state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae | 0x2fd9e422 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 + 0x295d79d4 | 0x6a70639e - 0x2ed5a434 | flags0 | state0 ^ flags0 ^ 0x7e4feaa1 ^ 0x2968389e ^ 0x2de9e0a2 - 0x5f23a362 ^ 0x5f9390ae + 0x56d385ee - 0x18594029 - u16_8	dispatch slot expression not recovered; use per-row target evidence when available
144	vmop_144_plus0x2_state_mixed_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff;0x1d022eee;0x2f1222e2;0x61f88068;0x6367b3dd	5	mask32:5;&:8;^:5;-:2	1	0	u16_0	state0 & 0x61f88068 & 0x1d022eee ^ 0x6367b3dd & u16_0 ^ state0 & 0x61f88068 & 0x1d022eee ^ 0x6367b3dd - 0x2f1222e2	128=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32(state0 & 0x61f88068)) & 0x1d022eee)) ^ 0x6367b3dd)))) - 0x2f1222e2)) & 0xffff
145	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	dispatch_unknown	state0		0	-:1	1	0		state0	dispatch slot expression not recovered; use per-row target evidence when available
146	vmop_146_plus0x5_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_1;u16_3	0xffff;0xa6d4251;0x2cff1885;0x2e312e01;0x409c2e61;0x4a5b7e16;0x7d882664	7	mask32:20;&:10;|:1;^:14;+:17;-:3	1	1	u16_1,u16_3	state0 + flags0 ^ 0x2e312e01 & flags0 & 0xa6d4251 ^ 0x409c2e61 + 0x7d882664 + 0x4a5b7e16 ^ u16_3 + flags0 & 0xa6d4251 ^ 0x409c2e61 ^ u16_1 - state0 + flags0 ^ 0x2e312e01 & flags0 & 0xa6d4251 ^ 0x409c2e61 + 0x7d882664 + 0x4a5b7e16 ^ u16_3 + flags0 & 0xa6d4251 ^ 0x409c2e61 + 0x2cff1885	99=(mask32((mask32(u16_1 - (mask32((mask32((mask32((mask32((mask32(state0 + flags0)) ^ 0x2e312e01)) & (mask32(flags0 + 0x7d882664)))) + 0x4a5b7e16)) ^ (mask32(u16_3 + flags0)))))) + 0x2cff1885)) & 0xffff | 29=(mask32((mask32(u16_1 - (mask32((mask32((mask32((mask32((mask32(state0 + flags0)) ^ 0x2e312e01)) & (mask32((mask32((mask32(flags0 & 0xa6d4251)) ^ 0x409c2e61)) + 0x7d882664)))) + 0x4a5b7e16)) ^ (mask32(u1...#f74cf8f6b8fa
148	vmop_148_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	flags0;state0;u16_3	0xffff;0x502e5379	2	mask32:3;&:3;^:1;-:1	1	1	u16_3	state0 & flags0	105=(mask32((mask32(u16_3 - (mask32(state0 & flags0)))) ^ 0x502e5379)) & 0xffff
151	vmop_151_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	flags0;state0;u16_3	0xffff;0x77236c60	2	mask32:3;&:1;^:1;+:7	1	1	u16_3	state0 + flags0 ^ u16_3 + state0 + flags0 + 0x77236c60	34=(mask32((mask32(u16_3 + (mask32(state0 + flags0)))) + 0x77236c60)) & 0xffff
153	vmop_153_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff;0x6f642592	2	mask32:2;&:1;^:2;+:1;-:2	1	0	u16_0	state0 + u16_0 - state0 ^ 0x6f642592	10=(mask32((mask32(u16_0 - state0)) ^ 0x6f642592)) & 0xffff
