source_entry	source_target	path_hash	source_class	source_branch_profile	source_branch_gpr_profile	events	target_pct	ip_pct	sample_expr_events	sample_expr_target_pct	slot_expr	ip_advance	operand_layout	state_ir	flag_ir	top_actual_targets	path	validation
268	0xb0007	c1e3dfd197d904df	static_validated	256/768 unknown branches (33.3%): derived_live_in:256	0/768 unknown branches (0.0%): 	405	100.0	100.0	17	100.0	17=(mask32((mask32(u16_2 - (mask32((mask32((mask32((mask32(state0 | 0x71bd1bb1)) + (mask32((mask32(u16_0 - (mask32(state0 | 0x71bd1bb1)))) - flags0)))) & (mask32(flags0 + 0x33c0c75b)))) | (mask32(flags0 + 0x33c0c75b)))))) + 0x73efcc77)) & 0xffff	17=0x4	b0=var247(top=0x4a:3.3%);b1=var251(top=0x1c:6.8%);b2=var127(top=0x3e:4.0%);b3=var202(top=0x6c:7.2%)	0xb0087: state or= state0 | 0x71bd1bb1 | 0xb0155: state add= state0 | 0x71bd1bb1 + u16_0 - state0 | 0x71bd1bb1 - flags0 | 0xb02c5: state and= state0 | 0x71bd1bb1 + u16_0 - state0 | 0x71bd1bb1 - flags0 & flags0 + 0x33c0c75b & 0x174c40ef - 0x554d11ee & 0x30ef8696 | 0xb034b: state or= state0 | 0x71bd1bb1 + u16_0 - state0 | 0x71bd1bb1 - flags0 & flags0 + 0x33c0c75b & 0x174c40ef - 0x554d11ee & 0x30ef8696 | flags0 + 0x33c0c75b & 0x174c40ef - 0x554d11ee & 0x30ef8696 + 0x12696b26 | 0xb0422: state xor= state0 | 0x71bd1bb1 + u16_0 - state0 | 0x71bd1bb1 - flags0 & flags0 + 0x33c0c75b & 0x174c40ef - 0x554d11ee & 0x30ef8696 | fl...#f0a52f44cbc7	0xb017a: flags add= flags0 + 0x33c0c75b | 0xb0228: flags and= flags0 + 0x33c0c75b & 0x174c40ef | 0xb023a: flags sub= flags0 + 0x33c0c75b & 0x174c40ef - 0x554d11ee | 0xb0284: flags and= flags0 + 0x33c0c75b & 0x174c40ef - 0x554d11ee & 0x30ef8696 | 0xb0317: flags add= flags0 + 0x33c0c75b & 0x174c40ef - 0x554d11ee & 0x30ef8696 + 0x12696b26	28@0x7e390:78,337@0xbec0e:41,332@0xbd36d:26,154@0x97ce6:25,26@0x7dbbb:19,114@0x90319:18,189@0x9e7af:15,18@0x7be9b:15	0xb01e9:je:1;0xb0218:je:1;0xb026a:je:1;0xb029a:je:0;0xb02eb:je:0;0xb0307:je:1	target=100.0%, ip=100.0%, ok:405
305	0xb78b0	ec1b94f05ced6b81	static_validated	256/1024 unknown branches (25.0%): live_in_reg:128,unknown_frame_field:128	0/1024 unknown branches (0.0%): 	398	100.0	100.0	27	100.0	27=(mask32(u16_0 + state0)) & 0xffff	27=0x4	b0=var237(top=0x40:4.1%);b1=var225(top=0x09:3.5%);b2=0xe8;b3=0x01	0xb7b55: state and= state0 & u16_0 + state0	0xb78d4: flags and= flags0 & state0 | 0xb7934: flags and= flags0 & state0 & 0x14763e0c | 0xb7945: flags add= flags0 & state0 & 0x14763e0c + 0x47fe8c0b	157@0x98a9a:72,203@0xa1484:72,340@0xbf435:32,347@0xc088d:31,196@0x9fbcd:26,43@0x8173d:24,258@0xadf2c:21,64@0x85059:19	0xb78db:je:0;0xb7924:je:0;0xb7978:jne:1;0xb7988:jne:1;0xb79a8:je:0;0xb79b7:je:0;0xb7a13:je:0;0xb7a4c:je:0	target=100.0%, ip=100.0%, ok:398
83	0x8947b	51cc8bda8af23024	static_validated	0/512 unknown branches (0.0%): 	0/512 unknown branches (0.0%): 	397	100.0	100.0	69	100.0	69=(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32(state0 & 0x122d7f19)) | flags0)) + 0x60e2eab8)) - 0x34a4c404)))) ^ 0x4b7ebb84)) & 0xffff	69=0x5	b0=var179(top=0xa8:5.0%);b1=var175(top=0x19:9.8%);b2=0x00;b3=0x3d;b4=0x01	0x8948f: state and= state0 & 0x122d7f19 | 0x8956c: state or= state0 & 0x122d7f19 | flags0 | 0x895c5: state add= state0 & 0x122d7f19 | flags0 + 0x60e2eab8 | 0x8961a: state sub= state0 & 0x122d7f19 | flags0 + 0x60e2eab8 - 0x34a4c404 | 0x897e6: state sub= state0 & 0x122d7f19 | flags0 + 0x60e2eab8 - 0x34a4c404 - u16_0 + state0 & 0x122d7f19 | flags0 + 0x60e2eab8 - 0x34a4c404 ^ 0x4b7ebb84	0x89602: flags xor= flags0 ^ 0xe368451 | 0x89613: flags sub= flags0 ^ 0xe368451 - 0x1f36e121	173@0x9ba74:137,160@0x994cf:55,108@0x8f24b:53,256@0xad849:38,352@0xc1ec4:33,198@0xa037e:32,257@0xadbfd:31,144@0x95887:18	0x895f2:je:1;0x8963c:je:0;0x89666:je:1;0x896a4:je:0	target=100.0%, ip=100.0%, ok:397
239	0xa991e	5b37691aa2424c6a	static_validated	128/384 unknown branches (33.3%): live_in_reg:128	0/384 unknown branches (0.0%): 	391	100.0	100.0	42	100.0	42=(mask32((mask32(u16_4 + (mask32((mask32((mask32((mask32(state0 + 0x40a7aa16)) + flags0)) & 0x39d16b3e)) & (mask32(u32_0 - (mask32((mask32((mask32(state0 + 0x40a7aa16)) + flags0)) & 0x39d16b3e)))))))) - 0x3650a0ae)) & 0xffff	42=0x6	b0=var140(top=0x2a:5.5%);b1=var65(top=0x02:11.2%);b2=var36(top=0xc1:13.6%);b3=var23(top=0x21:15.7%);b4=var72(top=0xbe:8.8%);b5=var29(top=0xa6:21.0%)	0xa9928: state add= state0 + 0x40a7aa16 | 0xa9946: state add= state0 + 0x40a7aa16 + flags0 | 0xa99b0: state and= state0 + 0x40a7aa16 + flags0 & 0x39d16b3e | 0xa9b0c: state and= state0 + 0x40a7aa16 + flags0 & 0x39d16b3e & u32_0 - state0 + 0x40a7aa16 + flags0 & 0x39d16b3e | 0xa9c99: state sub= state0 + 0x40a7aa16 + flags0 & 0x39d16b3e & u32_0 - state0 + 0x40a7aa16 + flags0 & 0x39d16b3e - u16_4 + state0 + 0x40a7aa16 + flags0 & 0x39d16b3e & u32_0 - state0 + 0x40a7aa16 + flags0 & 0x39d16b3e - 0x3650a0ae	0xa9999: flags and= flags0 & state0 + 0x40a7aa16 + flags0 + 0x627d85ab | 0xa99d8: flags add= flags0 & state0 + 0x40a7aa16 + flags0 + 0x627d85ab + 0x29b54516 | 0xa99e8: flags and= flags0 & state0 + 0x40a7aa16 + flags0 + 0x627d85ab + 0x29b54516 & 0x66aaa5e | 0xa9b97: flags xor= flags0 & state0 + 0x40a7aa16 + flags0 + 0x627d85ab + 0x29b54516 & 0x66aaa5e ^ 0x7efd4127 | 0xa9ba8: flags or= flags0 & state0 + 0x40a7aa16 + flags0 + 0x627d85ab + 0x29b54516 & 0x66aaa5e ^ 0x7efd4127 | 0x476bca10	297@0xb64d7:30,320@0xbada5:24,196@0x9fbcd:22,258@0xadf2c:22,28@0x7e390:21,66@0x855ff:21,70@0x8610e:21,157@0x98a9a:20	0xa9967:je:0;0xa99c8:je:1;0xa9b87:je:1	target=100.0%, ip=100.0%, ok:391
292	0xb540f	0997af338ad030ee	static_validated	128/768 unknown branches (16.7%): unknown_frame_field:128	0/768 unknown branches (0.0%): 	389	100.0	100.0	124	100.0	124=(mask32((mask32(u16_3 ^ (mask32((mask32(state0 | flags0)) + (mask32(u16_1 - (mask32(state0 | flags0)))))))) + 0x628c34bc)) & 0xffff	124=0x5	b0=enum4(0x62:422,0x50:105,0x3a:98,0x32:26);b1=var53(top=0xdc:39.3%);b2=var55(top=0x7b:39.3%);b3=var69(top=0xd0:39.5%);b4=var63(top=0xaa:39.5%)	0xb543d: state or= state0 | flags0 | 0xb55d2: state add= state0 | flags0 + u16_1 - state0 | flags0 | 0xb58c8: state and= state0 | flags0 + u16_1 - state0 | flags0 & u16_3 ^ state0 | flags0 + u16_1 - state0 | flags0 + 0x628c34bc	0xb55f6: flags sub= flags0 - 0x592d1456 | 0xb57e2: flags xor= flags0 - 0x592d1456 ^ 0x6ef9e3c1	185@0x9d964:256,307@0xb8064:64,350@0xc1926:64,220@0xa522e:2,140@0x94e5a:1,317@0xba1e2:1,349@0xc140b:1	0xb5688:jne:0;0xb56bb:jne:1;0xb56c8:jne:1;0xb56f3:jne:1;0xb5771:je:0;0xb57c8:je:0	target=100.0%, ip=100.0%, ok:389
108	0x8f24b	fab5693be0e97629	static_validated	21/917 unknown branches (2.3%): unknown_frame_field:21	0/917 unknown branches (0.0%): 	386	100.0	100.0	38	100.0	38=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32(state0 + 0x11961dc7)) ^ 0x5fa19cc7)) - flags0)))) + 0x36f124db)) & 0xffff	38=0x2	b0=var228(top=0xce:5.1%);b1=var237(top=0x85:6.6%)	0x8f47a: state add= state0 + 0x11961dc7 | 0x8f49a: state xor= state0 + 0x11961dc7 ^ 0x5fa19cc7 | 0x8f4c5: state sub= state0 + 0x11961dc7 ^ 0x5fa19cc7 - flags0	0x8f504: flags xor= flags0 ^ 0x1d98f07a | 0x8f516: flags and= flags0 ^ 0x1d98f07a & 0x60594c67 | 0x8f575: flags sub= flags0 ^ 0x1d98f07a & 0x60594c67 - 0x2e3abdae	208@0xa2361:64,28@0x7e390:25,43@0x8173d:25,154@0x97ce6:17,297@0xb64d7:17,168@0x9aa83:16,258@0xadf2c:16,215@0xa4609:15	0x8f368:jne:1;0x8f38e:jne:1;0x8f3a8:jne:1;0x8f438:jne:0;0x8f4f4:je:0;0x8f53a:je:0;0x8f55b:je:1	target=100.0%, ip=100.0%, ok:386
283	0xb3612	e3b0c44298fc1c14	static_validated			381	100.0	100.0	128	100.0	128=(mask32(u16_3 - 0x8ad5ab4)) & 0xffff	128=0x5	b0=0x10;b1=0xe8;b2=0x01;b3=var22(top=0x1c:12.9%);b4=var10(top=0x62:23.3%)			258@0xadf2c:86,260@0xae90b:66,333@0xbd8af:29,168@0x9aa83:27,215@0xa4609:27,185@0x9d964:17,307@0xb8064:17,189@0x9e7af:15	-	target=100.0%, ip=100.0%, ok:381
144	0x95887	df981a914db02de7	static_validated	21/661 unknown branches (3.2%): unknown_frame_field:21	0/661 unknown branches (0.0%): 	376	100.0	100.0	26	100.0	26=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32(state0 & 0x61f88068)) & 0x1d022eee)) ^ 0x6367b3dd)))) - 0x2f1222e2)) & 0xffff	26=0x2	b0=var32(top=0x87:10.1%);b1=var11(top=0x99:16.2%)	0x95911: state and= state0 & 0x61f88068 | 0x95921: state and= state0 & 0x61f88068 & 0x1d022eee | 0x95a3c: state xor= state0 & 0x61f88068 & 0x1d022eee ^ 0x6367b3dd | 0x95b23: state and= state0 & 0x61f88068 & 0x1d022eee ^ 0x6367b3dd & u16_0 ^ state0 & 0x61f88068 & 0x1d022eee ^ 0x6367b3dd - 0x2f1222e2	0x958ec: flags sub= flags0 - 0x387407b9 | 0x95a22: flags add= flags0 - 0x387407b9 + 0x2cd392b6	347@0xc088d:28,66@0x855ff:24,239@0xa991e:23,203@0xa1484:22,28@0x7e390:21,253@0xacfb1:17,297@0xb64d7:17,268@0xb0007:14	0x959a6:jne:1;0x959b1:jne:1;0x959bd:jne:1;0x959e9:jne:0;0x95a08:je:1	target=100.0%, ip=100.0%, ok:376
108	0x8f24b	fadb67a2878c38a3	static_validated	21/917 unknown branches (2.3%): unknown_frame_field:21	0/917 unknown branches (0.0%): 	365	100.0	100.0	21	100.0	21=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32(state0 + 0x11961dc7)) ^ 0x5fa19cc7)) - flags0)))) + 0x36f124db)) & 0xffff	21=0x2	b0=var228(top=0xce:5.1%);b1=var237(top=0x85:6.6%)	0x8f47a: state add= state0 + 0x11961dc7 | 0x8f49a: state xor= state0 + 0x11961dc7 ^ 0x5fa19cc7 | 0x8f4c5: state sub= state0 + 0x11961dc7 ^ 0x5fa19cc7 - flags0	0x8f504: flags xor= flags0 ^ 0x1d98f07a | 0x8f516: flags and= flags0 ^ 0x1d98f07a & 0x60594c67 | 0x8f575: flags sub= flags0 ^ 0x1d98f07a & 0x60594c67 - 0x2e3abdae	215@0xa4609:246,171@0x9b4b3:13,18@0x7be9b:11,28@0x7e390:10,340@0xbf435:10,124@0x91e81:9,199@0xa0631:8,337@0xbec0e:7	0x8f368:jne:1;0x8f38e:jne:1;0x8f3a8:jne:0;0x8f3ec:je:0;0x8f438:jne:1;0x8f4f4:je:1;0x8f53a:je:0;0x8f55b:je:1	target=100.0%, ip=100.0%, ok:365
340	0xbf435	69e377434a334c1b	static_validated	128/384 unknown branches (33.3%): live_in_reg:128	0/384 unknown branches (0.0%): 	364	100.0	100.0	6	100.0	6=(mask32((mask32(u16_0 + (mask32((mask32((mask32(state0 - 0x2b2e5a26)) ^ 0x7535dd25)) | u16_2)))) + 0x9097995)) & 0xffff	6=0x4	b0=var221(top=0x4c:4.0%);b1=var255(top=0x16:2.8%);b2=var17(top=0xb3:15.9%);b3=enum2(0x00:21582,0x01:4530)	0xbf4be: state sub= state0 - 0x2b2e5a26 | 0xbf4f6: state xor= state0 - 0x2b2e5a26 ^ 0x7535dd25 | 0xbf616: state or= state0 - 0x2b2e5a26 ^ 0x7535dd25 | u16_2 | 0xbf82b: state sub= state0 - 0x2b2e5a26 ^ 0x7535dd25 | u16_2 - u16_0 + state0 - 0x2b2e5a26 ^ 0x7535dd25 | u16_2 + 0x9097995	0xbf49f: flags and= flags0 & 0x7036ca68 | 0xbf4b0: flags sub= flags0 & 0x7036ca68 - 0x2caa6796 | 0xbf651: flags xor= flags0 & 0x7036ca68 - 0x2caa6796 ^ 0x4ea9d032	66@0x855ff:37,161@0x9975a:35,192@0x9f00a:32,305@0xb78b0:19,18@0x7be9b:18,20@0x7c62b:18,158@0x99029:17,185@0x9d964:16	0xbf457:je:1;0xbf48f:je:0;0xbf4d7:je:0	target=100.0%, ip=100.0%, ok:364
