entry	indirect_jmp_site	hit_count	unique_targets	target_mix	target_entry_mix	slot_mix	idx_mix	vm_ip_mix	run_mix	chain	static_status	static_next_action	dynamic_status	dynamic_next_action	first_stage_entries	source_mix	first_stage_windows	note
0xc9849	0xcad88	4	3	0xbb6e6:1,0x9af18:1,0xb8556:2	323@0xbb6e6:1,169@0x9af18:1,310@0xb8556:2	0xc4130:1,0xc3c60:1,0xc40c8:2	0xa18:1,0x548:1,0x9b0:2	0x17687f:1,0x176aaf:1,0x176c91:1,0x176ea1:1	focus_cad88:4	source299_chain_a	computed_indirect_target_unresolved	instrument_or_symbolically_collapse_jmp_rax_memory_target	dynamic_computed_targets_observed	promote_observed_target_mix_then_symbolically_solve_uncovered_slots	0x17bf1f	entry_299:1	299@0x17452e:0x313eb-0x3146b:1	bounded_driver_trace_under_fake_launcher_fast_exit;target_mix_is_observed_not_static_exhaustive
0xcaf2a	0xcc3f5	4	3	0x8a37f:1,0xb8556:1,0x9af18:2	86@0x8a37f:1,310@0xb8556:1,169@0x9af18:2	0xc39c8:1,0xc40c8:1,0xc3c60:2	0x2b0:1,0x9b0:1,0x548:2	0x33db24:1,0x33de2c:1,0x33e037:1,0x33e2e4:1	focus_cc3f5:4	source195_chain_b	computed_indirect_target_unresolved	instrument_or_symbolically_collapse_jmp_rax_memory_target	dynamic_computed_targets_observed	promote_observed_target_mix_then_symbolically_solve_uncovered_slots	0x33f109	entry_195:1	195@0x33d2d9:0x74f88-0x75008:1	bounded_driver_trace_under_fake_launcher_fast_exit;target_mix_is_observed_not_static_exhaustive
0xc4258	0xc559d	8	3	0xbb6e6:1,0x9af18:6,0xb8556:1	323@0xbb6e6:1,169@0x9af18:6,310@0xb8556:1	0xc4130:1,0xc3c60:6,0xc40c8:1	0xa18:1,0x548:6,0x9b0:1	0x249464:1,0x249735:1,0x249960:1,0x249ba3:1,0x249de6:1,0x24a029:1,0x24a29c:1,0x24a4df:1	focus_c559d:8	source299_chain_b	computed_indirect_target_unresolved	instrument_or_symbolically_collapse_jmp_rax_memory_target	dynamic_computed_targets_observed	promote_observed_target_mix_then_symbolically_solve_uncovered_slots	0x33b4b6	entry_299:1	299@0x33710f:0x74b3d-0x74bbd:1	bounded_driver_trace_under_fake_launcher_fast_exit;target_mix_is_observed_not_static_exhaustive
0xc57b8	0xc6bce	4	3	0x8a37f:1,0x9af18:2,0xb8556:1	86@0x8a37f:1,169@0x9af18:2,310@0xb8556:1	0xc39c8:1,0xc3c60:2,0xc40c8:1	0x2b0:1,0x548:2,0x9b0:1	0x11ac5a:1,0x11aeea:1,0x11b12c:1,0x11b36e:1	focus_c6bce:4	source195_chain_c	computed_indirect_target_unresolved	instrument_or_symbolically_collapse_jmp_rax_memory_target	dynamic_computed_targets_observed	promote_observed_target_mix_then_symbolically_solve_uncovered_slots	0x36afd2	entry_195:1	195@0x3655e4:0x779bd-0x77a3d:1	bounded_driver_trace_under_fake_launcher_fast_exit;target_mix_is_observed_not_static_exhaustive
0xc6d58	0xc80b9	8	3	0x8a37f:1,0xb8556:3,0x9af18:4	86@0x8a37f:1,310@0xb8556:3,169@0x9af18:4	0xc39c8:1,0xc40c8:3,0xc3c60:4	0x2b0:1,0x9b0:3,0x548:4	0x26cd71:1,0x26dc7b:1,0x26deee:1,0x26e161:1,0x26e3d4:1,0x26e647:1,0x26e8ba:1,0x26ebbd:1	focus_c80b9:8	source195_chain_d	computed_indirect_target_unresolved	instrument_or_symbolically_collapse_jmp_rax_memory_target	dynamic_computed_targets_observed	promote_observed_target_mix_then_symbolically_solve_uncovered_slots	0x337d35	entry_195:1	195@0x333bc9:0x748d8-0x74958:1	bounded_driver_trace_under_fake_launcher_fast_exit;target_mix_is_observed_not_static_exhaustive
