program	case_state	status	block	row_count	terminal_kind	successor_vm_ip	successor_entry	edge_kind	edge_delta	edge_semantic_ir	raw_bytes_0_5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	observed_pre_state	observed_pre_flags	observed_pre_byte	observed_first_target_entry	trace_observations	trace_with_pre_state	reduction	missing
010	0x11c2aa	ready_for_mba_reduction	43	90	exact_instruction	0x11c3f9	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	0x1c 0x0 0x60 0x5 0x10 0x7b	0x1c	0x6000	0x560	0x7b10	0x87800088	0xaf8ed83		28	18	5	concrete_successor_edge	
010	0x11c407	ready_for_mba_reduction	44	169	exact_instruction	0x11c682	216	covered_synthetic_fallthrough	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100; state=state_mixed	0x5b 0x1 0x38 0x3c 0x62 0x9	0x15b	0x3801	0x3c38	0x962	0x3cef0830	0x77de2d50		347	18	5	concrete_successor_edge	
010	0x11c690	ready_for_mba_reduction	45	244	exact_instruction	0x11ca2a	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	0x5b 0x1 0x40 0x31 0x62 0x9	0x15b	0x4001	0x3140	0x962	0x4fcb06cf	0x8038c158		347	18	5	concrete_successor_edge	
010	0x11ca38	ready_for_mba_reduction	46	187	exact_instruction	0x11ccf7	216	covered_synthetic_fallthrough	+0x4	next = 216@0xa4a61:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	0xc 0x1 0x4a 0x1c 0xf6 0x69	0x10c	0x4a01	0x1c4a	0x69f6	0xb11a78d1	0xf5e05a68		268	18	5	concrete_successor_edge	
010	0x11cd05	ready_for_mba_reduction	47	144	exact_instruction	0x11cf21	356	covered_synthetic_fallthrough	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	0xc7 0x0 0xf7 0x4e 0x3a 0x74	0xc7	0xf700	0x4ef7	0x743a	0xfff67ed7	0x7526bd09		199	18	5	concrete_successor_edge	
010	0x11cf2f	ready_for_mba_reduction	48	193	exact_instruction	0x11d207	278	covered_synthetic_fallthrough	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	0x42 0x0 0xf9 0x97 0x3a 0x7b	0x42	0xf900	0x97f9	0x7b3a	0xa0e1fc8c	0x6dbda5bb		66	18	5	concrete_successor_edge	
010	0x11d215	ready_for_mba_reduction	49	119	exact_instruction	0x11d3d3	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	0x72 0x0 0x6b 0x64 0x8c 0xac	0x72	0x6b00	0x646b	0xac8c	0x6b345f7e	0x924f2425		114	18	5	concrete_successor_edge	
010	0x11d3e1	ready_for_mba_reduction	50	187	exact_instruction	0x11d6a2	95	covered_synthetic_fallthrough	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	0x29 0x1 0x31 0x86 0xe2 0xa8	0x129	0x3101	0x8631	0xa8e2	0x400177d4	0xe890314c		297	18	5	concrete_successor_edge	
010	0x11d6b0	ready_for_mba_reduction	51	164	exact_instruction	0x11d91b	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	0xc7 0x0 0x57 0x49 0x3a 0x63	0xc7	0x5700	0x4957	0x633a	0x3f061d5a	0x40b30000		199	17	4	concrete_successor_edge	
010	0x11d929	ready_for_mba_reduction	52	72	exact_instruction	0x11da3a	145	covered_synthetic_fallthrough	+0x5	next = 145@0x95b5c:1, ip += +0x5; dispatch_model=static_100; state=state_add_const	0x9d 0x0 0x7f 0xd7 0x99 0x0	0x9d	0x7f00	0xd77f	0x99	0x1054bc08	0x3fd24ca8		157	17	4	concrete_successor_edge	
010	0x11da4b	ready_for_mba_reduction	53	52	sampled_operand_forward	0x33f278	323	decoded_control	+0x221770	sampled operand footprint 0xa; observed target table[323], delta +0x221770	0x78 0x45 0x1a 0xe8 0x1 0x54	0x4578	0x1a45	0xe81a	0x5401	0xf6f61c6b	0x9df07098		158	17	4	concrete_successor_edge	
010	0x11db16	needs_more_evidence	54	72	exact_instruction	0x11dc27	210	covered_synthetic_fallthrough	+0x5	next = 210@0xa2da3:1, ip += +0x5; dispatch_model=static_100	0xcb 0x0 0xa7 0x92 0x35 0x76	0xcb	0xa700	0x92a7	0x7635				203	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
010	0x11dc37	needs_more_evidence	55	52	sampled_operand_forward	0x3603af	86	decoded_control	+0x2426ba	sampled operand footprint 0xa; observed target table[86], delta +0x2426ba	0xcd 0x76 0x92 0x3d 0xd0 0x63	0x76cd	0x9276	0x3d92	0x63d0				123	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
010	0x11dd03	needs_more_evidence	56	72	exact_instruction	0x11de14	210	covered_synthetic_fallthrough	+0x5	next = 210@0xa2da3:1, ip += +0x5; dispatch_model=static_100	0x2b 0x0 0x25 0x74 0x99 0x0	0x2b	0x2500	0x7425	0x99				43	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
010	0x11de27	needs_more_evidence	57	6	long_branch_forward	0x11de9f	171	decoded_control	+0x66	next = table[171], ip += 0x66	0x8f 0xc1 0xb3 0x0 0x70 0xc7	0xc18f	0xb3c1	0xb3	0xc770				258	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
