ref_index	program	first_seen_rank	site	text	section_name	role	role_confidence	categories	behavior_tags	opcode_name	source_entry	row_start	semantic_ir	provenance	execution_claim
10	041	31	0x310859	unsigned __int128	.rodata	compiler_type_name	medium	compiler_metadata	crypto_hashing;cxx_runtime;disassembly_metadata	vmop_330_plus0x5_state_add_const_slot_u16_0	330	0x310857	next = 49@0x82820:1, ip += +0x5; dispatch_model=static_100; state=state_add_const	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
11	041	31	0x315809	zydis_decoder_tree_root	.dynstr	disassembly_metadata_symbol	high	disassembly_metadata	crypto_hashing;cxx_runtime;disassembly_metadata	vmop_075_minus0x6d_sampled_backedge_slot_unknown	75	0x310dba	next = table[354], ip += 0x4f0e	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
12	042	17	0x31b31e	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x31b31b	next = table[165], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
13	042	17	0x31b346	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x31b31b	next = table[165], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
14	042	17	0x31c008	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	cxx_runtime	vmop_075_minus0x6d_sampled_backedge_slot_unknown	75	0x31c005	next = table[165], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
15	042	17	0x31c030	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	cxx_runtime	vmop_075_minus0x6d_sampled_backedge_slot_unknown	75	0x31c005	next = table[165], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
16	045	29	0x31edb4	pthread_cond_wait	.dynstr	threading_import_symbol	high	threading_sync	threading_sync	vmop_337_plus0x4_state_add_const_slot_multi_path	337	0x31edb3	next = 301@0xb708d:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
17	046	23	0x331948	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	cxx_runtime	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x331945	next = table[171], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
18	046	23	0x331970	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	cxx_runtime	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x331945	next = table[171], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
19	048	19	0x334c7e	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	cxx_runtime	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	145	0x334c7b	next = table[354], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
20	048	19	0x334ca6	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	cxx_runtime	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	145	0x334c7b	next = table[354], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
21	048	19	0x336b3c	long double	.rodata	compiler_type_name	medium	compiler_metadata	cxx_runtime	vmop_028_plus0x3_state_add_const_slot_u16_0	28	0x336b3c	next = 220@0xa522e:1, ip += +0x3; dispatch_model=static_100; state=state_add_const	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
22	052	27	0x33b7f2	dropping unexpected ChangeCipherSpec	.rodata	tls_protocol_message	high	tls_or_ssl	tls_or_ssl;host_environment	vmop_066_plus0x3_state_add_const_slot_multi_path	66	0x33b7f2	next = 301@0xb708d:1, ip += +0x3; dispatch_model=static_100; state=state_add_const	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
23	052	27	0x33c3d4	GLIBC_2.17	.dynstr	libc_version_requirement	high	host_environment_inventory	tls_or_ssl;host_environment	vmop_246_plus0x78_sampled_long_or_sparse_slot_unknown	246	0x33be94	next = table[171], ip += 0x724	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
24	055	30	0x33f6e3	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_334_plus0x2a5_sampled_long_or_sparse_slot_unknown	334	0x33f6e0	next = table[171], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
25	055	30	0x33f70b	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_334_plus0x2a5_sampled_long_or_sparse_slot_unknown	334	0x33f6e0	next = table[171], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
26	055	30	0x33f7c5	NSt7__cxx118time_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEE	.rodata	cxx_runtime_type_or_exception_text	medium	cxx_runtime	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_189_plus0x4_state_add_const_slot_mba_stateful	189	0x33f7c2	next = 124@0x91e81:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
27	055	30	0x340196	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x340193	next = table[171], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
28	055	30	0x3401be	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x340193	next = table[171], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
29	055	30	0x3403f3	/home/richard/code/mbedtls/library/ssl_tls.c	.rodata	tls_library_source_path	high	tls_or_ssl	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_066_plus0x3_state_add_const_slot_multi_path	66	0x3403f1	next = 37@0x80685:3, ip += +0x3; dispatch_model=static_100; state=state_add_const	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
30	055	30	0x3408e1	pthread_cond_timedwait	.dynstr	threading_import_symbol	high	threading_sync	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x3406cb	next = table[354], ip += 0x288	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
31	055	30	0x340f1e	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_075_minus0x6d_sampled_backedge_slot_unknown	75	0x340f1b	next = table[165], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
32	055	30	0x340f46	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_075_minus0x6d_sampled_backedge_slot_unknown	75	0x340f1b	next = table[165], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
33	055	30	0x341a48	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	145	0x341a45	next = table[354], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
34	055	30	0x341a70	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	145	0x341a45	next = table[354], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
35	055	30	0x34230a	pthread_mutex_destroy	.dynstr	threading_import_symbol	high	threading_sync	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_172_plus0x4_state_add_const_slot_mba_stateful	172	0x342309	next = 320@0xbada5:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
36	055	30	0x3427d0	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x3427cd	next = table[171], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
37	055	30	0x3427f8	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_210_plus0x30_sampled_long_or_sparse_slot_unknown	210	0x3427cd	next = table[171], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
38	055	30	0x343f0f	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x343f0c	next = table[354], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
39	055	30	0x343f37	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x343f0c	next = table[354], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
40	055	30	0x34448e	uname	.dynstr	process_or_host_import_symbol	high	process_or_shell;host_environment_inventory	tls_or_ssl;threading_sync;host_environment;cxx_runtime	vmop_172_plus0x4_state_add_const_slot_mba_stateful	172	0x34448d	next = 320@0xbada5:1, ip += +0x4; dispatch_model=static_100	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
41	059	33	0x367607	QmK3TAsJm8V/J5AWpLEV6jAFgRGymGGHnof0DXzVWZidrcZJWTNuGEX90nB3ee2w	.rodata	embedded_token_or_encoded_blob	medium	embedded_data_or_token	cxx_runtime	vmop_199_plus0x3_state_add_const_slot_multi_path	199	0x367605	next = 83@0x8947b:1, ip += +0x3; dispatch_model=static_100	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
42	059	33	0x367700	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	cxx_runtime	vmop_334_plus0x2a5_sampled_long_or_sparse_slot_unknown	334	0x3676fd	next = table[354], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
43	059	33	0x367728	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	cxx_runtime	vmop_334_plus0x2a5_sampled_long_or_sparse_slot_unknown	334	0x3676fd	next = table[354], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
44	059	33	0x367ee7	basic_string::_S_construct null not valid	.rodata	cxx_runtime_type_or_exception_text	medium	cxx_runtime	cxx_runtime	vmop_350_plus0x4_state_add_const_slot_mba_stateful	350	0x367ee5	next = 91@0x8b6de:1, ip += +0x4; dispatch_model=static_100	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
45	061	35	0x36b361	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x36b35e	next = table[171], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
46	061	35	0x36b389	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	cxx_runtime	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x36b35e	next = table[171], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
47	062	36	0x36d81e	:$23	.rodata	unclassified_data_string	low	unclassified_data	control_transfer_or_native_bridge_candidate	vmop_140_plus0x6_state_add_const_slot_multi_path	140	0x36d819	next = 70@0x8610e:1, ip += +0x6; dispatch_model=static_100	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
48	063	37	0x36ee05	pclose	.dynstr	process_or_host_import_symbol	high	process_or_shell;host_environment_inventory	tls_or_ssl;cxx_runtime;process_or_shell	vmop_172_plus0x4_state_add_const_slot_mba_stateful	172	0x36ee04	next = 320@0xbada5:1, ip += +0x4; dispatch_model=static_100	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
49	063	37	0x36ef19	_ITM_registerTMCloneTable	.dynstr	gnu_transactional_memory_runtime_symbol	medium	cxx_runtime	tls_or_ssl;cxx_runtime;process_or_shell	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	145	0x36ef16	next = table[171], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
50	063	37	0x36ef41	__freelocale	.dynstr	locale_runtime_symbol	medium	locale_i18n	tls_or_ssl;cxx_runtime;process_or_shell	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	145	0x36ef16	next = table[171], ip += 0x30	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
51	063	37	0x37138e	client hello, adding server name extension: %s	.rodata	tls_protocol_message	high	tls_or_ssl	tls_or_ssl;cxx_runtime;process_or_shell	vmop_316_minus0x3c4_sampled_backedge_slot_unknown	316	0x3707a0	next = table[165], ip += 0x12c3	exact_vm_string_data_reference	reference_observed_in_recovered_vm_program_not_call_proof
