program	case_state	status	block	row_count	terminal_kind	successor_vm_ip	successor_entry	edge_kind	edge_delta	edge_semantic_ir	raw_bytes_0_5	raw_u16_0	raw_u16_1	raw_u16_2	raw_u16_4	observed_pre_state	observed_pre_flags	observed_pre_byte	observed_first_target_entry	trace_observations	trace_with_pre_state	reduction	missing
036	0x2bec2e	needs_more_evidence	205	78	exact_instruction	0x2bed4f	264	covered_synthetic_fallthrough	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100	0x9a 0x0 0xa0 0x38 0xe8 0x1	0x9a	0xa000	0x38a0	0x1e8				154	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
036	0x2bed5d	needs_more_evidence	206	121	exact_instruction	0x2bef26	80	covered_synthetic_fallthrough	+0x4	next = 80@0x88a58:1, ip += +0x4; dispatch_model=static_100	0x29 0x1 0x31 0x2e 0xe7 0xa8	0x129	0x3101	0x2e31	0xa8e7				297	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
036	0x2bef37	needs_more_evidence	207	73	long_branch_forward	0x2bf297	165	decoded_control	+0x24f	next = table[165], ip += 0x24f	0x51 0x1 0x60 0x9c 0x99 0x0	0x151	0x6001	0x9c60	0x99				337	11	0	concrete_successor_edge	state_trace_pre_state,state_trace_pre_flags,state_trace_pre_byte
